pi44卑碑蓖
pi31比髀
pi52蔽敝弊闭臂币毙陛箅痹秘泌□{扛，背}
pʰi44批披彼被纰
pʰi35皮疲琵枇脾啤
pʰi31鄙痞
pʰi52鼻濞庇屁备避
mi44眯
mi35迷谜眉
mi31米
mi52沕{潜水}
ti44资姿滋咨知{知道}□{家禽身上的小寄生虫}
ti31抵
ti52帝哋际济剂祭
tʰi44锑梯妻凄
tʰi35堤提脐糍
tʰi31体
tʰi52第地替隶此次刺赐砌
ni44蚁
ni35尼你{文读}
ni52腻匿
li44理里礼鲤
li35离璃梨狸
li31李□{拔草、毛等}
li52利例俐励丽荔厉履
θi44思丝私斯撕司西犀筛
θi35词辞慈瓷磁鹚祠饲
θi31死
θi52四肆
ʧi44之芝支枝肢知知识
ʧi31止纸址旨趾指脂
ʧi52智制至置志滞痣痔治
ʧʰi35迟池驰持
ʧʰi31侈耻始齿
ʧʰi52治
ʃi44诗施牺尸稀市眵
ʃi35时匙
ʃi31屎起喜
ʃi52去势誓逝系氏戏示视器气汽弃试豉
ȵi44议
ȵi35宜而儿疑倪仪{仪器}
ȵi31耳
ȵi52二义艺仪{礼仪} 
ki44基饥拘肌机箕苣
ki35佢
ki31几己杞纪
ki52记既寄
kʰi44欺企徛□{坡陡}
kʰi35旗奇骑期棋蜞其技
kʰi31启岂
xi44希墟嬉熙
xi35移夷姨饴
xi31以
xi52异易
i44医衣伊
i35遗
i31椅
i52意
pu31补
pu52布怖
pʰu44铺潽{溢}
pʰu31普谱浦辅甫斧
pʰu52步部舖簿菢
mu44母模巫
mu35无
mu31武舞鹉拇
mu52墓慕暮募务雾
fu44夫呼肤敷俘
fu35符芙扶
fu31虎浒府腑釜抚苦
fu52父护库裤户互付赋傅赴附富副妇负戽腐
vu44乌诬污
vu35湖胡蝴狐壶
vu52芋恶{可恶}
tu44都租
tu31堵赌肚组祖姊子紫梓
tu52妒
tʰu44粗
tʰu35徒图屠途涂
tʰu31土
tʰu52兔吐度渡镀杜醋
nu44努
nu35奴
nu52怒
lu44鲁橹卤
lu35卢芦驴庐鸬炉虏
lu52路露赂鹭
θu44苏酥师狮蛳
θu31使史驶数{动词}
θu52字素诉士嗜侍事似寺伺自数{～目}
ʧu44猪诸诸朱珠蛛诛株
ʧu31煮主
ʧu52注著蛀驻铸
ʧʰu44柱苎
ʧʰu35除雏厨橱储殊蜍
ʧʰu52处住箸
ʃu44书输舒枢
ʃu35薯
ʃu31署鼠暑
ʃu52树竖恕庶
ku44姑孤估鸪
ku31牯鼓古
ku52故固雇顾
kʰu44枯箍
tʰy44趋
tʰy31取娶
tʰy52趣
ly31旅吕
θy44须需
θy35徐
θy52序绪聚
ŋy44语
ŋy35娱愚
ŋy52寓豫遇
ky44居车{车马炮}
ky31举矩
ky52据锯句巨剧具
kʰy44拘拒距区驱
kʰy35渠
kʰy52惧俱
xy35余舆儒虞盂榆迂
xy31雨宇羽禹与许
xy52预誉喻愉愈裕
y44於
pa44巴爸疤芭
pa31把
pa52霸坝
pʰa44挀{叉开}
pʰa35爬杷琶耙钯扒{扒饭}
pʰa52怕帕罢
ma44马码
ma35麻嫲嘛蟆
ma52骂
fa44花
fa52化
va44蛙
va35华哗
va52画话
ta31打
tʰa44他
na44拿挐{粘贴}
na35娜
la44拉
la31□{顺手取别人的东西}
la52旯{裂缝}
θa44沙纱
θa31洒耍
ʧa44遮渣抓楂
ʧa31者
ʧa52诈炸榨蔗鹧
ʧʰa44差叉杈岔车奢
ʧʰa35茶搽查
ʧʰa31扯趄{离开}
ʧʰa52□{阻障}
ʃa44社赊
ʃa35蛇
ʃa31捨
ʃa52射赦麝騇舍{宿舍}
ȵa44惹
ka44家加枷嘉痂
ka31假贾
ka52架价稼驾嫁
kʰa44卡
ŋa35牙芽衙 
ŋa31雅瓦
xa44哈虾謑{欺负}
xa35霞嗄{应答声}
xa52夏下
ja44野
ja35爷
ja31□{～耙，抓痒}
ja52夜也
a44阿亚桠鸦丫
a35啊
a31哑
kua44瓜
kua31寡剐
kua52挂卦褂
kʰua44夸跨
po44波玻菠
po52播簸
pʰo44坡颇樖棵
pʰo35婆菩
pʰo52破
mo44摩魔馍摸摹
mo52磨
fo44科
fo31火伙
fo52货课
vo44莴窝蜗涡
vo35和禾
vo52祸
to44多
to31朵躲
tʰo44拖
tʰo35驼砣驮舵
tʰo31妥椭
tʰo52惰
no35挪
no52糯捼{用手搓}
lo35罗萝锣箩螺骡脶
lo31裸
lo52□{～喉：刺激喉咙}
θo44疏蔬梳梭唆蓑坐{又}
θo31锁琐
θo52座
