字	声	韵	调	注释
多	t	əu	52	书面语
拖	th	iɛ	44	
大	d	iɛ	13	
锣	l	o	13	
左	t	o	44	～手
歌	k	əu	52	
个	ŋ	aʔ	5	一~人
可	kh	əu	52	
鹅	ȵ	iɛ	13	
饿	ŋ	əu	13	
河	h	o	13	
茄	dʑ	yo	13	辣~
茄	ɡ	a	13	畜~
破	ph	ɛ	52	
婆	b	u	13	
磨	m	ɛ	13	
磨	m	ɛ	13	
躲	t	əu	35	书面语
螺	l	o	13	
坐	z	o	13	
锁	s	əu	35	
果	k	əu	35	
过	k	əu	52	
课	kh	əu	52	
火	h	uø	35	
货	h	əu	44	
祸	h	əu	13	
靴	ɕ	y	44	
把	p	a	35	
爬	b	a	13	
马	m	a	13	
骂	m	a	52	书面语
茶	d	a	13	喝~
茶	dz	o	13	~楼
沙	s	a	44	
假	k	a	35	
假	k	o	52	~票
嫁	k	a	52	
牙	ŋ	a	13	
虾	h	a	13	
下	Ǿ	a	52	
夏	h	a	13	
哑	Ǿ	a	52	
姐	tɕ	iɛ	52	阿~
姐	tɕ	ia	52	
借	tɕ	iɔ	52	
写	ɕ	ia	35	
斜	dʑ	ia	13	~纹布
谢	dʑ	ia	13	
车	tɕh	ia	44	
蛇	ɕ	iɛ	13	
射	ɕ	iɔ	44	~过去
射	z	oʔ	5	
爷	Ǿ	ia	13	
野	k	ia	35	
夜	Ǿ	ia	13	
瓜	k	ua	44	
瓦	ŋ	a	35	
花	h	ua	44	
化	h	ua	52	
华	Ǿ	uø	13	
谱	ph	u	52	
布	p	u	52	
铺	ph	u	44	
簿	b	u	13	
步	b	u	13	
赌	t	u	35	
土	th	u	35	
图	d	u	13	
杜	d	u	13	
奴	l	u	13	
路	l	u	13	
租	ts	u	44	
做	ts	o	52	
错	tsh	a	44	
箍	kh	u	35	
古	k	u	35	
苦	kh	u	35	
裤	kh	u	52	
吴	Ǿ	ŋ	13	
吴	v	u	13	
五	Ǿ	ŋ	13	
虎	f	u	35	
壶	v	u	13	
户	v	u	13	
乌	Ǿ	u	44	
女	ȵ	y	13	
吕	l	i	13	
徐	z	ɿ	13	
猪	t	y	44	
除	dʑ	y	13	
初	tsh	u	52	
锄	dʑ	y	13	又
锄	dz	u	13	又
所	s	o	52	
书	tɕ	y	35	~报
书	ɕ	y	52	~法
鼠	tɕh	y	35	
如	ɕ	y	13	
举	tɕ	y	35	
锯	k	iɛ	35	
去	tɕh	yo	52	
渠	dʑ	y	13	
鱼	ȵ	y	13	
许	ɕ	y	52	
余	Ǿ	y	13	
府	f	u	52	
付	f	u	52	
父	v	u	13	
武	v	u	13	
雾	v	u	13	
取	tɕh	y	35	
柱	th	y	13	
柱	dʑ	y	13	
住	dʑ	y	13	书
数	s	u	52	~钞票
数	s	u	52	~字
主	tɕ	y	52	
输	ɕ	y	44	
竖	ɕ	y	13	
树	tɕh	y	52	
句	tɕ	y	52	书面语
区	tɕh	y	52	
遇	Ǿ	y	13	
雨	Ǿ	y	35	
芋	Ǿ	n	13	白读
芋	Ǿ	y	13	文读
裕	Ǿ	y	13	
胎	th	ø	35	
台	d	ø	13	
台	d	e	13	
袋	d	ø	13	
来	l	i	13	
菜	tsh	e	52	
财	dz	e	13	
该	k	e	52	
改	k	e	35	
开	kh	uei	44	
海	h	ɛ	35	
爱	Ǿ	e	52	
贝	p	ei	52	
带	t	ɛ	52	
盖	k	ɛ	52	
害	h	ɛ	13	
拜	p	ei	52	礼~日
排	b	ɛ	13	
埋	m	e	13	
戒	k	a	52	
摆	p	e	35	
派	ph	ɛ	52	
派	ph	a	52	
牌	b	ɛ	13	
买	m	e	13	
卖	m	e	13	
柴	z	a	13	
晒	s	a	52	
街	k	e	44	
解	k	a	52	
鞋	h	e	13	
蟹	Ǿ	ɛ	35	
矮	Ǿ	e	35	
败	b	e	13	
币	b	i	13	
制	ts	ɿ	52	
世	s	ɿ	52	
艺	ȵ	i	13	
米	m	i	13	
低	t	i	52	~头
梯	th	e	44	路~
梯	th	i	52	~子
剃	th	i	52	
弟	d	i	13	
递	d	i	13	
泥	ȵ	i	13	
犁	l	i	13	
西	s	e	44	
洗	s	e	35	
鸡	ts	ɿ	44	
溪	tsh	ɿ	44	
契	tsh	ɿ	52	
系	s	ɿ	52	
杯	p	ø	44	
配	ph	ø	52	
赔	b	ø	13	
背	b	ø	13	
煤	m	ø	13	
妹	m	ø	52	益~
对	t	ø	52	
雷	l	e	13	
罪	ts	ø	44	白读
罪	z	ei	13	文读
碎	tsh	ø	52	掼~
碎	s	ei	52	粉~
灰	h	uø	44	
回	h	uø	13	
外	ȵ	iɛ	13	
会	h	uø	13	
怪	k	uɛ	52	
块	kh	uei	52	书面语
怀	ɡ	ua	13	
坏	Ǿ	uɛ	13	~人
坏	Ǿ	ua	13	~蛋
拐	k	ua	52	
挂	k	ua	52	
歪	Ǿ	uɛ	44	书面语
画	Ǿ	ua	13	
快	kh	e	52	
快	kh	ua	52	~活林
话	Ǿ	ua	13	
岁	s	ei	52	
卫	Ǿ	uø	13	
肺	f	i	52	
桂	k	uei	52	
