汉字	注释	音标
挨	~着	æ1
摆		pæ3
派		pʰæ5
牌		pʰæ2
稗		pʰaʔ7
买		mæ1
卖		mæ5
奶		næ1
债		tsæ5
筛		sæ1
晒		sæ5
街		kæ1
鞋		hæ2
蟹		ɕiæ3
矮		æ1
败		pʰæ5
毙		pi5
例		niɛʔ7
祭		tɕi5
世		sɿ5
闭		pi5
批		pʰi1
米		mi3
低		ti1
堤		tʰi2
梯		tʰi1
体		tʰi3
替		tʰi5
题		tʰi2
提		tʰi2
弟		tʰi3
第		tʰi5
泥		ni2
犁		li2
礼		li3
妻		tɕʰi1
齐		tɕʰi2
西		ɕi1
洗		se3
细		ɕi5=/sei5-
鸡		tɕi1
启		tɕʰi3
杯		pe1
背	~脊	pe5
配		pʰe5
赔		pʰe2
倍		pʰe5
梅		me2
妹		me5
堆		tue1
对		tue5
推		tʰue1
腿		tʰue3
退		tʰue5
队		tue5
雷		lue2
催		tsʰue1
罪		tsʰue5
碎		sue5
块		kʰuæ5
灰		hue1
悔		hue3
回		hue2
汇		hue5
最		tsue5
外		ve5=/væ5-
会	开~	hue5
会	~不~	ve5
乖		kuæ1
怪		kuæ5
怀		huæ2
坏		huæ5
柺		kuæ3
挂		kua5
歪		væ1
画		hua5
快		kʰuæ5
话		hua5=/va5-
岁		sue5
税		sue5
卫		ve5
肺		fe5
桂		kue5
碑		pi1
披		pʰi1
皮		pʰi2
被	~子	pʰi1
被	~迫	pʰi1
紫		tsɿ3
此		tsʰɿ3
知		tsɿ1
池		tsʰɿ2
支		tsɿ1
纸		tsɿ3
是		sɿ5
儿		ə2
寄		tɕi5
骑		tɕʰi2
义		ni5
议		ni5
戏		tɕʰi5
椅		i3
移		i2
易	容~	i5
悲		pe1
比		pi3
备		pʰi5
鼻		pʰi5
眉		mi2
霉		/
美		me3
地		tʰi5
梨		li2
利		li5
资		tsɿ1
瓷		tsʰɿ2
自		tsɿ5
私		sɿ1
死		sɿ3
四		sɿ5
迟		tsʰɿ2
师		sɿ1
指	动、名	tsɿ3
示		sɿ5
尸		sɿ1
屎		sɿ3
二		ni5
器		tɕʰi5
姨		i2
李		li3=/li1-
里	~面	li3
子		tsɿ3
慈		tsʰɿ2
字		tsɿ5
丝		sɿ1
祠		tsʰɿ2
饲		tsʰɿ2
痴		tsʰɿ1
耻		tsʰɿ3
士		sɿ5
柿		tsʰɿ5
事		sɿ5
使		sɿ3
之		tsɿ1
止		tsɿ3
志		tsɿ5
痣		tsɿ5
齿		tsʰɿ3
诗		sɿ1
始		sɿ3
试		sɿ5
时		sɿ2
市		sɿ5
而		ə2
耳		ə2
基		tɕi1
欺		tɕʰi1
起		tɕʰi3
旗		tɕʰi2
记		tɕi5
疑		ni2
喜		ɕi3
医		i1
意		i5
以		i3
机		tɕi1
几	~个	tɕi3
气		tɕʰi5
衣		i1
随		sue2
吹		tsʰue1
规		kue1
亏		kʰue1
跪		kʰue3
毁		hue3
委		ve1
类		le5
泪		le5
醉		tsue5
追		tsue1
锤		tsʰue2
帅		sæ5
水		se3
龟		kue1
季		tɕi5
葵		kʰue2
柜		kʰue5
位		ve5
飞		fi1
匪		fi3
费		fi5
肥		fi2
尾		mi1
味		ve5
归		kue1
鬼		kue3
贵		kue5
魏		ve5
威		ve1
围		ve2
伟		ve3
胃		ve5
宝		pɔ3
报		pɔ5
袍		pʰɔ2
抱		pʰɔ1
暴		pɔ5
毛		mɔ2
帽		mɔ5
刀		tɔ1
到		tɔ5
讨		tʰɔ3
套		tʰɔ5
桃		tʰɔ2
道		tɔ5
稻		tʰɔ5
脑		nɔ3
牢		lɔ2
捞		lɔ1
老		lɔ3
糟		tsɔ1
早		tsɔ3
造		tsʰɔ5
操	体~	tsʰɔ1
草		tsʰɔ3
曹		tsʰɔ2
造		tsʰɔ5
臊		sɔ1
扫	~地	sɔ5
嫂		sɔ3
扫	~帚	sɔ5
高		kɔ1
稿		kɔ3
告		kɔ5
考		kʰɔ3
靠		kʰɔ5
熬		ŋɔ2
傲		ŋɔ5
好	~坏	hɔ3
号	~数	hɔ5
袄		ɔ3
包		pɔ1
饱		pɔ3
豹		pɔ5
炮		pʰɔ5
跑		pʰɔ3
猫		miɔ5
闹		nɔ5
罩		tsɔ5
抄		tsʰɔ1
炒		tsʰɔ3
巢		tsʰɔ2
交		kɔ1
搅		kɔ3
搞		kɔ3
教	~育	kɔ5
咬		ŋɔ1
孝		ɕiɔ5
效		ɕiɔ5
标		piɔ1
表		piɔ3
飘		pʰiɔ1
瓢		pʰiɔ2
苗		miɔ2
秒		miɔ3
庙		miɔ5
妙		miɔ5
椒		tɕiɔ1
消		ɕiɔ1
小		ɕiɔ3
笑		ɕiɔ5
朝	今~	tsɔ1
超		tsʰɔ1
潮		tsʰɔ2
赵		tsʰɔ5
招		tsɔ1
照		tsɔ5
烧		sɔ1
少	多~	sɔ3
绍		sɔ5
饶		iɔ2
骄		tɕiɔ1
桥		tɕʰiɔ2
轿		tɕʰiɔ5
腰		iɔ1
要	需~	iɔ5
摇		iɔ2
窑		iɔ2
舀		iɔ3
耀		iɔ5
鸟		tiɔ5
钓		tiɔ5
挑		tʰiɔ1
跳		tʰiɔ5
条		tʰiɔ2
调	音~	tiɔ5
尿		niɔ5
了		liɔ3
料		liɔ5
萧		ɕiɔ1
缴		tɕiɔ3
叫		tɕiɔ5
晓		ɕiɔ3
亩		/
母		mu1
兜		tio1
斗	一~	tio3
斗	~争	tio5
偷		tʰio1
透		tʰio5
头		tʰio2
豆		tio5
楼		lio2
篓		lio3
漏		lio5
走		tɕio3
沟		kio1
阄		kio1
狗		kio3
够		kio5
口		hio3
扣		kʰio5
藕		ŋio3
喉		hio2
猴		hio2
后	前~	hio5
厚		hio5
呕		eu3
沤		eu5
富		fu5
浮		fio2
妇		fu5
谋		mio2
矛		mɔ2
纽		niu3
流		liu2
刘		liu2
留		liu2
柳		liu1
酒		tɕiu3
秋		tɕʰiu1
就		tɕʰiu5
修		ɕiu1
绣		ɕiu5
袖		ɕiu5
昼		tɕiu5
抽		tɕʰio1
绸		tɕʰio2
绉		tɕio5
愁		tɕʰio2
搜		ɕio1
瘦		ɕio5
周		tɕio1
州		tɕio1
帚		tɕio1
咒		tɕiu5
臭		tɕʰio5
收		ɕio1
手		ɕio3
守		ɕio3
仇		tɕʰio2
受		ɕio5
寿		ɕio5
九		tɕiu3
久		tɕiu3
救		tɕiu5
丘		tɕʰiu1
球		tɕʰiu2
舅		tɕʰiu1
旧		tɕʰiu5
牛		niu2
休		ɕiu1
忧		iu1
有		iu1
右		iu5
油		iu2
彪		piɔ1
纠		tɕiu1
幼		iu5
答		taʔ7
搭		taʔ7
贪		tʰã1
探		tʰã5
踏		tʰaʔ7
潭		tʰã2
南		nã2
男		nã2
纳		naʔ7
参	~加	tsʰã1
蚕		tsʰã2
杂		tsʰaʔ7
感		kã3
鸽		koʔ7
含		hã2
合		hoʔ7
暗		õ5
担	~任	tã1
胆		tã3
担	挑~	tã1
塌		tʰaʔ7
塔		tʰaʔ7
痰		tʰã2
淡		tʰã1
篮		lã2
腊		naʔ7
蜡		naʔ7
甘		kã1
柑		kã1
敢		kã3
喊		hã5
站	车~	tsã5
赚		tsʰã5
斩		tsã3
插		tsʰaʔ7
杉		sa1
减		kã3
咸		hã2
狭		ɕia7
衫		sã1
甲		kaʔ7
衔		ɕiẽ2
舰		tɕiẽ5
鸭		aʔ7
压		aʔ7
贬		piẽ3
粘	~性	/
镰		liẽ2
猎		naʔ7
尖		tɕiẽ1
接		tɕiɛʔ7
签		tɕʰiẽ1
占	~领	tsã5
折	~叠	tsɛʔ7
闪		səŋ3
染		niẽ3
检		tɕiẽ3
钳		tɕʰiẽ2
验		niẽ5
险		ɕiẽ3
厌		iẽ2
盐		iẽ2
檐		iẽ2
叶		iɛʔ7
剑		tɕiẽ5
欠		tɕʰiẽ5
严		niẽ2
业		nɛʔ7
点		tiẽ3
店		tiẽ5
跌		tiɛʔ7
添		tʰiẽ1
贴		tʰiɛʔ7
甜		tʰiẽ2
叠		tʰiɛʔ7
拈		niẽ1
念		niẽ5
兼		tɕiẽ1
谦		tɕʰiẽ1
嫌		ɕiẽ2
协		ɕiɛʔ7
凡		fã2
犯		fã5
乏		faʔ7
法		faʔ7
泛		fa5
品		pʰiŋ3
林		liŋ2
笠		liɛʔ7
粒		tiɛʔ7
浸		tɕiŋ5
集		tɕiɛʔ7
心		ɕiŋ1
寻		tɕʰiŋ2
习		ɕiɛʔ7
沉		tɕʰiŋ2
参	人~	səŋ1
森		səŋ1
针		tɕiŋ1
汁		tsɛʔ7
深		ɕiŋ1
沈		səŋ3
湿		sɛʔ7
十		sɛʔ7
任	责~	iŋ5
入		iɛʔ7
金		tɕiŋ1
锦		tɕiŋ3
禁	~止	tɕiŋ5
急		tɕiɛʔ7
级		tɕiɛʔ7
琴		tɕʰiŋ2
及		tɕiɛʔ7
吸		tɕiɛʔ7
阴		iŋ1
单		tʰã1
摊		tʰã1
炭		tʰã5
弹	~琴	tʰã2
蛋		tʰã5
达		tʰaʔ7
难	~易	nã2
兰		lã2
懒		lã1
烂		lã5
辣		naʔ7
赞		tsã5
餐		tsʰã1
擦		tsʰaʔ7
残		tsʰã2
伞		sã3
散	分~	sã5
肝		kã1
杆		kã3
干	~活	kã5
割		koʔ7
看	~见	kʰõ5
岸		ŋã5
汉		hã5
寒		hã2
旱		hã5
汗		hã5=/hõ5-
安		ŋã1
案		ŋã5
扮		pã5
八		paʔ7
办		pʰã5
拔		pʰaʔ7
抹		maʔ7
盏		tsã3
铲		tsʰã3
察		tsʰaʔ7
山		sã1
产		tsʰã3
杀		saʔ7
间	中~	tɕiẽ1
拣		tɕiẽ3
眼		ŋã3
闲		hã2
限		ɕiẽ5
苋		hã5
班		pã1
板		pã3
蛮	野~	mã2
慢		mã5
奸		tɕiẽ1
颜		iẽ2
瞎		haʔ7
晏	晚也	ã5
鞭		piẽ1
变		piẽ5
偏		pʰiẽ1
骗		pʰiẽ5
辩		piẽ5
别		pʰiɛʔ7
棉		miẽ2
免		miẽ3
面	~上	miẽ5
灭		miɛʔ7
连		liẽ2
裂		niɛʔ7
煎		tɕiẽ1
剪		tɕiẽ3
箭		tɕiẽ5
迁		tɕʰiẽ1
浅		tɕʰiẽ3
钱		tɕʰiẽ2
贱		tɕʰiẽ5
仙		ɕiẽ1
癣		ɕiẽ3
线		ɕiẽ5
薛		ɕiɛʔ7
展		tsəŋ3
缠		tsʰəŋ2
战		tsəŋ5
折	~断	tsɛʔ7
舌		sɛʔ7
扇	~子	səŋ5
设		sɛʔ7
善		səŋ5
折	~本	sɛʔ7
然		iẽ2
热		niɛʔ7
件		tɕʰiẽ5
杰		tɕiɛʔ7
孽		niɛʔ7
延		iẽ2
演		iẽ3
建		tɕiẽ5
健		tɕʰiẽ5
言		iẽ2
掀		ɕiẽ1
献		ɕiẽ5
歇		ɕiɛʔ7
边		piẽ1
扁		piẽ3
遍		pʰiẽ1
片		pʰiẽ5
撇		pʰiɛʔ7
辫		piẽ1
面	~条	miẽ5
篾		miɛʔ7
颠		tiẽ1
天		tʰiẽ1
铁		tʰiɛʔ7
田		tʰiẽ2
填		tʰiẽ2
电		tʰiẽ5
垫		tʰiẽ5
年		niẽ2
捏		niɛʔ7
莲		liẽ2
炼		liẽ5
节		tɕiɛʔ7
千		tɕʰiẽ2
切		tɕʰiɛʔ7
前		tɕʰiẽ2
先		ɕiẽ1
肩		tɕiẽ1
见		tɕiẽ5
结		tɕiɛʔ7
牵		tɕʰiẽ1
现		ɕiẽ5
烟		iẽ1
燕		iẽ5
搬		pã1
半		pã5
潘		pʰã1
判		pʰã5
泼		pʰo7
盘		pʰõ2
伴		pʰõ5
叛		pʰõ5
满		mõ1
末		moʔ7
端		tõ1
短		tõ3
脱		tʰoʔ7
团		tʰõ2
断	折~	tõ5=/tʰõ1-
缎		tʰõ5
夺		tʰoʔ7
暖		nõ1
乱		lõ5
捋		loʔ7
酸		sõ1
算		sõ5
官		kõ1
管		kõ3
灌		kõ5
括		kuaʔ7
宽		kʰõ1
阔		kʰuaʔ7
欢		hõ1
完		vã2
丸		vã2
换		hõ5
活		hoʔ7
碗		võ3
顽		vã2
猾		vaʔ7
挖		va1
闩		tsʰõ1
刷		soʔ7
关		kuã1
惯		kuã5
刮		kuaʔ7
还	归~	huã2
弯		vã1
全		tɕʰiẽ2
绝		tɕiɛʔ7
雪		ɕiɛʔ7
转	~身	tsõ3
传	~达	tsʰõ2
砖		tsõ1
穿		tsʰõ1
船		sõ2
说	小~	soʔ7
软		niẽ3
卷	~起	tɕiẽ3
圈	圆~	tɕʰiẽ1
拳		tɕʰiẽ2
权		tɕʰiẽ2
圆		iẽ2
缘		iẽ2
反		fã3
发		faʔ7
翻		fã1
烦		fã2
饭		fã5
罚		faʔ7
万		vã5
袜		maʔ7
劝		tɕʰiẽ5
元		iẽ2
原		iẽ2
月		niɛʔ7
冤		iẽ1
远		iẽ3
决		tɕiɛʔ7
缺		tɕʰiɛʔ7
血		ɕiɛʔ7
县		ɕiẽ5
穴		ɕiɛʔ7
吞		tʰəŋ1
根		keŋ1
痕		həŋ2
恨		heŋ5
恩		ŋeŋ1
宾		piŋ1
笔		piɛʔ7
匹		pʰiɛʔ7
贫		pʰiŋ2
民		miŋ2
敏		miŋ3
密		miɛʔ7
蜜		miɛʔ7
麟		liŋ2
栗		niɛʔ7
进		tɕiŋ5
亲		tɕʰiŋ1
七		tɕʰiɛʔ7
尽		tɕiŋ5=/tɕʰiŋ5-
新		ɕiŋ1
信		ɕiŋ5
镇		tsəŋ5
陈		tsʰiŋ2
真		tɕiŋ1
质		tsɛʔ7
神		ɕiŋ2
实		sɛʔ7
身		ɕiŋ1
失		sɛʔ7
肾		səŋ5
人		niŋ2
忍		niŋ3
认		niŋ5
日		niɛʔ7
巾		tɕiŋ1
紧		tɕiŋ3
银		niŋ2
因		iŋ1
印		iŋ5
一		iɛʔ7
引		iŋ3
斤		tɕiŋ1
筋		tɕiŋ1
勤		tɕʰiŋ1
近		tɕʰiŋ1
本		pəŋ3
不		poʔ7
盆		pʰəŋ2
笨		pəŋ5
门		məŋ2
墩		təŋ1
顿		təŋ3
突		tʰoʔ7
嫩		nəŋ5
论		ləŋ2=/ləŋ3-
尊		tsəŋ1
卒		tsoʔ7
村		tsʰəŋ1
寸		tsʰəŋ5
孙		səŋ1
滚		kuəŋ3
骨		koʔ7
綑		kʰuəŋ3
困		kʰuəŋ5
昏		huəŋ1
忽		hoʔ7
混		huəŋ5
温		vəŋ1
律		lioʔ7
遵		tsəŋ1
笋		səŋ3
榫		/
准		tsəŋ3
春		tɕʰiŋ1
出		tsʰoʔ7
顺		ɕiŋ5
纯		siŋ2
闰		iŋ5
橘		tɕiɛʔ7
菌		tɕʰiŋ1
允		iŋ3
分		fəŋ1
粪		fəŋ5
坟		fəŋ2
佛		foʔ7
蚊		məŋ2
问		məŋ5
物		voʔ7
军		tɕiŋ1
屈		tɕʰioʔ7
裙		tɕʰiŋ2
熏		ɕiŋ1
勋		ɕiŋ1
训		ɕiŋ5
云		iŋ2
运		iŋ5
帮		põ1
博		poʔ7
薄		pʰoʔ7
忙		mã2
莫		moʔ7
膜		moʔ7
摸		mo1
党		tã3
汤		tʰõ1
托		tʰoʔ7
堂		tʰã2
糖		tʰã2
荡		tã5
郎		lã2
狼		lã2
浪		lã5
落		loʔ7
葬		tsã5
作		tsoʔ7
仓		tsʰõ1
凿		tsʰoʔ7
桑		sõ1
钢		kõ5
各		kʰoʔ7
糠		hõ1
抗		kã3
行	银~	hã2
航		hã2
恶	善~	oʔ7
娘		niõ2
凉		niõ2
粮		niõ2
两	~个	niõ3
两	几~	niõ3
浆		tɕiõ1
蒋		tɕiõ3
酱		tɕiõ5
雀		tɕʰioʔ7
枪		tɕʰiõ1
抢		tɕʰiõ3
墙		tɕʰiõ2
箱		ɕiõ1
想		ɕiõ3
削		ɕioʔ7
象		tɕʰiõ5
像	~不~	/
张		tsõ1
长	生~	tsã3
帐		tsõ5
着	穿~	tsoʔ7
着	睡~	tsʰoʔ7
长	~短	tsʰõ2
肠		tsʰõ2
丈		tsʰõ5
装		tsõ1
壮		tsõ5
疮		tsʰõ1
床		tsʰõ2
霜		sõ1
爽		sõ3
章		tsõ1
掌		tsõ3
昌		tsʰõ1
厂		tsʰõ3
唱		tsʰõ5
瓤		nõ2
让		niõ3
弱		nioʔ7
伤		sõ1
常		sõ2
尝		sõ2
上	~山	sõ1
上	~面	sõ3
姜	生~	tɕiõ1
脚		tɕioʔ7
强	~大	tɕʰiõ2
香		ɕiõ1
乡		ɕiõ1
响		ɕiã3
向		ɕiõ5
秧		iõ1
约		ioʔ7
羊		iõ2
杨		iõ2
痒		iõ1
样		iõ5
光		kuã1
郭		koʔ7
荒		hõ1
谎		huã3
黄		huã2
方		fõ1
放		hõ5
纺		fã3=/fõ3-
房		fõ2
网		mõ3
望		mõ5
筐		tɕʰiõ1
狂		kʰõ2
王		võ2
绑		/
剥		poʔ7
桌		tsoʔ7
戳		tsʰoʔ7
捉		tsoʔ7
窗		tsʰõ1
双		sõ1
江		kõ1
港		kã3
角		koʔ7
壳		kʰoʔ7
巷		hõ5
学		ɕioʔ7
北		pɛʔ7
墨		mɛʔ7
灯		təŋ1
等		təŋ3
得		tɛʔ7
藤		tʰəŋ2
特		tʰɛʔ7
能		nəŋ2
层		tsʰəŋ2
贼		tsʰɛʔ7
肯		həŋ3
刻		kʰɛʔ7
黑		hɛʔ7
冰		piŋ1
逼		piʔ7
力		niɛʔ7
熄		ɕiɛʔ7
直		tsʰɛʔ7
色		sɛʔ
蒸		tɕiŋ1
证		tsəŋ5
织		tsɛʔ7
称	一杆~	tɕʰiŋ5
绳		ɕiŋ2
食		sɛʔ7
升		ɕiŋ1
识		sɛʔ7
极		tɕiɛʔ7
兴	~旺	hiŋ1
兴	高~	hiŋ5
应	~当	iŋ1
应	~对	0iŋ5
蝇		iŋ2=/iŋ1-
国		koʔ7
百		paʔ7
伯		paʔ7
彭		pʰəŋ2
白		pʰaʔ7
猛		məŋ2
孟		məŋ5
撑		tsʰã1
拆		tsʰaʔ7
生		səŋ1=/sã1-
省		səŋ3
格		kaʔ7
坑		hã1
客		kʰaʔ7
硬		ŋã5
额		/
吓		haʔ7
行	~走	hã2
棚		pʰã2
麦		maʔ7
脉		maʔ7
摘		tsaʔ7
争		tsã1
隔		kaʔ7
兵		piŋ1
柄		piŋ3=/piã3-
平		pʰiŋ2
病		pʰiã5
明		miŋ2
命		miã5
镜		tɕiã5
迎		niã2
逆		niɛʔ7
影		iã3
饼		piã3
名		miã2
领		liã1
岭		liã1
精		tɕiŋ1
井		tɕiã3
脊		tɕiɛʔ7
清		tɕʰiŋ1
请		tɕʰiã3
情		tɕʰiŋ2
晴		tɕʰiã2
静		tɕʰiŋ5
姓		ɕiã5
惜		ɕiɛʔ7
程		tɕʰiŋ2
正		tsã5
只	一~鸡	tsaʔ7
尺		tsʰaʔ7
声		sã1
成		tɕʰiŋ2=/sã2-
石		saʔ7
颈		tɕiã3
轻		tɕʰiã1
赢		iã2
壁		piɛʔ7
瓶		pʰiŋ2
钉	铁~	tiã1
滴		tiɛʔ7
听	~见	tʰiã1
踢		tʰiɛʔ7
停		tʰiŋ2
定		tʰiã5
笛		tiɛʔ7
敌		tiɛʔ7
灵		liã2
青		tɕʰiã1
星		ɕiã1
醒		ɕiã3
锡		ɕiɛʔ7
经		tɕiŋ1
形		ɕiŋ2
矿		kʰõ5
横	~直	huəŋ2
轰		həŋ1
兄		ɕiã1
荣		ieŋ2
永		ieŋ3
倾		tɕʰiŋ3
琼		tɕʰieŋ2
营		iã2
役		iɛʔ7
篷		pʰəŋ2
蒙		məŋ2
木		moʔ7
东		təŋ1
懂		təŋ3
冻		təŋ5
通		tʰəŋ1
桶		tʰəŋ3
痛		tʰəŋ5
铜		tʰəŋ2
动		tʰəŋ1
洞		təŋ5
独		toʔ7
读		toʔ7
笼		ləŋ2
麓		loʔ7
棕		tsəŋ1
粽		tsəŋ5
葱		tsʰəŋ1
送		səŋ5
公		kəŋ1
工		kəŋ1
谷		koʔ7
空	~虚	kʰəŋ1
红		həŋ2
翁		vəŋ1
蕹		vəŋ5
屋		vuʔ7
冬		təŋ1
毒		tʰoʔ7
农		nəŋ2
脓		nəŋ2
宗		tsəŋ1
松	~紧	səŋ1
风		fəŋ1
福		foʔ7
冯		fəŋ2
凤		fəŋ5
服		foʔ7
梦		məŋ5
目		moʔ7
六		tiuʔ7
肃		soʔ7
中	~间	tsəŋ1
竹		tsoʔ7
虫		tsʰəŋ2
众		tsəŋ5
粥		tsoʔ7
铳		tsʰəŋ5
叔		suʔ7=/soʔ7-
熟		suʔ7
绒		ieŋ2
肉		niuʔ7
弓		kəŋ1
宫		kəŋ1
菊		tɕʰioʔ7
穷		tɕʰieŋ2
畜	~牧	ɕioʔ7=/soʔ7-
熊		ɕieŋ2
封		fəŋ1
蜂		fəŋ1
缝	裁~	fəŋ2
浓		nəŋ2
龙		ləŋ2
绿		liuʔ7=/loʔ7-
足		tɕioʔ7
从	~来	tsʰəŋ2
松	~树	səŋ2
俗		ɕioʔ7
重	~复	tsʰəŋ2
重	轻~	tsəŋ5
钟		tsəŋ1
肿		tsəŋ3
烛		tsoʔ7
冲		tsʰəŋ1
舂		səŋ1
辱		ioʔ7
供	~应	kəŋ1
拱		kəŋ3
恐		kʰəŋ3
曲		tɕʰioʔ7
共		kʰəŋ5
局		tɕʰioʔ7
玉		iʔ7
胸		ɕieŋ1
凶		ɕieŋ1
容		ieŋ2
用		ieŋ5
欲		ioʔ7
