#ɿ	
tsɿ1	之支芝枝1知1肢脂蜘豬咨滋貲資1指2{指甲}至3{夏至}制2{制服}子3嘴3
tsɿ3	仔止旨1指1紙至1志1子1紫嘴1錐
tsɿ5	旨2至2志2制1致智置製緻子2嘴2知2質2資2
tsʰɿ1	癡吹雌翅2{魚翅}刺2
tsʰɿ3	侈恥齒此1{此地}
tsʰɿ5	翅1{魚翅}此2{此地}次刺1
dzɿ2	池持1遲瓷慈磁1{磁石}辭治2
dzɿ6	治1痔磁2{磁石}
sɿ1	篩2施屍師獅詩世2{世界}筮梳1司1私1{私底下}思斯絲撕廝螄使3{按察使}水5{水漬}駟
sɿ3	賜1史使1始試2鼠2水1死3枝2{枝條子shoot}
sɿ5	賜2豕使2{若使，倘使}世1{世界}勢試1水2{水溝}四肆司2私2
zɿ2	持2鋤詞時蒔匙巳柿是3嗣2{嗣子}自2
zɿ4	士氏市1事2是1恃嗣1{立嗣兒子}
zɿ6	伺示市2似事1是2視誓寺祀自1字
#i	
pi1	閉2
pi3	比彼3{此唱彼和}鄙
pi5	庇閉1蔽臂秘逼2{催逼}
pʰi1	坯砒譬3{譬如}
pʰi3	譬2
pʰi5	譬1
bi2	鎞肥1{肥皂}皮枇疲嗶{當是“啤”字}琵脾1{脾氣}被3{單被}敝2{敝姓}
bi6	被1{被褥}陛敝1{敝國}婢避脾2{脾氣}
fi1	非飛1誹匪2{賊匪}
fi5	廢匪1{賊匪}肺費飛2{有點會飛}
vi2	肥2惟1{惟獨}未3
vi4	尾3{尾杷}
vi6	尾4{尾杷}未2味2惟2{惟獨}
mi2	迷彌未4
mi4	米
mi6	妹2{妹妹}未1味1
ti1	低底2{眼底無人}
ti3	氐抵底1{年底}
ti5	帝1{皇帝}
tʰi1	梯體3{事體}
tʰi3	體1
tʰi5	屜體2剃替
di2	堤提啼題地2{地方}第1{第個，近指代詞}
di4	弟1{衆弟兄}
di6	地1{地方}弟2{堂弟兄}遞隸第{次第}第2{近指代詞}帝2{皇帝}
li2	狸梨犁漓璃釐1{差之毫釐謬以千里}離籬裏2利2{利息}痢2{痢疾}蠣
li4	哩釐2{差以毫釐謬以千里}李里娌理裏1禮鯉
li6	淚1{眼淚}利1{利害}例戾荔俐莉痢1{痢疾}勵麗
tsi1	擠2祭2{謝恩祭}濟2{賙濟}姊3
tsi3	姊1左3擠1劑
tsi5	祭1際濟1{賙濟}姊2
tsʰi1	妻萋
dzi2	齊2{整齊}臍
si1	西犀些1絮
si3	死1洗1璽些2
si5	死2{該死}細些3婿
zi2	齊1{整齊}徐1{舒徐}
ki5	飢2{充飢}
ci1	飢1{呑飢忍餓}基箕機1{機會}雞雞譏饑奇2{奇偶}季2{月季花}計2{計策}寄2{寄信}繼2{相繼}
ci3	嘰己幾1{幾時}紀2{年紀}機2{機會}
ci5	幾2{幾幾乎}季1{月季花}計1{計策}紀1{年紀}記記{記翼，表示“翅膀”}旣寄1{寄信}繼1{繼父}
cʰi1	欺溪去3
cʰi3	起1豈啓
cʰi5	起2契氣棄1器去1
ɟi2	期其奇1祈棋旗1騎及2{來勿及}
ɟi4	技1{技巧}
ɟi6	技2{技藝}忌妓
çi1	熙犧
ɲi2	兒2{兒子}呢{大呢broad-cloth}呢語氣詞呢1{用於選擇問，表示{還是}}尼坭泥宜疑議
ɲi4	耳1{耳朶}呢2{用於選擇問，表示{還是}}你1擬伲1{我伲}尾1{尾把}蟻
ɲi6	餌二1{十二}伲2{我伲}膩尾2{尾杷}義藝兒5{兒子}
tɕʰi1	欺2棄3
tɕʰi5	棄2
dʑi2	旗2
ɕi1	希稀嘻嬉禧
ɕi3	喜
ɕi5	戲
ɦi2	姨1異2
ɦi6	係易1又1
i1	伊1衣依1醫夷移遺1儀彝
i3	已以1倚椅1
i5	以2意伊2依2姨2遺2易3異1裔又3
#u	
pu1	波玻菠簸
