i
p[1]陂{小水坝}[2]皮疲脾琵枇肥[3]比陛鄙彼[4]婢被{棉~}[5]弊敝蔽蓖滗篦闭畀{给}[6]币毙鼻避备庇痹被{~动}
pʰ[1]披纰飞[3]丕痞譬[5]屁
m[1]眯{眼半闭}[2]眉迷靡媚楣弥[3]糜[4]尾[5]秘泌沕{潜}[6]味谜未
f[1]非妃辉挥飞{又}[3]匪[5]费肺痱废
t[1]资姿咨[3]子紫姊梓嘀[6]地
tʰ[1]雌[3]此[5]次刺茨赐砌嚏
n[4]你尔汝拟[5]腻匿
l[1]□{毛~表示营养不良}[2]梨离璃篱厘狸[3]剺{撕}[4]李理鲤里{~程}[6]利厉励丽莉痢吏脷例蜊
θ[1]私丝思司[2]糍磁词辞鹚瓷慈祠嗣荠[3]死[4]巳祀[5]四肆膝{又}[6]自字牸寺伺饲
ʧ[1]知蜘痴支枝肢之芝栀兹滋[3]纸旨指趾止址脂[5]志至痣致智誌稚技妓滞置[6]治痔
ʧʰ[1]撕疵眵稽黐{黏}[2]蚩[3]齿始耻侈徙[5]翅嗤
ɲ[1]儿{小孩}[2]宜谊霓倪疑儿{~童节}[4]耳议[6]义二贰仪艺毅
ʃ[1]斯厮施师狮蛳诗尸[2]池驰匙迟时莳持[3]矢屎[4]是市[5]试誓逝式嗜恃视示似弃[6]氏豉士仕事侍
k[1]饥箕机肌讥[2]奇骑岐棋期旗其祁麒祈[3]己基几杞麂既[4]徛[5]寄继冀纪记季{四~}计{伙~}[6]鳍忌
kʰ[3]岂讫乞企	
h[1]希熙稀欺溪兮牺奚{百里~}[3]起启喜嬉[4]嘻[5]气系係戏器汽翳{伤心}
Ø[1]医衣依[2]移夷姨遗逸[3]椅倚[4]矣已以[5]意异忆肄薏瞖亿{又}[6]翼疫抑易{容~}

u
p[2]葫脯菩葡符{~咒，~号}[3]补斧[4]傅簿妇{新~，儿媳}[5]布怖[6]步部埠腐{~竹}
pʰ[1]铺[3]普谱甫圃浦蒲捕辅[5]铺瀑[6]讣赴
m[1]拇模{~子}[2]无毋[3]舞[4]武鹉母[6]暮幕慕墓募雾戊牧穆
f[1]夫呼肤敷枯乎[2]芙扶孵蝴符{~合}[3]虎苦浒府俯腑抚腐{~烂}[4]俘父[5]裤屏付赋富沪[6]互副负附咐驸护妇{~女}
v[1]污呜乌坞诬巫[2]胡湖糊壶[3]焐[4]侮户喔[6]误芋务悟恶{厌~}
