字	片	区	小片	方言点	声母	韵母	调值	调类	备注
丈	閩中區			三明(三元話)	t	iam	353	陽上	
丘	閩中區			三明(三元話)	kʰ	iɑu	553	陰平	
丹	閩中區			三明(三元話)	t	ŋ	553	陰平	
乖	閩中區			三明(三元話)	k	uɛ	553	陰平	
亦	閩中區			三明(三元話)	0	i	353	陽上	
亲	閩中區			三明(三元話)	tsʰ	ã	553	陰平	
人	閩中區			三明(三元話)	0/l	iã/ã	41	陽平	文讀，白讀。
他	閩中區			三明(三元話)	tʰ	ɒ	553	陰平	
付	閩中區			三明(三元話)	h	u	33	去聲	
仪	閩中區			三明(三元話)	ŋ	i	41	陽平	
伊	閩中區			三明(三元話)	0	i	553	陰平	
余	閩中區			三明(三元話)	0	y	41	陽平	
倍	閩中區			三明(三元話)	pʰ	uɛ	353	陽上	
候	閩中區			三明(三元話)	h	ø	41	陽平	
傅	閩中區			三明(三元話)	h	u	353	陽上	師傅。較適當本字應為奉母上聲的「父」。
像	閩中區			三明(三元話)	s	iam	353	陽上	
儒	閩中區			三明(三元話)	0	y	41	陽平	
兆	閩中區			三明(三元話)	t	iɯ	353	陽上	
共	閩中區			三明(三元話)	k	iam	33	去聲	
冬	閩中區			三明(三元話)	t	ã	553	陰平	
利	閩中區			三明(三元話)	l	i	33	去聲	
制	閩中區			三明(三元話)	ts	ɿ	33	去聲	
刺	閩中區			三明(三元話)	tsʰ	i/ɿ	33	去聲	
力	閩中區			三明(三元話)	l/ʃ	i/ia	353	陽上	勤力，單字讀。
努	閩中區			三明(三元話)	l	ɑu	41	陽平	
動	閩中區			三明(三元話)	t	ã	353	陽上	
匣	閩中區			三明(三元話)	h	ɯ	353	陽上	
千	閩中區			三明(三元話)	tsʰ	aiŋ	553	陰平	
单	閩中區			三明(三元話)	t	ŋ	553	陰平	
叉	閩中區			三明(三元話)	tsʰ	ɒ	553	陰平	
双	閩中區			三明(三元話)	s	ã	553	陰平	
古	閩中區			三明(三元話)	k	u	21	陰上	
后	閩中區			三明(三元話)	h	ø	353	陽上	
吳	閩中區			三明(三元話)	ŋ	u	41	陽平	
吼	閩中區			三明(三元話)	h	ø	21	陰上	
哽	閩中區			三明(三元話)	k	ɔ̃	21	陰上	
善	閩中區			三明(三元話)	ʃ	iaiŋ	353	陽上	
喬	閩中區			三明(三元話)	k	iɯ	41	陽平	
围	閩中區			三明(三元話)	0	yi	41	陽平	
圓	閩中區			三明(三元話)	0	yaiŋ	41	陽平	
地	閩中區			三明(三元話)	t	i	33	去聲	
坠	閩中區			三明(三元話)	t	ui	33	去聲	
声	閩中區			三明(三元話)	ʃ	iɔ̃/iã	553	陰平	
天	閩中區			三明(三元話)	tʰ	aiŋ	553	陰平	
夫	閩中區			三明(三元話)	h/p	u	553	陰平	文讀，丈夫。
奈	閩中區			三明(三元話)	l	a	33	去聲	
姑	閩中區			三明(三元話)	k	u	553	陰平	
姚	閩中區			三明(三元話)	0	iɯ	41	陽平	
威	閩中區			三明(三元話)	0	yi	553	陰平	
婆	閩中區			三明(三元話)	p	aɯ	41	陽平	
宜	閩中區			三明(三元話)	ŋ	iɛ/i	41	陽平	
宠	閩中區			三明(三元話)	tʰ	ã	21	陰上	
寄	閩中區			三明(三元話)	k	yo/i	33	去聲	
尾	閩中區			三明(三元話)	m	uɛ	21	陰上	
尿	閩中區			三明(三元話)	ŋ	iɯ	33	去聲	
巖	閩中區			三明(三元話)	ŋ	ɔ̃	41	陽平	
工	閩中區			三明(三元話)	k	ã	553	陰平	
左	閩中區			三明(三元話)	ts	aɯ	21	陰上	
巫	閩中區			三明(三元話)	0	u	553	陰平	
己	閩中區			三明(三元話)	0	i	21	陰上	
布	閩中區			三明(三元話)	p	u	33	去聲	
帐	閩中區			三明(三元話)	t	iam	33	去聲	
平	閩中區			三明(三元話)	p	iɔ̃/ã	41	陽平	文讀，很平，鏟平。
幼	閩中區			三明(三元話)	0	iɑu	33	去聲	
废	閩中區			三明(三元話)	ʃ	yi	33	去聲	
庭	閩中區			三明(三元話)	t	ã	41	陽平	
康	閩中區			三明(三元話)	kʰ	am	553	陰平	
开	閩中區			三明(三元話)	kʰ	uɛ/ia	553	陰平	十六開，白讀。
当	閩中區			三明(三元話)	t	am	553	陰平	
往	閩中區			三明(三元話)	0	m	21	陰上	
很	閩中區			三明(三元話)	h	ɛ̃	21	陰上	
