片	区	小片	方言点	声母	韵母	调值	调类	备注
严	粵西片		信宜錢排	ȵ	iam	23	陽平	文讀
久	粵西片		信宜錢排	k	iu	31	上聲	文讀
亏	粵西片		信宜錢排	kʰ	uei	34	陰平	文讀
井	粵西片		信宜錢排	ts	iaŋ	31	上聲	文讀
仙	粵西片		信宜錢排	s	ian	34	陰平	文讀
余	粵西片		信宜錢排	0	y	23	陽平	文讀
作	粵西片		信宜錢排	ts	ɔ	52	去聲	文讀
假	粵西片		信宜錢排	k	a	31	上聲	文讀
催	粵西片		信宜錢排	tsʰ	uei	34	陰平	文讀
傾	粵西片		信宜錢排	kʰ	in	34	陰平	文讀
免	粵西片		信宜錢排	m	ian	34	陰平	文讀
全	粵西片		信宜錢排	tsʰ	uan	23	陽平	文讀
兩	粵西片		信宜錢排	l	iɔŋ	34	陰平	文讀
冫	粵西片		信宜錢排	p	ən	34	陰平	文讀
判	粵西片		信宜錢排	pʰ	an	52	去聲	文讀
利	粵西片		信宜錢排	l	i	31	上聲	文讀
升	粵西片		信宜錢排	s	in	34	陰平	文讀
印	粵西片		信宜錢排	0	in	52	去聲	文讀
叔	粵西片		信宜錢排	s	ok	2	陰入	文讀
吸	粵西片		信宜錢排	kʰ	ip	2	陰入	文讀
告	粵西片		信宜錢排	k	ɔ	52	去聲	文讀
哥	粵西片		信宜錢排	k	ɔ	34	陰平	文讀
块	粵西片		信宜錢排	kʰ	uai	52	去聲	文讀
垕	粵西片		信宜錢排	h	əu	34	陰平	文讀
墳	粵西片		信宜錢排	f	un	23	陽平	文讀
妹	粵西片		信宜錢排	m	uai	52	去聲	文讀
姐	粵西片		信宜錢排	ts	ie	31	上聲	文讀
姑	粵西片		信宜錢排	k	u	34	陰平	文讀
孝	粵西片		信宜錢排	h	au	52	去聲	文讀
季	粵西片		信宜錢排	k	uei	52	去聲	文讀
害	粵西片		信宜錢排	h	uai	31	上聲	文讀
家	粵西片		信宜錢排	k	a	34	陰平	文讀
容	粵西片		信宜錢排	0	ioŋ	23	陽平	文讀
寸	粵西片		信宜錢排	tsʰ	un	52	去聲	文讀
尽	粵西片		信宜錢排	tsʰ	in	31	上聲	文讀
尾	粵西片		信宜錢排	m	uei	34	陰平	文讀
山	粵西片		信宜錢排	s	an	34	陰平	文讀
左	粵西片		信宜錢排	ts	ɔ	31	上聲	文讀
帐	粵西片		信宜錢排	ts	ɔŋ	52	去聲	文讀
幼	粵西片		信宜錢排	0	iu	52	去聲	文讀
张	粵西片		信宜錢排	ts	ɔŋ	34	陰平	文讀
得	粵西片		信宜錢排	t	ət	2	陰入	文讀
恩	粵西片		信宜錢排	0	ən	34	陰平	文讀
感	粵西片		信宜錢排	k	am	31	上聲	文讀
戴	粵西片		信宜錢排	t	ai	52	去聲	文讀
扁	粵西片		信宜錢排	p	ian	31	上聲	文讀
扫	粵西片		信宜錢排	s	ɔ	52	去聲	文讀
提	粵西片		信宜錢排	tʰ	i	23	陽平	文讀
敏	粵西片		信宜錢排	m	in	31	上聲	文讀
教	粵西片		信宜錢排	k	au	52	去聲	文讀
曉	粵西片		信宜錢排	h	iau	31	上聲	文讀
木	粵西片		信宜錢排	m	ok	2	陰入	文讀
朱	粵西片		信宜錢排	ts	y	34	陰平	文讀
梅	粵西片		信宜錢排	m	uai	23	陽平	文讀
梯	粵西片		信宜錢排	tʰ	i	34	陰平	文讀
步	粵西片		信宜錢排	pʰ	u	31	上聲	文讀
毛	粵西片		信宜錢排	m	ɔ	34	陰平	文讀
油	粵西片		信宜錢排	0	iu	23	陽平	文讀
潘	粵西片		信宜錢排	pʰ	an	34	陰平	文讀
灭	粵西片		信宜錢排	m	iat	4	陽入	文讀
燕	粵西片		信宜錢排	0	ian	52	去聲	文讀
王	粵西片		信宜錢排	v	ɔŋ	23	陽平	文讀
瓦	粵西片		信宜錢排	ŋ	a	31	上聲	文讀
田	粵西片		信宜錢排	tʰ	ian	23	陽平	文讀
盖	粵西片		信宜錢排	k	uai	52	去聲	文讀
破	粵西片		信宜錢排	pʰ	ɔ	52	去聲	文讀
社	粵西片		信宜錢排	s	a	34	陰平	文讀
禮	粵西片		信宜錢排	l	i	23	陽平	文讀
禾	粵西片		信宜錢排	v	ɔ	23	陽平	文讀
穅	粵西片		信宜錢排	h	ɔŋ	34	陰平	文讀
突	粵西片		信宜錢排	tʰ	ut	4	陽入	文讀
章	粵西片		信宜錢排	ts	ɔŋ	34	陰平	文讀
節	粵西片		信宜錢排	ts	iat	2	陰入	文讀
粗	粵西片		信宜錢排	tsʰ	u	34	陰平	文讀
粪	粵西片		信宜錢排	p	un	52	去聲	文讀
絝	粵西片		信宜錢排	kʰ	u	52	去聲	文讀
緊	粵西片		信宜錢排	k	in	31	上聲	文讀
纠	粵西片		信宜錢排	t	əu	31	上聲	文讀
纺	粵西片		信宜錢排	f	ɔŋ	31	上聲	文讀
翁	粵西片		信宜錢排	0/0	ioŋ/oŋ	34/34	陰平/陰平	白讀<br>文讀
老	粵西片		信宜錢排	l	ɔ	31	上聲	文讀
肉	粵西片		信宜錢排	ȵ	iok	2	陰入	文讀
胃	粵西片		信宜錢排	v	ei	52	去聲	文讀
胡	粵西片		信宜錢排	f/pʰ	u/u	23/23	陽平/陽平	文讀<br>白讀
莧	粵西片		信宜錢排	h	an	31	上聲	文讀
袄	粵西片		信宜錢排	0	ɔ	52	去聲	文讀
袴	粵西片		信宜錢排	kʰ	u	52	去聲	文讀
角	粵西片		信宜錢排	k	ɔk	2	陰入	文讀
謌	粵西片		信宜錢排	k	ɔ	34	陰平	文讀
謙	粵西片		信宜錢排	kʰ	iam	34	陰平	文讀
语	粵西片		信宜錢排	ȵ/ȵ	y/y	34/52	陰平/去聲	老音<br>新音
说	粵西片		信宜錢排	s	uat	2	陰入	文讀
谦	粵西片		信宜錢排	kʰ	iam	34	陰平	文讀
象	粵西片		信宜錢排	s	iɔŋ	31	上聲	文讀
賭	粵西片		信宜錢排	t	u	31	上聲	文讀
败	粵西片		信宜錢排	pʰ	ai	31	上聲	文讀
货	粵西片		信宜錢排	f	ɔ	52	去聲	文讀
运	粵西片		信宜錢排	0	yun	31	上聲	文讀
透	粵西片		信宜錢排	tʰ	əu	52	去聲	文讀
酒	粵西片		信宜錢排	ts	iu	31	上聲	文讀
金	粵西片		信宜錢排	k	im	34	陰平	文讀
露	粵西片		信宜錢排	l	u	52	去聲	文讀
飞	粵西片		信宜錢排	f	uei	34	陰平	文讀
體	粵西片		信宜錢排	tʰ	i	31	上聲	文讀
鬼	粵西片		信宜錢排	k	uei	31	上聲	文讀
魚	粵西片		信宜錢排	ȵ	y	23	陽平	文讀
鱼	粵西片		信宜錢排	ȵ	y	23	陽平	文讀
鵝	粵西片		信宜錢排	ŋ	ɔ	23	陽平	文讀
鸟	粵西片		信宜錢排	ȵ/t	iau/iau	34/34	陰平/陰平	文讀<br>白讀
鸭	粵西片		信宜錢排	0	ap	2	陰入	文讀
鹵	粵西片		信宜錢排	l	u	23	陽平	文讀
黑	粵西片		信宜錢排	h	ət	2	陰入	文讀
一	粤西片		信宜钱排	0	it	2	阴入	文读
七	粤西片		信宜钱排	tsʰ	it	2	阴入	文读
丄	粤西片		信宜钱排	s	ɔŋ	34	阴平	文读
丅	粤西片		信宜钱排	h	a	34	阴平	文读
丈	粤西片		信宜钱排	tsʰ	ɔŋ	31	上声	文读
上	粤西片		信宜钱排	s	ɔŋ	31	上声	文读
下	粤西片		信宜钱排	h	a	34	阴平	文读
不	粤西片		信宜钱排	p	ut	2	阴入	文读
世	粤西片		信宜钱排	s	ei	52	去声	文读
丗	粤西片		信宜钱排	s	ei	52	去声	文读
丘	粤西片		信宜钱排	kʰ	iu	34	阴平	文读
业	粤西片		信宜钱排	ȵ	iap	4	阳入	文读
东	粤西片		信宜钱排	t	oŋ	34	阴平	文读
丝	粤西片		信宜钱排	s	u	34	阴平	文读
