o
p[1]波菠簸玻[3]簸跛[5]播[2]钵拨博剥驳崩薄钹勃薄
pʰ[1]坡[5]破[2]剖泼婆
m[1]摹摸[3]抹[5]磨[2]魔模沫末没莫膜寞
t[1]多朵[3]躲剁[5]舵垜镀[2]夺
f[2]说杓芍
l[1]啰[3]裸[5]挪糯诺摞络[2]锣箩罗萝骡螺脶落洛烙骆酪
Ǿ[1]蜗阿窝倭[3]斡[5]卧[2]物握沃
tʰ[1]拖[3]妥椭[5]唾[2]脱托驼驮陀
tʂ[2]着卓琢着捉酌
s[1]蓑梭唆[3]锁琐所[5]戍[2]率索朔索
ts[3]左佐[5]坐座藉[2]作凿昨
tsʰ[1]搓锉[5]措错[2]撮
tʂʰ[2]戳拙绰
ʂ[5]术[2]赎熟淑属蜀
k[1]歌哥锅戈[3]粿裹[5]个过[2]鸽割葛间阁角
ʐ[2]擩若弱肉
kʰ[1]搁科棵[3]可颗[5]课[2]窠磕渴壳
x[1]呵[5]贺[2]荷何河荷鹤
ŋ[3]我[5]饿讹[2]蛾鹅俄腭肮恶央

ᴀ
p[1]巴疤把[5]欛坝霸耙耙罢[2]爸坝八拔
pʰ[5]怕帕[2]爬琶杷簰
m[1]妈[3]马码[5]骂[2]麻
t[3]打[5]大[2]答搭大达
f[3]耍[2]法发罚伐筏
l[1]拉[3]哪[5]那[2]拿纳捺蜡腊辣
tʰ[1]他[2]踏搨塔塌榻獭
tʂ[1]楂渣栅[5]诈榨炸乍[2]扎闸煠铡
s[3]洒傻洒[2]撒
ts[2]杂眨札
tsʰ[2]擦插
tʂʰ[1]差[5]岔[2]搽择叉察查
ʂ[1]萨沙纱痧杉[2]杀煞删
k[3]尬
ʐ[2]热
x[5]吓花吓下

u
p[3]补捕[5]布怖部簿步
pʰ[3]谱普浦脯甫[5]铺铺[2]卜朴扑仆蒲菩脯仆曝瀑赴
m[3]母拇牡[5]墓暮慕募幕牧[2]模木目穆
t[1]都[3]堵赌肚[5]肚杜度渡[2]督笃毒独读牍犊毒
f[1]夫肤敷麸孵书输[3]斧府腑俯抚釜腐辅鼠[5]傅付赋咐废富副扶父附负妇树戽[2]福复幅蝠腹俘佛芳覆符芙浮服伏袱
l[3]努鲁橹卤虏[5]怒路露[2]奴炉芦赂律禄六陆
v[1]巫诬[3]舞武侮[5]戊雾
Ǿ[1]乌污[3]鹉五午伍[5]务误恶[2]无吴梧蜈吾悟屋
tʰ[3]土吐[5]兔[2]秃途图徒涂屠突
tʂ[1]猪蛛诛珠朱[3]阻煮主注[5]株驻注苎箸柱住助蛀铸[2]着竹筑冢橱浊逐轴镯祝粥烛嘱触
s[1]苏酥疏梳蔬舒[5]素塑诉数漱庶
ts[1]租祖[3]组[5]做[2]卒
tsʰ[1]粗初[3]楚[5]醋[2]猝促族雏
tʂʰ[3]拄础处杵处[2]畜除储厨朮锄出畜
ʂ[1]枢殊[3]暑黍墅薯署[5]述恕竖[2]叔束
k[1]姑孤[3]古估鼓牯股[5]故固雇顾[2]骨谷
ʐ[3]汝乳辱[2]儒入褥
kʰ[1]箍[3]苦[5]库裤[2]窟酷哭曲
x[3]虎[5]户沪护互[2]忽湖胡糊壶狐乎核

ei
p[1]偝卑碑悲[5]贝辈背倍佩背焙婢
pʰ[1]批披[3]坯胚[5]沛配譬[2]培陪赔裴
m[3]每美没[5]妹昧媚寐[2]媒梅煤枚楣霉
