"来源：鲍厚星.湖南邵阳方言音系[J].方言,1989(3):196-207."						
"轉錄者：DaiDzao"						
"拼音"	"IPA"	"調號"	"調值"	"單字"		"1阴平55，2阳平12，3上声42，5阴去35，6阳去24，7入声33"
	"u"	1	55	"乌污沃诬"		
	"u"	3	42	"五伍午武舞侮鹉"		
	"u"	5	35	"误悟握"		
	"u"	7	33	"屋获"		
	"ny"	3	42	"吕旅"		
	"ny"	5	35	"虑滤律"		
	"ʨy"	1	55	"猪诸居车[~马炮]诛朱蛛株硃珠"		
	"ʨy"	3	42	"主煮举矩柱"		
	"ʨy"	5	35	"著据锯驻註注蛀铸拘句剧"		
	"ʨy"	7	33	"局菊橘"		
	"ʨʰy"	1	55	"区驱趋蛆黢[~黑]"		
	"ʨʰy"	3	42	"处[相~]取杵"		
	"ʨʰy"	6	24	"趣去处[~所]"		
	"ʨʰy"	7	33	"出屈曲"		
	"ʥy"	2	12	"徐除储薯厨瞿"		
	"ʥy"	6	24	"序叙绪渠巨拒距聚娶柱住具俱惧苎[~麻]"		
	"ȵy"	3	42	"女"		
	"ɕy"	1	55	"书舒虚墟嘘须鬚[鬍~]需输吁[长~短叹]"		
	"ɕy"	3	42	"署鼠黍署许髓"		
	"ɕy"	5	35	"絮庶恕戍畜[~牧]蓄"		
	"ɕy"	7	33	"戌"		
	"ʑy"	2	12	"如鱼渔余儒于盂於[在~]愚虞娱殊"		
	"ʑy"	6	24	"竖树入"		
	"y"	1	55	"淤"		
	"y"	3	42	"雨宇禹羽汝语乳与"		
	"y"	5	35	"御誉预豫遇寓芋喻愈榆逾愉裕域疫役玉狱欲浴育郁"		
	"pɑ"	1	55	"巴芭疤爸"		
	"pɑ"	3	42	"把"		
	"pɑ"	5	35	"霸欛壩坝"		
	"pɑ"	7	33	"八"		
	"pʰɑ"	1	55	"~[烂:把肉蒸~]"		
	"pʰɑ"	6	24	"怕"		
	"pʰɑ"	7	33	"拔帕"		
	"bɑ"	2	12	"爬琶杷钯耙"		
	"bɑ"	6	24	"罢"		
	"mɑ"	1	55	"妈"		
	"mɑ"	2	12	"麻麻蟆[虾~]"		
	"mɑ"	3	42	"马码"		
	"mɑ"	5	35	"骂"		
	"mɑ"	7	33	"抹"		
	"fɑ"	1	55	"花"		
	"fɑ"	5	35	"化伐筏"		
	"fɑ"	7	33	"发罚法乏"		
	"vɑ"	2	12	"华[中~,~山]铧划[~船]桦"		
	"vɑ"	6	24	"画话袜"		
	"tɑ"	3	42	"打"		
	"tɑ"	7	33	"答塔达褡"		
	"tʰɑ"	1	55	"他"		
	"tʰɑ"	6	24	"杳[一~纸]"		
	"tʰɑ"	7	33	"獭塔榻塌拓踏"		
	"dɑ"	6	24	"大"		
	"nɑ"	1	55	"拉挪"		
	"nɑ"	2	12	"拿"		
	"nɑ"	3	42	"哪"		
	"nɑ"	5	35	"那"		
	"nɑ"	7	33	"捺辣腊蜡镴纳"		
	"tsɑ"	1	55	"遮-渣"		
	"tsɑ"	3	42	"札紮"		
	"tsɑ"	5	35	"诈榨炸[~弹]乍蔗"		
	"tsɑ"	7	33	"隻-[一~]铡劄眨闸杂炸[油~]"		
	"tsʰɑ"	1	55	"叉杈差车- "		
	"tsʰɑ"	3	42	"扯-"		
	"tsʰɑ"	6	24	"岔"		
	"tsʰɑ"	7	33	"察擦插"		
	"dzɑ"	2	12	"茶搽查"		
	"sɑ"	1	55	"沙纱奢-赊-"		
	"sɑ"	3	42	"傻撒萨捨-"		
	"sɑ"	5	35	"石-"		
	"sɑ"	7	33	"杀"		
	"zɑ"	2	12	"蛇-佘-"		
	"zɑ"	3	42	"惹-"		
	"kɑ"	1	55	"家-"		
	"kɑ"	2	12	"痂-"		
	"kɑ"	3	42	"~[~里~气(神气十足)]"		
	"kɑ"	5	35	"嫁-架-"		
	"kɑ"	7	33	"夹-裌-胛"		
	"kʰɑ"	1	55	"掐-[~脖子]"		
	"kʰɑ"	3	42	"卡"		
	"kʰɑ"	6	24	"胯"		
	"kʰɑ"	7	33	"掐[用拇指和另一个指头使劲捏]"		
	"ŋɑ"	1	55	"~[~呵欠]~[~开:~档裤]"		
	"ŋɑ"	2	12	"牙-芽-伢"		
	"ŋɑ"	3	42	"哑-"		
	"ŋɑ"	5	35	"砑轧[~棉花]"		
	"ŋɑ"	7	33	"鸭"		
	"xɑ"	1	55	"虾-[鱼~]𨉣[~腰]"		
	"xɑ"	3	42	"蛤[~蜊]蟹-~[傻]"		
	"xɑ"	5	35	"嚇[~一跳]"		
	"xɑ"	7	33	"瞎- "		
	"ɣɑ"	2	12	"虾[~蟆]"		
	"ɣɑ"	5	35	"轭[牛~]"		
	"ɑ"	1	55	"阿"		
	"piɑ"	1	55	"~[~直:很直]"		
	"piɑ"	3	42	"~[象声词]"		
	"pʰiɑ"	3	42	"劈-~[~他两个耳光]"		
	"tiɑ"	1	55	"爹[~~:祖父]"		
	"tiɑ"	5	35	"滴-[~水]嗲[娇气]"		
	"tʰiɑ"	7	33	"~[捆;系]"		
	"diɑ"	2	12	"提-[~水]"		
	"niɑ"	1	55	"~[碰撞:把凳子~倒了]"		
	"ʨiɑ"	1	55	"家=加嘉佳傢"		
	"ʨiɑ"	3	42	"假贾[姓]姐-"		
	"ʨiɑ"	5	35	"架=嫁=驾稼价"		
	"ʨiɑ"	7	33	"甲夹=裌=~[涩]"		
	"ʨʰiɑ"	1	55	"掐="		
	"ʨʰiɑ"	7	33	"恰吃"		
	"ʥiɑ"	2	12	"茄-斜-邪-瘸[手冻~咖哩]"		
	"ʥiɑ"	6	24	"屐[~子]~[跨:~门坎]"		
	"ȵiɑ"	1	55	"粘[~板:拖鞋]"		
	"ȵiɑ"	2	12	"黏[~起]"		
	"ȵiɑ"	5	35	"日[交合]"		
	"ɕiɑ"	1	55	"虾="		
	"ɕiɑ"	5	35	"泻-"		
	"ɕiɑ"	7	33	"狭峡匣辖瞎="		
	"ʑiɑ"	2	12	"霞瑕遐暇涯衙爷-[父亲]"		
	"ʑiɑ"	6	24	"下[底~]下[~降]夏厦[~门]"		
	"iɑ"	1	55	"鸦丫桠亚"		
	"iɑ"	3	42	"哑=雅耶野-"		
	"iɑ"	5	35	"夜-"		
	"iɑ"	7	33	"押压"		
	"tsuɑ"	1	55	"抓"		
	"tsuɑ"	5	35	"啄"		
	"tsuɑ"	7	33	"~[帽子~~:帽檐]"		
	"dzuɑ"	2	12	"~[~子:用来聚拢或散开柴草、谷物的农具]"		
	"suɑ"	3	42	"耍厦[偏~]"		
	"suɑ"	7	33	"刷"		
	"zuɑ"	5	35	"~[掷:~色子]"		
	"kuɑ"	1	55	"瓜"		
	"kuɑ"	3	42	"寡剮"		
	"kuɑ"	5	35	"挂卦褂"		
	"kuɑ"	7	33	"括刮"		
	"kʰuɑ"	1	55	"夸跨"		
	"kʰuɑ"	3	42	"垮蒯"		
	"uɑ"	1	55	"蛙挖鸹[老~:乌鸦]"		
	"uɑ"	3	42	"瓦"		
	"uɑ"	5	35	"窪滑猾划[计~]"		
	"po"	1	55	"波菠玻"		
	"po"	3	42	"跛"		
	"po"	5	35	"簸薄[厚~]"		
	"po"	7	33	"钵拨博缚剥驳"		
	"pʰo"	1	55	"坡"		
	"pʰo"	3	42	"颇"		
	"pʰo"	6	24	"破"		
	"pʰo"	7	33	"泼勃钹"		
	"bo"	2	12	"婆"		
	"bo"	6	24	"薄[~荷]"		
	"mo"	1	55	"摸"		
	"mo"	2	12	"魔磨[~刀]摩馍模[~范,~子]摹[~仿]膜"		
	"mo"	3	42	"母拇"		
