"来源：鲍厚星.湖南邵阳方言音系[J].方言,1989(3):196-207."						
"轉錄者：DaiDzao"						
"拼音"	"IPA"	"調號"	"調值"	"單字"		"1阴平55，2阳平12，3上声42，5阴去35，6阳去24，7入声33"
	"pʰiau"	3	42	"漂[~白]"		
	"pʰiau"	6	24	"漂[~亮]票"		
	"biau"	2	12	"嫖瓢"		
	"miau"	2	12	"苗描猫"		
	"miau"	3	42	"藐渺秒"		
	"miau"	5	35	"庙妙谬"		
	"tiau"	1	55	"刁貂雕"		
	"tiau"	3	42	"鸟-"		
	"tiau"	5	35	"钓吊掉"		
	"tʰiau"	1	55	"挑"		
	"tʰiau"	3	42	"跳粜"		
	"diau"	2	12	"条调[~和]"		
	"diau"	1	24	"调[音~,~动]"		
	"niau"	1	55	"~[碰撞]~[跷:脚~起]"		
	"niau"	2	12	"燎疗辽撩瞭聊寥"		
	"niau"	3	42	"了"		
	"niau"	5	35	"料廖"		
	"ʨiau"	1	55	"交郊胶焦蕉椒骄娇矫浇"		
	"ʨiau"	3	42	"绞狡铰较搅剿缴侥"		
	"ʨiau"	5	35	"教[~育]叫醮[打~]"		
	"ʨʰiau"	1	55	"锹悄缲[~边]"		
	"ʨʰiau"	3	42	"巧"		
	"ʨʰiau"	6	24	"俏窍"		
	"ʥiau"	2	12	"樵瞧乔侨桥荞"		
	"ʥiau"	6	24	"轿"		
	"ȵiau"	2	12	"尧"		
	"ȵiau"	3	42	"鸟=杳[~无音信]"		
	"ȵiau"	5	35	"尿"		
	"ɕiau"	1	55	"消宵霄硝销鞘嚣萧箫["		
	"ɕiau"	3	42	"小晓"		
	"ɕiau"	5	35	"孝笑"		
	"ʑiau"	2	12	"摇谣窑姚肴淆"		
	"ʑiau"	6	24	"效校[学~,上~,~对]"		
	"iau"	1	55	"妖邀腰要[~求]么[~二三]吆[~喝]"		
	"iau"	3	42	"舀咬="		
	"iau"	5	35	"耀要[重~]鹞[~鹰]"		
	"məɯ"	2	12	"谋"		
	"məɯ"	3	42	"某亩牡"		
	"məɯ"	5	35	"茂贸"		
	"fəɯ"	3	42	"否吼"		
	"təɯ"	1	55	"兜"		
	"təɯ"	3	42	"斗[一~米]抖陡"		
	"təɯ"	5	35	"斗[~争]"		
	"təɯ"	1	55	"偷"		
	"təɯ"	3	42	"㪗[~开,~气]"		
	"təɯ"	6	24	"透"		
	"dəɯ"	2	12	"头投"		
	"dəɯ"	6	24	"豆逗"		
	"nəɯ"	2	12	"楼"		
	"nəɯ"	3	42	"篓缕屡搂"		
	"nəɯ"	5	35	"漏陋"		
	"tsəɯ"	1	55	"邹周舟州洲"		
	"tsəɯ"	3	42	"走肘帚"		
	"tsəɯ"	5	35	"奏昼皱绉咒"		
	"tsʰəɯ"	1	55	"抽搊[~起来]"		
	"tsʰəɯ"	3	42	"丑醜"		
	"tsʰəɯ"	6	24	"凑臭"		
	"dzəɯ"	2	12	"绸稠愁仇筹售酬"		
	"dzəɯ"	6	24	"纣[桀~]宙骤"		
	"səɯ"	1	55	"搜飕馊蒐[~集]收"		
	"səɯ"	3	42	"手守首叟"		
	"səɯ"	5	35	"嗽[咳~]瘦兽"		
	"zəɯ"	2	12	"柔揉"		
	"zəɯ"	6	24	"受寿授肉-"		
	"kəɯ"	1	55	"勾钩沟阉[拈~]"		
	"kəɯ"	3	42	"狗苟"		
	"kəɯ"	5	35	"够构购媾"		
	"kʰəɯ"	1	55	"抠眍"		
	"kʰəɯ"	3	42	"口"		
	"kʰəɯ"	6	24	"叩[~头]扣[~住]寇"		
	"ŋəɯ"	1	55	"欧瓯"		
	"ŋəɯ"	3	42	"藕偶[配~,~然]呕[~吐]"		
	"ŋəɯ"	5	35	"沤怄"		
	"ɣəɯ"	2	12	"侯喉猴浮-"		
	"ɣəɯ"	6	24	"後[~來]厚后候"		
	"tiəɯ"	1	55	"丢"		
	"tʰiəɯ"	6	24	"~[跟着:莫~到我]"		
	"niəɯ"	1	55	"溜馏榴[石~]"		
	"niəɯ"	2	12	"流硫[~黄]琉[~璃]留刘"		
	"niəɯ"	3	42	"柳"		
	"niəɯ"	5	35	"六-陆-"		
	"ʨiəɯ"	1	55	"鸠纠究咎灸"		
	"ʨiəɯ"	3	42	"酒久九韭"		
	"ʨiəɯ"	5	35	"救枢"		
	"ʨʰiəɯ"	1	55	"秋丘"		
	"ʥiəɯ"	2	12	"囚泅求球"		
	"ʥiəɯ"	3	42	"舅臼就旧"		
	"ȵiəɯ"	2	12	"牛"		
	"ȵiəɯ"	3	42	"纽扭"		
	"ɕiəɯ"	1	55	"修羞休"		
	"ɕiəɯ"	3	42	"朽"		
	"ɕiəɯ"	5	35	"秀绣锈袖"		
	"ɕiəɯ"	7	33	"粟"		
	"ʑiəɯ"	2	12	"尤邮由油游犹"		
	"iəɯ"	1	55	"优优悠幽"		
	"iəɯ"	3	42	"有友酉莠"		
	"iəɯ"	5	35	"幼又右佑柚釉诱"		
	"pən"	1	55	"奔崩"		
	"pən"	3	42	"本"		
	"pʰən"	1	55	"烹"		
	"pʰən"	6	24	"喷[~香]"		
	"bən"	2	12	"盆彭膨"		
	"bən"	6	24	"笨"		
	"mən"	2	12	"门"		
	"mən"	5	35	"闷"		
	"fən"	1	55	"昏婚分芬荤晕=浑[~浊]"		
	"fən"	3	42	"粉纷"		
	"fən"	5	35	"喷[~水]愤忿粪奋"		
	"vən"	2	12	"魂馄焚坟豶[母猪]文纹蚊闻横[~直,~蛮]"		
	"vən"	6	24	"混[相~]问份[一~]"		
	"tən"	1	55	"敦墩登灯瞪"		
	"tən"	3	42	"等"		
	"tən"	5	35	"顿凳盾[矛~]"		
	"tʰən"	1	55	"吞"		
	"dən"	2	12	"屯饨囤沌臀腾誊藤"		
	"dən"	6	24	"钝邓遁"		
	"nən"	2	12	"伦沦轮崙[崑~]论[~语]楞能"		
	"nən"	3	42	"冷"		
	"nən"	5	35	"论[议~]嫩"		
	"tsən"	1	55	"珍真尊遵蹲=曾增僧征蒸惩贞侦正[~月]争筝针斟棒臻肫[~肝]"		
	"tsən"	3	42	"枕整诊疹拯"		
	"tsən"	5	35	"镇俊正政证症振震浚[~河]"		
	"tsʰən"	1	55	"村称[~呼]"		
	"tsʰən"	6	24	"趁付寸衬称[相~]撑撐"		
	"dzən"	2	12	"层澄[~清]橙[~子]绳沉承丞呈程逞成城诚陈尘存旬荀循巡曾[~经]臣"		
	"dzən"	6	24	"阵赠郑澄[~一~]乘"		
	"sən"	1	55	"身申伸娠孙僧升声生牲笙甥森参[人~]深["		
	"sən"	3	42	"损笋㔼省[~长,节~,反~]沈审婶"		
	"sən"	5	35	"圣肾殉渗胜[~败,~任]"		
	"zən"	2	12	"辰晨唇壬人仁神"		
	"zən"	3	42	"忍刃韧"		
	"zən"	6	24	"慎认仍盛[兴~]甚任[责~]任[姓]剩纴[缝~]"		
	"kən"	1	55	"跟根庚羹耕更[~正]"		
	"kən"	3	42	"耿粳[~米]哽[骨~在喉]"		
	"kən"	5	35	"更[~加]"		
	"kʰən"	1	55	"坑"		
	"kʰən"	3	42	"恳垦肯"		
	"ŋən"	1	55	"恩"		
	"ŋən"	5	35	"硬"		
	"xən"	1	55	"亨"		
	"xən"	3	42	"很"		
	"ɣən"	2	12	"痕衡恒"		
	"ɣən"	6	24	"恨杏"		
	"pin"	1	55	"彬宾槟[~榔]殡鬓冰兵"		
	"pin"	3	42	"禀丙秉柄饼"		
	"pʰin"	1	55	"拼姘[~头]"		
	"pʰin"	3	42	"品"		
	"pʰin"	6	24	"聘弼"		
	"bin"	2	12	"贫频凭平坪评瓶屏萍"		
	"bin"	6	24	"并併病"		
	"min"	2	12	"民闽鸣明盟名铭"		
	"min"	3	42	"悯敏抿皿"		
	"min"	5	35	"命"		
	"tin"	1	55	"丁钉疔汀"		
	"tin"	3	42	"顶鼎"		
	"tin"	5	35	"订[~约]"		
	"tʰin"	1	55	"厅"		
	"tʰin"	3	42	"艇挺"		
	"tʰin"	6	24	"听"		
	"din"	2	12	"亭停廷庭蜓"		
	"din"	6	24	"定锭"		
	"nin"	2	12	"林淋临邻麟鳞磷陵凌菱灵零铃伶拎翎"		
	"nin"	3	42	"领岭檩"		
	"nin"	5	35	"令另"		
	"nin"	6	24	"吝="		
	"ʨin"	1	55	"今金津巾筋茎京荆惊精晶睛经"		
	"ʨin"	3	42	"锦紧谨警井景颈="		
	"ʨin"	5	35	"禁襟镜竟敬境竞劲进晋经[~纱]径"		
	"ʨʰin"	1	55	"钦亲清轻青蜻卿"		
	"ʨʰin"	3	42	"请寝揿[按]"		
	"ʨʰin"	6	24	"侵浸亲[~家]庆磐"		
	"ʥin"	2	12	"寻琴禽擒秦勤芹情晴擎鲸岑"		
	"ʥin"	6	24	"尽[~心,~先]仅近静靖净"		
	"ȵin"	2	12	"吟"		
	"ȵin"	5	35	"赁"		
	"ɕin"	1	55	"心辛新薪欣兴[~旺]星腥馨"		
	"ɕin"	3	42	"醒"		
	"ɕin"	5	35	"信讯兴[高~]性姓迅衅"		
	"ʑin"	2	12	"寅形型刑银行[~为,品~]盈赢"		
	"ʑin"	6	24	"幸"		
	"in"	1	55	"音阴荫因姻洇殷鹰莺鹦婴缨英淫"		
	"in"	3	42	"引影饮[~酒,~马]隐颖"		
	"in"	5	35	"应[~当,~对]映印"		
	"kuən"	3	42	"滚"		
	"kuən"	5	35	"棍"		
	"kʰuən"	1	55	"昆崑坤"		
	"kʰuən"	3	42	"捆"		
	"kʰuən"	6	24	"困"		
	"uən"	1	55	"温瘟"		
	"uən"	3	42	"稳吻勿"		
	"uən"	5	35	"瓮"		
	"ʨyn"	1	55	"君军均钧"		
	"ʨyn"	3	42	"准"		
	"ʨʰyn"	1	55	"春椿"		
	"ʨʰyn"	3	42	"顷倾蠢"		
	"ʥyn"	2	12	"琼群裙"		
	"ʥyn"	6	24	"菌窘郡"		
	"ɕyn"	1	55	"熏薰勋"		
	"ɕyn"	5	35	"训"		
	"ʑyn"	2	12	"萤营荣云蝇纯匀醇"		
	"ʑyn"	6	24	"顺闰润孕"		
	"yn"	1	55	"晕-"		
	"yn"	3	42	"永允尹冗"		
	"yn"	5	35	"泳咏熨韵运"		
	"puŋ"	1	55	"绷[~子床]"		
	"puŋ"	5	35	"~[凸:脸上的骨头~起]"		
	"pʰuŋ"	1	55	"~[蓬:头发~起]"		
	"pʰuŋ"	3	42	"捧"		
	"pʰuŋ"	6	24	"碰"		
	"buŋ"	2	12	"篷蓬棚朋"		
	"muŋ"	1	55	"蒙[把头~起]"		
	"muŋ"	2	12	"蒙萌"		
	"muŋ"	3	42	"懵[~懂]"		
	"muŋ"	5	35	"梦"		
	"tuŋ"	1	55	"冬东蹲-"		
	"tuŋ"	3	42	"董懂"		
	"tuŋ"	5	35	"冻栋"		
	"tʰuŋ"	1	55	"通"		
	"tʰuŋ"	3	42	"统桶捅"		
	"tʰuŋ"	6	24	"痛"		
	"duŋ"	2	12	"同铜桐筒童瞳"		
	"duŋ"	6	24	"动洞"		
	"nuŋ"	1	55	"聋"		
	"nuŋ"	2	12	"龙珑隆农脓笼"		
	"nuŋ"	3	42	"陇拢"		
	"nuŋ"	5	35	"弄"		
	"tsuŋ"	1	55	"钟盅中忠终宗综鬃"		
	"tsuŋ"	3	42	"种[~类,~树]肿总冢"		
	"tsuŋ"	5	35	"踪纵[~横,放~]中[射~]众粽"		
	"tsʰuŋ"	1	55	"冲舂充聪匆葱囱[烟~]"		
	"tsʰuŋ"	3	42	"宠"		
	"tsʰuŋ"	6	24	"铳"		
	"dzuŋ"	2	12	"从[~容,跟~]重[~复]虫崇穷丛"		
	"dzuŋ"	6	24	"诵颂讼重[轻~]仲"		
	"suŋ"	1	55	"松嵩"		
	"suŋ"	3	42	"怂"		
	"suŋ"	5	35	"宋送"		
	"kuŋ"	1	55	"恭躬宫弓公蚣工功攻"		
	"kuŋ"	3	42	"拱[~手]巩汞"		
	"kuŋ"	5	35	"贡供[~给,~养]"		
	"kʰuŋ"	1	55	"空[~虚]"		
	"kʰuŋ"	3	42	"恐孔"		
	"kʰuŋ"	6	24	"控空[~缺]"		
	"guŋ"	3	42	"共"		
	"xuŋ"	1	55	"封峰锋蜂风枫疯丰讽烘轰"		
	"xuŋ"	3	42	"哄[~骗,起~]"		
	"xuŋ"	5	35	"哄[兴~(容易轻信)]"		
	"ɣuŋ"	2	12	"缝[~衣服]逢冯红洪鸿宏弘虹"		
	"ɣuŋ"	6	24	"奉俸缝[一条~]凤"		
	"ɕyŋ"	1	55	"胸凶兄"		
	"ɕyŋ"	5	35	"嗅[用鼻子闻]"		
	"ʑyŋ"	2	12	"茸容蓉熔庸戎绒熊雄融浓"		
	"yŋ"	1	55	"雍"		
	"yŋ"	3	42	"拥甬[~道]勇涌"		
	"yŋ"	5	35	"用"		
	"pã"	1	55	"班斑颁板般=搬=帮邦"		
	"pã"	3	42	"板版榜谤绑"		
	"pã"	5	35	"扮"		
	"pʰã"	1	55	"攀潘"		
	"pʰã"	6	24	"盼襻绊判叛胖"		
	"bã"	2	12	"盘=旁螃庞"		
	"bã"	6	24	"棒蚌办伴拌傍"		
	"mã"	2	12	"蛮瞒=忙芒茫盲忙"		
	"mã"	3	42	"莽蟒满="		
	"mã"	5	35	"慢馒漫幔蔓[瓜~子]"		
	"fã"	1	55	"翻番荒慌方芳欢"		
	"fã"	3	42	"反谎晃倣纺仿仿访缓暖-"		
	"fã"	5	35	"贩放焕泛皖"		
	"vã"	2	12	"藩烦繁礬黄簧皇煌肪妨房防亡忘王枉凡帆桓完=还[~原]玩[游~]顽环"		
	"vã"	6	24	"妄望唤换幻患万宦范犯饭"		
	"tã"	1	55	"丹单当耽担[~任]"		
	"tã"	3	42	"党胆"		
	"tã"	5	35	"诞旦荡当[~作]担[~子]"		
	"tʰã"	1	55	"滩摊汤贪"		
	"tʰã"	3	42	"坦倘躺趟毯"		
	"tʰã"	6	24	"烫探掭[~笔]炭叹"		
	"dã"	2	12	"檀坛弹[~琴]堂棠螳唐糖塘潭谭谈痰"		
	"dã"	6	24	"但弹[子~]淡"		
	"nã"	2	12	"男南难兰拦栏蓝篮囊郎廊狼囊"		
	"nã"	3	42	"懒朗览揽榄缆"		
	"nã"	5	35	"难[患~]烂浪滥"		
	"tsã"	1	55	"簪脏[肮~]张章樟障沾粘=瞻氈毡"		
	"tsã"	3	42	"盏展攒长[生~]涨掌斩"		
	"tsã"	5	35	"赞灒绽战颤帐胀瘴暂站蘸渐占佔仗"		
	"tsʰã"	1	55	"参搀餐昌菖"		
	"tsʰã"	3	42	"惨产铲厂"		
	"tsʰã"	6	24	"畅唱倡灿"		
	"dzã"	2	12	"蚕谗馋缠长肠场常尝裳=惭"		
	"dzã"	6	24	"丈杖栈"		
	"sã"	1	55	"衫珊山删膻商伤三杉"		
	"sã"	3	42	"伞散[鞋带~了]偿赏晌裳-"		
	"sã"	5	35	"散[分~]扇搧"		
	"zã"	2	12	"然燃禅禅[~宗]"		
	"zã"	3	42	"壤攘嚷陕染冉闪"		
	"zã"	6	24	"善膳单[姓]禅[~让]上[~山]尚让"		
	"kã"	1	55	"干肝艰间奸冈岗刚纲钢缸扛甘柑"		
	"kã"	3	42	"感减竿杆秆赶简柬涧锏港讲敢橄"		
	"kã"	5	35	"监鉴尴干[~部]间[~断]钢[刀钝了,~~]杠虹舰"		
	"kʰã"	1	55	"堪勘嵌刊康糠龛"		
	"kʰã"	3	42	"坎慷[~慨]"		
	"kʰã"	6	24	"看[~见,~守]抗炕"		
	"ŋã"	1	55	"庵安鞍肮"		
	"ŋã"	2	12	"昂岩颜-严-[把门关~]"		
	"ŋã"	3	42	"眼"		
	"ŋã"	5	35	"暗岸按案晏雁="		
	"xã"	1	55	"鼾罕夯憨酣"		
	"xã"	3	42	"喊"		
	"xã"	5	35	"汉"		
	"ɣã"	2	12	"含函衔寒韩行[银~]航杭咸[~菜]闲"		
	"ɣã"	6	24	"憾撼旱汗陷焊翰限苋巷项"		
	"tiã"	1	55	"粘-[~到~起]"		
	"tʰiã"	3	42	"腆[~起肚子]"		
	"niã"	2	12	"良凉量粮梁粱"		
	"niã"	3	42	"两辆"		
	"niã"	5	35	"亮谅量[数~]"		
	"ʨiã"	1	55	"将姜[姓]薑[生~]浆江"		
	"ʨiã"	3	42	"蒋奖桨颈-"		
	"ʨiã"	5	35	"酱降[下~]将[大~]"		
	"ʨʰiã"	1	55	"枪毅僵缰匡筐=腔羌"		
	"ʨʰiã"	3	42	"抢强[勉~]"		
	"ʨʰiã"	6	24	"浸[白,冰~]"		
	"ʥiã"	2	12	"墙详祥强"		
	"ʥiã"	6	24	"象像匠"		
	"ȵiã"	1	55	"~[~薄:很薄]"		
	"ȵiã"	2	12	"娘"		
	"ȵiã"	3	42	"仰"		
	"ȵiã"	5	35	"酿瓤[瓜~]"		
	"ɕiã"	1	55	"相[互~]箱厢湘襄镶香乡"		
	"ɕiã"	3	42	"想享响饷"		
	"ɕiã"	5	35	"向相[~貌]像[绣~]"		
	"ʑiã"	2	12	"羊洋杨扬阳疡[溃~]降[~伏]"		
	"iã"	1	55	"央秧殃"		
	"iã"	3	42	"养痒"		
	"iã"	5	35	"样"		
	"puã"	1	55	"般-搬-"		
	"buã"	2	12	"盘-"		
	"muã"	2	12	"瞒-"		
	"muã"	3	42	"满-"		
	"tuã"	1	55	"端"		
	"tuã"	3	42	"短"		
	"tuã"	5	35	"断[决~]锻"		
	"tʰuã"	3	42	"喘"		
	"duã"	2	12	"团糰"		
	"duã"	6	24	"断[~绝]段缎"		
	"nuã"	2	12	"鸾圞[~夜:一整夜]"		
	"nuã"	3	42	"卵=暖="		
	"nuã"	5	35	"乱"		
	"tsuã"	1	55	"钻[动词]赃[贪~]庄装桩"		
	"tsuã"	3	42	"篡撰攒"		
	"tsuã"	5	35	"钻[名词]葬壮赚"		
	"tsʰuã"	1	55	"氽仓苍疮窗"		
	"tsʰuã"	3	42	"闯"		
	"tsʰuã"	6	24	"窜创篡"		
	"dzuã"	2	12	"藏[隐~,西~]脏[心~]床"		
	"dzuã"	6	24	"状撞"		
	"suã"	1	55	"酸闩拴桑霜孀双"		
	"suã"	3	42	"嗓爽"		
	"suã"	5	35	"算蒜丧疝涮[~烟筒]"		
	"kuã"	1	55	"官棺观冠[衣~]鳏[~寡孤独]关光"		
	"kuã"	3	42	"管馆广"		
	"kuã"	5	35	"贯惯灌罐观[寺~]冠[~军]逛"		
	"kʰuã"	1	55	"宽筐-眶"		
	"kʰuã"	3	42	"款"		
	"kʰuã"	6	24	"旷矿况"		
	"guã"	2	12	"狂"		
	"uã"	1	55	"弯湾汪"		
	"uã"	3	42	"晚挽宛往碗豌[~豆]腕网"		
	"uã"	5	35	"旺"		
	"piɛ̃"	1	55	"鞭边"		
	"piɛ̃"	3	42	"贬扁匾蝙"		
	"piɛ̃"	5	35	"变"		
	"pʰiɛ̃"	1	55	"篇偏编"		
	"pʰiɛ̃"	6	24	"片骗遍[~片，~地]"		
	"biɛ̃"	6	24	"辨辩汴辫便[方~,~宜]"		
	"miɛ̃"	2	12	"绵棉眠"		
	"miɛ̃"	3	42	"免勉娩"		
	"miɛ̃"	5	35	"面缅麺"		
	"tiɛ̃"	1	55	"颠"		
	"tiɛ̃"	3	42	"点典"		
	"tiɛ̃"	5	35	"店"		
	"tʰiɛ̃"	1	55	"添天"		
	"tʰiɛ̃"	3	42	"舔"		
	"diɛ̃"	2	12	"甜田填"		
	"diɛ̃"	6	24	"电簟[席子]奠佃垫殿"		
	"niɛ̃"	2	12	"廉镶帘连联怜莲"		
	"niɛ̃"	3	42	"脸辇"		
	"niɛ̃"	5	35	"练链炼恋敛殓"		
	"ʨiɛ̃"	1	55	"尖兼肩坚"		
	"ʨiɛ̃"	3	42	"检剪茧拣笕"		
	"ʨiɛ̃"	5	35	"剑煎箭建荐见键[~子]"		
	"ʨʰiɛ̃"	1	55	"签歼千迁牵谦笺"		
	"ʨʰiɛ̃"	3	42	"遣"		
	"ʨʰiɛ̃"	6	24	"欠歉"		
	"ʥiɛ̃"	2	12	"潜钳钱乾[~坤]虔前掮"		
	"ʥiɛ̃"	6	24	"俭件健键腱饯[~行]"		
	"ȵiɛ̃"	1	55	"拈[~起来]研"		
	"ȵiɛ̃"	2	12	"阎严=鲇年"		
	"ȵiɛ̃"	3	42	"碾撚俨[~然]"		
	"ȵiɛ̃"	5	35	"谚砚验念"		
	"ɕiɛ̃"	1	55	"仙先"		
	"ɕiɛ̃"	3	42	"险显"		
	"ɕiɛ̃"	5	35	"宪献线现[出~]"		
	"ʑiɛ̃"	2	12	"盐檐簷嫌涎延言贤醃颜=炎[发~]"		
	"ʑiɛ̃"	6	24	"现[~在]"		
	"iɛ̃"	1	55	"焉烟炎[~热]阉"		
	"iɛ̃"	3	42	"掩淹演魇"		
	"iɛ̃"	5	35	"厌艳焰宴筵燕[姓]"		
	"ʨyɛ̃"	1	55	"专砖捐"		
	"ʨyɛ̃"	3	42	"转[~运]捲[~起]"		
	"ʨyɛ̃"	5	35	"转[~圈]卷券眷绢"		
	"ʨʰyɛ̃"	1	55	"川穿圈[圆~]"		
	"ʨʰyɛ̃"	3	42	"犬浅"		
	"ʨʰyɛ̃"	6	24	"串劝"		
	"ʥyɛ̃"	2	12	"全泉传[~达]船拳权颧"		
	"ʥyɛ̃"	6	24	"践倦贱篆传[~记]"		
	"ɕyɛ̃"	1	55	"鲜掀轩宣喧"		
	"ɕyɛ̃"	3	42	"选癣"		
	"ɕyɛ̃"	5	35	"楦[鞋~子]羡"		
	"ʑyɛ̃"	2	12	"玄弦眩员圆缘沿铅悬旋丸袁辕园園援完-垣"		
	"ʑyɛ̃"	6	24	"县"		
	"yɛ̃"	1	55	"渊冤"		
	"yɛ̃"	3	42	"软远阮"		
	"yɛ̃"	5	35	"院怨愿"		
	"n"	3	42	"你汝"		
	"ŋ"	5	35	"唔[不:~晓得,嚼~嚼得烂]"		
