									中山石岐話			南蓢白話			珠海唐家話			
聲	呼	等	韻	調	組	攝	單字		聲母	韻母	聲調	聲母	韻母	聲調	聲母	韻母	聲調	注釋
端	開	一	東	平	端	通	東		t	ʊŋ	55	t	ʊŋ	45	t	ʊŋ	55	
端	開	一	東	平	端	通	凍		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22	
端	開	一	東	平	端	通	鶇		t	ʊŋ	55	t	ʊŋ	45	t	ʊŋ	55	
透	開	一	東	平	端	通	通		tʰ	ʊŋ	55	tʰ	ʊŋ	45	tʰ	ʊŋ	55	
透	開	一	東	平	端	通	俑		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21	
定	開	一	東	平	端	通	桐		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
定	開	一	東	平	端	通	洞		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22	
定	開	一	東	平	端	通	筒		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
定	開	一	東	平	端	通	銅		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
定	開	一	東	平	端	通	僮		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	書僮
							僮		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22	僮族
定	開	一	東	平	端	通	童		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
定	開	一	東	平	端	通	同		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
定	開	一	東	平	端	通	仝		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51	
來	開	一	東	平	來	通	聾		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51	
來	開	一	東	平	來	通	朧		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51	
來	開	一	東	平	來	通	嚨		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51	
來	開	一	東	平	來	通	瓏		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51	
來	開	一	東	平	來	通	籠		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51	
來	開	三	東	平	來	通	隆		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51	
來	開	三	東	平	來	通	窿		l	ʊŋ	55	l	ʊŋ	45	l	ʊŋ	55	
清	開	一	東	平	精	通	聰		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
清	開	一	東	平	精	通	囪		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
清	開	一	東	平	精	通	蔥		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
從	開	一	東	平	精	通	叢		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	
心	開	三	東	平	精	通	嵩		s	ʊŋ	55	s	ʊŋ	45	s	ʊŋ	55	
知	開	三	東	平	知	通	衷		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
知	開	三	東	平	知	通	忠		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
知	開	三	東	平	知	通	中		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	中間
知	開	三	東	去	知	通	中		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	中獎
徹	開	三	東	平	知	通	忡		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
澄	開	三	東	平	知	通	蟲		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	
澄	開	三	東	平	知	通	沖		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
崇	開	三	東	平	莊	通	崇		s	ʊŋ	51	s	ʊŋ	51	s	ʊŋ	51	
章	開	三	東	平	章	通	眾		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	
章	開	三	東	平	章	通	螽		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
章	開	三	東	平	章	通	終		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	
昌	開	三	東	平	章	通	充		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	
日	開	三	東	平	日	通	絨		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51	
見	開	一	東	平	見	通	功		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	一	東	平	見	通	工		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	一	東	平	見	通	蚣		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	一	東	平	見	通	公		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	一	東	平	見	通	攻		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	三	東	平	見	通	躬		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	三	東	平	見	通	宮		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
見	開	三	東	平	見	通	弓		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	
溪	開	一	東	平	見	通	空		kʰ	ʊŋ	55	kʰ	ʊŋ	45	kʰ	ʊŋ	55	
溪	開	三	東	平	見	通	穹		kʰ	ʊŋ	51	kʰ	ʊŋ	51	kʰ	ʊŋ	51	
匣	開	一	東	平	影	通	訌		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	
