字	音	注
租	tsɿ[1]	
资	tsɿ[1]	
姿	tsɿ[1]	
辎	tsɿ[1]	
芝	tsɿ[1]	
硃	tsɿ[1]	文读
珠	tsɿ[1]	文读
祖	tsɿ[3]	
组	tsɿ[3]	
阻	tsɿ[3]	
紫	tsɿ[3]	
子	tsɿ[3]	
自	tsɿ[4]	
字	tsɿ[4]	
粗	tsʰɿ[1]	
疵	tsʰɿ[1]	
嗤	tsʰɿ[1]	
雌	tsʰɿ[2]	
瓷	tsʰɿ[2]	
兹	tsʰɿ[2]	
滋	tsʰɿ[2]	
慈	tsʰɿ[2]	
磁	tsʰɿ[2]	
池	tsʰɿ[2]	文读
此	tsʰɿ[3]	文读
醋	tsʰɿ[5]	
次	tsʰɿ[5]	
刺	tsʰɿ[5]	文读
苏	sɿ[1]	
酥	sɿ[1]	
舒	sɿ[1]	
输	sɿ[1]	～赢
斯	sɿ[1]	
私	sɿ[1]	
司	sɿ[1]	
饲	sɿ[1]	
师	sɿ[1]	文读
狮	sɿ[1]	文读
词	sɿ[2]	文读，言～
祠	sɿ[2]	文读
饲	sɿ[2]	文读
矢	sɿ[3]	
死	sɿ[3]	文读
屎	sɿ[3]	文读
数	sɿ[3]	文读，～字
士	sɿ[4]	
仕	sɿ[4]	
似	sɿ[4]	
巳	sɿ[4]	
祀	sɿ[4]	
事	sɿ[4]	
寺	sɿ[4]	文读
四	sɿ[4]	文读
侍	sɿ[4]	文读
素	sɿ[5]	
诉	sɿ[5]	
赐	sɿ[5]	
杯	pui[1]	
悲	pui[1]	
碑	pui[1]	
肥	pui[2]	
贝	pui[4]	川～
背	pui[5]	文读
辈	pui[5]	文读
痱	pui[5]	
胚	pʰui[1]	
丕	pʰui[1]	
赔	pʰui[2]	文读
培	pʰui[2]	
屁	pʰui[5]	
堆	tui[1]	原误作推
捶	tui[2]	～拳头
队	tui[4]	
兑	tui[4]	
坠	tui[4]	～入
对	tui[5]	
碓	tui[5]	
推	tʰui[1]	
梯	tʰui[1]	白读
槌	tʰui[2]	白读
锤	tʰui[2]	白读
颓	tʰui[2]	
腿	tʰui[3]	
坠	tʰui[4]	
退	tʰui[5]	白读
㳔	tʰui[5]	白读，倒茶动作
镭	lui[1]	
雷	lui[2]	
擂	lui[2]	
蕊	lui[3]	
垒	lui[3]	
儡	lui[3]	
累	lui[3]	～积
累	lui[4]	连～
追	tsui[1]	
椎	tsui[1]	
嘴	tsui[3]	
水	tsui[3]	～火
罪	tsui[4]	
赘	tsui[4]	
醉	tsui[5]	
喙	tsui[5]	～老
最	tsui[6]	
缀	tsui[6]	点～
催	tsʰui[1]	
崔	tsʰui[1]	姓
吹	tsʰui[1]	文读
炊	tsʰui[1]	文读
初	tsʰui[1]	文读
槌	tsʰui[2]	
锤	tsʰui[2]	文读
捶	tsʰui[2]	文读
垂	tsʰui[2]	文读
髓	tsʰui[3]	文读
翠	tsʰui[5]	
粹	tsʰui[5]	
碎	tsʰui[5]	
虽	sui[1]	
绥	sui[1]	
谁	sui[1]	
蓑	sui[1]	
梳	sui[1]	
疏	sui[1]	亲～
随	sui[2]	
隋	sui[2]	
垂	sui[2]	文读
水	sui[3]	漂亮
瑞	sui[4]	
遂	sui[4]	顺～
隧	sui[4]	～道
序	sui[4]	
圭	kui[1]	
柜	kui[1]	
闺	kui[1]	
硅	kui[1]	
规	kui[1]	
龟	kui[1]	
归	kui[1]	
傀	kui[3]	～儡
鬼	kui[3]	
诡	kui[3]	
跪	kui[4]	
桂	kui[5]	
贵	kui[5]	
亏	kʰui[1]	
开	kʰui[1]	白读
逵	kʰui[2]	
葵	kʰui[2]	
奎	kʰui[2]	
溃	kʰui[4]	
愧	kʰui[6]	
绘	kʰui[6]	～图
威	gui[1]	
魏	gui[1]	姓
围	gui[2]	
违	gui[2]	
微	gui[2]	文读
为	gui[2]	作～
