"單字"	"聲母_定"	"介母_定"	"韻母_定"	"聲調_定"	"備註"	"聲母_定"	"介母_定"	"韻母_定"	"聲調_定"
"阿"	""	""	"aa"	"1"	"阿文"	"ʔ"	""	"a"	"23"
"啊"	""	""	"aa"	"1"	""	"ʔ"	""	"a"	"23"
"哎"	""	""	"aai"	"2"	""	"ʔ"	""	"ai"	"45"
"唉"	""	""	"aai"	"2"	""	"ʔ"	""	"ai"	"45"
"欸"	""	""	"aai"	"2"	""	"ʔ"	""	"ai"	"45"
"巴"	"b"	""	"aa"	"2"	""	"p"	""	"a"	"45"
"芭"	"b"	""	"aa"	"2"	""	"p"	""	"a"	"45"
"疤"	"b"	""	"aa"	"2"	""	"p"	""	"a"	"45"
"笆"	"b"	""	"aa"	"2"	""	"p"	""	"a"	"45"
"粑"	"b"	""	"aa"	"2"	""	"p"	""	"a"	"45"
"把"	"b"	""	"aa"	"2"	""	"p"	""	"a"	"45"
"靶"	"b"	""	"aa"	"2"	""	"p"	""	"a"	"45"
"爸"	"b"	""	"aa"	"4"	""	"p"	""	"a"	"21"
"罷"	"b"	""	"aa"	"6"	""	"p"	""	"a"	"32"
"罢"	"b"	""	"aa"	"6"	""	"p"	""	"a"	"32"
"霸"	"b"	""	"aa"	"1"	""	"p"	""	"a"	"23"
"壩"	"b"	""	"aa"	"1"	""	"p"	""	"a"	"23"
"吧"	"b"	""	"aa"	"6"	""	"p"	""	"a"	"32"
"伯"	"b"	""	"aa"	"1"	"春秋五伯"	"p"	""	"a"	"23"
"峇"	"b"	""	"aa"	"1"	""	"p"	""	"a"	"23"
"擺"	"b"	""	"aai"	"2"	""	"p"	""	"ai"	"45"
"摆"	"b"	""	"aai"	"2"	""	"p"	""	"ai"	"45"
"襬"	"b"	""	"aai"	"2"	""	"p"	""	"ai"	"45"
"拜"	"b"	""	"aai"	"1"	""	"p"	""	"ai"	"23"
"敗"	"b"	""	"aai"	"6"	""	"p"	""	"ai"	"32"
"败"	"b"	""	"aai"	"6"	""	"p"	""	"ai"	"32"
"湃"	"b"	""	"aai"	"1"	""	"p"	""	"ai"	"23"
"班"	"b"	""	"aan"	"1"	""	"p"	""	"an"	"23"
"斑"	"b"	""	"aan"	"1"	""	"p"	""	"an"	"23"
"頒"	"b"	""	"aan"	"1"	""	"p"	""	"an"	"23"
"阪"	"b"	""	"aan"	"2"	""	"p"	""	"an"	"45"
"板"	"b"	""	"aan"	"2"	""	"p"	""	"an"	"45"
"版"	"b"	""	"aan"	"2"	""	"p"	""	"an"	"45"
"粄"	"b"	""	"aan"	"2"	""	"p"	""	"an"	"45"
"闆"	"b"	""	"aan"	"2"	""	"p"	""	"an"	"45"
"扮"	"b"	""	"aan"	"6"	""	"p"	""	"an"	"32"
"辦"	"b"	""	"aan"	"6"	""	"p"	""	"an"	"32"
"八"	"b"	""	"aat"	"1"	""	"p"	""	"at"	"23"
"叭"	"b"	""	"aat"	"1"	""	"p"	""	"at"	"23"
"捌"	"b"	""	"aat"	"1"	""	"p"	""	"at"	"23"
"包"	"b"	""	"aau"	"1"	""	"p"	""	"au"	"23"
"苞"	"b"	""	"aau"	"1"	""	"p"	""	"au"	"23"
"孢"	"b"	""	"aau"	"1"	""	"p"	""	"au"	"23"
"胞"	"b"	""	"aau"	"1"	""	"p"	""	"au"	"23"
"飽"	"b"	""	"aau"	"2"	""	"p"	""	"au"	"45"
"鮑"	"b"	""	"aau"	"2"	"鮑魚"	"p"	""	"au"	"45"
"鮑"	"b"	""	"aau"	"6"	"鮑魚之肆"	"p"	""	"au"	"32"
"爆"	"b"	""	"aau"	"1"	""	"p"	""	"au"	"23"
"陛"	"b"	""	"ai"	"1"	""	"p"	""	"ɐi"	"23"
"閉"	"b"	""	"ai"	"1"	""	"p"	""	"ɐi"	"23"
"敝"	"b"	""	"ai"	"6"	""	"p"	""	"ɐi"	"32"
"蔽"	"b"	""	"ai"	"1"	""	"p"	""	"ɐi"	"23"
"弊"	"b"	""	"ai"	"6"	""	"p"	""	"ɐi"	"32"
