字	ipa	備註	原標記								
𬂌	nɛn1	乳房;乳汁	乳房;乳汁								
做	tsɔ4										
座	tsɔ5										
坐	sɔi5										
作	tsɔk6										
左	tsɔ3										
昨	sɔ4	∼日:前天	∼日:前天								
昨	soŋ4	∼晡:昨天	∼晡:昨天								
樽	tsun1	瓶子	瓶子								
遵	tsun1										
尊	tsin1	粵借詞*	B類借詞*								
醉	tsui4										
罪	tsui5										
嘴	tsuɵi3										
鑽	tsɔn4										
詛	tsɔ3										
組	tsu3										
祖	tsu3										
阻	tsɔ3										
族	tsok8										
卒	tsut6										
足	tsok6										
租	tsu1										
奏	tsau4										
走	tsau3										
鄒	tsɐu1										
縱	tsoŋ4										
粽	tsɛŋ4										
總	tsoŋ3										
蹤	tsoŋ1										
綜	tsoŋ1										
棕	tsoŋ1										
宗	tsoŋ1										
字	tsi5										
自	tsu5	∼然:舒服	∼然:舒服								
自	tsi5	∼家:自己	∼家:自己								
紫	tsi3										
梓	tsi3										
籽	tsi3										
姊	tsi3										
子	tsu3										
資	tsi1										
滋	tsi1										
姿	tsi1										
咨	tsi1										
濁	tsok8										
啄	tok6										
斫	tiɵʔ6	剁	剁								
灼	tsʰiɵk7	粵借詞*	A類借詞*								
捉	tsɔʔ6										
準	tsun3										
准	tsun3										
錐	tsui1										
追	tsui1										
戇	ŋɔŋ5	傻、蠢	傻、蠢								
撞	tsɔŋ5										
狀	tsɔŋ5										
壯	tsɔŋ4										
樁	tsɔŋ1										
裝	tsɔŋ1										
莊	tsɔŋ1										
妝	tsɔŋ1										
轉	tiɛn3										
賺	tsan5										
篆	siɛn2										
撰	tsan5										
䧘	tɛn5	門∼:門檻	門∼:門檻								
磚	tsiɛn1										
專	tsiɛn1										
抓	tsa1										
鑄	tsuɵ4										
駐	tsi2	粵借詞*	A類借詞*								
箸	ti5	筷子	筷子								
蛀	tsiu4										
著	tuɵʔ6										
著	tuɵʔ6										
祝	tsok6										
柱	tsʰi3	粵借詞	B類借詞								
注	tsuɵ4										
佇	ti4	在	在								
住	tiu5										
助	tsɔ5										
囑	tsok6										
煮	tsi3										
拄	tsʰi3	粵借詞*	B類借詞*								
主	tsuɵ3										
燭	tsok6										
逐	tsok8										
竹	tok6										
諸	tsi1										
豬	ti1										
蛛	tsi1	粵借詞*	B類借詞*								
硃	tsi1										
株	tsi1										
珠	tsuɵ1	珍∼	珍∼								
珠	tsiu1	目∼:眼睛	目∼:眼睛								
朱	tsi1										
晝	tau4	日∼:中午	日∼:中午								
粙	tiu5	水稻	水稻								
咒	tsɐu4										
帚	tsiu3										
肘	tsau3										
粥	tsok6										
週	tsiu1										
洲	tsiu1										
周	tsiu1										
州	tsiu1										
舟	tsiu1	龍∼	龍∼								
眾	tsoŋ4										
重	tɛŋ5										
仲	tsoŋ5	更加	更加								
種	tsoŋ3	名詞	名詞								
種	tsoŋ4	動詞	動詞								
腫	tsoŋ3										
鐘	tsoŋ1										
鍾	tsoŋ1										
終	tsoŋ1										
衷	tsʰoŋ1	粵借詞*	B類借詞*								
盅	tsoŋ1										
忠	tsoŋ1										
中	toŋ1	∼秋	∼秋								
膣	tsi5	∼屄:女陰	∼屄:女陰								
滯	tsɐi5	粵借詞	B類借詞								
痣	tsi4										
蛭	tsit6	水∼	水∼								
窒	tsɐt8										
痔	tsi4	粵借詞	B類借詞								
致	tsi4										
治	tʰai2	屠宰	屠宰								
制	tsɐi4										
志	tsi2	粵借詞*	A類借詞*								
至	tsi4										
徵	tsɐŋ1										
趾	tsi3										
紙	tsuɵ3										
指	tsi3										
址	tsi3										
旨	tsi3										
只	tsi3	這	這								
止	tsi3										
職	tsɐk6										
值	tsɐk8										
侄	tsit8										
直	tsɐk8										
織	tsit6										
蜘	tsi1										
脂	tsi1										
隻	tsiɛʔ6										
肢	tsi1										
知	tsai1										
枝	ki1	荔∼	荔∼								
枝	tsi1										
吱	tsi1										
芝	tsi1										
汁	tsɛp6	目珠∼:眼淚	目珠∼:眼淚								
支	tsi1										
之	tsi1										
證	tsɐŋ4										
鄭	taŋ5	老∼:姓鄭的	老∼:姓鄭的								
症	tsɐŋ4	病∼	病∼								
政	tsɐŋ2	粵借詞*	A類借詞*								
正	tsɐŋ1	∼月	∼月								
正	tsɐŋ4										
整	tsɐŋ3										
癥	tsɐŋ1	∼結	∼結								
箏	tsɐŋ1										
睜	tsɐŋ1										
蒸	tsɐŋ1										
猙	tsɐŋ1										
㬹	tsaŋ1	手∼:手肘	手∼:手肘								
㬹	taŋ1	骹∼:腳後跟	骹∼:腳後跟								
爭	tsaŋ1										
征	tsɐŋ1										
鎮	tsin4	古∼:古鎮鎮	古∼:古鎮鎮								
震	tsun4										
