#参考资料	《江苏句容方言音韵研究》
#调值	 [1] 平声31 [1b] 变调平13 [3] 上声213 [5] 去声44 [7] 入声5

#ɿ
tɕʰ	 [1] 秋穿-{₁} [3] 囚糗求球全-丑-{₁} [5] 臭-{₁}窜-{₁}串-{₁}
ɕ	 [1] 修羞丘休酸-{₁} [3] 朽 [5] 秀绣宿星~锈袖嗅扇-算-{₁}蒜-{₁}
ȵ	 [1] 揉-牛 [1b] 琉 [3] 男-南-流刘留柳馏硫扭纽暖-{₁}软-{₁} [5] 遛
k	 [1] 甘-泔-肝-竿-冠-干-{₁} [3] 感敢-{₁} [5] 冠-灌-{₁}罐-{₁}
kʰ	 [1] 堪-龛-看-{₁}看管宽-{₁} [5] 看-{₁~见}
x	 [1] 欢-{₁} [3] 寒- [5] 幻-{₁}患-{₁}换-{₁}焊-汗-{₁}后-{₁}
∅	 [1] 优忧幽 [3] 尤邮油游犹友由有丸-{₁}碗-{₁}豌-₁ [5] 诱又右佑柚鼬釉幼

#yø	
tɕ	 [3] 卷捲 [5] 眷倦券绢
tɕʰ	 [1] 圈 [3] 颧权全=拳犬全= [5] 劝
ɕ	 [1] 喧宣轩 [1b] 玄 [3] 悬选旋 [5] 眩绚
∅	 [1] 冤渊鸳 [3] 缘袁媛援猿源员元原圆远 [5] 院愿怨苑

#ɷ
p	 [1] 菠波玻搬-{₂}颁-{₂} [3] 盘-{₂}婆-跛 [5] 簸拌-{₂}半-{₂}绊-{₂}伴-{₂}
pʰ	 [1] 坡颇 [3] 婆= [5] 被迫
m	 [1] 慢-满-{₂} [3] 母拇磨摩馍魔模{~子}模{~范}摹馒-{₂}瞒-{₂} [5] 磨墓募慕暮
t	 [1] 多端-{₂}段-{₂} [3] 团-{₂}躲驼朵妥短-{₂} [5] 舵大惰断-{₂}
tʰ	 [1] 拖 [3] 妥
n	 [3] 挪
l	 [1] 脶啰 [3] 暖-{₂}锣罗骡螺裸 [5] 糯摞
ts	 [3] 左昨 [5] 坐=座转-{₂}做
tsʰ	 [1] 搓初穿-{₂} [5] 窜-{₂}串-{₂}错措
s	 [1] 蓑梭唆酸-{₂} [3] 坐-锁琐所 [5] 算-{₂}蒜-{₂}
z	 [3] 软-{₂}
k	 [1] 歌哥过锅颗干-{₂} [3] 果裹敢-{₂} [5] 个过灌-{₂}罐-{₂}
kʰ	 [1] 科棵看-{₂~管}宽-{₂} [3] 可渴 [5] 课看-{₂~见}个-
x	 [1] □{巴结人}欢-{₂} [3] 火伙和荷{~花} [5] 货和汗-{₂}换-{₂}幻-{₂}患-{₂}
∅	 [1] 窝 [3] 鹅蛾我丸-{₂}豌-{₂}碗-{₂} [5] 饿

#ou	
m	 [3] 谋
t	 [1] 兜= [3] 头=抖=陡= [5] 斗=豆=逗=
tʰ	 [1] 偷= [3] 投= [5] 透=
l	 [1] □{留起来} [3] 楼=篓=搂= [5] 漏=陋=
ts	 [1] 周舟州 [3] 走=肘=绸-稠帚= [5] 奏昼纣宙皱=绉=骤咒
tsʰ	 [1] 抽= [1b] 酬筹酬 [3] 绸=愁仇丑= [5] 凑臭=
s	 [1] 搜=馊=收= [3] 手=首守 [5] 嗽瘦兽寿授售受
z	 [3] 揉=
k	 [1] 勾=钩=沟= [3] 狗={₁}苟 [5] 垢彀{触远处或高处的东西}够=构购=
kʰ	 [1] 抠= [3] 口= [5] 扣=寇
x	 [1] 齁 [3] 吼猴=喉=侯 [5] 后=厚候
∅	 [1] 欧 [3] 儿耳藕偶呕 [5] 二沤

#ən	
p	 [1] 奔崩= [3] 本盆 [5] 奔笨
pʰ	 [1] 喷 [3] 盆=
m	 [1] 门闻- [3] 明- [5] 闷问-
f	 [1] 分芬 [3] 粉坟 [5] 粪奋份愤
ʋ	 [1] 温瘟 [3] 文纹闻=雯蚊吻馄稳 [5] 问=
t	 [1] 蹲登灯 [3] 等藤- [5] 顿凳邓盾饨
tʰ	 [1] 吞 [1b] 腾誊藤=
n	 [3] 能 [5] 嫩
l	 [3] 轮- [5] 论-
ts	 [1] 针斟珍榛臻真曾{~祖}增蒸征争贞侦正{~月} [3] 陈-尘-枕诊疹拯整城-{₂}辰-{₂}晨-{₂}臣-盛-{₂~饭} [5] 镇阵震振证症郑正{~直}政剩-
tsʰ	 [1] 村-撑参{~差} [1b] 岑辰=晨=臣=澄呈 [3] 曾{~经}陈=诚盛-{~饭}城承沉尘惩橙丞逞存-唇={₁} [5] 趁衬寸-蹭赠瞪称秤剩-{₂}
