字	塘村	注釋
多	to24	
拖	tʰo55	
他	kɛ35	渠，陰上
駝	to31	陽上
舵	to31	
大	ta51	
羅	lo21	
鑼	lo21	
籮	lo21	
左	tso35	
搓	tsʰo24	
歌	ko24	
哥	ko24	
哥	/	
可	kʰo35	
鵝	ŋo21	
我	ŋo53	例外
餓	ŋo51	
河	xo21	
荷	xo21	
賀	xo51	
茄	tɕʰia24	陰平
波	po24	
菠	po24	
簸	po51	~一下
簸	po52	~箕
坡	po24	不送氣
破	pʰo51	
婆	po21	
磨	mo21	~刀
磨	mo51	石~
朵	to35	
躲	to35	
糯	no51	
騾	lo21	
螺	lo21	
腡	lo21	
坐	tsʰo35	陰上
蓑	so24	
梭	so24	
鎖	so35	
鍋	tɕʰie24	鐺
果	ko24	
過	ko51	
科	kʰo24	
窠	kʰo24	
課	kʰo51	
火	xo35	
貨	kʰo51	
和	xo21	~氣
禾	xo24	陰平
禍	xo31	
瘸	kʰua21	
靴	/	
巴	pa24	
疤	pa24	
把	pa35	一~
壩	/	
怕	pʰa51	
爬	pʰa24	陰平
杷	pʰa24	陰平，枇~
麻	ma21	
馬	ma35	陰上
罵	ma51	
拿	məu35	訓讀
茶	tɕʰia21	
渣	tɕia24	
榨	tsa21	
叉	tsʰa24	
差	tɕʰia24	~不多
查	tsʰa21	
沙	sa24	
紗	sa24	
灑	ɕia24	
家	ka24	
加	ka24	
痂	ka24	
嘉	ka24	~禾
假	ka35	真~
架	ka51	
嫁	ka51	
價	ka51	
揢	/	
牙	ŋa21	
芽	ŋa21	
衙	ŋa21	~門
蝦	ɕia24	
嚇	xa51	
下	xa31	陽上，底~
下	xa31	陽上，~山
夏	xa51	~天
鴉	ŋa24	
啞	a35	
姐	tse35	
借	tse51	
些	/	
寫	ɕia35	
瀉	se51	
邪	ɕie21	
斜	tsʰe21	
謝	se51	
遮	tɕia24	
蔗	tɕie21	
車	tɕʰia24	~馬
扯	tɕʰia35	
蛇	ɕia21	
射	ɕia51	
賒	ɕia24	
捨	ɕia35	~得
社	/	~日
惹	ȵiɛ51	
爺	/	
也	ia51	陽去
野	ia35	陰上
夜	ia51	
耍	kau24	訓讀，玩~
瓜	kua24	
寡	kua35	
剮	kua35	
誇	kʰua51	
垮	kʰua51	
跨	kʰua51	
{跨}	/	
瓦	ŋa31	陽上
花	xua24	
化	/	
划	/	~船
補	pu35	
譜	pʰu35	
布	pu51	
鋪	pʰu24	~床
鋪	pʰu51	店~
蒲	pʰu21	
菩	pʰu21	
步	pʰu51	
模	mu21	
都	tu24	
堵	tu35	
賭	tu35	
肚	tu31	陽上
土	tʰu35	
吐	tʰu51	
兔	tʰu51	
徒	tu21	
屠	tu21	
涂	tu21	
圖	tʰu21	
渡	tu51	
奴	lu21	
努	/	
爐	lu21	
鹵	lu51	
路	lu51	
露	lu51	
租	tsu24	
祖	tsu35	
做	tsu51	
粗	tsʰu24	
醋	tsʰu51	
錯	tsʰo51	陰入
酥	/	
素	su51	
訴	/	
姑	ku24	
孤	ku24	
箍	ku24	
古	ku35	
鼓	ku35	
顧	/	
枯	kʰu24	
苦	kʰu35	
褲	kʰu51	
吳	u24	陰平，疑普
蜈	o21	
梧	u21	
五	u35	陰上
伍	u35	
