pi1 碑蓖陂{坡,坝}
pi2 臂痹
pi3 比秕鄙卑丕稗庇陛纰畀{给予}
pʰi1 披譬纰疲脾
pʰi2 屁琵枇皮
pʰi3 彼
pʰi5 备避被蔽敝弊币毙婢
mi1 眯□{~~雨:毛毛雨}
mi2 眉微谜迷糜靡楣
mi3 尾
mi5 未味氼{潜}
fi1 飞挥辉翡非妃徽麾
fi2 肥肺
fi5 吠
tʰi5 地
ni1 呢
ni3 你拟
li1 璃
li2 梨厘狸篱
li3 李里裏理鲤
li5 利吏励厉痢蜊莉
ɬi1 司丝私厮伺撕狮斯蛳思{意~}
ɬi2 四肆似嗣
ɬi3 死
tʃi1 之芝知支肢资滋枝姿咨蜘妓脂栀兹糍
tʃi2 志誌痣置志致智至稚赐
tʃi3 止趾址只子籽紫旨纸姊指梓帜秭{一小把}
tʃʰi1 痴黐{黏连}
tʃʰi2 次词磁厕刺翅池迟持驰弛慈瓷辞祠饲茨鹚
tʃʰi3 齿耻此侈
tʃʰi5 字痔治自寺牸巳
ȵi1 蚁儿{崽~:儿子}
ȵi2 儿而
ȵi3 耳饵议
ȵi5 二义贰
ʃi1 师施诗尸
ʃi2 时试恃拭匙鲥莳
ʃi3 屎始史
ʃi5 市事侍誓逝舐是视氏柿士祀豉示仕
ki1 箕姬机麂讥饑基肌饥几{~乎}□{~人:他们}
ki2 记既寄纪
ki3 己杞几{~个}
kʰi2 期棋祈沂其奇骑旗琪歧岐祁鳍
kʰi5 企忌技
hi1 希稀熙羲牺嬉欺煕
hi2 气汽器弃戏
hi3 喜启起岂
ji1 衣依医
ji2 意移遗姨疑宜怡夷颐谊彝薏仪娱虞
ji3 椅已以倚矣
ji5 异易缢
pu2 布佈怖
pu3 补哺
pʰu1 敷铺{~路}
pʰu2 葡舖脯{胸~}
pʰu3 普圃谱甫蒲浦脯{杏~}
pʰu5 步部簿捕
mu1 巫诬摹蟆馍
mu2 模
mu3 母拇舞
mu5 务戊墓暮慕募雾
fu1 夫俘呼乎扶肤孵麸
fu2 富蝴胡副符芙湖狐壶葫咐弧
fu3 虎斧府俯釜苦浒腑抚
fu5 妇父讣负辅付驸傅户戽互护腐赴赋附沪
vu1 乌污坞於淤吁迂于呜瘀
vu2 恶{可~}
vu3 雨
vu5 芋
tu1 都
tu3 堵赌
tu5 嘟
tʰu2 兔徒屠途涂图吐
tʰu3 土
tʰu5 妒杜度渡镀踱肚
nu2 奴
nu3 女努
nu5 怒
lu1 黸
lu2 庐驴卢炉芦鸬黸
lu3 鲁橹掳卤吕旅履榈
lu5 路虑滤鹭
ɬu1 苏鬚须需酥
ɬu2 素漱絮嗉序绪诉叙数{名词}
ɬu3 数{动词}
tʃu1 朱硃珠猪租诸诛蛛株
tʃu2 注铸蛀著
tʃu3 主煮组祖
tʃʰu1 粗趋雏蛆
tʃʰu2 徐醋趣除厨橱猝处{~长}
tʃʰu3 楚础娶取拄处{~理}
tʃʰu5 住柱助聚驻苎箸杵
ȵu2 鱼渔
ȵu3 语
ʃu1 输书舒
ʃu2 殊署薯庶恕储褚蜍
ʃu3 鼠黍暑曙
ʃu5 树竖
ku1 姑鸪驹估孤菇辜俱居菰
ku2 句佢固故雇顾锯
ku3 古矩鼓牯股举蛊
ku5 □{眼~~:怒目而视的样子}
kʰu1 区驱拘箍枢岖躯
kʰu2 渠库
kʰu5 具惧炬巨据拒距
hu1 虚嘘圩枯□{姐~:姐夫}
hu2 去裤
hu3 许
ju2 如儒愚懦孺餘予
ju3 宇禹羽盂语与寓汝乳舆禺
ju5 榆逾愉愈喻裕遇誉预豫冀瑜御
pɑ1 爸巴芭笆疤粑
pɑ2 霸坝
pɑ3 把靶
pʰɑ2 怕耙爬琶杷扒爬趴鈀{~子}耙{犁~}
pʰɑ5 罢
mɑ1 妈
mɑ2 麻痲
mɑ3 马码蚂
mɑ5 骂
fɑ1 花
fɑ2 化
vɑ1 蛙洼
vɑ2 华铧桦
vɑ3 瓦
vɑ5 话划
tɑ1 打{量词}
tɑ3 打
tʰɑ1 他她它
nɑ2 乸{姨~:姨妈}
nɑ5 哪那娜
lɑ5 □{~臜:脏}□{k 33~:现在}
ɬɑ1 卅
ɬɑ2 □{粉末状物体揉不成团的状态}
tʃɑ1 抓吒{爹~:岳父}
tʃɑ2 诈榨炸
tʃɑ5 臜
tʃʰɑ1 叉汊杈钗岔差
tʃʰɑ2 茶搽查{调~}
tʃʰɑ5 昨乍茬
ʃɑ1 沙纱莎砂痧裟鲨
ʃɑ3 洒涮刷耍
ʃɑ5 □{一~雨:一场短促的雨}□{把散乱的物品扒拢在一起}
kɑ1 家加痂嘉傢袈
kɑ2 架驾嫁稼价珓{打卦用具}□{~l 21:现在}
kɑ3 假贾{姓}
kɑ5 □{丢~:丢脸}
kʰɑ1 卡掐揢
ŋɑ1 桠{树木开叉处}
ŋɑ2 牙芽衙伢{小孩}
hɑ1 虾哈蝦瘕{抽~:哮喘}
hɑ2 霞瑕遐
hɑ5 夏厦暇下
kvɑ1 瓜
kvɑ2 挂卦褂
kvɑ3 寡剐
kʰvɑ1 侉跨胯垮
jɑ1 蔼
jɑ3 雅
ɑ1 鸦亚阿
ɑ2 丫呀砑
ɑ3 哑
po1 波玻菠
po2 播簸薄{~荷}
pʰo1 坡
pʰo2 破婆菩{~萨}
pʰo3 颇跛
mo1 摸魔摩麽
mo2 磨{动词}
mo5 蘑磨{石~}
fo2 货
fo3 火伙夥
vo1 蜗锅窝倭踒涡莴
vo2 和禾
vo5 祸
to1 多
to2 剁
to3 朵躲垛垜
to5 □{肉往下垂}
tʰo1 拖
tʰo2 驼驮唾舵紽鸵砣陀
tʰo3 妥
tʰo5 惰椭堕
no1 捼{搓}
no2 挪
no3 □{~高:那么高}
no5 糯
lo1 啰
lo2 罗萝锣箩骡螺逻脶
lo3 裸
ɬo1 梭蓑唆
ɬo3 所锁琐
ɬo5 傻
tʃo3 左阻
tʃʰo1 初搓
tʃʰo2 错挫锄措锉
tʃʰo5 坐座佐
ʃo1 梳疏蔬
ʃo5 傻
ko1 哥歌戈
ko2 过个
ko3 果裹餜箇{这}
kʰo1 科窠棵颗苛蝌磕柯坷
kʰo2 课
kʰo3 可
ŋo2 鹅蛾俄讹娥峨
ŋo3 我
ŋo5 饿卧涴
ho1 荷{薄~}□{劝慰}
ho2 河何荷{~花}
ho5 贺
o1 阿疴屙
pɛ1 啤
pɛ2 □{用手提物}
pʰɛ1 □扑克□{叉开双臂或双腿}
pʰɛ2 □{用上衣的下摆兜物}
mɛ1 □{背负}
mɛ2 咩□{乳房}
mɛ3 □{不端正}
fɛ5 □{~气:漏气}
vɛ1 □{用小刀剜}
vɛ3 □{食物呈糊状}
tɛ1 爹
tɛ3 嗲
nɛ5 □{小}
lɛ1 □{由一整体分开的小股,形似猪蹄}
lɛ5 旯
ɬɛ1 些
ɬɛ2 泻卸细{~婶:弟媳}
ɬɛ3 写
tʃɛ1 遮姐
tʃɛ2 蔗鹧借
tʃɛ3 者姐
tʃʰɛ1 车
tʃʰɛ2 邪斜
tʃʰɛ3 扯且跙{撤离}
tʃʰɛ5 谢
ʃɛ1 奢赊
ʃɛ2 舍佘蛇騇{嫖娼也叫嫖~}
ʃɛ3 捨赦
ʃɛ5 社射麝
kɛ5 旮{缝隙}
kʰɛ1 □{树枝}
kʰɛ2 茄
ŋɛ1 □{一小股}
hɛ1 靴
hɛ3 □{躲藏}
kvɛ3 □{小青蛙}
kvɛ5 □{软~:提不起精神}
kʰvɛ2 瘸
jɛ1 爷
jɛ3 也野惹
jɛ5 夜椰掖腋液靥
ɛ1 □{名词尾,相当于子}
pai2 拜
pai3 摆{~开}
pai5 摆{~头}
pʰai1 派{~头}
pʰai2 排牌簰派{~别}
pʰai5 败
mai2 埋
mai3 买
mai5 卖迈
fai2 块快筷
vai1 歪
vai2 怀槐淮外
vai5 坏外
tai1 呆
tai2 戴带
tai3 歹
tʰai1 呔{轮胎}
tʰai2 太态贷泰
tʰai3 舦{舵}
tʰai5 大
nai2 □{捎带上}
nai3 乃奶
lai1 拉
lai2 攋{~尿:尿床}
lai3 □{沾上}
lai5 赖癞
ɬai1 □{可惜}
tʃai1 斋
tʃai2 债
tʃai3 崽
tʃʰai1 猜差{出~}
tʃʰai3 踩
ȵai1 搋{搓揉}
ȵai2 □{咀嚼}
ʃai2 晒柴
ʃai5 赛寨
kai1 街佳皆阶楷揩
kai2 界介芥尬疥届戒械蚧
kai3 解
kʰai2 慨丐概
kʰai3 侃凯
ŋai2 涯崖捱
hai2 偕鞋孩谐懈□{吐出来}
hai5 蟹
kvai1 乖
kvai2 怪
kvai3 拐刽
kʰvai2 桧
kʰvai3 蒯
jai2 □{物品结构松散}
ai1 埃挨{~人:看护小孩}
ai3 矮
pɐi1 □{跛}
pɐi2 闭祕泌秘滗
pɐi5 背{倒霉}
pʰɐi1 批
pʰɐi5 篦
mɐi1 乜{什么}□{用小刀削}
mɐi3 米
fɐi2 废费
vɐi1 威媁{漂亮}
vɐi2 违围唯维桅惟喂
vɐi3 伟苇纬委韦讳委萎闱
vɐi5 胃谓蝟畏伪魏卫为慰位秽猬涠蔚
tɐi1 低呧{吃~:吃东西}
tɐi2 帝
tɐi3 底抵牴
tʰɐi1 梯
tʰɐi2 替涕剃屉题提蹄啼嚏
tʰɐi3 体睇{看}
tʰɐi5 弟第递
nɐi2 泥尼
nɐi5 腻奈
lɐi1 □{用小铲铲物}
lɐi2 犁黎犂
lɐi3 礼
lɐi5 丽隶荔例
ɬɐi1 西犀
ɬɐi2 细婿
ɬɐi3 玺徙洗
ɬɐi5 □{指责}
tʃɐi1 剂挤
tʃɐi2 济祭际制
tʃɐi5 滞
tʃʰɐi1 栖妻凄
tʃʰɐi2 砌齐荠脐
tʃʰɐi5 □{昨}
ȵɐi1 □{用脚乱踩}
ʃɐi1 筛
ʃɐi2 世势
ʃɐi3 使驶
ʃɐi5 逝{又读}
kɐi1 鸡□{~日:今天}
kɐi2 计继髻
kɐi5 偈{倾~:聊天}
kʰɐi1 奚溪稽
kʰɐi2 契楔
ŋɐi1 □{哀求}
ŋɐi2 危
ŋɐi3 □{吝啬､小气}
ŋɐi5 艺毅
hɐi2 喺{给予}
hɐi5 係系
kvɐi1 归龟闺
kvɐi2 贵桂瑰季鳜
kvɐi3 鬼轨诡圭
kʰvɐi1 规亏窥
kʰvɐi2 溃奎携畦葵逵癸傀愧
kʰvɐi5 跪柜
jɐi1 瞖
jɐi2 □{嘈杂}
jɐi5 □{差劲}
ɐi2 □{没本事}
pui1 悲杯
pui2 辈背佩贝
pʰui1 胚坯
pʰui2 配培陪赔裴辔沛
pʰui5 焙痱倍背{~诵}
mui1 霉枚
mui2 梅媒煤玫莓脢
mui3 每美
mui5 妹昧媚魅
fui1 灰诙恢
fui2 回茴
fui3 匪榧悔贿毁侮
fui5 汇会绘彗惠慧穗
vui1 煨
vui5 □{聪明}
tui1 堆
tui2 兑对碓
tʰui1 推胎
tʰui2 抬怠退蜕臺{戏台}褪{脱去衣服}
tʰui3 腿
tʰui5 代袋队待殆
nui5 耐内
lui1 □{铜圆叫铜~}
lui2 来雷
lui3 瘰垒磊儡累{~积}
lui5 类泪
ɬui1 尿绥虽腮鳃荽
ɬui2 岁碎淬
ɬui5 遂隧瑞髓
tʃui1 追锥栽灾椎{脊椎}
tʃui2 醉最再载{年载}
tʃui3 嘴宰
tʃui5 赘
tʃʰui1 吹炊催崔
tʃʰui2 翠粹槌锤随才菜蔡财材裁豺脆垂揰隋
tʃʰui3 睬采彩揣{~度}
tʃʰui5 坠罪在
ȵui3 蕊
ȵui5 锐芮
ʃui1 衰
ʃui2 谁税帅
ʃui3 水
ʃui5 睡
kui1 该
kui2 盖
kui3 改
kui5 □{劳累}
ŋui2 危{特指病情}
ŋui5 碍艾隘
hui1 开
hui3 海
hui5 亥害
jui1 □{鼓起来}
ui1 哀
ui2 爱
pau1 包胞苞
pau2 豹爆
pau3 饱
pʰau1 泡抛脬
pʰau2 刨鉋炮
pʰau5 跑
mau2 矛锚茅
mau3 牡卯
mau5 貌谬冒茂贸
tau2 到
tʰau3 讨祷敨{休息}
tʰau5 稻盗导悼
nau5 闹铙挠
lau1 捞
lau3 屡缕
lau5 □{小型竹提篮}
ɬau5 □{狼吞虎咽地吃}
tʃau1 □{水份少}
tʃau2 罩笊{~篱}
tʃau3 找爪{~牙}
tʃʰau1 抄钞觘{牛用角的动作}
tʃʰau3 炒吵
tʃʰau5 櫂{桨}
ȵau1 □{小耙子}
ʃau1 梢捎稍艄{船尾}
ʃau2 哨潲
kau1 交郊胶茭
kau2 较窖校教觉{~育}觉{睡~}
kau3 饺铰搞
kʰau1 □{谈心}
ŋau1 □{大吃}
ŋau2 肴淆
ŋau3 咬
hau1 酵敲
hau2 孝效哮
hau3 考烤拷
jau1 □{谣传,起哄}
jau5 □{~手∶摆手,招手}
au1 □{用强力迫使对方转变}
au2 坳{山~}
au3 拗
pɐu1 褒
pɐu2 报
pɐu3 宝保堡葆褓
pɐu5 鲍菢
pʰɐu2 袍
pʰɐu3 剖
pʰɐu5 抱暴瀑
mɐu1 □{松软}
mɐu2 毛谋
mɐu3 某亩
mɐu5 帽无
fɐu2 浮
fɐu3 否
fɐu5 阜埠
vɐu5 □{在水里涮一下}
tɐu1 兜刀叨
tɐu2 鬥逗
tɐu3 岛捣抖陡斗纠
tʰɐu1 偷涛
tʰɐu2 透头投颓滔掏桃套逃淘陶萄秃蹈
tʰɐu3 讨
tʰɐu5 豆痘道窦
nɐu1 嬲{生气}
nɐu3 纽扭钮脑
lɐu1 骝{猴子叫马~}
lɐu2 刘溜馏留唠牢楼流榴硫琉痨
lɐu3 老柳
lɐu5 漏陋篓
ɬɐu1 修搜骚臊搔飕馊蒐
ɬɐu2 秀绣锈扫
ɬɐu3 嫂艘
tʃɐu1 周舟州洲遭糟邹
tʃɐu2 咒骤灶奏皱昼
tʃɐu3 早枣蚤走酒
tʃɐu5 宙帚肘纣
tʃʰɐu1 抽鞦愁秋鳅搊{~起来}
tʃʰɐu2 臭泅藻曹槽绸稠筹凑糙燥躁澡仇酬囚嗅{闻}
tʃʰɐu3 醜草
tʃʰɐu5 皂就造袖
ȵɐu1 □{抽扯皱缩}
ȵɐu2 鼼{皱}
ʃɐu1 收
ʃɐu2 瘦
ʃɐu3 首守手
ʃɐu5 受寿授售兽
kɐu1 勾高糕羔篙鸠钩沟膏
kɐu2 告救究灸柩够构购媾
kɐu3 久韭九狗稿苟枸
kɐu5 □{瞪}
kʰɐu1 抠眍
kʰɐu2 靠吼叩扣寇求球垢
kʰɐu5 旧臼舅
ŋɐu1 □{蹲下}
ŋɐu2 牛
ŋɐu3 藕偶
ŋɐu5 傲熬
hɐu1 休丘邱蒿薅蚯
hɐu2 喉侯猴瘊耗豪壕毫嚎蠔
hɐu3 好口
hɐu5 厚候号浩后鲎{海产,血蓝色}
jɐu1 优幽忧悠
jɐu2 油鼬釉由游邮鱿柔揉尤犹
jɐu3 友柚有酉
jɐu5 右幼又祐莠
ɐu1 欧殴讴鸥瓯
ɐu2 沤怄澳奥懊
ɐu3 呕袄
pɛu1 标錶彪镖镳膘穮{植物快长}猋{快跑}熛{火苗蹿起}
pɛu3 表婊裱
pʰɛu1 飘漂{~亮}
pʰɛu2 票瓢嫖鳔漂{~白}
pʰɛu3 剽
mɛu1 猫
mɛu2 苗描渺杳{~无音信}
mɛu3 秒藐
mɛu5 庙妙瞄
tɛu1 丢雕碉貂刁凋
tɛu2 钓吊
tɛu3 屌
tɛu5 掉调{音~}
tʰɛu1 挑
tʰɛu2 跳粜条跳迢涤
tʰɛu3 □{把液体倒掉}
tʰɛu5 调{~动}
nɛu1 □{胶状}
nɛu3 鸟
lɛu1 鹩□{小竹篮}
lɛu2 聊瞭辽疗僚燎嘹镣缭
lɛu3 了{~结}
lɛu5 料撩廖
ɬɛu1 消萧箫宵肖萧霄销枵逍鞘
ɬɛu2 笑
ɬɛu3 小
tʃɛu1 瞧噍邵招焦椒樵昭钊
tʃɛu2 照
tʃɛu3 剿
tʃʰɛu1 超锹悄缲
tʃʰɛu2 嘲俏潮朝{~代}
tʃʰɛu5 赵兆召诏
ʃɛu1 烧
ʃɛu2 少{~爷}
ʃɛu3 少{多~}
ʃɛu5 沼韶绍肇
kɛu1 娇骄
kɛu2 叫
kɛu3 缴赳
