#a							
ts	[1]姐爭[2]者晴[3]井姐者{此}[5]績債責{~任}藉籍						
s	[1]星師資思斯撕姿嗟私之獅司廝淄奢叉咨滋茲清睛青□{放置}[2]伺瓷□{塗抹}搽{塗抹}[3]且醒雌瓷磁慈辭詞扯巳子祀史[5]使祠思肆脆						
k	[1]加更耕家傢[2]梗[3]哽假{真～}[5]假{放～}架嫁價						
h	[1]推{辭}[2]□{把舌頭伸出來}[5]退						
g	[1]□{树枝}椏{树枝}[2]牙芽衙						
ɦ	[1]夏□{娶}[2]蝦[3]□{象聲詞，表示答應}						
Ø	[1]下[2]桁[3]啞						
dz	[1]□{一下的合音}[2]也{助詞}[3]墅爺冶野[5]液{血~}						
#eʔ							
ɓ	[7]百伯擘{～开：撕开}迫[8]父白						
f	[7]魄						
m	[8]脈[7]蜢{蝗虫}						
b	[7]□{要}[8]麥						
ɗ	[7]笮{压}压{训}[8]□{捏}						
t	[7]□{想，以為}說屑□{~骨：肋骨}[8]社						
n	[7]□{形容詞詞尾，表示「很」的意思。通常只和「苦」等字連用，如:苦~(很苦)}						
l	[7]□{語氣助詞，相當於普通活的「嘛」}[8]曆□{象聲词，趕牛聲，表示要牛向左轉}						
ts	[7]宅績責{~備}[8]坐座淨静						
Ø	[8]下廈呃[7]扼厄軛						
dz	[7]腋[8]液{流出}						
ɦ	[8]□{答應}[7]歇赫嚇{恐~}□{魂~：魂魄}						
ŋ	[8]硬[7]□{落~：受傷}						
h	[7]客徹{乾淨}潔{训“徹”}嚇{歎詞}[8]□{拿}						
k	[7]革{戒}格隔						
s	[7]惜{可惜}册四賜士{專名}自{專名}[8]自仕士事字侍□{呼吸，~氣}						
#ei							
ts	[5]□{象聲詞，遞東西給人時，用以引人注意}						
ɦ	[1]□{語氣助詞，表示征得對方同意}[5]□{象聲詞，表示招呼，引起注意}						
#eiʔ							
h	[8]嘿[7]嘿						
Ø	[8]誒						
ts	[7]□{象聲詞，表示制止，多小孩和家畜用}						
ɦ	[8]□{象聲詞，表示讓人注意自己所指示的束西，相當於普通話的「喏」}						
#i							
ɓ	[1]邊鞭編辮蜱篦箅[2]彼脾[3]比譬鄙[5]痹變						
f	[1]鼻[2]枇脾疲琵[3]痞						
m	[1]麵[2]棉眉綿彌糜靡						
b	[1]味未□{～水：潛水}[2]瞇謎迷[3]米						
ɗ	[1]底{哪裡}[2]遲抵纏[5]戴帝						
t	[1]絲西思笞詩尸施[2]始時匙鰣[3]死[5]四世扇勢肆□{用在動詞分、送等之後，表示给予。相當於普通話的「給」}						
d	[1]底{問詞}						
