调值	①213	②33	③34	⑤53
说明：上声的落点介于4与5之间，也可记为35				
ʦɿ	213	之知支芝枝蜘肢{四~(})自资姿吱咨滋只汁织☐{~牙，牙碜}		
ʦɿ	33	织{~女星(})姊挚只{~当(})陆置秩执{又音(})殖侄值质直职植		
ʦɿ	34	纸脂止旨指子执{又音}仔籽紫址		
ʦɿ	53	字至志险制治致智痔痣蛰		
ʦʰɿ	213	侈味刺驰弛吃{新派}尺肢{胳~窝}		
ʦʰɿ	33	吃{~亏}池迟持赤词兹饲祠瓷辞慈磁糍☐{~裆裤}☐{划}☐{~咕，死皮赖脸地纠缠}		
ʦʰɿ	34	此齿耻		
ʦʰɿ	53	刺伺次赐救翅赤斥滞☐{mei˥˧~，叹词}		
sɿ	213	师诗狮施司丝私思斯尸湿☐{~月}		
sɿ	33	时室失十拾实食识石		
sɿ	34	死始屎使{文读}史驶		
sɿ	53	氏是示世势适誓巳四寺肆姒释是视士柿事市试		
zɿ	213	日{骂人的话}		
zɿ	33	日		
zɿ	53	日{~浓，不干净}		
pi	213	屄		
pi	33	鼻逼笔必毕{又音}		
pi	34	比彼鄙毕{又音}		
pi	53	币闭陛毙痹蓖箅蔽避滗壁碧璧		
pʰi	213	批坯披噼匹霹僻辟劈		
pʰi	33	皮疲啤琵脾☐{打，小心他~你}		
pʰi	34	痞皮{调皮捣蛋}批{~发}庇鄙		
pʰi	53	屁		
mi	213	眯蜜秘密		
mi	33	弥迷猕靡咪幂眯{笑~喜的}		
mi	34	米		
mi	53	觅☐{拴住羊，让其在一定范围内放牧}		
ti	213	低嘀滴		
ti	33	狄嘀嫡笛的敌迪提{~东西}		
ti	34	抵诋底		
ti	53	地弟帝递第缔		
tʰi	213	梯踢		
tʰi	33	提{~篮}啼题蹄屉		
tʰi	34	体		
tʰi	53	剃替涕惕		
li	213	厉{又音，~害}立{把物体竖立起来}栗		
li	33	犁厘梨{新派}黎璃雳漓尼呢泥倪霓拟昵粒立力		
li	34	礼李里理鲤		
li	53	例匿腻励利沥俐丽吏荔莉莅唳离隶厉{又音，~害}厉历		
ʨi	213	鸡饥肌几{茶~，~乎}基机讥妓叽{又音}姬缉济{~公，人名}伎鲫瘠脊激击☐{逃跑，挣脱}☐{~liou˧子，知了}		
ʨi	33	叽{又音}给{老派}己亟圾缉集辑急级及疾吉即极积迹籍绩		
ʨi	34	挤几{~个人}		
ʨi	53	嫉计记纪系忌技季剂济既继祭悸寂稷冀罪{老派，得~}这{白读，又音}即		
ʨʰi	213	妻凄期欺乞膝七{~月~}漆☐{物体太潮湿而对它物造成伤害， 这么湿的衣裳也把他~坏啦}☐{~子，骂人的话}		
ʨʰi	33	齐蹊其奇脐崎骑琦棋旗麒畦七戚		
ʨʰi	34	祁歧岂杞启{~动}起迄		
ʨʰi	53	气弃汽砌器泣		
ɕi	213	西溪犀牺熙希稀吸夕锡析		
ɕi	33	喜{笑眯~的}徙隙习袭悉息熄媳惜昔席		
ɕi	34	喜洗		
ɕi	53	细系戏		
ki	33	给{新派}		
i	213	衣以倚医依一揖☐{嚼~喽}		
i	33	邑夷怡亦咦贻屹彝蚁绎溢羽懿宜仪移姨胰疑遗抑益异逸毅翼逆译易液疫役		
i	34	椅尾{白读，~巴}乙		
i	53	艺义翳议意忆亿		
pu	213	☐{~叽，吸水声}☐{又音。~碌，用手轻轻地来回摆弄}		
pu	33	布醭荸不☐{又音。~碌，用手轻轻地来回摆弄}		
pu	34	补卜		
pu	53	部布怖步不		
pʰu	213	铺噗潽仆扑		
pʰu	33	脯葡蒲濮{~阳，地名}菩扑{又音，~克}		
pʰu	34	谱普捕朴圃甫仆扑{又音。~克}		
pʰu	53	埠铺瀑		
fu	213	夫麸敷妇		
fu	33	扶符腐{老派}傅{师~}伏浮佛拂覆福幅辐蝠服袱复		
fu	34	抚釜辅腐{新派}腹府腑俯斧		
fu	53	父幅凫付附赴赋傅{姓}负富副		
tu	213	都嘟肚{精~子}督		
tu	33	独读犊毒		
tu	34	睹堵赌肚		
tu	53	杜肚度渡镀妒		
tʰu	213	突秃凸		
tʰu	33	徒屠途涂图		
tʰu	34	土吐		
tʰu	53	吐兔		
tsu	213	租组{分~}猪诸诛蛛朱珠侏茱株		
tsu	33	竺妯足{新派}卒族术浊竹筑逐轴祝烛触嘱☐{塞}		
tsu	34	诅阻组{~织}祖主拄{文读}煮瞩		
tsu	53	著助驻柱住注蛀		
tsʰu	213	粗出{往外拿，~钱、~主意}束{又音，~腰褂子}☐{缩进去，有时指人故意不露面，这乌龟~进去了；钱拿去了，人却~起来了}☐{衣服缩水}☐{~tʰan，舒坦}		
tsʰu	33	除刍厨躇出☐{仔细观察。你没事~着它，就知道了}☐{用脚来回搓擦}		
tsʰu	34	处暑{老派}鼠{老派}		
tsʰu	53	醋处搐促矗怵畜		
su	213	书殊抒枢殊舒酥叔束{又音，~腰褂子}☐{用油炸}☐{因衣服等小而使人穿得不舒}		
su	33	蔬秫束速孰术熟赎肃{新派}粟俗{新派}		
su	34	曙鼠{新派}暑{新派}署蜀薯叔属		
su	53	树竖恕墅诉素述宿{新派}		
zu	213	输☐{不~着，不舒服}		
zu	33	如入		
zu	34	乳孺蠕拄{白读}辱		
ku	213	姑孤辜箍咕{又音}骨		
ku	33	轱咕{又音}		
ku	34	古估牯姑股鼓谷		
ku	53	故固雇顾		
kʰu	213	窟哭☐{~哧，咬生菜、水果等的声音}		
kʰu	33	☐{~包子，一种鸟}		
kʰu	34	枯苦		
kʰu	53	库裤		
xu	213	烀唿呼乎忽		
xu	33	胡湖糊壶葫弧乎和浒		
xu	34	虎戽		
xu	53	互户瓠护糊{~弄，1.欺骗;2.使人迷糊，☐iaŋ33糊，不老实}		
u	213	乌污巫呜侮诬屋☐{~事，碍手碍脚}		
u	33	吴蜈梧无物屋{~后头}		
u	34	五伍午武舞捂焐{~汗}		
u	53	误悟戊务焐{~手}雾恶		
ly	213	率律绿{文读}☐{用手握住条状物向一端用力滑动，~树叶}		
ly	33	驴		
ly	34	吕旅缕捋{用手指顺着抹过去，使物体顺溜或干净}侣铝屡女		
ly	53	虑滤		
ʨy	213	居车拘驹鞠掬沮		
ʨy	33	橘桔菊足{老派}局☐{~溜，磨}		
ʨy	34	举		
ʨy	53	距飓踞矩惧巨拒据锯聚句具剧		
ʨʰy	213	躯趋黢蛆区驱岖屈{委屈，冤枉}☐{摩擦}		
ʨʰy	33	渠瞿屈{~从}曲		
ʨʰy	34	取娶		
ʨʰy	53	去趣		
ɕy	213	虚嘘须需吁墟恤宿{老派}续{手~}		
ɕy	33	徐戌畜{~牧业}蓄栩肃{老派}俗{老派}☐{~~，把小孩尿尿的声音}		
ɕy	34	许		
ɕy	53	序叙绪絮婿旭续		
y	213	淤吁迂屿浴狱域☐{洗澡或洗脚时在较热的水中进行浸泡}☐{神智不正常}		
y	33	鱼渔余愚虞榆盂逸俞		
y	34	语雨宇禹羽于予与吁		
y	53	谕誉逾瑜渝驭娱愉郁育玉御预遇寓愈芋喻裕欲☐{器物因使用时间久而受到磨损}		
pa	213	巴芭疤扒笆粑八{腊月腊~}		
pa	33	八{~月}膊拔		
pa	34	巴{黄~的}把靶		
pa	53	霸把罢爸耙坝		
pʰa	213	趴啪		
pʰa	33	爬耙筢扒		
pʰa	34	☐{形容词叠音后缀，加强程度 水~~}		
pʰa	53	怕		
ma	213	妈抹麻{黑天地~}蚂		
ma	33	麻蟆		
ma	34	马码蚂		
ma	53	骂		
fa	213	发{~财}		
fa	33	发{理~店}伐罚阀法乏垡		
ta	213	嗒{象声词}大{父亲}搭耷答		
ta	33	靼沓答达☐{又音。雨~子，订在门窗上方用来防雨的一种用具}☐{~tʰan子，用于方便上下的东西，作用类似于楼梯}		
ta	34	打		
ta	53	大大{母亲}		
tʰa	213	蹋塔塌遢		
tʰa	33	☐{又音。雨~子，订在门窗上方用来防雨的一种用具}		
tʰa	34	他		
la	213	啦垃拉蜡辣		
la	33	拿拉{白茨~的}旯腊		
la	34	喇哪☐{分开}☐{稀~的}		
la	53	那		
ʦa	213	楂渣扎喳匝☐{~巴，干泥巴}		
ʦa	33	闸炸铡砸杂☐{~毛，形容词，指难以捉摸}		
ʦa	34	咋眨☐{量词，大拇指与中指张开的长度}		
ʦa	53	诈榨炸蚱栅{~菜园}		
ʦʰa	213	叉杈差插擦嚓衩馇碴{胡子拉~的}		
ʦʰa	33	茶搽茬查察叉镲碴☐{好}		
ʦʰa	34	蹅		
ʦʰa	53	岔诧汊		
sa	213	沙纱洒靸砂杀撒		
sa	33	刹☐{一种迷信说法}		
sa	34	傻洒撒		
sa	53	沙啥☐{过滤}		
ka	213	嘎{又音}☐{象声词}☐{牵咩~，一种游戏}		
ka	33	☐{~~干，什么也没有，夸张味极浓}		
ka	34	嘎{又音}		
kʰa	213	咔		
kʰa	34	卡{关~}咖		
kʰa	53	☐{胯下}		
xa	213	哈		
xa	33	哈☐{将其所需的东西随便地聚在一起}		
xa	34	哈		
xa	53	蛤{~蟆镜}哈		
ɣa	213	啊阿		
ɣa	33	啊		
ɣa	34	啊		
ɣa	53	啊		
pia	213	☐{又音，象声词，物体摔倒声}		
pia	33	☐{又音，象声词，物体摔倒声}		
pʰia	213	☐{又音，象声词，物体摔倒声}		
pʰia	34	☐{指酒淡而无味}		
pʰia	53	☐{又音，象声词，物体摔倒声}		
mia	33	☐{象声词，多指猫叫声}		
lia	33	☐{~的，骂人的话}		
lia	34	俩		
ʨia	213	家加嘉佳茄{雪~}枷迦袈夹		
ʨia	33	家{~当}浃夹甲胛钾		
ʨia	34	假贾匣		
ʨia	53	假架驾嫁稼价		
ʨʰia	213	掐		
ʨʰia	33	☐{跨，这条沟他~不过去}		
ʨʰia	34	卡恰		
ʨʰia	53	☐{象声词，多指镲的响声}		
ɕia	213	虾瞎蟹{又音}		
ɕia	33	霞遐瑕暇峡狭侠辖		
ɕia	53	下夏吓{文读}		
ia	213	呀{又音}丫涯{又音}鸭押压		
ia	33	牙讶芽崖衙涯{又音}		
ia	34	雅哑		
ia	53	亚轧		
ʦua	213	抓		
ʦua	34	爪		
ʦʰua	213	欻		
ʦʰua	34	☐{抢}		
sua	213	刷唰{象声词}		
sua	33	☐{~快，形容人利落、动作迅速}		
sua	34	耍☐{头朝下栽下来了，他一头~下来了}		
sua	53	刷{~白}		
kua	213	瓜刮{~风}鸹呱{又音}		
kua	33	呱{又音}		
kua	34	寡剐刮		
kua	53	挂卦褂		
kʰua	213	夸☐{象声词}		
kʰua	33	☐{用力较轻地刮}		
kʰua	34	侉垮		
kʰua	53	跨挎胯		
xua	213	花划{~开}哗		
xua	33	华划{~算}滑猾铧哗		
xua	53	化画话划{计~，~分}		
ua	213	蛙挖袜哇		
ua	33	娃		
ua	34	瓦☐{舀}		
ua	53	洼凹☐{老~子，一种水鸟}		
po	213	波菠玻钵剥拨播驳		
po	33	簸薄勃脖博簿搏帛☐{搂~，让小孩子用双手在别人的脸上来回抚摩，以此来逗小孩子玩}		
po	34	簸		
po	53	簸		
pʰo	213	坡泼鄱瀑剖魄{新派}迫{新派}		
pʰo	33	婆		
pʰo	53	破		
mo	213	沫摸末		
mo	33	魔磨摩馍莫蘑谋{参~长}模{ ~具，~样}漠末膜寞		
mo	34	某谋抹		
mo	53	磨抹没{文读，~收}☐{到}		
tuo	213	多哆☐{用手往上托}		
tuo	33	夺		
tuo	34	朵躲		
tuo	53	剁垛堕跺		
tʰuo	213	拖脱托☐{成人两臂平伸时的长度}☐{老~子}		
tʰuo	33	驼驮		
tʰuo	34	妥椭☐{躲避，逃避}		
luo	213	落烙骆洛络懦漯☐{紧紧地攥住}		
luo	33	挪罗锣萝箩骡螺逻乐{白读，老派，快~}略掠		
luo	34	裸		
luo	53	摞糯		
ʦuo	213	捉桌☐{在不好的行为或方面慢慢积累}☐{~心，因吃了比较辛辣的食物而觉得胃部比较难受}撮		
ʦuo	33	酌卓琢啄镯灼茁拙浊着{~火}作凿昨☐{丁丁~，食指或中指弯起的部位，常用它来打小孩}		
ʦuo	34	左佐		
ʦuo	53	坐座		
ʦʰuo	213	搓磋撮戳☐{摸，别~它，它爱咬人}		
ʦʰuo	33	锄矬☐{让狗咬猎物的声音}		
ʦʰuo	34	楚础☐{老~，山猫，现多用来骂人}		
ʦʰuo	53	痤挫锉错措		
suo	213	梭缩{~头乌龟}嗦嗍梳		
suo	33	缩勺塑硕		
suo	34	所索琐数		
suo	53	数烁		
zuo	33	若弱		
kuo	213	郭{又音}锅☐{唤狗声}		
kuo	33	锅{~洞，灶膛}郭{又音}		
kuo	34	果裹掴{用巴掌打}		
kuo	53	过		
kʰuo	213	棵{老派}科{老派}颗{老派}☐{用棍子等从上或从下用力地打}		
kʰuo	33	阔扩括廓		
kʰuo	53	课{老派}		
xuo	213	霍{姓}豁攉		
xuo	33	和{又音}活		
xuo	34	火伙		
xuo	53	货祸和{又音}霍{~乱}		
uo	213	挝倭{~瓜}窝握涡沃☐{使其皱，他把信~了 }☐{~起来，藏起来}		
uo	34	我		
uo	53	卧		
ʨyo	213	脚{手~}觉☐{半圆形非肉馅的面食，可蒸可煮}		
ʨyo	33	爵嚼脚{~布}☐{~应，麦粒肿}☐{傲慢}		
ʨyo	34	角		
ʨʰyo	213	雀{麻~子}☐{下流，巧合}☐{打烂，打碎，打，我那天狠狠~他一顿}		
ʨʰyo	33	鹊却{老派}确雀{~子}		
ɕyo	213	削		
ɕyo	33	学		
yo	213	约{丈量，把这地~~}钥{老派，又音}药岳哟{又音，表惊奇}		
yo	33	约{~分，~束}钥{老派，又音}虐乐{老派，音~}		
yo	34	哟{又音，表惊奇}		
yo	53	哟{突然想起，略带遗憾}		
lɤ	33	乐{文读}乐{新派，音~}		
ʦɤ	53	这{又音}		
ʦʰɤ	213	吃{老派}		
kɤ	213	歌割咯		
kɤ	33	哥{~们}各搁阁格革{文读}角{动物的角}☐{~耳，蚌}☐{又音，表反复问的疑问副词}		
kɤ	34	哥		
kɤ	53	个☐{又音，表反复问的疑问副词}		
kʰɤ	213	蝌壳棵{新派}科{新派}颗{新派}磕		
kʰɤ	33	瞌☐{又音，表反复问的疑问副词}		
