字	音	注
碑	pi[1]	
卑	pi[1]	
蓖	pi[17]	1～麻
被	pi[17]	～告
蔽	pi[5]	
敝	pi[5]	
弊	pi[5]	
閉	pi[5]	
臂	pi[5]	
陛	pi[6]	
彼	pi[6]	
比	pi[6]	
□	pi[6]	用手指指
秘	pi[12]	1～書
琵	pi[11]	～琶
枇	pi[11]	～杷
□	pi[11]	～籃：一種籃子
□	pi[11]	～□□βa11βet5：蝙蝠
□	pi[11]	十～隻：十來個
批	pʰi[1]	信件；蜀～
披	pʰi[1]	
悲	pʰi[1]	
非	pʰi[1]	
飛	pʰi[1]	2～機，～鸞：地名
蓖	pʰi[17]	2～麻
疕	pʰi[6]	痂
鄙	pʰi[6]	
匪	pʰi[6]	土～
□	mi[22]	□nam11～□ei22：螢火蟲
米	mi[6]	
美	mi[6]	
耳	mi[6]	2木～
秘	mi[12]	2～書
知	ti[1]	
蜘	ti[1]	
雉	ti[17]	～雞：山雞
池	ti[2]	池塘
馳	ti[2]	
底	ti[6]	1城～：城裡，做月～：坐月子
抵	ti[6]	
弟	ti[6]	1兄～：弟弟
□	ti[9]	剛
黐	tʰi[1]	魚的黏液
啼	tʰi[2]	讀字
剃	tʰi[5]	
日	ni[17]	2～頭晝：中午應該是[net2]的弱化形式。
脂	ni[17]	胭～
□	ni[6]	□tɕin24～：怎麼
地	ni[0]	1慢慢～：慢慢地
離	li[2]	
籬	li[2]	
濾	li[5]	1～豆漿；潷
例	li[6]	
李	li[6]	□pʰu55～：李子；姓
裡	li[6]	
里	li[6]	距離單位
理	li[6]	
鯉	li[6]	
□	li[6]	□lɔ44～：穿山甲
□	li[12]	無～□ai22：疲勞
施	si[1]	
屍	si[1]	
司	si[1]	
絲	si[1]	
詩	si[1]	
匙	si[2]	
世	si[5]	
勢	si[5]	
逝	si[5]	
誓	si[6]	
死	si[6]	
支	tɕi[1]	1
芝	tɕi[1]	
之	tɕi[1]	
□	tɕi[1]	老～：女陰
自	tɕi[17]	1～家：自己
□	tɕi[17]	～□len553：用功
祭	tɕi[5]	
際	tɕi[5]	
制	tɕi[5]	
製	tɕi[5]	
□	tɕi[5]	～雪：下雪
紫	tɕi[6]	
