#湖南泸溪梁家潭乡话同音字汇			
#方言 2016 年第 4 期 481—495 页( 2016 年 11 月 24 日出版于北京)			
#作者：陈 晖			
#湖南师范大学文学院 长沙			
#转录者 DaiDzao			
IPA	调类	调值	例字
tsɿ	3	51	子=[～梗: 脖子; 吐 ～ : 唾沫]字=[八～鬍]自=[～由棍:手杖]巳[(时辰)]梓[(人名)]
tsɿ	7	41	子=[时辰: ～ 时; 私生～]
sɿ	1	44	私[(又读si44)]司[老～ : 一种迷信活动的主持者。又见siɛ44]师=[老～]
sɿ	3	51	事=[当大～ : 办丧事]
dzɿ	2	24	祠池慈[地名: ～ 利]磁
tʂʅ	1	44	枝[树～]
tʂʅ	3	51	指[动词，又见tsa51]
tʂʅ	5	13	只[～有]□[～～娘:蜘蛛]痣翅痔置
tʂʅ	7	41	汁至[冬～]蛰[惊～]
tʂʰʅ	1	44	□[鸡～:鸡肫]十[(既可作系数词，又可作位数词，又见ʂʅ44)]拾摛[～手:伸手∥《广韵》平声支韵丑知切，舒也。]
tʂʰʅ	3	51	齿[牙～，又见ʂʅ51]鹚[鸬～]□[□lu24～:猫头鹰]□[～药:搽药]
ʂʅ	1	44	十[主要作位数词，如三～，四～，又见tʂʰʅ44]
ʂʅ	2	24	时实识试食=[粮～]
ʂʅ	3	51	屎齿[马～苋，又见tʂʰʅ51]豉[豆～]□[□uo24～:母之妹]□[脚～头:膝盖]势使=[特～:故意]视柿[～饼]士棋子侍[惯～:娇惯]
ʂʅ	7	41	室=[教～]饰[首～]
ʐʅ	2	24	儿[雀～:鸟;两娘～:娘儿俩]耳=[木～]日=[星期～]
pi	1	44	蓖[～麻]□[～子骨:肋骨;排骨]椑[~pu22子:一种野生的小柿子∥《广韵》平声支韵府移切:“椑，木名，似柿。”《集韵》平声支韵宾弥切:“椑，木名，实似柿而青。”]蜱[～虫:臭虫∥《广韵》平声支韵府移切:“尔雅曰:蟷蠰，其子蜱蛸。”]
pi	2	24	枇[～杷]
pi	3	51	比
pi	5	13	闭鼻笔=[量词:一～款]
pi	7	41	憋逼[～子棋:当地流行的一种棋游戏]壁滗[～酒:斟酒;～米汁:滗米汤//《广韵》入声鄙密切，去滓]
pʰi	1	44	别[～针]
pʰi	5	13	屁
bi	2	24	篦[～梳:篦子]皮=[～球]疲[~软;稀薄(与稠相对)]
bi	5	13	屄
mi	1	44	篾棉[麦～:棉花，又读miε44]
mi	3	51	米蚁明=[清～，聪～，又见mĩ44]
mi	5	13	沕[～水:潜水]谜麺[(面条儿)]味[口～]
mi	7	41	迷[转～了:转晕了]
fi	1	44	非飞
fi	2	24	肥粪费[～力]
fi	3	51	匪虺[蛇//《广韵》上声尾韵许伟切，蛇虺]
fi	5	13	肺痱
vi	3	51	未[(时辰)]
ti	1	44	多今□[夜毛～～:萤火虫]
ti	2	24	滴[(动词)]□[～儿:男阴，又读tiε24]敌
ti	3	51	抵递□[洋～角:猕猴桃]弟[徒～]
ti	5	13	第
ti	7	41	摘嫡
ti	0	22	子[(名词后缀，枱～:桌子)]
tʰi	1	44	拖侄屉[～箱:抽屉，又读ti13]
tʰi	3	51	体[～材:身材]
tʰi	5	13	替[～牙齿:换牙]屉[～箱:抽屉，又读tʰi44]
tʰi	7	41	及[来不～]踢
di	1	44	提堤
di	2	24	啼[鸡～，又见li24]
li	1	44	犁□[表程度深，苦～了:苦极了]
li	2	24	啼[～面:哭脸，又见di24]迟离
li	3	51	履[(鞋子)]荔
li	5	13	地粒厘立[～春]历=[阴～]
