音标	调类	调值	辖字
金韵			
tɕin	1	55	金今精筋京斤觔經荆襟巾矜驚陘鯨{俗音}晶{俗音}檠{俗音}擎{俗音}勍{俗音}涇黥衿
tɕʰin	1	55	卿輕清{俗音}青{俗音}親{俗音}欽蜻{俗音}侵{俗音}菁{俗音}嶔衾浸駸圊
dʑin	2	12	琴情{俗音}寻晴{俗音}禽{俗音}勤秦{俗音}餳芩檎懃螓{俗音}殑𥉜涔檠擎勍岑
ȵin	2	12	寜{俗音}吟迎凝獰{俗音}嚚狺銀濘嚀齗
jin	1	55	音因姻纓嬰慇殷鸚鶯陰禋歅韺攖瘖膺鷹英茵堙瑛氤絪櫻胭嫈湮
ɕin	1	55	新心薪辛欣惞忻歆星{俗音}興腥𦎬猩{俗音}醒{俗音}惺{俗音}騂莘鯹{俗音}馨{俗音}
ʑin	2	12	形刑型仍绳
jin	2	12	寅淫盈贏嬴霪籝銀{俗音}瀛婬夤行
pin	1	55	賓鑌蠙臏豳兵冰并彬份斌嬪濱
pʰin	1	55	䛣娉艵
bin	2	12	平坪瓶缾憑馮貧顰蘋嚬幈苹枰屏評頻
min	2	12	明民氓鳴铭名盟蟁萌茗珉岷冥蓂溟閩暝瞑旻
tin	1	55	丁釘仃疔汀奵
tʰin	1	55	㕔聽
din	2	12	庭廷亭停霆蜓渟
nin	2	12	鄰麟遴燐鳞綾菱蔆蕶臨林零鈴齡苓玲霖伶惏靈磷陵泠痳棱崚凌聆翎竛羚蛉淋稜囹彾寧獰
tsin	1	55	精睛津晶
tsʰin	1	55	清親祲蜻侵青
dzin	2	12	情秦晴螓
sin	1	55	星腥醒惺𦎬
zin	2	12	神
tʃin	1	55	真鍼箴珍砧碪鉦正征瞋唇{驚也}徵烝振楨斟禎畛佂
tʃʰin	1	55	稱穪蟶瞠赬
dʒin	2	12	成城誠臣丞陳乘承酲盛䄇程塵沈{浮~}𤴺懲澄忱諶呈愖
ʃin	1	55	身深升紳琛陞呻伸勝聲
ʒin	2	12	人辰脣壬仁宸蜃
锦韵			
tɕin	3	42	錦緊井謹景僅饉{俗音}頸警憬境
tɕʰin	3	42	請{俗音}寢寖
dʑin	3	42	唫蕈靖
ȵin	3	42	听憖
jin	3	42	影引蚓癮郢飲靷潁穎
ɕin	3	42	醒謦
ʑin	3	42	忍
pin	3	42	丙柄怲秉炳餅𮇛摒迸屏禀
pʰin	3	42	品
bin	3	42	竝
min	3	42	敏閔憫皿黽愍
tin	3	42	頂鼎𣇄𠟭{人頂。原书字形模糊，可能不是此字。}
tʰin	3	42	梃鋌挺町
din	3	42	誔艇
nin	3	42	領廩嶺懍凛
tsʰin	3	42	請
sin	3	42	㰮
tʃin	3	42	枕整拯袗診畛巹賑
tʃʰin	3	42	逞騁趻
dʒin	3	42	朕
ʃin	3	42	審嬸忍{俗音}沈{姓}矧
ʒin	3	42	蜃忍
lin	3	42	冷
镜韵			
tɕin	5	35	鏡進晉徑勁竟競敬縉噤脛搢獍逕齽
tɕʰin	5	35	浸{俗音}慶罄磬穽靘{俗音}鋟{俗音}凊{俗音}𨆪㵾
dʑin	6	24	靜{俗音}淨近盡燼藎槿覲贐賮靖瑾墐饉
ȵin	6	24	吝{俗音}悋{俗音}甯{俗音}佞{俗音}靳
jin	5	35	幸印映倖應醉酳胤廕
ɕin	5	35	姓性信{俗音}訉{俗音}迅釁臖衅
ʑin	6	24	孕
pin	5	35	並并併殯鬢擯儐
pʰin	5	35	聘
bin	6	24	病
min	6	24	命黽
tin	5	35	訂釘錠{鐙~豆也有足曰~无足曰鐙}
tʰin	5	35	聽
din	6	24	定錠{金銀~}
nin	6	24	令另吝悋甯磷
