汉字	白读	文读	多音字补充	声调			编号
阿	a55			调类	调值	前变调调值	
阿		ɔ55	阿胶	阴平	55	33	1
多		tɔ55		阳平	24	33	2
他	tʰa55			阴上	52	44	3
拖	tʰua55	tʰɔ55		阳上	（归阳去）	（归阳去）	
娑		sɔ55		阴去	31	41	5
羅（罗）		lɔ24		阳去	33	31	6
鑼（锣）		lɔ24		阴入	2	5	7
籮（箩）	lua24	lɔ24		阳入	5	2	8
囉（啰）		lɔ24					
挪		nɔ24					
左		tsɔ52					
佐		tsɔ52					
搓		tsʰɔ55					
做		tsɔ31					
個（个）	kai24	kɔ31					
哥		kɔ55					
歌	kua55	kɔ55					
軻（轲）		kʰɔ55					
柯		kʰɔ55					
可		kʰɔ52					
何		hɔ24					
河		hɔ24					
荷		hɔ24					
苛		kʰɔ55					
鹅		ɡɔ24					
蛾		ŋɔ24					
俄		ŋɔ24					
餓（饿）		ŋɔ33					
我	ɡua52，ua52						
舵		tɔ33					
駝（驼）		tʰɔ24					
陀		tʰɔ24					
馱（驮）		tʰɔ24					
賀（贺）		hɔ33					
茄		kiɔ24					
戈		kɔ55					
播		pɔ31					
簸	pua31						
跛	pai55（训）	pɔ52					
坡		pʰɔ55					
波		pɔ55					
玻		pɔ55					
婆		pɔ24					
破	pʰua31	pʰɔ31					
頗（颇）		pʰɔ55					
磨	bua24	mɔ24					
摩		mɔ24					
魔		mɔ24					
和		hɔ24					
禾		hɔ24					
祸		hɔ33					
朵		tɔ52					
躲		tɔ52					
剁		tɔ31					
妥		tʰɔ52					
唾	tʰua31						
惰		tɔ33					
堕		tɔ33					
糯		nɔ33					
螺	le24						
摞		lɔ52					
騾（骡）		lɔ24					
果		kɔ52					
棵		kʰɔ55					
窠		kʰɔ55					
顆（颗）		kʰɔ55					
課（课）		kʰɔ31					
裸		lɔ52					
粿	kue52						
坐	tse33						
座		tsɔ31					
挫		tsʰɔ31					
銼（锉）		tsʰɔ31					
矬		tsʰɔ24					
鎖（锁）		sɔ52					
瑣（琐）		sɔ52					
蓑		sɔ55					
唆		sɔ55					
梭		sɔ55					
腡（脶）		lɔ24					
鍋（锅）		kɔ55					
過（过）	kue31	kɔ31					
禍（祸）		hɔ33					
窩（窝）		ɔ55					
倭		ɔ55					
涴		ɔ31					
科		kʰɔ55					
蝌		kʰɔ55					
貨（货）	hue31						
火	hue52						
夥（伙）	hue52						
靴	hue55						
訛（讹）		ɔ24					
臥（卧）		ɔ33					
瘸	kʰue24						
帕		pʰa31					
怕		pʰa31					
巴		pa55					
疤		pa55					
芭		pa55					
爸		pa33					
把		pa52					
琶		pʰa24					
爬	pe24						
欛（杷）		pʰa24					
杷		pʰa24					
壩		pa31					
垻（坝）		pa31					
蟆		ma24					
馬（马）	me52						
媽（妈）		ma33					
碼（码）	me52						
罵（骂）	me33						
茶	te24						
搽		tsʰa24					
查	tsʰe24						
渣		tsa55					
詫（诧）		tsʰa31					
榨		tsa31					
詐（诈）		tsa31					
炸		tsa31					
乍		tsa31					
叉		tsʰa55					
杈		tsʰa55					
汊		tsʰa55					
岔		tsʰa55					
灑（洒）		sa52					
差		tsʰa55					
拿		na24					
紗（纱）	sua55	sa55					
沙	sua55	sa55					
砂	sua55	sa55					
傢（家）	ke55						
家	ke55	ka55					
稼	ke31						
嫁	ke31						
蝦（虾）	he55						
假	ke31						
假	ke52						
霞		ha24					
瑕		ha24					
遐		ha24					
暇	he33						
賈（贾）	ke52						
價（价）	ke31						
加	ke55						
枷		ka55					
架	ke31						
駕（驾）	ke31						
嘉	ke55						
牙	je24						
芽	je24						
鴉（鸦）		ŋa55					
雅		ŋa52					
訝（讶）		ŋa52					
迓		ŋa52					
衙	je24						
丫		a55					
亞（亚）		a31					
啞（哑）		ia52					
夏	e33						
廈（厦）	he33						
下	e33	ia33					
麻	mua24	ma24					
嗟	tsia55						
些		se55					
且	tsʰia52						
姐	tsia52						
褯	tsia31						
蔗	tsia31						
寫（写）	sia52						
瀉（泻）	sia31						
卸	sia33						
邪	tsʰia24						
斜	tsʰia24						
謝（谢）	sia33						
爹	tia55						
遮	tsia55						
者	tsia52						
車（车）	tsʰia55						
扯	tsʰia52						
射	sia33						
奢	sia55						
佘	sia55						
賒（赊）	sia55						
赦	sia31						
捨（舍）	sia31						
舍	sia31						
社	sia33						
野	ia52						
惹	dzia52						
耶	ia24						
椰	ia24						
爺（爷）	ia24						
冶	ia52						
也	ia52						
夜	ia33						
傻	sɔ24						
蛇	tsua24						
瓜	kue55						
蝸（蜗）		ɔ55					
剮（剐）		kua52					
夸		kʰua55					
咵		kʰua55					
誇（夸）		kʰua55					
垮		kʰa31					
跨		kʰa31					
花	hue55	hua55					
化	hue31	hua31					
華（华）		hua24					
蛙		ua55					
洼		ua55					
瓦	hia33	ŋa52					
耍		sa52					
布	pou31						
怖	pou31						
佈	pou31						
鈽（钸）	pou55						
普	pʰou52						
譜（谱）	pʰou52						
補（补）	pou52						
鋪（铺）	pʰou33						
脯	pou52						
埔	pou31		梅州大埔				
埔	pou33		广州黄埔				
浦	pʰou52						
蒲		pu24					
捕	pou52						
菩		pu24					
簿	pʰou33						
模	mɔ24						
膜	mɔ24						
暮	mou33						
墓	mou33						
募	mou33						
部	pou33						
步	pou33						
埠	pou33						
都	tou55	tu55					
賭（赌）		tu52					
堵		tu52					
蠹	tou31						
度	tou33						
渡	tou33						
鍍（镀）	tou33						
徒	tʰou24						
妒	tou31						
土	tʰou52						
杜	tou33						
肚	tou52						
吐	tʰou31						
兔	tʰou31						
屠	tʰou24						
圖（图）	tou24						
途	tou24						
塗（涂）	tʰou24						
奴	nou24						
努	nou52						
