汉字	ipa	声母	韵母	声调
爸	pa53	p	a	陰平53
疤	pa53	p	a	陰平53
巴	pa53	p	a	陰平53
爬	pa31	p	a	陽平31
把	pa55	p	a	陰上55
霸	pa45	p	a	陰去45
欛	pa45	p	a	陰去45
壩	pa45	p	a	陰去45
罢	pa213	p	a	陽去213
麻	pʰa31	pʰ	a	陽平31
媽	pʰa55	pʰ	a	陰上55
馬	pʰa24	pʰ	a	陽上24
罵	pʰa213	pʰ	a	陽去213
花	fa53	f	a	陰平53
化	fa45	f	a	陰去45
打	ta55	t	a	陰上55
他	tʰa53	tʰ	a	陰平53
它	tʰa53	tʰ	a	陰平53
拿	na31	n	a	陽平31
抓	tʃa53	tʃ	a	陰平53
渣	tʃa53	tʃ	a	陰平53
詐	tʃa45	tʃ	a	陰去45
榨	tʃa45	tʃ	a	陰去45
炸	tʃa45	tʃ	a	陰去45
差	tʃʰa53	tʃʰ	a	陰平53
別	tʃʰa53	tʃʰ	a	陰平53
差	tʃʰa53	tʃʰ	a	陰平53
價	tʃʰa53	tʃʰ	a	陰平53
叉	tʃʰa53	tʃʰ	a	陰平53
差	tʃʰa53	tʃʰ	a	陰平53
參	tʃʰa53	tʃʰ	a	陰平53
差	tʃʰa53	tʃʰ	a	陰平53
岔	tʃʰa45	tʃʰ	a	陰去45
沙	ʃa53	ʃ	a	陰平53
紗	ʃa53	ʃ	a	陰平53
茶	ʃa31	ʃ	a	陽平31
查	ʃa31	ʃ	a	陽平31
搽	ʃa31	ʃ	a	陽平31
耍	ʃa55	ʃ	a	陰上55
灑	ʃa55	ʃ	a	陰上55
家	ka53	k	a	陰平53
加	ka53	k	a	陰平53
嘉	ka53	k	a	陰平53
假	ka55	k	a	陰上55
賈	ka55	k	a	陰上55
嫁	ka45	k	a	陰去45
駕	ka45	k	a	陰去45
稼	ka45	k	a	陰去45
價	ka45	k	a	陰去45
假	ka45	k	a	陰去45
卡	kʰa55	kʰ	a	陰上55
牙	ŋa31	ŋ	a	陽平31
芽	ŋa31	ŋ	a	陽平31
瓦	ŋa24	ŋ	a	陽上24
雅	ŋa24	ŋ	a	陽上24
蝦	xa53	x	a	陰平53
霞	xa31	x	a	陽平31
瓜	kʷa53	kʷ	a	陰平53
寡	kʷa55	kʷ	a	陰上55
掛	kʷa45	kʷ	a	陰去45
卦	kʷa45	kʷ	a	陰去45
垮	kʰʷa53	kʰʷ	a	陰平53
誇	kʰʷa53	kʰʷ	a	陰平53
跨	kʰʷa53	kʰʷ	a	陰平53
鴉	øa53	ø	a	陰平53
啞	øa55	ø	a	陰上55
亞	øa45	ø	a	陰去45
下	ja24	j	a	陽上24
下	ja213	j	a	陽去213
火	fo	f	o	陰上
夥	fo	f	o	陰上
貨	fo	f	o	陰去
我	ŋo	ŋ	o	陽上
賀	xo	x	o	陽去
鍋	kʷo	kʷ	o	陰平
果	kʷo	kʷ	o	陰上
個	kʷo	kʷ	o	陰去
過	kʷo	kʷ	o	陰去
棵	kʰʷo	kʰʷ	o	陰上
課	kʰʷo	kʰʷ	o	陰去
窩	wo	w	o	陰平
禾	wo	w	o	陽平
和	wo	w	o	陽平
禍	wo	w	o	陽上
波	pø	p	ø	陰平
玻	pø	p	ø	陰平
坡	pø	p	ø	陰平
播	pø	p	ø	陰去
簸	pø	p	ø	陰去
簸	pø	p	ø	陽去
箕	pø	p	ø	陽去
頗	pʰø	pʰ	ø	陰上
破	pʰø	pʰ	ø	陰去
摸	mø	m	ø	陰平
魔	mø	m	ø	陰平
摩	mø	m	ø	陰平
磨	mø	m	ø	陽平
磨	mø	m	ø	陽去
多	tø	t	ø	陰平
駝	tø	t	ø	陽平
馱	tø	t	ø	陽平
朵	tø	t	ø	陰上
躲	tø	t	ø	陰上
左	tø	t	ø	陰上
妥	tø	t	ø	陽上
惰	tø	t	ø	陽去
搓	tʰø	tʰ	ø	陰平
拖	tʰø	tʰ	ø	陰平
妥	tʰø	tʰ	ø	陰上
又	tʰø	tʰ	ø	陰上
錯	tʰø	tʰ	ø	陰去
挪	nø	n	ø	陰去
糯	nø	n	ø	陽去
羅	lø	l	ø	陽平
鑼	lø	l	ø	陽平
籮	lø	l	ø	陽平
腡	lø	l	ø	陽平
蓑	θø	θ	ø	陰平
梭	θø	θ	ø	陰平
鎖	θø	θ	ø	陰上
瑣	θø	θ	ø	陰上
坐	θø	θ	ø	陽上
座	θø	θ	ø	陽去
歌	kø	k	ø	陰平
可	kʰø	kʰ	ø	陰上
蛾	ŋø	ŋ	ø	陽平
鵝	ŋø	ŋ	ø	陽平
俄	ŋø	ŋ	ø	陽平
餓	ŋø	ŋ	ø	陽去
