tsɿ[1]支枝肢资姿紫纸只姊之子梓孜止 	[5]自至字志致稚孜
tsʰɿ[1]疵呲此齿跐□（～楞，形容人反应慢）	 [2]雌瓷慈磁糍词祠辞	[5]刺赐翅次伺
sɿ[1]撕思丝私死使屎史失是（tʂʰəŋ[1]~，本来就）	[2]时	[5]是四肆示释事试匙
zɿ[1]□（拟声词）

tʂʅ[1]知蜘质织汁	[2]侄直值职	[5]滞制智治稚
tʂʰʅ[1]吃痴尺耻嗤 [2]持迟池驰 [5]赤斥侈
ʂʅ[1]湿式	[2]石识食蚀十	[5]适势饰
ʐʅ[1]日 [5]入（咒骂语）

pi[1]戾彼鄙比逼	 [2]鼻	[5]蔽弊敝毙闭避臂币毕□（动词，使某物无法移动）
pʰi[1]批披劈匹痞霹□（形容食物脱水后的口感） 	[2]皮疲脾啤琵	 [5]屁僻
mi[1]眯密蜜米 [2]迷谜弥糜 	[5]秘觅泌密
ti[1]堤滴低底抵邸 	[2]嫡狄敌笛坻题（～脑，头，有时也读[1]调）	[5]弟地第帝的
tʰi[1]梯踢体	[2]题提蹄	[5]替剃剔涕
ni[1]你拟逆倪 [2]泥尼	[5]腻匿溺
li[1]力立李礼里理鲤	[2]梨犁黎篱璃□（心～，形容吃了过甜的食物后心脏不适的感觉）	[5]例厉励丽历利砾力的雳
tɕi[1]鸡稽饥肌己纪几	[2]辑及急	[5]记计继寄系
tɕʰi[1]期欺启岂乞起□（较～，稍微）	[2]奇骑	[5]弃讫契气汽
ɕi[1]犀溪嘻徙喜兮嚱熄	[2]袭	[5]系戏息
tsi[1]即鲫疾缉挤积	[2]集寂		[5]济剂祭际
tsʰi[1]妻凄漆膝七	[2]齐脐	[5]砌戚
si[1]西夕昔悉洗玺	[2]席媳习	[5]细
i[1]医衣依揖蚁椅倚已液尾一以矣 	[2]仪移夷姨噫 	[5]艺谊义议姨宜亦亿癔

pu[1]补捕卜不 [2]不	[5]布怖抪步部
pʰu[1]铺扑瀑仆谱普	[2]仆饽浦蒲	[5]铺瀑
mu[1]没木母牡亩姆暮 	[2]模	 [5]慕墓募牧
nu[1]弩努 [2]奴	[5]怒
lu[1]氯鹿禄六绿鲁虏 [5]逯赂
fu[1]夫肤付跗府腑俯甫敷腐福 	[2]符扶芙浮幅	 [5]付赋傅赴
tsu[1]租祖阻组 [2]卒族足	
tsʰu[1]粗 	[5]醋促猝
