	註釋：-白讀；=文讀
#i	
p	[1a]碑枇{～杷}□{～麻：芝麻}[1b]悲[3]比鄙[5]蔽臂痹泌秘[6]敝弊幣斃避備
pʰ	[1a]披[3]彼[5]被{棉～}庇屁[2]皮疲脾琵[6]鼻
m	[1a]彌[5]美尾[2]迷謎糜眉楣微[6]寐媚味
f	[1a]麾非飛妃揮輝徽[3]匪菲疿翡[2]肥
v	[1a]威[3]委[5]偉畏[2]為{行～}遺圍違[6]衛為{～了}位胃謂
t	[1a]知-{唔～}滋[3]姊[6]地={～球}
tʰ	[1a]蹄-{馬～}臍[5]刺-{有～}賜{老派音}似[2]餈
n	[5]你{老派音}
l	[1b]璃□{這}[5]李裏理裏鯉[2]離籬梨狸釐[6]厲膩利痢吏
ts	[1a]肢姿資脂之[1b]知={～識}蜘支枝咨[3]紫只紙旨指子={孩～}梓止址趾[5]智致緻至置志痣誌[6]稚自峙痔治寺
tsʰ	[1a]雌疵癡[3]此侈恥齒始[5]刺={～刀}賜翅矢次={～品}廁[2]池馳遲瓷持慈磁祠詞辭飼
s	[1a]撕廝施獅={～子}螄屍思絲詩[1b]私[3]死屎史[5]四肆市伺試[2]匙時[6]氏是豉示視嗜士仕
z	[1a]衣依[1b]伊醫[3]倚椅[5]爾議懿擬已以矣意[2]宜移夷姨而怡飴異凝[6]易{容～}
k	[1a]閨肌飢几姬基機譏饑幾{～乎}龜歸[1b]羈[3]己紀杞幾{～多}詭軌鬼□{tʰɐi11～：大家}[5]桂寄記既季貴佢{他}[6]技妓忌
kʰ	[1a]稀規窺虧[1b]盔[3]逵[5]企徛愧[2]攜岐奇祁期其棋旗祈葵[6]□{～伏：門檻，原文作“地”}跪櫃
ŋ	[3]耳[5]你[2]兒儀誼疑[6]義議{老派音}二
h	[1a]欺嬉禧希[1b]羲熙[3]起喜豈[5]戲次-{一～}棄器汽氣[6]地-{田～}
#ɿ	
tsʰ	[2]自{～家ka35：自己}
#u	
p	[1a]夫-{姊～}[1b]斧[3]補[5]布佈怖訃[6]部捕步
pʰ	[1a]鋪{～開}[3]脯{胸～}譜普甫[5]鋪{店～}[2]菩葡蒲浦[6]簿埠
m	[3]舞[5]武侮鵡母拇莓{老派音}[2]摹模無[6]募墓慕暮務霧
f	[1a]膚孵麩敷[1b]呼夫={農～}俘[3]苦虎府俯腑脯{明～}撫釜[5]庫褲咐婦富副[2]乎扶芙符[6]輔腐父付賦赴附負
v	[1a]污烏芋[1b]塢[3]滸[2]狐胡壺葫湖蝴糊鬍[6]戶滬互護惡{可～}
t	[1b]都-{～係}[3]賭
l	[2]盧[6]露
k	[1a]辜枯[1b]孤姑[3]估古股牯{動物雄性}鼓蠱[5]固故雇錮顧
kʰ	[1a]箍
#y	
t	[3]子-{筷～}嘴[5]做巳醉[6]贅字
n	[6]涙
l	[3]女={～仔}[5]呂旅屢[2]驢雷{老派音}擂[6]慮濾累{積～}類
ts	[1a]豬諸誅朱珠硃追[1b]株蛛錐[3]煮主[5]著注駐蛀註鑄最[6]序敘聚
tsʰ	[1a]趨催摧崔吹炊[3]取[5]儲處柱趣[2]除徐廚櫥隨錘[6]住
s	[1a]書舒輸斯獅-{～頭}司雖[1b]須需樞師[3]暑鼠水[5]緒墅恕庶[2]薯殊垂誰{阿～：誰}[6]杵豎戍樹事侍瑞穗
z	[1b]淤於迂於[3]女-{女兒}[5]汝語予輿乳宇羽雨禹蕊[2]如魚漁余餘豫儒娛虞愚俞逾愉榆喻[6]御禦預譽愈遇寓裕鋭
