#i					
p	[1]卑碑俾悲{~傷}[2]脾{1，~胃}[3]彼鄙比庇□{嗅}譬[5]備啡{咖~店：茶館、早餐店}[6]婢匪蔽敝幣斃篦弊閉箅陛瘳秘{~書}				
pʰ	[1]琵枇丕胚坯披謨孛枇[2]皮裴鼻[6]屁脾				
m	[1]靡微維{2，~他：Vitamin}薇[2]糜彌迷謎眉楣黴{~：黴菌}惟遺唯維{1，~持}[3]米美[6]未=味媚				
t	[1]知[2]遲{~到}[3]□{□sɔ²¹□lɔ⁰~風：旋風}[6]地治稚置智致痔{2}□{~□mɛiŋ²¹³：早晚}				
tʰ	[1]癡堤蜘{~蛛}[2]馳持				
n	[1]□{□kui²¹³~：馬來語，包豐}[2]二貳[6]□{□ky²¹³~墿：捷徑路}□{連讀音，~夥：多少}[3]餌[5]膩				
l	[1]喱{咖~}[2]狸來-{~~去去}梨[3]履孛里裡鯉[5]吏[6]利痢莉理{道~}[11]□{□lɔi³³~：調皮}				
ts	[1]之□{□ŋuo⁵⁵~：彈珠}[3]旨只止址趾指{1，~頭}[5]字[6]雉志誌痣				
tsʰ	[1]鰭癡{~呆}[5]市□{拍~：打噴嚏}[6]豕矢嗤試				
s	[1]尸屍司={公~}絲詩[2]璽時鰣[3]死[5]是恃寺視氏示[6]四痔{1，~瘡}				
k	[1]基箕飢饑機譏肌祁岐葵祈沂逵期{星~}[2]奇其旗棋[3]几幾=己杞[5]忌冀既[6]技妓紀記				
kʰ	[1]欺[3]起豈齒[5]柿[6]器棄氣汽迄				
ŋ	[2]疑儀宜{便~}[3]耳{1，~朵}二				
x	[1]犧徒畦熙希稀非妃兮奚=飛={~機}[3]喜				
0	[1]伊醫衣依[2]而姨{變調，阿~}[3]爾以已耳{2}[2]姨{~~}兒{讀字，~子：囝囝}[6]未-憶意異毅				
#u					
p	[2]醭孵輔{~導}蚨{~蠅屎：雀斑}[5]婦-{新~：媳婦}[6]菢腹{~佬：肚子}				
pʰ	[1]浮瓠[2]菩[3]僕{~人}俘殕{東西腐敗長白膜}				
m	[3]牡拇母=姆{阿~：伯母、老太太}[5]未				
t	[1]都{~城}[2]徒{~弟}途塗圖[3]賭堵[6]妬{嫉妒}渡鍍都{~是}[5]度肚{魚~；腹~}杜				
tʰ	[3]土[6]吐兔				
n	[2]奴[3]努[5]怒				
l	[2]廬爐蘆廬櫨[3]魯虜滷[6]露鷺				
ts	[1]租={出~}[3]祖組阻主[6]註蛀				
tsʰ	[1]粗[3]楚[6]醋				
s	[1]蔬蘇酥穌[3]數{1，~一~}[6]詠嗉數{2，~學}				
k	[1]姑孤牯菇[3]久-古估股鼓攪{~動}[5]舅-[6]故固錮雇顧				
kʰ	[1]箍枯[3]苦[6]庫褲				
ŋ	[2]梧吳蜈牛-[3]午杵吾[5]五伍				
x	[1]呼{歡~；打~嚕}乎鬍夫膚敷麩[2]胡衚{~衕}湖狐壺糊符{姓氏；~咒}扶芙[3]斧=釜虎府腑俯甫腐{~敗；豆~}[5]付滸戶滬互護父婦=負焚[6]賦傅{太~；姓氏}赴訃{~告}附富副復咐{吩~}				
0	[1]烏污塢撫巫誣侮[2]無{~名指}[3]武舞鵡有-[5]務				
#y					
t	[1]豬诛蛛[2]除[5]箸{筷子}[6]住-{2}				
tʰ	[1]株褚殊[2]锄持{住~}[3]儲鋤{~頭}				
n	[1]女[3]你汝				
l	[3]呂稆旅縷屢鋁[5]慮濾				
ts	[1]眵資姿咨茲滋書-諸□{~儂囝：女孩子，原文記作諸}[2]瓷慈磁雛雌[3]子=梓煮[6]著拄聚自住=				
tsʰ	[1]蛆疵舒{~暢}[3]此取=娶{讀字}鼠處{2，相~}[6]次{第一~}處{1，~所；相~}趣				
s	[1]斯厮撕私師須需舒思{1，~想}輸{2，~入}司-{~機}鬚{鬍~}書={~記}[2]徐薯辭詞祠[3]史駛{駕~}始豉曙署{~名}暑{中~}塾{私~}[5]思{2，意~}似祀巳庶序緒事敘士{女~}仕獸{~棋}[6]恕賜飼嗣肆侍伺				
k	[1]居車{象棋用語}駒[2]渠[3]舉瞿矩□{~□ni³¹墿：捷徑路}[6]□{閹人}巨拒距拘懼俱具據鋸				
kʰ	[1]趨區驅樞				
ŋ	[2]魚漁愚=娛[3]語[5]御禦遇				
x	[1]墟虛嘘[3]許{姓氏；允~}				
0	[2]於淤余餘與迂于盂禹如虞榆愉予[3]雨宇羽儒乳={水~交融}[5]響預豫寓吁逾愈喻裕芋=				
#a					
p	[1]耙巴芭疤爸={~~：爹}叭{喇~}笆[2]爬琶杷鈀扒{~耳囝：掏耳朵}[3]飽把{~握；一~手；手~}[6]罷墉壩霸{~道}[5]爸{豬~：公豬}				
pʰ	[6]帕怕{讀字}				
m	[1]媽{讀字}貓[2]麻痲蟆[3]馬碼□{~□niʔ²¹頭：膝蓋}瑪[6]罵嫲{阿~：祖母}				
t	[2]茶[3]打				
tʰ	[1]他{讀字}				
n	[3]那{讀字}拿哪{讀字}				
l	[2]□{連續音，~□laŋ²¹³：軲轆}[1]拉垃{~渣：骯髒}[3]喇{~叭}				
ts	[1]楂渣{~滓}[2]查[3]早[5]炸{2，動詞：~東西}[6]炸{1，名詞：~彈}榨許乍				
tsʰ	[1]差{1，很~：很糟糕}叉岔杈滓{垃~：骯髒}[2]搽柴樵{木柴}[3]吵炒差{2，~不多}[11]□{食~：吃乾淨}				
s	[1]沙紗莎				
k	[1]膠-{橡~；沐~：地名，Mukah}家加痂嘉傢佳[3]咬假{真~}賈{姓氏}教{2，動詞：~書}咖{~喱}鉸[6]架駕嫁稼價假{~期}				
kʰ	[1]骹{腳}[3]敲-				
ŋ	[1]鴉[2]牙芽衙伢砑涯椏崖[3]雅□{厝~□laŋ⁵⁵：房契}				
x	[1]蝦哈蝦{等於蛤；~蟆}蛤{~蟆}[2]暇瑕[3]廈{2，大~；偏~}夏{春~；姓氏}[5]霞遐				
0	[3]□{彎/拗腰}啞亞阿{1，~拉伯；~哥~弟：哥哥弟弟}下{2，底~}丫{~頭}[6]廈{1，~門}下{1，~降}亞{聖母瑪利~}				
β	[33]□{個~亞：可芭雅，Kebaya}				
#ɔ					
p	[1]玻褒苞菠{~菜}剝{~皮}[2]袍葡{~萄}[3]保堡寶補捕[5]抱婆-簿=[6]報暴爆				
pʰ	[5]坡波頗婆={~羅洲：地名，Borneo}[3]破=[6]鋪{2，店~}				
m	[2]磨{1，~到；推~}摩魔無髦毛矛-{~盾}[3]母-[6]冒帽饃				
t	[1]多刀叨[2]駝馱陶萄逃[3]禱導島{~嶼}倒{1，~了}蹈[5]舵盗惰墿{路}揈?{索取，原文疑與掏混淆}[6]脰{~□lyɔŋ²¹³□ŋɔ³¹：脖子}道				
tʰ	[1]滔濤掏{讀字}偷{~講話：說悄悄話}[2]淘桃[3]橢討{1，乞~}討{2，~人：找人}娶-{~媳婦}[6]套				
n	[3]腦惱乇{什~}郎{~罷：父親}[5]撓{讀字}挪{讀字}				
l	[1]撈嘮澇囉鑼籮[2]勞牢羅[3]簍摟={~抱}裸老-{□：父親}[5]路{銷～}[6]陋=				
ts	[1]遭操{1，體～}[2]曹槽[3]左佐棗澡[5]皂灶[6]躁造做				
tsʰ	[1]腥搓操{2，曹～}[2]□{~親：迎親}[3]草騲糙[5]□{碾碎的豆子}[6]銼錯措				
s	[1]梭唆稍{~等：等多下}[3]鎖瑣嫂{～～}嗽{咳~}[9]□{~□lɔ⁰□ti²¹³風：旋風}[0]□{□sɔ²¹~□ti²¹³風：旋風}				
k	[1]歌哥高羔糕膏蒿{茼~}[3]稿彀搞咖{~啡店：茶館、早餐店}[6]告叫-犒個=胳{~落下：胳肢窩}				
kʰ	[3]考烤可[6]靠				
ŋ	[1]□{囝~：小孩子，原文記作羔}[2]俄蛾熬爊娥訛[3]藕-[6]傲餓鏊□{連讀音，脰□lyɔŋ²¹³~：脖子}				
x	[2]何豪壕毫荷{薄～；～花}[3]好{1，～壞}號{2，綽～}[6]賀耗好{2喜~}浩號{1，～碼}				
0	[1]阿{2，～膠}□-{吻}[2]河襖[6]懊奥澳[5]沃{~雨：淋雨}				
#œ					
l	[2]驢騾				
ts	[5]助				
tsʰ	[1]初				
s	[1]梳疏[6]黍				
#ɛ					
p	[1]稗碑{墓~}[2]排牌[3]擺				
m	[2]眉{面~角：鬢角}[3]買[5]寐{讀字}賣[6]昧𣍐{不會}				
t	[1]低[2]題蹄颱{~風}[3]涕抵底第{~幾個}[6]弟帝大{~家}事{~志：事情}				
tʰ	[1]梯=[2]提[3]體{1，~育}[6]替體{2，身~}				
n	[2]尼泥[3]奶-{乳汁，乳房}				
l	[2]璃犁黎[3]禮□{灑，讀成“麗”}[5]隸{奴~}儷{伉~}[6]恥厲勵麗曬{~太陽}				
ts	[1]災栽齋□{紅龜粿}𰫕{紅龜粿}[2]齊[3]擠紙[5]薺[6]濟				
tsʰ	[1]妻棲[6]廁=				
s	[1]西犀[3]洗穧{2，~少，原文記作少}屎{目~}□{2，~少，原文記作少}[5]掃{1，~帚}[6]婿細				
k	[1]街該-奎={泗里~：地名，Sarikei}家{頭~：老主顧}[3]解{講~；姓氏}[6]戒{~掉：改}芥{~蘭}				
kʰ	[1]溪[3]□{~落：丟了}				
ŋ	[2]倪[6]瞖				
x	[3]翡=				
0	[2]鞋[3]埃={~及}矮{~人}[6]會{1，~不~}				
#ai					
p	[3]敗				
pʰ	[6]壞=				
m	[5]邁[6]□{唔愛的合音，不要}				
t	[1]唉呆胎[2]台臺檯[3]戴[6]貸帶待殆怠代大{3，~學；~夫}				
tʰ	[1]篩{1，~子：名詞}梯-[2]抬苔[6]態太泰[3]腿{大~，小~}				
n	[3]乃奶=[6]耐奈				
l	[2]來=[5]賴癩攋				
ts	[2]才材財豺[3]在宰{~相}紙{~花}□{蜀~：一塊兒}[5]寨[6]再債載{~人；年~}在				
tsʰ	[1]猜釵差{讀字，出~：出門}[3]彩採{讀字}睬菜□{□tsʰiŋ⁵³~：馬來語，瞎說}□{~錢：零錢}[6]蔡				
s	[1]獅鰓簑篩{2，~選}[6]臍[3]屎使{大~}				
k	[1]皆該=[3]改芥械[6]溉介界尬屆丐個-{第幾~}蓋{~~：蓋子}				
kʰ	[3]開={~朗}概凱揩楷{~書}[6]慨				
ŋ	[5]碾[6]壞-{~人}				
x	[2]諧孩{讀字}[3]海[6]害亥駭				
0	[1]哀挨埃-{塵~}[3]藹埃{~及：地名}矮{~囝}[5]捱倚{~靠}艾=嬡{令~}[6]愛{~人}要{3，~不~}				
#au					
p	[1]包胞{雙~胎}[6]豹				
pʰ	[1]拋鮑泡{2，動詞，~在水裡}[3]跑刨[6]炮泡{1，水~}				
m	[2]茅矛=[3]畝[5]貌卯[6]帽{草~}				
t	[1]兜投蔸{量詞，棵}[3]抖陡[5]豆斗[6]罩稻				
tʰ	[1]偷[2]頭[6]透				
n	[5]鬧[6]陋{1，~室}				
l	[2]劉留流[5]繞[6]漏				
ts	[1]糟[3]竈蚤爪走[5]灶巢{窠窠}				
tsʰ	[1]抄鈔[3]臭[6]臊				
s	[1]梢捎[3]掃{動詞：～地}[6]嗽-				
k	[1]郊交勾溝骹{~囝□ŋa31，篩子}[2]猴[3]狗=遘[6]夠構購教{1，～育}校={～對}較遘				
kʰ	[1]摳瞘[3]口={～吃}叩扣				
ŋ	[3]藕={～斷絲連}偶{1，配～}				
x	[5]肖酵後-[6]孝效校{學～；上～}				
0	[1]凹{~凸不平}[5]坳靿後{~邊}				
#ia					
t	[1]爹				
n	[3]惹				
ts	[1]遮[3]者姐[6]蔗藉={1，～故}				
tsʰ	[1]奢車{～輛}[3]且				
s	[1]賖斜{～～：歪}笡{斜}[2]蛇邪[3]寫舍{宿～}捨[5]謝射[6]社瀉				
k	[2]茄[6]寄				
kʰ	[2]騎[5]□{站}□{住}徛{站，住}				
ŋ	[2]鵝[3]艾-蟻{螞～}				
0	[1]耶{～蘇}[3]也{～是}野[5]夜{讀字}				
#ie					
p	[5]避[6]臂				
pʰ	[1]批{～准；一～貨；信件，此意原文記作□}				
t	[2]池[6]弟{~~}				
tʰ	[2]啼[6]剃				
l	[1]釐[2]離籬[3]裏裡[5]例荔{~枝}				
ts	[1]支枝肢脂芝{靈～}[3]紫[6]祭際制製				
tsʰ	[2]茄{~仔：茄子；~瓜：黃瓜}[6]翅刺=				
s	[1]佘施些□{~乇：什麼，原文記作什}[2]匙[5]嗜舐{舔東西}[6]世勢誓逝卸				
k	[1]規{～矩}雞階圭閨奎-[2]□{~指：食指}[6]繼季桂計				
kʰ	[1]稽稭[3]啟啓企[6]契				
ŋ	[2]夷誼=[5]易{2，容～}蟹議藝艾{2}[6]義{～气}□-{～女：婢女}				
x	[1]奚-[2]攜[5]系慧惠繫{聯～}費{浪～；姓氏}[6]肺戲嬉廢係{~統}				
0	[2]移[3]椅				
#iu					
p	[1]標彪[3]表錶				
pʰ	[1]臚膘飄漂{1，～流}飄鰾[2]嫖[6]票薸漂{2，～亮}				
m	[1]錨[2]苗描渺謬[3]藐秒杳[5]廟妙{美～}				
n	[3]紐扭鈕[5]尿				
l	[1]鎦溜[2]燎療聊遼撩寥榴硫琉流[3]瞭柳了{~斷}[0]了{助詞}				
t	[1]刁貂丟=朝{今～}櫥{衣~：衣櫃}[2]綢潮朝{～代}調{3，～解}[5]趙兆宙調{1，音～}[6]住={2}釣弔掉召晝{～夜}紂調{2，～動}				
tʰ	[1]抽挑[2]籌調{4，風～雨順}柱{~~：柱子}[6]跳糶□{老～：小丑/搞笑}				
ts	[1]焦蕉椒醮昭招沼澆掫周舟州洲鳩[3]剿酒少{1，很～}睭{目~：眼睛}[6]照詔咒就{～職；～好}				
tsʰ	[1]悄超秋鞦鬚[2]樵[3]手帚{掃～}丑=醜樹-{～林：森林}[6]俏笑				
s	[1]蕭簫瀟修羞蒐收消宵霄硝銷燒韶泅休削[2]酬{應~}[3]小鞘首守銹{牙~}[5]壽授售[6]袖秀繡邵紹少{～年}				
k	[1]糾究膠={橡～}驕嬌喬[2]求球僑{華～}橋=蕎{~麥}[3]久=絞狡鉸餃攪矯繳九韭[5]舊舅=轎[6]窖叫=灸救臼柩				
kʰ	[1]敲=丘[2]囚[3]巧[6]竅咎				
ŋ	[2]堯饒橈牛=[3]擾=				
x	[1]囂[3]曉僥朽				
0	[1]憂優猶悠腰要{～求}么幽幺[2]油摇謠窯姚鷂尤郵由游肴淆柔揉[3]友有=舀[5]又右祐酉柚=釉鼬[6]要{1，重～}耀幼誘躍莠				
#ua					
pʰ	[6]破-{1，～柴}				
tʰ	[1]拖				
ts	[1]抓=				
s	[3]耍=				
k	[1]瓜[3]寡[6]掛卦{八～}褂				
kʰ	[1]誇侉[3]垮[6]跨				
ŋ	[1]□{□saŋ²¹~：醜旦}[3]瓦{～片；～牆}				
x	[1]花[2]鏵樺華{中～}[6]華{姓氏}化				
0	[1]窪挖蛙={青～}畦{（菜）畦}[2]話划-{船}[3]畫{1，名詞：圖～}				
#ui					
p	[1]飛-杯{~~：杯子}[2]培賠焙肥[3]吠榧[6]貝輩倍背{1，～面；～書}				
pʰ	[1]坯{土~}[2]陪皮-[5]被{~子}[6]配沛佩啡{～痰，原文記作吐}				
m	[2]梅枚媒煤玫[3]每尾[6]妹				
t	[6]隊墜大{2，～小}				
tʰ	[1]推{讀字}[2]槌錘-垂{1，～落來：～下來}[3]腿=				
n	[3]餧				
l	[3]儡壘蕊蘂[6]類淚				
ts	[1]錐追[3]水{喝～；～庫}[6]醉				
tsʰ	[1]吹炊催崔椎{脊~}[2]錘=[3]嘴咀喙{嘴}[6]碎脆粹翠				
s	[1]雖綏[2]髓隨誰=垂{2}[5]瑞[6]隧穗稅賽{1}睡=歲{2，～月}				
k	[1]乖龜歸鬏{女人頭上的髮髻}瑰皈[3]果-{～子：水果}詭拐{~杖}鬼軌癸幾-{第～個}□{~□ni⁵⁵：馬來語，包豐}[5]跪[6]櫃貴枴-{杖}檜{秦～；～樹}餜{馬來語，kuih}				
kʰ	[1]虧窺開-{～會；～門}[2]魁傀癸[6]潰愧劊{~子手}會{～計}快				
ŋ	[1]危[3]我[6]外魏				
x	[1]盔恢灰揮輝徽[2]回茴[3]賄悔毀火歲{1，幾～}[5]彙會{2，開～；公～}[6]晦匯繪				
0	[1]威歪{不正}[2]圍桅爲{2，作～}[3]煨僞萎委違葦緯偉[5]位[6]穢胃衛爲={1，～了}諱畏慰謂蝟				
#uo					
p	[3]脯{胸～；杏～}斧-補夫{丈~}[5]埠步部簿-[6]怖佈布				
pʰ	[1]菠鋪{1，～設}[3]普浦蒲譜				
m	[1]摸{讀字}晡{暝~：晚上}[2]摹模{～範；～子}[5]暮慕募戊[6]霧墓				
t	[2]屠廚[3]朵躲[6]灶{~房；廚房}跺{~骹：跺腳}				
tʰ	[3]妥				
n	[6]懦				
l	[2]蘿{~蔔}				
ts	[1]朱硃珠租-{～房}[2]鑄[5]駐[3]主{~唱}[6]注住{~持}				
tsʰ	[5]粟{~殼：稻，曝~房：曬穀場}[6]厝				
s	[1]輸{1，～贏}[3]所				
k	[1]蝸鍋過{1，～去}[3]果=裹[6]句過{2，～錯}				
kʰ	[1]科窠棵顆靴窩蹲-稞{青~}[2]瘸[6]課去{來來～～}				
ŋ	[1]□{~□tsi⁵⁵：彈珠}[5]悟臥[6]誤				
x	[1]忽{讀字}[2]禾和{～好；～麵}[3]夥□{～水：澆水}[5]禍[6]貨				
0	[1]倭窩[5]芋-{~頭}				
#ɔu					
pʰ	[1]柚-				
#yɔ					
k	[2]橋-				
0	[5]銳				
#ɛu					
pʰ	[1]剖[3]否[5]阜{地名：曲～}				
