			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			59	铺{～设}	pʰu45	pʰu45	pʰu25	pʰu45	pʰɐu55	pʰu33	pʰɜu11	pʰəu11	pʰɜu45
			60	簿	pʰu22	pʰu22	pʰu33	pʰu22	pʰɐu21	pʰu221	pʰɜu44	pʰəu33	pʰɜu22
			61	步	pʰu22	pʰu22	pʰu33	pʰu22	pʰɐu21	pʰu221	pʰɜu44	pʰəu33	pʰɜu22
			62	赌	tu24	tu13	tu11	tu13	tu24	tu55	tɜu55	təu55	tɜu33
			63	土	tʰu24	tʰu13	tʰu11	tʰu13	tʰu24	tʰu55	tʰɜu55	tʰəu55	tʰɜu33
			64	图	tʰu44	tʰu44	tʰu44	tʰu44	tʰu42	tʰu32	tʰɜu31	tʰəu31	tʰɜu35
			65	杜	tʰu22	tʰu22	tʰu33	tʰu22	tʰu21	tʰu221	tʰɜu44	tʰəu33	tʰɜu22
			66	奴	nu44	nu44	nu44	nu44	nu42	nu32	nɜu31	nəu31	nɜu35
			67	路	lu22	lu22	lu33	lu22	lu21	lu221	lɜu44	ləu33	lɜu22
			68	租	tʃu45	tʃu45	tʃu25	tʃu45	tʃu55	tʃu33	tʃɜu11	tsəu11	tʃiɜu45
			69	做	tʃu44	tʃu44	tʃu11	tʃu44	tʃu21	tʃu113	tʃɜu24	tsəu24	tʃu51
			70	错{～误}	tʃʰo44	tʃʰo44	tʃʰo11	tʃʰo44	tʃʰo21	tʃʰɔ113	tʃʰo24	tsʰu24	tʃʰu51
			71	箍	kʰu45	kʰu45	kʰu25	kʰu45	kʰu55	kʰu33	kʰɜu11	kʰəu11	kʰɜu45
			72	古	ku24	ku13	ku11	ku13	ku24	ku55	kɜu55	kəu55	kɜu33
			73	苦	fu24	fu13	fu11	fu13	hu24	hu55	hɜu55	həu55	hɜu33
			74	裤	kʰu44	fu44	hu11	fu44	hu21	hu113	hɜu24	həu24	hɜu51
			75	吴	ŋ44	ŋ44	ʔŋ44	ʔŋ44	ʔŋ42	ŋ32	ŋɜu31	ŋəu31	ŋɜu35
			76	五	ŋ24	ŋ13	ʔŋ11	ʔŋ13	ʔŋ33	ŋ33	ŋɜu33	ŋəu33	ŋɜu13
			77	虎	fu24	fu13	fu11	fu13	hu24	hu55	hɜu55	fu55	hɜu33
			78	壶	fu44	fu44	fu44	fu44	hu42	hu32	hɜu31	həu31	hɜu35
			79	户	fu22	fu22	fu33	fu22	hu21	hu221	hɜu44	həu33	hɜu33
			80	乌	ʔu45	ʔu45	ʔu25	ʔu45	ʔu55	ʔu33	ʔɜu11	ʔəu11	ʔɜu45
			81	女	nu24	nu13	nu11	nu13	noi33	nu33	nu33	nui33	nɜu35
			82	吕	lu24	lu13	lui11	lu13	loi33	lui33	lu33	lui33	lui13
			83	徐	tʃʰu44	tʃʰu44	tʃʰu44	tʃʰu44	tʃʰoi42	tʃʰui32	tʃʰu31	tsʰui31	tʃʰɜu35
			84	猪	tʃu45	tʃu45	tʃu25	tʃu45	tʃoi55	tʃui33	tʃu11	tsui11	tʃiɜu45
			85	除	tʃʰu44	tʃʰu44	tʃʰu44	tʃʰu44	tʃʰoi42	tʃʰui32	tʃʰu31	tsʰui31	tʃiɜu35
			86	初	tʃʰo45	tʃʰo45	tʃʰo25	tʃʰo45	tʃʰo55	tʃʰɔ33	tʃʰo11	tsʰu11	tʃʰu45
			87	锄	tʃʰo44	tʃʰu44	tʃʰo44	tʃʰo44	tʃʰo42	tʃʰɔ221	tʃʰo44	tsʰu31	tʃʰu22
			88	所	ɬo24	ɬo13	ɬo11	ɬo13	ɬo24	ɬɔ55	ʃo55	ɬu55	ɬu33
			89	书	ʃu45	ʃu45	ʃu25	ʃu45	ʃoi55	ʃui33	ʃu11	sui11	ʃiɜu45
			90	鼠	ʃu24	ʃu13	ʃu11	ʃu13	ʃoi24	ʃui55	ʃu55	sui55	ʃiɜu33
			91	如	iu44	iu44	iu44	iu44	ioi42	iui221	ȵiu31	iui31	iɜu35
			92	举	ku24	ku13	ki11	ku13	koi24	kui55	ku55	kui55	kɜu33
			93	锯	ku44	ku44	ku11	ku44	koi21	kui113	ku24	kui24	kɜu51
			94	去	hu44	hu44	hu11	hu44	hoi21	hui113	hoi24	hui24	hɜu51
			95	渠	kʰu44	kʰi44	kʰi33	kʰu22	kʰoi33	kʰui221	kʰu33	kʰui33	kʰɜu22
			96	鱼	ȵiu44	ȵiu44	ȵiu25	ȵiu44	ȵioi42	ȵiui32	ȵiu31	ȵiui31	ȵiɜu35
			97	许	hu24	hu13	hi11	hu13	hoi24	hui55	hu55	hui55	hɜu33
			98	余{～粮}	iu44	iu44	iu44	iu44	ioi42	iui32	hu31	iui31	iɜu35
			99	府	fu24	fu13	fu11	fu13	fɐu24	fu55	fɜu55	fəu55	fɜu33
			100	付	fu22	fu22	fu33	fu22	fɐu21	fu221	fɜu44	fəu33	fɜu22
			101	父	fu22	fu22	fu33	fu22	fɐu21	fu221	fɜu44	fəu33	fɜu22
			102	武	ʔu24	ŋ13	mu11	ŋ13	mɐu33	mu33	mɜu33	məu33	mɜu13
			103	雾	mu22	mu22	mu33	mu22	mu21	mu221	mɜu44	məu33	mɜu22
			104	取	tʃʰu24	tʃʰu13	tʃʰi11	tʃʰu13	tʃʰi24	tʃʰui55	tʃʰu55	tsʰui55	tʃʰɜu33
