			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			241	耳	ȵi24	ȵi13	ȵi11	ȵi13	ȵi33	ȵi33	ȵioi33	ȵi33	ȵiui13
			242	记	ki44	ki44	ki11	ki44	kɐi21	kei113	koi24	kei24	kui51
			243	棋	kʰi44	kʰi44	kʰi44	kʰi44	kʰi42	kʰei32	kʰoi31	kʰei31	kʰui35
			244	喜	hi24	hi13	hi11	hi13	hɐi24	hei55	hoi55	hei55	hui33
			245	意	ʔi44	i44	ʔi11	i44	ʔɐi21	ʔei113	ʔoi24	ʔei24	ʔui51
			246	几{～个}	ki24	ki13	ki11	ki13	kɐi24	kei55	koi55	kei55	kui33
			247	气	hi44	hi44	hi11	hi44	hɐi21	hei113	hoi24	hei24	hui51
			248	希	hi45	hi45	hi25	hi45	hi55	hei33	hoi11	hei11	hui45
			249	衣	ʔi45	i45	i25	i45	ʔɐi55	ʔei33	ʔoi11	ʔei11	ʔui45
			250	嘴	tʃui24	tʃui13	tʃui11	tʃui13	tʃoi24	tʃui33	tʃu55	tsui55	tʃui33
			251	随	tʃʰui44	tʃʰui44	tʃʰui44	tʃʰui44	tʃʰoi42	tʃʰui32	tʃʰu31	tsʰui31	tʃʰui35
			252	吹	tʃʰui45	tʃʰui45	tʃʰui25	tʃʰui45	tʃʰoi55	tʃʰui33	tʃʰu11	tsʰui11	tʃʰui45
			253	垂	tʃʰui44	tʃʰui44	tʃʰui44	tʃʰui44	tʃʰoi42	tʃʰui32	ʃu31	tsʰui31	tʃʰui35
			254	规	kʰuɐi45	kʰuɐi45	kʰuɐi25	kʰuɐi45	kʰuɐi55	kʰuɐi33	kʰuɐi11	kʰuɐi11	kʰuɒi45
			255	亏	kʰuɐi45	kʰuɐi45	kʰuɐi25	kʰuɐi45	kʰuɐi55	kʰuɐi33	kʰuɐi11	kʰuɐi11	kʰuɒi45
			256	跪	kʰuɐi22	kʰuɐi22	kʰuɐi33	kʰuɐi22	kʰuɐi21	kʰuɐi221	kʰuɐi44	kʰuɐi33	kʰuɒi22
			257	危	ŋɐi44	ŋɐi44	ŋɐi33	ŋɐi44	ŋɐi42	ŋɐi221	ŋɐi31	ŋɐi31	ŋɒi35
			258	类	lui22	lui22	lui33	lui22	loi21	lui221	lu44	lui33	lui22
			259	醉	tʃui44	tʃui44	tʃui11	tʃui44	tʃoi21	tʃui113	tʃu24	tsui24	tʃui51
			260	追	tʃui45	tʃui45	tʃui25	tʃui45	tʃoi55	tʃui33	tʃu11	tsui11	tʃui45
			261	锤	tʃʰui44	tʃʰui44	tʃʰui44	tʃʰui44	tʃʰoi42	tʃʰui32	tʃʰu31	tsʰui31	tʃʰui35
			262	水	ʃui24	ʃui13	ʃui11	ʃui13	ʃoi24	ʃui55	ʃu55	sui55	ʃui33
			263	龟	kuɐi45	kuɐi45	kuɐi25	kuɐi45	kuɐi55	kuɐi33	kuɐi11	kuɐi11	kuɒi45
			264	季	kuɐi44	kuɐi44	kuɐi11	kuɐi44	kuɐi21	kuɐi113	kuɐi24	kuɐi24	kuɒi51
			265	柜	kʰuɐi22	kʰuɐi22	kʰuɐi33	kʰuɐi22	kʰuɐi21	kʰuɐi221	kʰuɐi44	kʰuɐi33	kʰuɒi22
			266	位	vɐi22	vɐi22	vɐi33	vɐi22	vɐi21	vɐi221	vɐi44	vɐi33	vɒi22
			267	飞	fi45	fi45	fi25	fi45	fɐi55	fei33	foi11	fei11	fui45
			268	费	fɐi44	fɐi44	fɐi11	fɐi44	fɐi21	fei113	foi24	fei24	fɒi51
			269	肥	fi44	fi44	fi44	fi44	fɐi42	fei32	foi31	fei31	fui35
			270	尾	mi24	mi13	mi11	mi13	mɐi24	mei55	moi33	mei55	mui33
			271	味	mi22	mi22	mi33	mi22	mɐi21	mei221	moi44	mei33	mui22
			272	鬼	kuɐi24	kuɐi13	kuɐi11	kuɐi13	kuɐi24	kuɐi55	kuɐi55	kuɐi55	kuɒi33
			273	贵	kuɐi44	kuɐi44	kuɐi11	kuɐi44	kuɐi21	kuɐi113	kuɐi24	kuɐi55	kuɒi51
			274	围	vɐi44	vɐi44	vɐi44	vɐi44	vɐi42	vɐi32	vɐi31	vɐi31	vɒi35
			275	胃	vɐi22	vɐi22	vɐi33	vɐi22	vɐi21	vɐi221	vɐi44	vɐi33	vɒi22
			276	宝	pɐu24	pɐu13	pau11	pɐu13	pau24	pau55	puɔu55	puou55	pou33
			277	抱	pʰɐu22	pʰɐu22	pau25	pʰɐu22	pʰau33	pʰau221	pʰuɔu33	pʰuou33	pʰou13
			278	毛	mɐu44	mɐu44	mau44	mɐu44	mau42	mau32	muɔu31	muou31	mou35
			279	帽	mɐu22	mɐu22	mau33	mɐu22	mau21	mau221	muɔu44	muou33	mou22
			280	刀	tɐu45	tɐu45	tau25	tɐu45	tau55	tau33	tuɔu11	tuou11	tou45
			281	讨	tʰɐu24	tʰɐu13	tʰau11	tʰɐu13	tʰau24	tʰau55	tʰuɔu55	tʰuou55	tʰou33
			282	桃	tʰɐu44	tʰɐu44	tʰau44	tʰɐu44	tʰau42	tʰau32	tʰuɔu31	tʰuou31	tʰou35
			283	道	tʰɐu22	tʰɐu22	tʰau33	tʰɐu22	tʰau21	tʰau221	tʰuɔu44	tʰuou33	tʰou22
			284	脑	nɐu24	nɐu13	nau11	nɐu13	nau33	nau33	nuɔu33	nuou33	nou33
			285	老	lɐu24	lɐu13	lau11	lɐu13	lau33	lau33	luɔu33	luou33	lou13
			286	早	tʃɐu24	tʃɐu13	tʃau11	tʃɐu13	tʃau24	tʃau55	tʃuɔu55	tsuou55	tʃiou33
			287	灶	tʃɐu44	tʃɐu44	tʃau11	tʃɐu44	tʃau21	tʃau113	tʃuɔu24	tsuou24	tʃiou51
			288	草{～地}	tʃʰɐu24	tʃʰɐu13	tʃʰau11	tʃʰɐu13	tʃʰau24	tʃʰau55	tʃʰuɔu55	tsʰuou55	tʃʰou33
			289	糙	tʃʰɐu44	tʃʰɐu44	ʧʰau11	tʃʰɐu44	tʃʰau21	tʃʰau113	tʃʰuɔu24	tsʰuou24	tʃʰou22
			290	造	tʃʰɐu22	tʃʰɐu22	tʃʰau33	tʃʰɐu22	tʃʰau21	tʃʰau221	tʃʰuɔu44	tsʰuou33	tʃʰu22
			291	嫂	ɬɐu24	ɬɐu13	ɬau11	ɬɐu13	ɬau24	ɬau55	ɬuɔu55	ɬuou55	ɬou33
			292	高	kɐu45	kɐu45	kau25	kɐu45	kau55	kau33	kuɔu11	kuou11	kou45
			293	靠	kʰɐu44	kʰɐu44	kʰau11	kʰɐu44	kʰau21	kʰau113	kʰuɔu24	kʰuou24	kʰou33
			294	熬	ŋɐu22	ŋɐu22	ŋau33	ŋau22	ŋau21	ŋau32	ŋuɔu44	ŋau31	ŋau22
			295	好{形容词，美～}	hɐu24	hɐu13	hau11	hɐu13	hau24	hau55	huɔu55	huou55	hou33
			296	号{～数}	hɐu22	hɐu22	hau33	hɐu22	hau21	hau221	huɔu44	huou33	hou22
			297	包	pau45	pau45	pau25	pau45	pau55	pau33	pau11	pau11	pau45
			298	饱	pau24	pau13	pau11	pau13	pau24	pau55	pau55	pau55	pau33
			299	炮	pʰau44	pʰau44	pʰau11	pʰau44	pʰau21	pʰau113	pʰau24	pʰau24	pʰau51
			300	猫{肴韵}	mɜu45	mɜu45	miau25	miᵊu45	miau55	miau33	miau24	miau11	miu45
			301	闹	nau22	nau22	nau33	nau22	nau21	nau221	nau44	nau33	nau22
			302	罩	tʃau44	tʃau44	tʃau11	tʃau44	tʃau21	tʃau113	tʃau24	tsau24	tʃiau51
			303	抓{用手～牌}	tʃa45	tʃɒ45	tʃɒ25	tʃa45	tʃa55	tʃa33	tʃa11	tsa11	tʃia45
			304	找{～零钱}	tʃau24	tʃau13	tʃau11	tʃau13	tʃau24	tʃau55	tʃau55	tsau55	tʃiau33
			305	抄	tʃʰau45	tʃʰau45	tʃʰau25	tʃʰau45	tʃʰau55	tʃʰau33	tʃʰau11	tsʰau11	tʃʰau45
			306	交	kau45	kau45	kau25	kau45	kau55	kau33	kau11	kau11	kau45
			307	敲	hau45	hau45	hau25	hau45	hau55	hau33	hau11	hau11	hau45
			308	孝	hau44	hau44	hau44	hau44	hau21	hau113	hau24	hau24	hau51
			309	校{学～}	kau44	kau44	kau11	kau44	kau21	hau221	hau44	hau33	kau33
			310	表{手～}	pɜu45	pɜu45	piᵊu25	piᵊu45	piᵊu55	piᵊu33	piᵊu11	piᵊu11	piᵊu45
			311	票	pʰɜu44	pʰɜu44	pʰiᵊu11	pʰiᵊu44	pʰiᵊu21	pʰiᵊu113	pʰiᵊu24	pʰiᵊu24	pʰiᵊu51
			312	庙	mɜu22	mɜu22	miᵊu33	miᵊu22	miᵊu21	miᵊu221	miᵊu44	miᵊu33	miᵊu22
			313	焦	tʃɜu45	tʃɜu45	tʃiᵊu25	tʃiᵊu45	tʃiᵊu55	tʃiᵊu33	tʃiᵊu11	liᵊu31	tʃiᵊu45
			314	小	ɬɜu24	ɬɜu13	ɬiᵊu11	ɬiᵊu13	ɬiᵊu24	ɬiᵊu55	ɬiᵊu55	ɬiᵊu55	ɬiᵊu33
			315	笑	ɬɜu44	ɬɜu44	ɬiᵊu11	ɬiᵊu44	ɬiᵊu21	ɬiᵊu113	ɬiᵊu24	ɬiᵊu24	ɬiᵊu51
			316	朝{～代}	tʃʰɜu44	tʃʰɜu44	tʃʰiᵊu44	tʃʰiᵊu44	tʃʰiᵊu42	tʃʰiᵊu32	tʃʰiᵊu31	tsʰiᵊu31	tʃʰiᵊu35
			317	照	tʃɜu44	tʃɜu44	tʃiᵊu11	tʃiᵊu44	tʃiᵊu21	tʃiᵊu113	tʃiᵊu24	tsiᵊu24	tʃiᵊu51
			318	烧	ʃɜu45	ʃɜu45	ʃiᵊu25	ʃiᵊu45	ʃiᵊu55	ʃiᵊu33	ʃiᵊu11	siᵊu11	ʃiᵊu45
			319	绕{上声，缠～}	ȵiɜu24	iɜu13	ȵiᵊu11	iᵊu13	ȵiᵊu33	iᵊu33	iᵊu33	ȵiᵊu33	ȵiᵊu13
			320	桥	kʰɜu44	kʰɜu44	kʰiᵊu44	kʰiᵊu44	kʰiᵊu42	kʰiᵊu32	kʰiᵊu31	kʰiᵊu31	kʰiᵊu35
			321	轿	kʰɜu22	kʰɜu22	kʰiᵊu33	kʰiᵊu22	kʰiᵊu21	kʰiᵊu221	kʰiᵊu44	kʰiᵊu33	kʰiᵊu22
			322	腰	iɜu45	iɜu45	ʔiᵊu25	iᵊu45	ʔiᵊu55	iᵊu33	ʔiᵊu11	iᵊu11	iᵊu45
			323	要{想～，重～}	iɜu44	iɜu44	ʔiᵊu11	iᵊu44	ʔiᵊu21	iᵊu113	ʔiᵊu24	iᵊu24	iᵊu51
			324	摇	iɜu44	iɜu44	iᵊu44	iᵊu44	hiᵊu42	iᵊu32	iᵊu31	iᵊu31	iᵊu35
			325	鸟	nɜu24	nɜu13	niᵊu11	niᵊu13	niᵊu33	niᵊu33	niᵊu55	niᵊu33	niᵊu13
			326	钓	tɜu44	tɜu44	tiᵊu11	tiᵊu44	tiᵊu21	tiᵊu113	tiᵊu24	tiᵊu24	tiᵊu51
			327	条	tʰɜu44	tʰɜu44	tʰiᵊu44	tʰiᵊu44	tʰiᵊu42	tʰiᵊu32	tʰiᵊu31	tʰiᵊu31	tʰiᵊu35
			328	料	lɜu22	lɜu22	liᵊu33	liᵊu22	liᵊu21	liᵊu221	liᵊu44	liᵊu33	liᵊu22
			329	箫	ɬɜu45	ɬɜu45	ɬiᵊu25	ɬiᵊu45	ɬiᵊu55	ɬiᵊu33	ɬiᵊu11	ɬiᵊu11	ɬiᵊu45
			330	叫	kɜu44	kɜu44	kiᵊu11	kiᵊu44	kiᵊu21	kiᵊu113	kiᵊu24	kiᵊu24	kiᵊu51
			331	母{丈～，舅～}	mu24	mu13	mu11	mu13	mɐu33	mu33	mɜu33	məu33	mɜu13
			332	抖	tɐu24	tɐu13	tɐu11	tɐu13	tɐu24	tɐu55	tɐu55	tɐu55	tɐu33
			333	偷	tʰɐu45	tʰɐu45	tʰɐu25	tʰɐu45	tʰɐu55	tʰɐu33	tʰɐu11	tʰɐu11	tʰɐu45
			334	头	tʰɐu44	tʰɐu44	tʰɐu44	tʰɐu44	tʰɐu42	tʰɐu32	tʰɐu31	tʰɐu31	tʰɐu35
			335	豆	tʰɐu22	tʰɐu22	tʰɐu33	tʰɐu22	tʰɐu21	tʰɐu221	tʰɐu44	tʰɐu33	tʰɐu22
			336	楼	lɐu44	lɐu44	lɐu44	lɐu44	lɐu42	lɐu32	lɐu31	lɐu31	lɐu35
			337	走	tʃɐu24	tʃɐu13	tʃɐu11	tʃɐu13	tʃɐu24	tʃɐu55	tʃɐu55	tsɐu55	tʃiau33
			338	凑	tʃɐu44	tʃɐu44	tʃʰɐu11	tʃɐu44	tʃʰɐu21	tʃɐu113	tʃʰɐu44	tsʰɐu24	tʃiɐu51
			339	钩	kɐu45	kɐu45	kɐu25	ŋɐu45	kɐu55	kɐu33	ŋɐu11	kɐu11	kɐu45
			340	狗	kɐu24	kɐu13	kɐu11	kɐu13	kɐu24	kɐu55	kɐu55	kɐu55	kɐu33
			341	够{足～}	kɐu44	kɐu44	kɐu11	kɐu44	kɐu21	kɐu113	kɐu24	kɐu24	kɐu51
			342	口	hɐu24	hɐu13	hɐu11	hɐu13	hɐu24	hɐu55	hɐu55	hɐu55	hɐu33
			343	藕	ŋɐu24	ŋɐu13	ŋɐu11	ŋɐu13	ŋɐu33	ŋɐu33	ŋɐu33	ŋɐu33	ŋɐu13
			344	后{～面}	hɐu22	hɐu22	hɐu33	hɐu22	hɐu21	hɐu221	hɐu44	hɐu33	hɐu22
			345	厚	hɐu22	hɐu22	hɐu33	hɐu22	hɐu33	hɐu33	hɐu33	hɐu33	hɐu13
			346	富	fu44	fu44	fu11	fu44	fɐu21	fu113	fɜu24	fəu24	fɜu51
			347	副	fu44	fu44	fu44	fu44	fɐu21	fu113	fɜu24	fəu24	fɜu51
			348	浮{2}	fɐu44	fɐu44	fɐu44	fɐu44	fɐu42	fɐu32	fɐu31	fəu31	fɐu35
			349	妇	fu22	fu22	fu11	fu22	fɐu33	fu221	fɜu33	fəu33	fɜu22
			350	流	lɐu44	lɐu44	lɐu44	lɐu44	lɐu42	lɐu221	lɐu31	lɐu31	lɐu35
			351	酒	tʃɐu24	tʃɐu13	tʃɐu11	tʃɐu13	tʃɐu24	tʃɐu55	tʃɐu55	tsɐu55	tʃiɐu33
			352	修	ɬɐu45	ɬɐu45	ɬɐu25	ɬɐu45	ɬɐu55	ɬɐu33	ɬɐu11	ɬɐu11	ɬɐu45
			353	袖	tʃʰɐu22	tʃʰɐu22	tʃʰɐu33	tʃʰɐu22	tʃʰɐu21	tʃʰɐu221	tʃʰɐu44	tsʰɐu33	tʃʰɐu22
			354	抽	tʃʰɐu45	tʃʰɐu45	tʃʰɐu25	tʃʰɐu45	tʃʰɐu55	tʃʰɐu33	tʃʰɐu11	tsʰɐu11	tʃʰɐu45
			355	绸	tʃʰɐu44	tʃʰɐu44	tʃʰɐu44	tʃʰɐu44	tʃʰɐu42	tʃʰɐu32	tʃʰɐu31	tsʰɐu31	tʃʰɐu35
			356	愁	tʃʰɐu45	tʃʰɐu45	tʃʰɐu25	tʃʰɐu45	ʃɐu42	tʃʰɐu33	ʃɐu31	tsʰɐu31	ʃiɐu35
			357	瘦	ʃɐu44	ʃɐu44	ʃɐu11	ʃɐu44	ʃɐu21	ʃɐu113	ʃɐu24	sɐu24	ʃiɐu51
			358	州	tʃɐu45	tʃɐu45	tʃɐu25	tʃɐu45	tʃɐu55	tʃɐu33	tʃɐu11	tsɐu11	tʃiɐu45
			359	臭	tʃʰɐu44	tʃʰɐu44	tʃʰɐu11	tʃʰɐu44	tʃʰɐu21	tʃʰɐu113	tʃʰɐu24	tsʰɐu24	tʃʰɐu51
			360	手	ʃɐu24	ʃɐu13	ʃɐu11	ʃɐu13	ʃɐu24	ʃɐu55	ʃɐu55	sɐu55	ʃiɐu33
			361	寿	ʃɐu22	ʃɐu22	ʃɐu33	ʃɐu22	ʃɐu21	ʃɐu221	ʃɐu44	sɐu33	ʃiɐu22
			362	九	kɐu24	kɐu13	kɐu11	kɐu13	kɐu24	kɐu55	tʃɐu55	kɐu55	kɐu33
			363	球	kʰɐu44	kʰɐu44	kʰɐu44	kʰɐu44	kʰɐu42	kʰɐu32	tʃʰɐu31	kʰɐu31	kʰɐu35
			364	舅	kʰɐu22	kʰɐu22	kʰɐu33	kʰɐu22	kʰɐu33	kʰɐu33	tʃʰɐu33	kʰɐu33	kʰɐu13
			365	旧	kʰɐu22	kʰɐu22	kʰɐu33	kʰɐu22	kʰɐu21	kʰɐu221	tʃʰɐu44	kʰɐu33	kʰɐu22
			366	牛	ŋɐu44	ŋɐu44	ŋɐu44	ŋɐu44	ȵiɐu42	ȵiɐu32	ȵiɐu31	ȵiɐu31	ȵiɐu35
			367	休	hɐu45	hɐu45	hɐu25	hɐu45	hɐu55	hɐu33	iɐu11	iɐu11	hɐu45
			368	优	iɐu45	iɐu45	iɐu25	iɐu45	iɐu55	iɐu33	iɐu11	iɐu11	iɐu45
			369	有	iɐu24	iɐu13	iɐu11	iɐu13	iɐu33	iɐu33	iɐu33	iɐu33	iɐu13
			370	右	iɐu22	iɐu22	iɐu33	iɐu22	iɐu21	iɐu221	iɐu44	iɐu33	iɐu22
			371	油	iɐu44	iɐu44	iɐu44	iɐu44	iɐu42	iɐu32	iɐu31	iɐu31	iɐu35
			372	丢	tɜu45	tɜu45	tiᵊu25	tiu45	tiᵊu55	tiᵊu33	tiᵊu11	tiᵊu11	tiᵊu45
			373	幼	iɐu22	iɐu22	iɐu44	iɐu22	iɐu21	iɐu113	iɐu24	iɐu24	iɐu51
			374	贪	tʰam45	tʰæᵃm45	tʰam25	tʰam45	tʰam55	tʰam33	tʰam11	tʰam11	tʰam45
			375	潭	tʰam44	tʰæᵃm44	tʰam44	tʰam44	tʰam42	tʰam32	tʰam31	tʰam31	tʰam35
			376	南	nam44	næᵃm44	nam44	nam44	nam42	nam32	nam31	nam31	nam35
			377	蚕	tʃʰam44	tʃʰæᵃm44	tʃʰam44	tʃʰam44	tʃʰam42	tʃʰam32	tʃʰam31	tsʰam31	tʃʰam35
			378	感	kɐm24	kɐm13	kam11	kɐm13	kam24	kam55	kuɔm55	kuɔm55	kom33
			379	含{～一口水}	hɐm44	hɐm44	hɐm44	hɐm44	huɔm42	huɔm32	huɔm31	huɔm31	hom35
			380	暗	ʔɐm44	ʔom44	ʔam11	ʔɐm44	ʔuɔm21	ʔuɔm113	ʔuɔm24	ʔuɔm24	ʔom51
			381	搭	tap24	tæᵃp13	tap1	tap13	tap24	tap5	tap5	tap5	tap3
			382	踏	tʰap2	tæᵃp2	tap3	tap2	tʰap3	tʰap3	tʰap3	tʰap3	tʰap2
			383	拉	lai45	lai45	lai25	lai45	lai55	lai33	lai11	lai11	lai45
			384	杂	tʃʰap2	tʃʰæᵃp2	tʃʰap3	tʃʰap2	tʃʰap3	tʃʰap3	tʃʰap3	tsʰap3	tʃʰap2
			385	鸽	kɐp24	kɐp13	kap1	kɐp13	kuɔp24	kuɔp5	kuɔp5	kuɔp5	kop3
			386	盒	hɐp2	hɐp2	hɐp3	hɐp2	huɔp3	huɔp3	huɔp3	huɔp3	hop2
			387	胆	tam24	tæᵃm13	tam11	tam13	tam24	tam55	tam55	tam55	tam33
			388	毯	tʰan24	tʰæᵃn13	tʰan11	tʰan13	tʰan24	tʰan55	tʰan55	tʰan55	tʰan33
			389	淡	tʰam22	tʰæᵃm22	tʰam33	tʰam22	tʰam33	tʰam32	tʰam33	tʰam33	tʰam13
			390	蓝	lam44	læᵃm44	lam44	lam44	lam42	lam32	lam31	lam31	lam35
			391	三	ɬam45	ɬæᵃm45	ɬam25	ɬam45	ɬam55	ɬam33	ɬam11	ɬam11	ɬam45
			392	甘	kɐm45	kɐm45	kam25	kɐm45	kuɔm55	kuɔm33	kuɔm11	kuɔm11	kom45
			393	敢	kɐm24	kɐm13	kam11	kɐm13	kuɔm24	kuɔm55	kuɔm55	kuɔm55	kom33
			394	喊	ham44	hæᵃm44	ham11	ham44	ham21	ham113	ham24	ham24	ham51
			395	塔	tʰap24	tʰæᵃp13	tʰap1	tʰap13	tʰap24	tʰap5	tʰap5	tʰap5	tʰap3
			396	蜡	lap24	læᵃp13	lap3	lap13	lap3	lap3	lap3	lap3	lap2
			397	赚	tʃʰan22	tʃʰæᵃn22	tʃʰan33	tʃʰan22	tʃʰan21	tʃʰan221	tʃʰan44	tsʰan33	tʃʰan22
			398	杉	tʃʰam24	tʃʰæᵃm13	tʃʰam11	tʃʰam13	tʃʰa21	tʃʰa113	tʃʰam24	tsʰau24	tʃʰam13
			399	减	kam24	kæᵃm13	kam11	kam13	kam24	kam55	kam55	kam55	kam33
			400	咸{～淡}	ham44	hæᵃm44	ham44	ham44	ham42	ham32	ham31	ham31	ham35
			401	插	tʃʰap24	tʃʰæᵃp13	tʃʰap1	tʃʰap13	tʃʰap24	tʃʰap5	tʃʰap5	tsʰap5	tʃʰap3
			402	闸	tʃʰap2	tʃʰæᵃp2	tʃʰap3	tʃʰap2	tʃʰap3	tʃʰap3	tʃʰap3	tsʰap3	tʃʰap2
			403	夹{～住}	kap2	kæᵃp2	kap3	kap2	kʰiap3	kʰiap3	kʰap3	kʰap3	kap2
			404	衫	ʃam45	ʃæᵃm45	ʃam25	ʃam45	ʃam55	ʃam33	ʃam11	sam11	ʃiam45
			405	监{～视，～牢}	kam45	kæᵃm45	kam25	kam45	kam55	kam33	kam11	kam11	kam45
			406	岩	ŋan44	ŋæᵃn44	ŋan44	ŋam22	ŋam42	ŋam32	ŋam31	ŋam31	ŋam35
			407	甲	kap24	kæᵃp13	kap1	kap13	kap24	kap5	kap5	kap5	kap3
			408	鸭	ʔap24	ʔæᵃp13	ʔap1	ʔap13	ʔap24	ʔap5	ʔap5	ʔap5	ʔap3
			409	黏	nim45	nim45	nim25	nim45	nim55	nim55	nim11	nim11	nim45
			410	尖	tʃim45	tʃim45	tʃim25	tʃim45	tʃim55	tʃim33	tʃim11	tsim11	tʃim45
			411	签{～字}	tʃʰim45	tʃʰim45	tʃʰim25	tʃʰim45	tʃʰim55	tʃʰim33	tʃʰim11	tsʰim11	tʃʰim45
			412	占{～有}	tʃim44	tʃim44	tʃim11	tʃim44	tʃim21	tʃim113	tʃim24	tsim24	tʃim51
			413	染	ȵim24	ȵim13	ȵim11	ȵim13	ȵim33	ȵim33	ŋim33	ȵim33	ȵim13
			414	钳	kʰim44	kʰim44	kʰim44	kʰim44	kʰiam42	kʰiam32	kʰiam31	kʰiam31	kʰim35
			415	验	nim22	nim22	nim33	nim22	nim21	nim221	nim44	nim33	nim22
			416	险	him24	him13	him11	him13	him24	him55	him55	him55	him33
			417	厌	im44	in44	ʔim11	in44	ʔim21	in113	ʔim24	im24	im51
			418	炎	in44	in44	ȵim44	in44	ȵim42	ȵim32	ȵim31	ȵim31	ȵim35
			419	盐{名词，～巴}	im44	im44	im44	im44	him42	im32	him31	im31	im35
			420	接	tʃip4	tʃip4	tʃip4	tʃip4	tʃip4	tʃip5	tʃip5	tsip5	tʃip3
			421	折{～叠}	tʃip4	tʃip4	tʃip4	tʃip4	tʃit3	tʃit5	tʃip5	tsip5	tʃip3
			422	叶{树～}	ip4	ip4	ip4	ip4	hip3	ip3	ip3	ip3	ip2
			423	剑	kim44	kim44	kim11	kim44	kim21	kim113	kim24	kim24	kim51
			424	欠	him44	him44	him11	him44	him21	him113	him24	him24	him51
			425	严	im44	im44	ȵim44	nim44	nim42	ȵim32	ȵim31	ȵim31	ȵim35
			426	业	nip4	nip4	nip3	nip4	nip3	ȵip3	nip3	nip3	ȵip2
			427	点	tim24	tim13	tim11	tim13	tim24	tim113	tim55	tim55	tim33
			428	店	tim44	tim44	tim11	tim44	tim21	tim55	tim24	tim24	tim53
			429	添	tʰim45	tʰim45	tʰim25	tʰim45	tʰim55	tʰim33	tʰim11	tʰim11	tʰim45
			430	甜	tʰim44	tʰim44	tʰim44	tʰim44	tʰim42	tʰim32	tʰim31	tʰim31	tʰim35
			431	念	nim22	nim22	nim33	nim22	nim21	nim221	nim44	nim33	nim22
			432	嫌	him44	him44	him44	him44	him42	him32	him31	him31	him35
			433	跌	tit4	tit4	tit4	tit4	tit3	tit5	tit5	tit5	tit3
			434	贴	tʰip4	tʰip4	tʰip4	tʰip4	tʰip4	tʰip5	tʰip5	tʰip5	tʰip3
			435	碟	tʰip2	tʰip2	tʰip3	tʰip2	tʰip3	tʰip3	tʰip3	tʰip3	tʰip2
			436	协	hip2	hip2	hip1	hip2	hip4	hip3	hip5	hip3	hip3
			437	犯	fan22	fæᵃm22	fan33	fam22	fan21	fan221	fam44	fam33	fam22
			438	法	fat24	fæᵃk13	fat1	fat13	fat24	fat3	fat5	fat5	fap3
			439	品	pʰɐm24	pʰɐm13	pʰɐn11	pʰɐm13	pʰɐn24	pʰɐn55	pʰɐn55	pʰɐn55	pʰɐm33
			440	林	lɐm44	lɐm44	lɐm44	lɐm44	lɐm42	lɐm32	lɐm31	lɐm31	lɐm35
			441	浸	tʃɐm44	tʃɐm44	tʃɐm11	tʃɐm44	tʃɐm21	tʃɐm113	tʃɐm24	tsɐm24	tʃiɐm51
			442	心	ɬɐm45	ɬɐm45	ɬɐm11	ɬɐm45	ɬɐm55	ɬɐm33	ɬɐm11	ɬɐm11	ɬɐm45
			443	寻	tʃʰɐm44	tʃʰɐm44	tʃʰɐm44	tʃʰɐm44	tʃʰɐm42	tʃʰɐm32	tʃʰɐm31	tsʰɐm31	tʃʰɐm35
			444	沉	tʃʰɐm44	tʃʰɐm44	tʃʰɐm44	tʃʰɐm44	tʃʰɐm42	tʃʰɐm32	tʃʰɐm31	tsʰɐm31	tʃʰɐm35
			445	参{人～}	ʃɐm45	ʃɐm45	ʃɐm25	ʃɐm45	ʃɐm55	ʃɐm33	ʃɐm11	sɐm11	ʃiɐm45
			446	针	tʃɐm45	tʃɐm45	tʃɐm25	tʃɐm45	tʃɐm55	tʃɐm33	tʃɐm11	tsɐm11	tʃiɐm45
			447	深	ʃɐm45	ʃɐm45	ʃɐm25	ʃɐm45	ʃɐm55	ʃɐm33	ʃɐm11	sɐm11	ʃiɐm45
			448	任{责～}	ȵiɐm22	ȵiɐm22	ȵiɐm33	ȵiɐm22	ȵiɐm21	ȵiɐm221	ȵiɐm44	ȵiɐm33	ȵiɐm22
			449	金	kɐm45	kɐm45	kɐm25	kɐm45	kɐm55	kɐm33	kɐm11	kɐm11	kɐm45
			450	琴	kʰɐm44	kʰɐm44	kʰɐm44	kʰɐm44	kʰɐm42	kʰɐm32	kʰɐm31	kʰɐm31	kʰɐm35
			451	音	iɐm45	iɐm45	iɐm25	iɐm45	iɐm55	iɐm33	iɐm11	iɐm11	iɐm45
			452	立	lɐp4	lɐp4	lɐp4	lɐp4	lɐp3	lɐp3	lɐp3	lɐp3	lɐp2
			453	集	tʃʰɐp2	tʃʰɐp2	tʃʰɐp3	tʃʰɐp2	tʃʰɐp3	tʃʰɐp3	tʃʰap3	tsʰɐp3	tʃʰɐp2
			454	习	tʃʰɐp2	tʃʰɐp2	tʃʰɐp3	tʃʰɐp2	tʃʰɐp3	tʃʰɐp3	tʃʰap3	tsʰɐp3	tʃʰɐp2
			455	汁	tʃɐp4	tʃɐp4	tʃɐp4	tʃɐp4	tʃɐp4	tʃɐp5	tʃɐp5	tsɐp5	tʃiɐp3
