字	IPA	调值
玻	po	44
牙	ia	31
牛	niəu	31
令	liẽ	313
確	tɕʰio	31
音	iẽ	44
衰	ʂuæ	44
早	tsau	53
申	ʂæ̃	44
髮	fa	31
該	kæ	44
父	fu	313
銀	iẽ	31
遇	vi	313
屈	tɕʰiu	31
百	pe	31
桃	tʰau	31
紙	tʂʅ	53
扮	pã	313
義	i	313
毫	xau	31
辰	ʂæ̃	31
經	tɕiẽ	44
楷	kʰæ	53
曹	tsʰau	31
體	tʰi	53
實	ʂʅ	31
四	sɿ	313
昨	tso	31
京	tɕiẽ	44
弼	pi	31
權	tɕʰyẽ	31
妹	mei	313
母	mu	53
祭	tɕi	313
邑	i	31
宫	koŋ	44
朋	pʰoŋ	31
胸	ɕioŋ	44
是	ʂʅ	313
斷	tuã	313
平	pʰiẽ	31
樞	tʂʰu	44
合	xo	31
别	pe	31
必	pi	31
陷	ɕiẽ	313
溪	ɕi	44
棧	tʂã	313
虎	xu	53
常	tʂʰã	31
凳	tæ̃	313
丈	tʂã	313
蟬	ʂã	31
萬	vã	313
萬	uã	313
衣	i	44
跪	kuei	313
殊	ʂu	44
歪	uæ	44
刷	ʂua	31
角	ko	31
吹	tʂʰuei	44
漢	xã	313
亥	xæ	313
細	ɕi	313
趁	tʂʰæ̃	313
吉	tɕi	31
愁	tsʰəu	31
貧	pʰiẽ	31
孫	suæ̃	44
上	ʂã	313
鏟	tʂʰã	53
表	piau	53
絨	ʐoŋ	31
篤	tu	31
數	su	313
盈	iẽ	31
星	siẽ	44
祥	tɕʰiã	31
榮	ioŋ	31
跌	te	31
憲	ɕiẽ	313
娘	ȵiã	31
冬	toŋ	44
明	miẽ	31
繭	tɕiẽ	53
披	pʰi	44
職	tʂʅ	31
佳	tɕia	44
洛	lo	31
夾	tɕia	31
剥	po	31
接	tse	31
附	fu	313
李	li	53
宗	tsoŋ	44
秘	mi	31
惠	xuei	313
脚	tɕio	31
認	ʐæ̃	313
開	kʰæ	44
安	ã	44
翁	oŋ	44
爾	e	53
孟	moŋ	313
黄	xuã	31
支	tʂʅ	44
限	ɕiẽ	313
唱	tʂʰã	313
丢	tiəu	44
恭	koŋ	44
米	mi	53
負	fu	313
壽	ʂəu	313
禍	xo	313
來	læ	31
却	tɕʰio	31
遍	pʰiẽ	313
單	tã	44
藥	io	31
帽	mau	313
險	ɕiẽ	53
舌	ʂe	31
虐	ȵio	31
暖	nuã	53
院	uã	313
姐	tse	53
頃	tɕʰiẽ	53
魚	vi	31
光	kuã	44
亨	xæ̃	44
遠	viẽ	53
燭	tʂu	31
起	tɕʰi	53
試	ʂʅ	313
靴	ɕye	44
捉	tʂo	31
竭	tɕie	31
穴	ɕye	31
校	ɕiau	313
物	vu	31
緑	lu	31
抓	tʂua	44
商	ʂã	44
椿	tʂʰuæ̃	44
椿	tʂuã	44
僻	pʰi	31
咬	iau	53
帖	tʰe	31
曠	kʰuã	313
事	sɿ	313
少	ʂau	53
恩	æ̃	44
走	tsəu	53
片	pʰiẽ	313
征	tʂæ̃	44
匹	pʰi	44
樣	iã	313
藕	əu	53
貝	pei	313
拉	la	44
囚	tɕʰiəu	31
先	siẽ	44
點	tiẽ	53
普	pʰu	53
條	tʰiau	31
息	ɕi	31
問	væ̃	313
嚴	iẽ	31
雨	vi	53
齒	tʂʰʅ	53
都	tu	44
深	ʂæ̃	44
歐	əu	44
撲	pʰu	31
工	koŋ	44
拜	pæ	313
嚷	ʐã	53
兵	piẽ	44
春	tʂʰuæ̃	44
收	ʂəu	44
談	tʰã	31
入	ʐu	31
論	luæ̃	313
巴	pa	44
會	xuei	313
血	ɕye	31
防	fã	31
下	xa	313
下	ɕia	313
騾	lo	31
人	ʐæ̃	31
英	iẽ	44
纂	tsuã	53
一	i	31
郎	lã	31
柔	ʐəu	31
侵	tsiẽ	44
梅	mei	31
選	ɕyẽ	53
矢	ʂʅ	53
信	ɕiẽ	313
信	siẽ	313
岸	ã	313
閑	ɕiẽ	31
我	o	53
彙	luei	313
路	lu	313
全	tɕʰyẽ	31
軟	ʐuã	53
跑	pʰau	53
社	ʂe	313
氣	tɕʰi	313
教	tɕiau	313
臘	la	31
兹	tsɿ	44
局	tɕiu	31
句	tɕyi	313
吕	li	53
犬	tɕʰyẽ	53
委	uei	53
侄	tʂʅ	31
晋	tsiẽ	313
縮	su	31
貴	kuei	313
野	ie	53
位	uei	313
惹	ʐe	53
兩	liã	53
德	te	31
荆	tɕiẽ	44
皆	kæ	44
緣	viẽ	31
山	ʂã	44
逸	i	31
回	xuei	31
船	tʂʰuã	31
譯	i	31
末	mo	31
肯	kʰæ̃	53
良	liã	31
懷	xuæ	31
設	ɕie	31
杏	ɕiẽ	313
聽	tʰiẽ	313
聽	tʰiẽ	44
七	tɕʰi	31
鳥	niau	53
兒	e	31
虚	ɕyi	44
尾	vei	53
官	kuã	44
鋭	ʐuei	313
鬆	soŋ	44
孝	ɕiau	313
弘	xoŋ	31
多	to	44
馬	ma	53
草	tsʰau	53
配	pʰei	313
名	miẽ	31
襖	au	53
崩	pæ̃	44
僧	sæ̃	44
暗	ã	313
争	tsæ̃	44
時	ʂʅ	31
系	ɕyi	313
甜	tʰiẽ	31
尼	ȵi	31
高	kau	44
叛	pʰã	313
算	suã	313
删	ʂã	44
陵	liẽ	31
符	fu	31
龍	loŋ	31
間	tɕiẽ	44
郭	ko	31
席	ɕi	31
而	e	31
應	iẽ	313
給	ki	53
失	ʂʅ	31
鶯	iẽ	44
邪	se	31
卷	tɕyẽ	31
由	iəu	31
慢	mã	313
蓬	pʰoŋ	31
保	pau	53
羊	iã	31
妓	tɕi	313
蔡	tsʰæ	313
研	iẽ	31
坤	kʰuæ̃	44
脆	tsʰuei	313
得	te	31
離	li	31
新	siẽ	44
麥	me	31
風	foŋ	44
