#ɿ
ts[11]资姿咨兹滋辎[42]紫姊子梓滓
tsʰ[11]疵雌[55]瓷糍慈磁辞词祠饲[42]此巳[213]刺赐次[33]自字伺寺
s[11]斯斯撕私司丝思祀[42]死似[213]四肆[33]嗣

#i
p[11]碑卑悲[42]比毙鄙彼[213]闭臂秘泌贝弼[33]陛[435]笔毕必逼碧壁璧北
pʰ[11]披被1{~迫}[55]皮疲脾琵枇[42]被{~子}丕[213]屁庇痹[33]弊蔽篦币避譬鼻备被2{~迫}吠[435]僻辟{开~}肌{女阴}
m[55]迷糜靡弥眉楣[42]米美□{鞋~箩：针线筐}[33]谜媚寐密蜜觅默墨
f[11]飞非妃[55]肥[42]匪榧翡[213]废肺费{~用}
t[435]的{目~}滴嫡
tʰ[33]地[435]踢剔
l[55]黎离篱璃梨狸倪拟[42]你{读字}李里理鲤[33]厉励隶利痢吏立笠栗力[435]粒
tsʰ[435]七漆膝
s[55]脐{肚~眼}[435]塞
tʂ[11]知蜘支枝肢栀脂之芝[42]纸只{~有}旨指止趾址[213]智滞制至置志痣稚[435]执汁质织职炙掷
tʂʰ[11]嗤[55]池驰迟[42]侈齿[213]翅秩侄直值殖植[435]斥湿
tɕ[11]稽几{~乎}机讥饥{~饿，~荒}肌基箕妓[55]渠1{他}[42]几{茶~}几{~个}己[213]计继系{~鞋带}寄冀记纪既季给{~本书，供~}屐[435]急级吉戟击激及2□{蚂公~：蚂蟆}
tɕʰ[11]欺[55]奇骑岐祁鳍其棋期旗其{豆~：豆秸}祈渠2{他}[42]企起技徛{站立}[213]器弃气汽忌去1泣杞[33]及1[435]迄乞
ɕ[11]牺兮嬉熙希稀施师狮尸诗[55]匙时莳鲥豉[42]喜嬉徙是豕矢屎始使史驶柿市恃[213]戏试[33]示事士仕侍视嗜氏十什{~物}拾实食[435]涩瑟虱失识式饰适释
∅[11]伊{~始，~朗}医衣依[55]宜谊仪移夷姨疑饴[42]蚁倚椅矣已以[213]缢臀意亿忆伊{这}[33]艺刈义议易腻肄异毅逸翼易入日[435]揖乙一

#u
p[42]补[213]布怖
pʰ[11]铺{~路}[55]蒲菩脯{胸~}[42]普浦谱甫脯{果~}部簿[213]铺{床~}[33]步捕埠曝[435]朴卜扑仆{前~后继，~人}醭
m[55]模摹[42]母{父~}拇[33]暮慕募木目穆牧
f[11]夫肤敷麸[55]符扶芙浮俘[42]府腑辅斧父釜抚妇负[213]付赋傅赴讣附腐富副[33]服伏袱缚[435]福幅蝠复{~杂，~原，~兴}覆腹
v[11]乌污侮[55]吴蜈吾梧糊{面~：糨糊}无巫诬娪{~娭：祖母}[42]坞五伍午武舞鹉□{食物稀而烂}[213]恶{厌~}[33]误悟务雾戊[435]握屋沃
t[11]都{首~，~是}[42]堵睹阻{~力，~拦。当为“堵”的训读}[213]妒[435]笃督
tʰ[55]徒屠涂途图[42]土吐肚{猪~}肚{腹~}杜[213]吐{~痰}吐{呕~}兔[33]度渡镀踱独读牍犊毒
l[55]奴卢庐炉芦鸬□{~饭：煮饭}[42]努鲁橹虏卤[33]怒路露鹭鹿禄
ts[11]租[42]祖组
tsʰ[11]粗[213]醋措[33]族[435]猝促
s[11]苏酥[213]素诉塑1漱[435]塑2
tʂ[435]竹筑祝粥烛嘱
tʂʰ[11]初[42]楚础[33]助逐轴[435]畜{~牲}畜{~牧业}触浊
k[11]姑估孤[42]古牯股鼓[213]故固雇顾[435]谷
kʰ[11]枯箍[42]苦[213]库裤[435]哭酷
x[11]呼乎[55]胡湖糊{~墙，~涂}狐壶[42]虎浒户沪[213]戽[33]互护瓠获斛

#y
l[55]驴[42]女吕旅缕屡履[33]虑滤累{~积，连~}类泪
ts[11]锥[42]嘴[213]醉微国恳
tsʰ[11]蛆[55]徐随1[42]序叙绪取娶聚随2[213]趣翠[33]遂隧集趋
s[11]须需虽绥[55]髓[213]絮粹婿[435]戌
tɕ[11]居车{~马炮}拘驹猪诸诛蛛株珠追[42]举矩煮主[213]句锯著驻注{~解，~水}据蛀铸褚剧[435]橘
tɕʰ[11]区枢吹炊墟[55]渠{~道}瞿储厨橱垂槌锤署薯逵葵除柜[42]巨拒距杵苎鼠柱拄跪{~下来}[213]去2处{~所}处{~理}[33]住具惧
ɕ[11]虚书舒输[55]谁睡殊[42]许暑黍竖水[213]庶恕戍嘘{~儿：哨子}[33]树瑞
∅[11]淤迂于於[55]盂余馀鱼渔虞娱榆逾愉喻如儒围{口~：围嘴}[42]与宇雨羽禹愈乳蕊[213]慰[33]誉预豫裕芋遇寓玉

#a
m[33]物
l[42]奶{大~~，二~~}

#ɑ
p[11]杯掰爸[42]摆罢[213]拜辈背{~心}[435]不百柏伯
pʰ[11]胚坯[55]排牌培陪赔裴庞彭澎□{锁~儿：门钌铞}[42]派[213]帕泊{梁山~}沛配佩[33]败倍背{~诵}白[435]匹拍魄迫
m[11]妈[55]埋梅枚媒煤[42]买每[33]卖迈妹昧陌麦脉[435]没{无}没{沉~}
f[33]佛{~教}
v[11]哀歪[213]爱蔼[33]外{~国佬}勿
t[11]呆{~子}[42]打[213]戴带[435]得德
tʰ[11]他{读字}[213]态泰[33]大{~家}大{~夫}特笛敌狄
l[11]拉挪[55]来拿{读字，常读[nɑ]}[42]乃[33]耐奈赖癞历[213]肋勒
ts[11]灾栽[42]宰载{三~}[213]再载{满~，~重}[435]则即鲫积迹脊绩
tsʰ[11]猜[55]才材财裁[42]彩采在[213]菜蔡[33]习袭籍藉席夕贼[435]擦辑戚
s[11]腮鳃[42]洒撤{~手，~种}[213]赛[435]悉息熄媳惜昔锡析
tʂ[11]斋[42]者[213]债寨[435]摘责只{量词}
tʂʰ[11]钗差{出~}差{参~}[42]睬[33]宅择泽[435]侧测拆坼{裂缝}策册栅赤尺厕{~所}
ʂ[11]筛[55]豺柴[42]傻[213]晒[33]石[435]色啬
k[11]佳街皆阶[42]解{讲~，~开}解1{姓}[213]介界芥尬疥届戒械[435]格□{何~儿：什么时候。疑“刻”之异读}
kʰ[11]揩[42]楷凯[435]刻克客
ŋ[11]挨{~近}埃呆{傻；~板}[55]涯崖[42]挨{~打}矮[33]碍艾隘额外{~老儿：外公}
x[11]哈{~~镜}哈{打~眠：打哈欠}[55]孩谐鞋解2{姓}何1{~望：谁}[42]蟹[213]□{灶~儿：灶膛}[33]懈[435]赫吓{恐~，~一跳}核
∅[11]阿{~拉伯}娭{~：祖母}[42]我

#iɑ
p[11]膘标彪[42]表
pʰ[11]飘[55]瓢嫖[42]漂{~白}漂{~亮}[213]票
m[55]苗描[42]渺秒藐[213]猫{~儿：猫}[33]庙妙谬
t[11]刁貂雕[42]屌[213]钓吊掉调{~动}
tʰ[11]挑[55]条调{~和}[213]跳粜[33]调{音~}[435]籴
l[55]燎聊撩辽疗寥[42]鸟了{~结，~解}[33]尿{~素}料廖略掠
ts[11]焦蕉椒[42]剿[213]俏醮[435]爵
tsʰ[55]樵[213]鞘[33]嚼[435]雀鹊
s[11]消宵霄硝销萧箫[42]小[213]笑□{~饭：泡饭}[435]屑{不~一顾}
ɕ[55]何2{~望：谁}
∅[42]也{之乎者~}[33]曰{子~}

#uɑ
k[11]乖该[42]改拐[213]怪概溉盖桧[435]合{一~米}鸽骨国
kʰ[11]开盔魁奎[42]绔垮傀跨[213]块丐慨会{~计}刽快筷[435]窟{灶~儿：灶膛}
x[11]灰恢[55]怀槐淮回茴宏□{~儿：傩戏面具}[42]海亥骇贿[213]晦悔[33]坏害会{开~，~不~}汇{~入，词~儿}绘或[435]忽惑

#ɔ
p[11]波玻包[42]保堡褒宝饱[213]簸报豹爆2[435]钵拨钹博泊{停~}剥驳
pʰ[11]坡胞抱抛[55]婆袍跑刨{~地}[42]颇鲍[213]破炮泡{水~}爆1[33]剖暴刨{~木头}薄{厚~}薄{~荷}勃雹瀑[435]泼
m[11]摸摩魔猫{~头鹰}[55]磨{动词}馍毛茅矛[42]卯[33]磨{名词}莫冒帽貌[435]膜幕寞
t[11]刀叨[42]朵剁岛倒{打~}[213]到倒{~水}祷
tʰ[11]拖滔掏[55]驼驮{~起来}鸵桃逃淘陶萄涛[42]舵讨道[213]套[33]大{地方~，~拇指}稻盗导铎惰[435]托拓{开~}铎
l[11]罗{~唆}捞[55]挪罗锣箩骡螺劳牢唠[42]脑恼老[213]□{稀，水分多}[33]摞涝闹落烙骆酪洛络赂乐
ts[11]遭糟[42]左早枣蚤澡皂2走[213]佐灶做[435]作
tsʰ[11]搓操[55]曹槽[42]草皂1[213]糙躁造[33]座凿昨锉[435]错{~杂，~过}
s[11]蓑骚臊[42]锁琐嫂[213]扫{~帚，~地}嗽[435]索
tʂ[435]着{穿}
tʂʰ[33]着{睡~}
ʂ[11]梢捎[33]勺芍
k[11]歌哥高膏篙羔糕交郊胶狡[42]稿搞绞搅[213]个告教校{学~，上~}校{~对}铰[435]各阁搁胳觉角烙{火上~一下；~气：拔火罐}
kʰ[11]敲[42]可拷[213]靠犒考[435]磕确
ŋ[11]坳懊傲[55]熬鹅俄[42]袄[213]呕[33]饿鄂[435]恶{~劣}岳乐{音~}
x[11]蒿薅[55]豪壕毫号{~叫}[42]好{~坏}吼[213]好{爱~}耗孝[33]号{~码}浩效鹤学[435]霍藿

#iɔ
tɕ[435]脚
tɕʰ[11]锹[435]却
∅[213]耀[33]药钥浴若弱[435]疟虐跃约

#e
m[42]某亩牡[33]茂贸
f[42]否
t[11]兜丢[42]斗{一~米}抖陡[213]斗{~争}
tʰ[11]偷[55]头投[42]㪗{~开：抖开}[213]透[33]豆逗痘
l[11]溜[55]楼搂{~取}娄流刘留榴馏硫琉[42]搂{~抱}篓柳[33]漏陋六陆录绿
ts[11]邹[42]酒[213]奏皱绉[435]足
tsʰ[11]秋{~天，~千}[55]愁囚泅[213]凑腠{~儿：痱子}[33]续就袖
s[11]修[213]秀绣锈[33]俗续赎[435]削肃宿{~舍}宿{星~}粟
tʂ[11]周舟州洲[42]帚宙[213]咒昼骤
tʂʰ[11]抽[55]绸稠筹仇{~恨}酬[42]丑{~时}丑{~陋}纣[213]臭

#ie
tɕ[11]勾钩沟鸠阄[42]狗苟九久韭[213]够购救究灸咎[435]菊掬
tɕʰ[11]抠眍丘[55]求球仇{姓}[42]口臼舅[213]扣寇[33]旧柩局[435]曲{弯~，歌~}曲{大~酒}
ɕ[11]梳疏{~远}蔬搜飕馊收□{蛤蟆~：蝌蚪}[55]侯喉猴[42]所数{动词}叟手首守嗅受授售后{王~}后{前~}厚[213]疏{注~}数{名词}瘦兽[33]寿蜀属候[435]叔淑蓄束
∅[11]欧瓯殴幽悠优忧[55]油由邮游尤犹牛[42]藕偶纽扭有友[213]幼[33]诱又辱褥狱肉[435]郁育欲

#ei
x[435]黑

#ui
v[11]煨威[55]危桅维惟唯遗{送物}微违围{~裙，包~}苇为{作~}为{~什么}[42]委萎尾伟纬[33]卫伪位畏未味魏胃谓猬
l[33]锐{读字}
k[11]龟归[42]轨诡鬼[213]贵跪{下~}
kʰ[11]亏{多~}窥[42]溃[213]愧
x[11]麾挥辉徽[42]毁[33]惠慧秽讳

#iːə
p[42]蓖[435]鳖憋
pʰ[11]批[33]鐾篦[435]撇劈别{区~，离~}
m[33]灭篾
t[11]爹低[42]底抵[213]帝[435]跌
tʰ[11]梯[55]题提蹄啼堤[42]体弟[213]替涕剃屉递[33]第碟牒蝶谍叠[435]帖贴铁
l[55]尼泥犁[42]礼[33]丽荔例列烈裂猎
ts[42]姐挤[213]借祭际济[435]接节
tsʰ[11]妻[55]邪齐脐{~带}□{魇住}[42]且荠[213]捷斜[33]谢[435]妾切
s[11]些西犀[42]玺写洗[213]泻卸细[435]泄
tʂ[11]遮[435]折{~叠，~断}褶哲蜇蔗
tʂʰ[11]车[42]扯[33]舌[435]彻撤辙
tɕ[11]鸡[435]劫揭结洁截寂
tɕʰ[11]溪栖[42]启岂[213]契[33]杰极[435]怯吃
ɕ[11]奢赊[55]蛇携畦[42]舍{~得}舍{房~}社□{~~门：囱门}[213]舍世势[33]系{联~，关~}涉协胁射麝赦誓逝折{~本}蚀衅[435]设歇蝎腋
∅[55]爷[42]也{副词}野惹[213]耶聂镊蹑摄[33]夜叶页业热孽捏逆溺匿[435]靥抑益译亦液噎

#uːə
p[11]巴疤[42]把[213]霸坝[435]八
pʰ[55]爬琶杷耙[33]稗拔
m[55]麻蟆{蛤~：青蛙}[42]马码蚂[33]骂抹末沫袜
f[33]乏伐筏罚泛[435]法发{头~}发{~达}佛{仿~}
v[11]倭窝阿{~胶}屙蛙洼蜗[55]讹禾[42]瓦[33]卧话1[435]挖
t[11]多[435]掇{端}
tʰ[42]妥椭[213]蜕[33]夺[435]脱秃
l[55]傩[42]裸[33]捋
ts[435]作
tsʰ[435]撮
tʂ[11]抓{~人，~牌}啄[42]爪笊[213]罩[435]拙酌桌卓琢捉
tʂʰ[11]抄[55]巢[42]炒吵[213]钞[33]镯[435]绰戳
ʂ[11]梭唆稍[42]耍[435]刷朔缩
k[11]锅瓜[42]果裹粿寡剐[213]过挂卦[435]割葛括刮郭
kʰ[11]科棵颗[213]课窠[435]渴阔廓扩
x[11]花[55]和{~气}和{~面}河何{任~}荷贺华{中~}华{~山}桦划{~船}[42]火伙祸[213]货化[33]画话2活滑猾划{计~}堨{坝}[435]喝辖豁

#yːə
t[11]堆[213]对碓[33]队兑
tʰ[11]胎推[55]台{高~}台{天~}抬苔[42]待怠殆腿[213]贷退□{名词，闪电}[33]代袋突
l[55]雷[42]儡垒[33]内累劣
ts[213]最[435]卒
tsʰ[11]催崔[213]脆[33]绝
s[11]尿{~布}[42]罪[213]岁碎□{鸡~：鸡窝}[435]薛雪屑{木~}
tʂ[213]缀赘
tɕ[11]圭闺规[213]桂鳜癸[435]厥倔
tɕʰ[11]亏{吃~}[55]瘸□{{蹲}[42]揣[33]掘[435]出缺屈
ɕ[11]靴衰衰摔[213]税帅[33]穗[435]血说
∅[33]悦阅月越粤域疫役锐

#ɯːə
t[435]答搭
tʰ[33]达[435]塔榻塌遢踏沓拓{~本}獭忒
l[33]纳捺腊蜡辣瘌[435]邋
tsʰ[33]杂
s[435]萨
tʂ[11]查{姓}楂渣朝{今~}昭招沼召[213]诈榨炸{~弹}照诏[435]眨闸炸{油~}柞扎札轧窄
tʂʰ[11]叉杈差{~不多}超[55]茶搽查{调~}朝{~代}潮[42]赵兆[213]岔[435]插察
ʂ[11]沙纱烧嚣[55]肴淆[42]□{我，主要作宾语}少{多~}晓[213]少{~年}[33]韶绍邵[435]杀
tsʰ[42]坐
k[11]家加嘉[42]假{真~}假{放~}贾[213]架驾嫁稼价[435]夹{~住}夹{~衣}挟甲胛
kʰ[435]恰掐
ŋ[11]鸦丫桠[55]牙芽衙[42]雅哑[213]亚[435]鸭押压扼轭
x[11]虾[55]霞瑕遐[42]下{~降}下{底~}[33]夏{春~}夏{姓}下{等一~}合{~作}盒狭峡匣[435]瞎

#iɯːə
tsʰ[11]悄
tɕ[11]骄娇矫浇纠[42]缴侥饺[213]叫
tɕʰ[55]乔侨桥荞茄[42]巧[213]窍[33]轿
∅[11]妖邀腰要{~求}幺{~二三}吆{~吓：为受惊的小孩喊魂}[55]摇谣窑姚饶[42]舀扰[213]要{想~}[33]绕{~线，围~}

#ã
p[11]奔冰[42]本丙秉[213]畚笨锛柄
pʰ[55]盆[33]病
m[11]璺[55]门蚊{~虫：蚊子}萌[42]□{未}[33]闷
f[11]分芬纷[55]坟[42]粉焚[213]粪奋愤忿[33]份
t[11]登灯丁钉{名词}疗[42]等顶鼎[213]凳邓镫澄{水~一~}瞪钉{动词}订
tʰ[11]厅汀[55]腾誉藤亭停廷庭蜓[42]艇挺[213]听[33]定锭
n[11]拎[55]能宁{安~}灵零铃伶翎蛉{蜓~：蝉}[42]冷领岭[33]令愣另
ts[11]曾{姓}增憎赠僧精晶睛[42]井
tsʰ[11]青腈蜻{竖~蜓：倒立}清[55]曾{~经}情晴[42]请静靖[33]净
s[11]星猩蜻{蜓~：蜻蜓}[42]省{安徽~}省{反~}腥醒[213]姓性[33]□{小孩}
tʂ[11]征贞侦正{~月}[42]整[213]正{~面}政证症
tʂʰ[55]呈程澄{~清事实}橙惩[33]郑枨{撑大}
ʂ[11]声[55]承丞乘塍成城诚盛{~饭}[42]省{节~}[213]胜圣[33]剩盛{~大}

#uã
k[11]跟根[42]滚[213]棍
kʰ[11]昆坤[42]恳垦捆[213]困睏
ŋ[11]温瘟恩[55]文纹蚊{~香}闻[42]吻刎稳[33]问
x[11]昏婚荤[55]魂浑恒横[42]混

#ɑ̃
n[33]奶{吃~}
tʂ[11]争筝睁
tʂʰ[11]撑[213]牚{椅子~}
ʂ[11]生牲笙甥
k[11]更{五~}庚羹耕[42]哽埂梗{~塞}粳耿[213]更{~加}
kʰ[11]坑
ŋ[33]硬
x[55]行{~为}[42]杏[33]行{品~}幸

#iɑ̃
n[55]良凉量{动词}粮梁粱[42]两辆[33]亮谅量{数~}
ts[11]将{~来}浆[42]蒋奖桨[213]将{大~}酱
tsʰ[11]枪缲{~边}[55]墙详祥[42]抢象像橡[33]匠
s[11]相{~互}箱厢湘襄镶[42]想鲞[213]相{~貌}

#uɑ̃
k[42]梗{谷~，麦~}

#ɔ̃
t[11]耽担{~任，扁~}丹单当{~时}[42]胆党挡[213]担{挑~}旦掸当{~作，典~}[33]弹{子~}蛋
tʰ[11]贪坍滩摊汤[55]谈痰檀坛{天~}弹{~琴}堂棠螳唐糖[42]毯淡坦{~白}诞倘[213]碳叹趟躺烫[33]但荡宕诞倘坦{大片的旱地，也用于地名}
n[55]南男难{~易}蓝篮兰拦栏囊郎廊狼螂[42]览揽榄懒曩朗[33]难{患~}滥烂浪[435]□{那，本书里写作“曩”}
ts[11]脏{不干净}[213]赞栈
tsʰ[11]餐参{~加}[55]惭残藏{收~}蚕[213]灿[33]暂藏{宝~，西~}脏{内~}
s[11]三[42]散{分~}伞磉嗓爽[213]散{~会}丧{~失}
tʂ[11]张章樟[42]斩盏长{~高}涨掌[213]站{~立}站{车~}战{文读}蘸帐账胀仗障瘴[33]绽
tʂʰ[11]搀昌菖[55]谗长{~短}肠场[42]厂丈杖[213]畅唱倡
k[11]甘柑泔尴监干{~戈}干{树~}肝竿艰间{中~}间{~断}奸冈岗刚{~强}纲钢缸江豇[42]感敢橄减碱舰杆秆擀简祠柬拣讲港[213]鉴干{~事}谏涧杠降{下~}虹
kʰ[11]堪勘龛刊康慷[55]扛[42]坎砍[213]抗炕囥{藏}
ŋ[11]肮庵安鞍[55]岩颜昂[42]眼[213]暗晏{晚}按案[33]岸雁
x[11]蚶憨酣鼾[55]含函咸衔寒韩闲行{~列}航杭降{投~}衡喊[42]限旱项[213]汉

#iɔ̃
tɕ[11]疆僵姜磁缰刚{~来，~好}
tɕʰ[11]羌[55]强{~大}[42]强{勉~}
ȵ[11]央秧殃[55]娘瓤阳羊洋烊{融化}杨扬疡[42]痒养[213]映[33]酿壤让嚷样
ɕ[11]山杉衫香乡馨[55]裳1[42]赏晌享响饷[213]疝向尚

#ĩːə
p[11]鞭边[42]贬扁匾蝙[213]变
pʰ[11]篇偏编[55]便{~宜}[42]辨辩辫卞[213]骗遍片[33]便{方~}
m[55]棉绵眠[42]免勉娩缅[33]面
t[11]掂颠[42]点典[213]店
tʰ[11]添天[55]甜田填[42]舔掭{~笔}簟腆[33]电殿奠佃垫
n[11]奶{~娘}[55]黏廉镰帘鲶拈年连联怜莲[42]脸撚辇撵[33]敛殓练链楝恋念
ts[11]尖煎[42]剪[213]箭溅荐
tsʰ[11]歼签迁千笺[55]钱前[42]潜浅[33]贱饯践渐
s[11]仙鲜{新~}先[42]鲜{少}癣[213]线羡
tʂ[11]沾瞻占{~卜}毡[213]占{~领}战{白读}
tʂʰ[55]蟾蝉禅[42]闪
tɕ[11]兼肩坚京惊鲸经[42]检茧趼笕警[213]剑腱建见镜
tɕʰ[11]谦牵顷轻[55]钳乾虔擎[42]俭遣[213]欠歉庆[33]件健键嵌
ȵ[11]淹阉掩腌{~菜}焉蔫烟燕{~国}英[55]炎盐阎檐严言然燃延涎沿研盈仍扔[42]染冉魇演碾颖[213]燕{~子}咽厌□{瘪~：秕谷}[33]验艳焰谚砚宴筵
ɕ[11]欣[55]嫌贤□{边~：边上}形型刑[42]陕善膳鳝显[213]宪献扇{名词，动词}煽膻[33]现苋单{姓}

#ũːə
p[11]班斑颁扳般搬帮邦[42]板版榜谤绑蚌[213]扮半棒瓣
pʰ[11]攀潘[55]旁螃傍[42]伴拌蚌[213]胖[33]办绊叛判盼襻
m[55]蛮瞒馒忙芒茫莽蟒盲虻[42]满晚{~娘：继母}[33]慢漫幔
f[11]翻番方肪芳[55]凡帆烦繁藩房防[42]范犯反纺访仿妨[213]贩放[33]饭
t[11]端[42]短
tʰ[55]团[42]断{~开}断{决~}[33]段缎椴锻
n[55]鸾[42]暖卵[33]乱
ts[11]钻{动词}赃簪[42]纂[213]钻{铁~}葬
tsʰ[11]汆{~汤}仓苍[213]窜[33]赚
s[11]酸桑丧{~事}[213]算蒜
tʂ[11]庄装桩[213]撰壮
tʂʰ[42]赚[213]篡创闯[33]状撞
ʂ[11]珊删闩栓霜孀双商伤[55]馋常尝裳2床[42]产上{~山}偿[33]上{~面}
k[11]干{~湿}官观{~看}冠{衣~}冠{~军}鳏关光[42]管馆广赶[213]贯灌罐观{道~}惯逛
kʰ[11]看{~守}宽匡筐眶[55]狂[42]款[213]看{~见}矿旷
ŋ[11]豌弯湾汪[55]丸顽还{~是}完亡王忘黄{颜色}[42]宛剜碗腕晚{~上}挽皖玩{游~，古~}网妄辋枉往[33]万蔓{瓜~}望旺
x[11]欢荒慌[55]桓还{~钱}环簧皇蝗黄{姓}笐{竹~：晒衣服用的竹竿}[42]缓幻谎晃獾{~猪：刺猬}□{~草：薅草}[213]唤焕宦况[33]汗换患

#ỹːə
t[11]敦墩蹲{~点}[213]顿
tʰ[11]吞[55]豚臀囤[33]沌盾钝遁
n[55]仑伦沦轮论{~语}[33]论{议~}嫩
ts[11]尊遵
tsʰ[11]村[55]全泉[213]寸
s[11]孙[42]选损[33]逊
tɕ[11]专砖捐[42]转{~换}卷{~起}卷{考~}[213]转{~圈}眷绢圈{猪~，读字}
tɕʰ[11]川穿圈{圆~}[55]传{~代}传{~记}拳蜷倦权颧蹲{~下来}[42]喘犬[213]串劝[33]券
ȵ[11]冤[55]圆员原源袁园辕援丸[42]软阮远[213]怨[33]院愿
ɕ[11]宣喧[55]船玄眩悬弦旋[213]楦[33]县
∅[33]渊

#an
p[11]彬宾槟殡鬓兵浜{沙家~，读字}[42]饼[213]并{合~}并{~且}
pʰ[11]拼{~命，~凑}姘[55]贫频凭平坪评瓶屏萍[213]聘禀
m[55]民鸣明名铭盟[42]闽悯敏抿皿渑[33]命
t[213]凳[435]□{伊~：这儿。非强调时常读轻声}
n[55]林淋临邻磷鳞凝陵凌菱泉[42]廪[213]恁{何~：怎样}[33]赁吝宁{~可}
ts[11]津[213]浸进晋俊
tsʰ[11]侵亲{~人}皴[55]秦寻荀旬殉循巡层[42]寝尽{~前，~量}[213]亲{~家}衬
s[11]心辛新薪[42]笋榫[213]信讯迅
tʂ[11]针斟珍真榛臻蒸[42]枕{名词，动词}诊疹拯[213]镇振震
tʂʰ[11]称{~重量}[55]沉岑陈尘[213]趁衬称{相~}秤[33]阵
x[11]夯[55]痕[42]很[33]恨

#ian
tɕ[11]今金襟巾斤筋茎荆[42]锦紧景颈谨[213]禁劲{干~，~敌}竟境敬径
tɕʰ[11]钦卿倾[55]琴禽擒勤芹[42]肯啃近[213]揿竞仅
ȵ[55]淫寅迎沂银
ɕ[11]深身申伸升兴{~旺}[55]神辰臣绳塍[42]沈审婶葚{桑~}[213]兴{高~}[33]慎肾娠甚
∅[11]音阴荫因姻殷鹰蝇莺鹦樱婴缨[55]人仁壬任{姓}[42]忍隐饮引尹[213]洇印应{~当}应{答~}影[33]刃认任{责~}纫

