来源：杨述祖 1983《太谷方言志》；前锋，北柯增补修订																																																	
说明：代表城关(明星镇）音系																																																	
#符号说明：-白=文*俗?待考																																																	
#调值［1］22［3］323［5］53［7］11ʔ［8］434ʔ																																																	
#ɒ																																																	
p	[1]巴芭{~蕉}疤爬-{~下}耙{~地}趴吧 [3]把{~住} 靶{打~} [5]霸爸罢把{刀~子}坝耙□{~叉：两腿分开}																																																
pʰ	[1]琶{琵~}爬=鈀{倒打一~}  [5]怕帕																																																
m	[1]麻蟆妈 [3]马码玛蚂  [5]骂																																																
f	[3]耍-																																																
v	[1]蛙娃哇挖 [3]□{~面：舀面}瓦 [5]洼																																																
t	[1]当{~中}荡铛裆□{父亲}糖- [3]打挡档{～案}党 [5]大当{典~}宕																																																
tʰ	[1]他汤{米~}它唐塘糖=堂螳 [3]躺{~下}倘 [5]烫																																																
n	[1]拿囊{内～：内财} [3]攮 [5]齉{~鼻}□{～造：肉食多}																																																
l	[1]拉{~车}郎螂廊狼 [3]□{～乎：粗心}朗 [5]浪																																																
ts	[1]搽{~油抹粉}赃脏{日~}渣将-{黑~来}长-{~短}张肠-{~子}章樟障咱茶-场-{打~} [3]长{~大}涨{上~}掌{~心}揸拃{一～} [5]诈榨乍藏脏{心~}炸丈仗{炮~}仗{擀面~}帐{~蓬}胀栅匠-{木~}																																																
tsʰ	[1]茶=查叉岔差{~错}仓苍藏昌场={戏~}肠={~胃病}常=尝=茬={头~韭菜}叉{三股~} [3]氅{大～：大衣}敞{~开}厂镲 [5]差{~不多}唱{~戏}杈钗畅帐唱倡岔诧																																																
s	[1]沙纱莎痧砂鲨桑{~树}伤{~寒}常-{姓氏}尝-{~一～}茬-{麦～}丧商萨霎{一～～：一会儿}□{～～头发：稍微修剪} [3]洒傻嗓{~子}晌{~午}撒赏偿-{得不~失} [5]上{~山}裳{衣~}尚沙-{~箩子}																																																
z	[1]瓤 [3]壤穰攘□{圪～：糟蹋} [5]让																																																
k	[1]刚钢缸{水~}纲冈岗 [3]港岗{站~}肛{~门} [5]杠钢{刀～子}玍{~头:莽撞的人}																																																
kʰ	[1]糠康慷 [3]抗-{~东西}扛  [5]炕																																																
ŋ	[1]肮鸦-{黑老~：乌鸦}昂 [3]哑 [5]□{～腰：弯腰}																																																
