"参考资料"	"侯精一、毛玉玲《昆明话音档》"
"方言点"	"云南省昆明市五华区老城内"
"方言归属"	"西南官话-云南片-滇中小片"
"说明"	"音系排列，先以韵母为序，在同韵的字里按声母的顺序排列，声母相同的按声调排列。"
"调值"	"①阴平44②阳平31③上声53④去声212"
""	"ɑ"
"p"	"①巴芭疤②爸八拔③把（～柄，一～）④霸坝把（柄）罢"
"pʰ"	"①𤆵②爬琶杷④怕帕"
"m"	"①妈②麻痳蟆（蛤～）③马码④骂"
"f"	"②法乏发伐阀筏罚"
"t"	"①瘩②答搭达靼③打④大（～小）"
"tʰ"	"①他它耷②踏塔榻塌坍（～下来）獭（水～）遢"
"n"	"②拿纳衲捺③喇哪④那"
"l"	"①拉邋②辣腊蜡镴𤷫③喇"
"k"	"③嘎尬"
"kʰ"	"①咖卡（～在里面）③卡（～车）"
"x"	"①哈④下（等一～）"
"ts"	"②杂砸咂咋"
"tsʰ"	"②擦"
"s"	"②卅萨飒靸③洒撒"
"ʈʂ "	"①楂渣乍②闸炸（油～）铡眨扎札（～刀）轧劄（～记）③柞④诈榨（～油）炸（～弹）"
"ʈʂʰ"	"①叉杈（枝～）差（～别）②茶搽查（调～）插察擦③衩（又）④诧岔汊（水歧流）衩"
"ʂ"	"①沙纱②霎杀煞刹③傻"
"零"	"①阿啊④二贰"
""	"iɑ"
"n"	"①□（～声～气）"
"l"	"②□（～脱）"
"tɕ"	"①家傢稼加嘉佳②夹甲匣胛狎③假贾（姓）④架驾价嫁稼（又）"
"tɕʰ"	"①掐（一～）②恰（文）洽掐（文）③卡（发～）④□（～进去）"
"ɕ"	"①虾②霞瑕遐暇峡狭侠硖挟（～制）辖瞎裌 ④下（～面）"
"零"	"①鸦丫（～头）桠（～杈）②牙芽迓衙涯鸭押压③雅讶哑④亚轧（被车～）"
""	"uɑ"
"ʈʂ "	"①抓②斫挝③爪（～子）"
"ʈʂʰ"	"③□（～嘚）"
"ʂ"	"②刷③耍"
"ʐ"	"②挼"
"k"	"①瓜呱②括刮③寡剐④卦挂"
"kʰ"	"①夸③垮④跨"
"x"	"①花②华（中～，～山）划（～船）④化画话划（计～）"
"零"	"①蛙挖（城）②娃挖（乡）袜③瓦④洼凹"
""	"o"
"p"	"①波玻播②博钵拨脖薄缚剥驳③跛簸（～一～）④播（又）簸（～箕）"
"pʰ"	"①坡②婆泼泊③颇剖④破"
"m"	"①摩摸么②摩（又）磨（～刀）魔莫膜寞模（～范）末沫③抹（～药）④磨（～面）慕暮募墓幕"
"t"	"①多②夺度（揣～）③朵④惰堕舵驮（～子）掇（拾～）"
"tʰ"	"①拖②驮陀驼（～背）脱托讬铎③妥④唾（～沫，～液）"
"n"	"①喏（睡～～）②诺挪④糯（～米）"
"l"	"②罗锣箩啰（～嗦）骡螺（～蛳）脶（手指纹）洛落骆烙络酪乐（快～）③倮裸④摞（～起来）"
"k"	"①哥歌戈锅②角（白）割葛各阁搁郭国鸽③果裹④过"
"kʰ"	"①轲苛科棵窠颗②壳磕（～头）阔廓扩渴③可④课"
"x"	"①豁喝呵（～欠）②活和（～气）河何荷（～花）盍合盒壑鹤霍藿或惑③火伙夥④贺货祸和（～泥）"
"ts"	"②作昨③左佐④坐座"
"tsʰ"	"①搓②撮③□（～娃娃）④锉矬错措"
"s"	"①娑（婆～）蓑梭唆②缩索③锁琐所"
"ʈʂ"	"②着凿酌绰卓桌琢啄浊捉镯"
"ʈʂʰ"	"②绰戳"
"ʂ"	"②朔勺硕说"
"ʐ"	"②弱若"
"零"	"①倭窝蜗②蛾鹅俄讹鄂鳄恶握③我④卧饿"
""	"ə"
"p"	"①□（～嘚）②北百柏伯白帛"
"pʰ"	"②迫拍珀魄"
"m"	"①么②陌默墨麦脉"
"t"	"①嘚（听～)②得德④嘚（跑～）"
"tʰ"	"①他（白）②特忒"
"n"	"①呢③那④那"
"l"	"②肋勒③了"
"k"	"②格革隔嗝胳③□（～是）给（白）④个锯（～嘚）"
"kʰ"	"②客咳刻克磕（～膝头）④去（～哪点）"
"x"	"②纥曷黑赫吓（白）核"
"ts"	"②则窄摘责仄"
"tsʰ"	"②泽择策册"
"s"	"②涩瑟虱塞"
"ʈʂ"	"①遮②折浙摺③者"
"ʈʂʰ"	"①车②彻撤宅拆辄③扯④䞣"
"ʂ"	"①奢赊②摄涉舌设折（弄～了）③捨④射舍（宿～）"
"ʐ"	"②热③惹"
"零"	"②儿而轭③尔耳饵洱珥佴迩"
""	"iᴇ"
"p"	"①憋②别鳖③瘪"
"pʰ"	"②撇（撇捺）③撇（撇棍子）④□（太～了）"
"m"	"②灭蔑"
"t"	"①爹②叠牒蝶谍迭跌"
"tʰ"	"②贴铁"
"n"	"②聂镊孽捏业④蹑"
"l"	"①猎列烈裂劣"
"tɕ"	"①家（你～）嗟（～来之食）②接捷劫杰孑节截结诘洁揭竭绝厥孓（孑～）掘倔崛蹶撅（～子）决诀③姐④借藉"
"tɕʰ"	"②怯切缺阙（宫～）茄瘸③且④妾"
"ɕ"	"①些靴②邪斜脅协歇蝎血薛屑雪血穴③写④泻卸谢泄亵"
"零"	"①耶椰②爷谒噎阅悦月曰越粤樾钺③也野冶④夜"
""	"ɿ"
"ts"	"①资姿咨枝肢兹滋辎孜③紫姊子梓滓④自字"
"tsʰ"	"①疵差（参～）②词慈辞糍③此④次茨刺赐翅"
"s"	"①斯撕厮嘶私司丝思师狮③死④似祀巳（辰～）寺嗣饲伺柿俟事士仕"
""	"ʅ"
"ʈʂ"	"①之芝知支②置执挚汁姪质直值殖植织职掷炙③纸只（～有）旨指脂止趾址④稚智致至窒痔峙治志痣"
"ʈʂʰ"	"①痴嗤②吃迟持赤斥尺池驰③齿侈（奢～）匙耻④斥叱"
