#a	1	2	3	5	6	7	8
p	爸巴疤叭扒芭粑	爬杷琶钯耙□{抓痒}	把靶饱-	霸坝	罢耙		
ph	脬抛-{倒过来}			怕帕泡-{生~}			
m	妈□{手抓}□{手帕}	麻=猫-蟆	马码蚂妈{~祖}	骂	□{□nu11~：父亲}		
t	燋*{干燥}焦{干燥}	茶	打				
th	他她它□{用叉子叉上}□{挑起}□{~leu：玩}			䖳{海蜇皮}			
n	□{疤}拿{加拿大}	拃{腹泻，拉小大便}	呐{表示疑问的语气词}拿		□{老是，总是}		
l	拉						
k	家(阿~;姑姑)加佳嘉胶-铰-{~刀}茭{~笋}交-{~椅}	揢	绞-{~米}贾假{与真相对}	假{假期}架嫁稼驾价橄{~榄}教-{~书}	咬-虼{~蚤:跳蚤}		
kh	骹{脚}		卡	敲{往物体表面 敲}			
x	哈	霞虾暇遐		吓孝{带~}	厦夏		
ŋ	桠	芽牙衙伢涯	雅哑{病~}		讶		
ts	查渣	□{~ni：自己}喳	早	乍炸诈榨=			
tsh	差叉杈岔	柴{本字樵}樵{柴}	炒吵-				
s	沙=纱痧莎砂	□{乱~：乱拿，贬义词}	洒晒	𠚺{詈语}□{詈语}			
0	鸦丫	阿	拗-{断}亚哑	亚	下		
#ak							
p						百-伯-柏掰擘{掰}檗	白-
ph						拍-{打}	
m						□{凹陷}	脉麦
t						答搭矺{压}□{压}	沓踏达
th						塔塌□{笔帽}錔{笔帽}澈{干净}褡{背~：(布)背心}	□{一直在手里把玩}宅榻
n						□{陷下去}	纳衲
l						瘌{秃}	腊蜡猎粒辣捋
k						割鸽蛤葛甲胛格裌合{~得来}	格隔□{粘住}敆*{粘住}
kh						□{拾，捡起}拾咳渴客-□(太，副词)	咳
x						喝{~斥}瞎□{沙哑}	合盒匣辖核{~对}
ŋ							
ts						□{收底}窄轧札扎	杂闸铡
tsh						插擦察册	□(插嘴，干涉}
s						萨煞{剩下}杀撒	煠{用水煮}□{蟑螂}
0						鸭押压	
#ɛ							
p	□{老~:对老人的蔑称}	排牌簰{筏}	摆-				
ph		□{øoŋ 11~：青蛙}髀	歹{~囝：坏孩子}蹩	稗			
m	咩□{左，~爿：左边}		买		卖□{伓会的合音}𫧃{伓会的合音}𠀾{伓会的合音}		
t	低	题蹄	底-抵-	帝	第弟{1，徒~}递苎		
th		啼=	体	替屉□{搓}			
n		尼-泥□{鼻~：鼻涕}	奶-{阿~：母亲}妳{阿~：母亲}		腻-		
l		犁厘驴-璃黎{~tsɛ35：丝瓜}	礼璃詈{骂}	□{水中捞起}沥砺{磨光滑}	丽励隶厉{严~}		
k	街		解-	疥□{大叫}	个{我~：表示归属}□{我~：表示归属}		
kh	溪䙎{衣襟}		啃龃{啃}	快-{速度快}			
x			盻{白眼瞟人，怒视}□{白眼瞟人，怒视}		蟹{湖~}		
ŋ		倪		介{1，~绍}			
