	注释：-白读，=文读
#a	
p	[1]巴吧疤笆芭[2]爬琶杷扒[3]把饱-[5]百-霸坝□{掰}爸[6]白-罢耙爸{郎～}
pʰ	[5]怕帕拍-{相～：打架}破-{～赖}
m	[1]摸-[2]麻{单字音；～糍}蟆猫{～咪}[3]马码蚂妈{老～}[5]骂[6]麦-乐-{伓～}
f	[1]花[2]华[5]化[6]夥{若～，多少}
v	[1]娃哇蛙洼娲[3]祸我-[6]划-话画
t	[1]□{食得～，吃得消}[2]茶[3]打{量词}[6]大□{压}
tʰ	[1]它他她拖-{鞋～}[6]宅-䖳{海蜇}
n	[2]□{拇指至无名指距离}拉{～屎}拿[3]娜
l	[1]啦垃拉[2]箩-锣-
ts	[1]渣喳楂咤查{调～}□{药水对皮肤的刺激}[2]查{～名}[3]早-[5]债炸榨诈
tsʰ	[1]差叉岔杈[2]柴[3]吵[5]册-
s	[1]砂沙纱莎鲨痧疏-[2]□{漤～，一种婴儿专用巾}[3]洒[5]晒
k	[1]家交-加茭-佳嘉胶-铰-{～刀}[3]假贾绞-[5]架价驾嫁枷稼隔-戒尬教-[6]咬岬
kʰ	[1]骹{脚}[3]卡巧[5]客-
ŋ	[2]牙芽伢雅蚜崖衙涯讶[6]□{要，原文作“乐”}
h	[1]哈[2]虾蛤霞暇遐瑕[6]下{量词}厦夏
∅	[1]丫鸦阿[2]何{～侬}[3]亚哑拗{～断}[6]下{方位名词}
#ai	
p	[3]摆{摇～}跛{～骹}□{女阴}[5]拜[6]败
pʰ	[1]痞{～囝}[5]派
m	[2]埋霾毛{眉～}[5]□{坏}
f	[2]怀淮槐[6]坏
v	[1]歪
t	[1]呆{书～}[5]带戴[6]待怠殆岱大{～安，地名}
tʰ	[1]梯筛[2]治-{宰杀}[3]腿[5]太态泰贷
n	[1]奶{母亲}[3]乃[8]耐奈
l	[1]□{磨蹭}[2]来-雷-擂□{特～，特意}[3]□{篓}[6]赖癞
ts	[1]灾栽哉斋[2]才财材裁豺脐[3]宰指{末～}栽[5]再载{～重}[6]寨在
tsʰ	[1]钗差{出～}[3]彩采睬踩[5]菜蔡
s	[1]狮-师-{皇～：道士}[3]屎使-{～得}[5]婿{儿～，女婿}[6]事-{物～，东西}
k	[1]该皆阶谐偕□{搅拌}[3]改解{～放军}[5]盖钙丐界介届戒芥□{刮}[6]□{蛮横}
kʰ	[1]开={～始}[3]楷凯[5]慨概溉
ŋ	[2]呆{～板}[5]艾[6]碍
h	[2]孩□{陶瓷，原文作“硋”}[6]害亥械懈
∅	[1]埃唉哀挨[3]蔼[5]爱隘
#au	
p	[1]胞包褒苞[2]袍[3]饱={～满}[5]豹[6]暴爆雹刨鲍
pʰ	[1]抛枹{柚子}[3]跑[5]炮泡
m	[2]矛茅锚[3]卯[6]貌
t	[1]□{舀}[2]逃涛投骰□{叔叔}[3]斗{米～}抖陡岛捣祷倒{打～}[5]昼-{日～}[6]导道悼盗豆逗痘
tʰ	[1]偷[2]头[3]㪗{展开}[5]透□{～□tʰou53，舒服}
n	[1]挠铙[3]脑恼瑙[6]闹
l	[1]□{挖}[2]劳楼流-留-[3]老{～师}[5]溜{腹肚～，拉肚子}[6]漏{～水}老{菜太～了}佬{乞～：乞丐}
ts	[1]糟遭抓[2]曹槽巢剿[3]走早=澡蚤策爪找[5]罩灶燥[6]造
tsʰ	[1]抄钞操[3]草吵炒[5]躁臭-
s	[1]骚稍梢捎搜[5]扫嗽[6]□{猪～}
k	[1]交=郊胶沟钩勾篝鲛[2]猴-□{刮皮}[3]狡绞铰=搞稿九-垢[5]校{～对}较教=[6]厚{～薄}
kʰ	[1]敲箍[3]考烤拷栲铐巧窍[5]哭-
ŋ	[2]喉{咙～}
h	[1]薅{～草}哮{病～}[5]酵孝[6]效校{学～}
∅	[1]坳[3]□{咬}[6]后-
#eu	
pʰ	[2]浮[3]否剖
m	[2]谋牟眸毛-□{强横，差劲}[3]亩某[6]贸茂
t	[1]雕-凋-刀-[2]条-愁-[3]鸟-[5]吊-斗{～争}
tʰ	[1]馊
n	[1]袅{～来～去}[2]扭
l	[1]了{食～，吃完}[6]料-廖陋漏=
ts	[1]邹[3]鸟-{□noi31～：男阴}□{揪}[5]皱皱奏揍[6]骤
tsʰ	[2]愁操{～裤骹}[5]凑
s	[1]闩拴箫□{均匀}[3]叟[5]嗽
k	[1]高膏=羔糕=[3]苟垢=稿=狗{走～}[5]媾构够告[6]厚{忠厚}
kʰ	[3]口[5]扣=寇蔻叩
ŋ	[2]熬遨[3]偶藕偶[6]傲敖
h	[1]蒿□{掀开}[2]猴=喉={～咙}侯毫[5]耗[6]候后=
∅	[1]欧鸥瓯殴讴区{姓}枵{饿}□{～侬，叫人}[5]澳奥懊
#oi	
f	[1]灰婚昏荤[2]魂回园-蕃{～米}芫{～荽}[3]火[5]悔晦岁-[6]远-会{开～}
v	[1]煨温瘟[2]丸纨[6]汇会{～来}
t	[1]堆□{别～，别的地方}[2]抬台猜{训读}□{猜}[3]短[5]对兑[6]代袋
tʰ	[1]推胎苔[5]退
n	[1]儡{傀～囝，小孩}[2]□{～鸟，男阴，原文作“囊”}[6]内
l	[2]雷={姓}脶{指纹}[3]瘰[6]□{丢失}
ts	[6]罪
tsʰ	[1]猜崔催摧[5]脆莝{～柴：砍柴，原文作“㔍”}
s	[1]衰□{瘦}[3]碎粹[5]赛帅率{～领}[6]座坐
k	[1]傀[5]个□{安慰}
kʰ	[1]奎魁盔诙□{猜～，猜谜}
h	[3]海
#ou	
p	[1]玻菠夫-{丈～侬：男人，丈夫}播[2]葡菩{一～花}婆[3]补保宝堡葆[5]布怖报[6]部步簿薄捕埠晡{暗～墘}
pʰ	[1]波坡颇铺[2]扶-[3]普埔蒲浦谱莆[5]铺{十里为一～}[6]破=抱曝{稍晒}
m	[1]摸[2]模魔摩摹毛无{～干：无用，原文作“呒”}磨{折～}[3]母姆拇[5]𢫦{击，敲}[6]墓暮募雾务帽莫冒磨{～米}
t	[1]多刀兜[2]陶淘掏{持，取}驮驼鸵陀[3]躲朵倒{～下}[5]桌-到倒{～去}[6]惰舵
tʰ	[1]拖=[2]萄桃[3]讨□{摘}[5]套
n	[2]挼{研}[5]乇{东西}[6]糯
l	[2]罗逻裸螺劳牢涝痨络萝箩=锣=[3]栳{米～}[5]络{手～}[6]落
ts	[3]早=枣左佐[5]做[6]座皂凿
tsʰ	[1]搓搽[3]草[5]错糙
s	[1]蓑梭骚嗦□{翼～，翅膀}[3]所锁唢嫂[5]燥欶{吮吸}索[6]□{骂}
k	[1]歌哥锅膏-糕-戈[2]□{窟窿}□{大口喝}[3]果裹[5]过句-
kʰ	[1]科颗轲苛窠棵[2]□{炖，原文作“㸆”}□{四肢残缺}[3]可[5]靠课
ŋ	[2]蛾鹅俄娥[3]我={自～}[6]误悟饿
h	[1]夫{姐～}麸{～背，驼背}[2]和禾何呵{～膈榴}[3]好[5]□{煎，原文作“熇”}货[8]号{呼～}贺雨-
∅	[1]倭乌{颜色～}沃-{浇水}[2]河荷盂[3]袄[5]乌{灯～了}沃-{～饭，汤拌饭}[6]护互学-芋-荷{为～}
#ei	
