tsa	3	姐紫子{父~}
tsa	7	眨□{~~密密：密密麻麻}
tsʰa	7	七漆{生~}
sa	3	死
sa	5	四肆
sa	6	字牸□{齐}浸{~谷种}
za	2	□{糍粑}
ka	1	□{我~：我的}
kʰa	7	□{~~te³⁵：乌鸦}
xa	7	现{~kʰi²⁴：现在}这{~pɤ⁵³：这里，训}
pia	1	跛{~子，瘸子}
pia	3	摆
pia	4	髀{大~瓜：大腿}
pia	5	拜
pia	6	稗败
pia	7	八□{taɲ⁴¹~：打破}
bia	2	排牌
pʰia	3	□{白~鬼：小银鱼}
pʰia	5	派
mia	2	埋
mia	4	买
mia	6	卖
tia	4	待{~客}
tia	5	戴带
tia	6	代袋贷
dia	2	台苔抬
tʰia	1	胎□{后缀，ma³³~：烂}
tʰia	5	太
tʰia	7	□{~~鞋：木板鞋}
nia	2	捱磑{~墨}
nia	4	奶{~牛}
nia	5	□{精神不振}
nia	6	耐
lia	2	来
lia	4	□{~~子家：小孩}
lia	6	赖癞
lia	7	□{剪：~头发}□{一~：一共}□{等一~：等一下}
tsia	1	斋{吃~}
tsia	5	再载
tsia	6	煠{煮}□{敲击：~镲镲}□{扇耳光，~耳光}
tsia	7	闸铡溅扎{驻~}姐{~~：妈妈，存疑}
tsʰia	1	猜差{出~}
tsʰia	3	彩{~头}镲{一种打击乐器}
tsʰia	5	菜蔡
tsʰia	7	擦插□{鱼~：獭}□{~头：低头}
sia	1	腮鳃酾{~茶：倒茶}□{~锯，拉：~木头，~胡琴}
sia	4	在
sia	5	晒
sia	6	寨
sia	7	杀{~猪}
zia	2	才材财裁豺柴
kia	1	该街
kia	3	改解{~开}
kia	5	介界芥戒盖尬械
kia	7	夹挟
kʰia	1	揩{~手帕}
xia	1	开
xia	3	海{~碗}蟹
xia	4	稀{~饭}
xia	6	害狭
xia	7	瞎掐
ɣia	2	鞋
ia	3	矮
ia	5	爱亚
pua	1	枫崩{倒塌}□{指某些食物纤维少而柔软}
pua	3	□{~塘：深水塘}□{~口裤}
pua	6	□{竖：~碑}卜{萝~}□{丛}
pua	7	北
bua	2	□{溢：水~了}
pʰua	3	捧
mua	1	摸磨□{词缀，表程度深：黑~}
mua	2	蚊
mua	3	□{一~棍子，一根棍子}□{痛~，词缀，表程度深}
mua	4	母{词缀，缸~：水缸}
mua	5	□{扔}
mua	6	梦墨脉
tua	1	灯东冬□{量词，粒，颗：一~星星}
tua	3	等
tua	4	□{水坑}动{~来~去}
tua	5	凳冻
tua	6	第邓峒{~田}
tua	7	□{~面皮：给面子}
dua	2	同铜桐筒藤誊藤
tʰua	3	桶筒{~~鞋：水鞋}
tʰua	5	痛
tʰua	7	□{~火：烧火}
nua	2	农脓{~包}
nua	5	□{~水：浑水}
lua	2	笼聋
lua	4	笼{~箱}
lua	5	弄
lua	6	肋{~骨}得{~bei²¹：得到}
lua	7	劣{~骨田：劣质田}得{识~，认识}
tsua	3	崽
tsua	4	□{~kiou³³：柿子}
tsua	5	挣{~开}粽
tsua	7	侧{~边}
tsʰua	1	葱
sua	3	使{用}
sua	5	送宋
sua	6	贼
