				编号	字头	汀角	东平洲
				29	水	sui35	sui35
				30	毛	mɐu11{~毛水：毛毛雨}；mɐu13{松~：松針}；mɐu55{眼汁~：睫毛}	mau11{紅~泥：水泥}；mau33{松~：松針}；mau55{眼汁~：睫毛}
				31	溦		mi11
				32	仔	tsɐi35{池塘~：池塘}；tsɐi55{間間~：一會兒}	tsɐi35{水溦~：毛毛雨}；tsai35{脈~：萵苣}；tsʰɐi35{蔥~：蔥}；tsɐi3{巢~：帆船}
				33	落	lɔk55	lɔk55{~水：下雨}；lok55{裝唔~：裝不下}
				34	晴	tsʰiɛŋ11	tsʰiɛŋ11
				35	涿	tok35	tok55
				36	雷	lui11	lui11
				37	公	koŋ13	koŋ33{雷~：雷}；koŋ13{貓~：公貓}；kɔŋ33{爆趼~：(皮膚)皸 / 裂}
				38	喊	ham13	ham13{~驚：收驚}；ham33{~唔郁佢：(我)叫不 / 動他}
				39	響		hœŋ35
				40	火	fɔ35{~蛇攝：閃電}；jɐŋ11{~蟲：螢火蟲}	fo35{~蛇仔攝：閃電}；fɔ35{~燒屋：失火}
				41	蛇	sɛ11	sa11
				42	攝	jip35{火蛇~：閃電}；sip35{~瞇眼：閉(眼)}；jap35{~：挽(袖子)}	lip55{火蛇仔~：閃電}；sip55{~石：磁石}；ȵiap55{~：捋(袖子)}
				43	霧	mu55	mu55
				44	結	kit35	kit55{~霧水：結露水}；kʰit55{~：(粥)稠}
				45	有	jɐu13	jɐu13
				46	霜	sɔŋ13	sɔŋ33
				47	弓	koŋ13	
				48	虹		hoŋ11
				49	冰	pɐŋ13	pɐŋ33
				50	雹	pɔk55	
				51	過	kɔ13	kɔ55{~雲水：驟雨}；kɔ13{~身：去世}
				52	雪	sit35	sut35{~：雪}；sut55{落~：下雪}
				53	融	joŋ11	joŋ11
				54	時	si11	si11
				55	烏	vu13	vu33{~天黑地：陰天}；u33{~咗：(火)滅了}；vu13{~：黑}
				56	陰	jɐm13{烏~天：陰天}；jɐm55{~涼：陰涼}	jɐm33
				57	黑	hɐk35	hɐk55
				58	地	ti55	tʰi55
				59	好	hɐu35{~天：晴天}；mɐu13{唔~：別(去)}	hau35{~天：晴天}；sɐu13{~瘦：瘦~~}；hɐu35{~快：~快}；mau13{唔~：別(去)}；hau33{食~飯更講：(吃了飯) / 再說}
				60	旱	hun13	hun13
				61	浸	tsɐm13	tsɐm13{水~：水澇}；tsɐm33{~：洇(紙)}
				62	災		tsui33
				63	焗	kok55	kʰok55
