tsɿ¹³资兹滋姿咨淄锱孶
tsɿ⁵⁵姊紫子籽仔
tsɿ³¹³字自恣訾
tsʰɿ¹³疵{（～毛）}差{（参～）}
tsʰɿ⁴²此雌瓷慈词辞磁祠
tsʰɿ⁵⁵跐
tsɿ³¹³次刺伺{（～候）}
sɿ¹³思斯私丝嘶司饲厮厕{（白读，茅～）}
sɿ⁵⁵死
sɿ³¹³四泗肆祀巳伺{（～机）}似{（相～）}
tʂʅ¹³之芝只{（量词）}知蜘织支枝吱肢汁
tʂʅ⁴²直值植殖侄
tʂʅ⁵⁵指纸只{（～有）}脂旨止趾址
tʂʅ³¹³治制至致志痣
tʂʰʅ¹³吃痴嗤
tʂʰʅ⁴²迟池茌驰持
tʂʰʅ⁵⁵尺齿耻侈
tʂʰʅ³¹³翅斥叱
ʂʅ¹³尸诗师狮虱失施湿
ʂʅ⁴²时十拾实食蚀石
ʂʅ⁵⁵史始驶使屎匙{（钥～）}矢
ʂʅ³¹³是市事世逝誓侍恃式试氏势饰室士柿嗜似{（～的）}
ʐʅ³¹³日
pi¹³逼屄必
pi⁴²鼻
pi⁵⁵比彼秕俾鄙
pi³¹³陛毕闭敝婢弼蓖痹碧蔽箅弊币篦壁避毙臂璧
pʰi¹³批披坯{（砖～子）}匹{（一～布）}劈霹
pʰi⁴²皮疲啤脾匹{（一～马）}琵枇
pʰi⁵⁵擗癖痞
pʰi³¹³庇屁譬僻
mi¹³眯
mi⁴²迷谜弥糜靡
mi⁵⁵米弭
mi³¹³密蜜秘泌幂觅
ti¹³低滴堤提{（打～溜）}
ti⁴²嘀敌笛狄籴迪涤嫡
ti⁵⁵抵底砥诋的
ti³¹³地弟第
递帝
tʰi¹³踢梯剔
tʰi⁴²提{（～高）}蹄题蹄
tʰi⁵⁵体
tʰi³¹³替剃涕屉惕嚏
li⁴²厘犁梨黎篱离狸
li⁵⁵礼里理李鲤俚娌
li³¹³立莅笠粒例利俐痢栗荔戾雳隶吏力丽历沥励砺厉
tɕi¹³鸡积机几{（茶～）}圾激击基饥肌缉姬箕{（粪～）}奇{（～数）}
tɕi⁴²急及疾集籍辑极棘
tɕi⁵⁵几{（～个）}己挤济虮
tɕi³¹³记忌纪计剂际既寄妓系{（～鞋带）}继季祭冀稷荠{（～菜）}
tɕʰi¹³七妻期凄欺蹊漆栖沏嘁
tɕʰi⁴²齐脐骑奇崎其旗棋歧岐祁岂
tɕʰi⁵⁵启起企
tɕʰi³¹³气汽砌弃契器泣
ɕi¹³西希稀析淅晰吸溪夕昔惜息熄锡犀熙兮牺蜥蟋膝
ɕi⁴²习席媳袭徙
ɕi⁵⁵喜洗
ɕi³¹³细戏系{（联～）}
ȵi¹³妮
ȵi⁴²泥尼呢
ȵi⁵⁵你
ȵi³¹³匿泥{（拘～）}溺腻
i¹³一衣依{（～照）}揖壹
i⁴²夷姨胰移仪饴怡疑沂遗彝
i⁵⁵以已乙倚椅尾{（白读：～巴）}蚁
i³¹³艺忆亿意义议宜谊益溢易蜴役疫亦屹抑逸
pu¹³不
pu⁴²醭拨{（～拉，拨动）}
pu⁵⁵卜补捕
pu³¹³步布怖部埠簿
pʰu¹³铺{（～路）}扑噗
pʰu⁴²葡蒲仆菩
pʰu⁵⁵普谱浦朴圃脯濮
pʰu³¹³铺{（店～）}瀑
mu⁴²模{（～子）}
mu⁵⁵母姆亩牡某
mu³¹³木沐目苜睦慕墓幕募暮牧穆蓦
fu¹³夫肤麸书{（白读：看～）}输{（白读：～液）}梳{（白读：～头）}
fu⁴²佛{（～像）}服伏熟{（白读：饭～了）}俘浮符{（音～）}芙扶
fu⁵⁵抚辅符府俯腑釜腐叔{（白读：叔叔）}数{（白读）}鼠{（白读）}署{（白读）}暑{（白读：～假）}甫斧
fu³¹³父付富树{（白读：栽～）}傅{（师～）}赋副
tu¹³都{（首～）}督
tu⁴²独毒犊读
tu⁵⁵赌堵肚{（猪～）}笃
tu³¹³肚{（～脐）}杜度渡镀妒
tʰu¹³秃突凸
tʰu⁴²图途徒涂屠荼
tʰu⁵⁵土吐
tʰu³¹³兔
nu⁴²奴弩驽
nu⁵⁵努
nu³¹³怒
lu¹³撸噜
lu⁴²炉卢芦庐颅泸
lu⁵⁵鲁橹虏掳卤
lu³¹³路露鹭赂鹿录禄陆
ku¹³姑孤估箍沽菇蛄辜
ku⁴²□{（～搐：收缩）}
ku⁵⁵古股骨鼓
ku³¹³故固锢顾雇
kʰu¹³哭枯窟□{（～察：刮削）}
kʰu⁵⁵苦
kʰu³¹³裤库酷
xu¹³忽呼惚糊{（～墙缝）}□{（～他的脸）}
xu⁴²胡湖壶糊{（～窗户）}蝴瑚核{（杏～）}葫煳囫
