	注释：-白读；=文读			
#i				
p	[1]卑碑啤脾枇琵[3]比{用手指}彼□{量词，相当于“串”，用于体形较小且不规则分布的果实，如龙眼、荔枝、葡萄等}[5]痹{手脚麻痹的感觉}□{文火焖}[6]篦{～梳：篦子}毙蔽弊币备被={～告}鼻{动词，闻}‖[9]□{～□pa21老□iek21：蝙蝠}□{有～□ai53：有办法；无～□ai53：没办法}			
pʰ	[1]悲皮={顽～}疲肥={合～}疕{痂}螕{牛～：牛虻，一种牛身上的吸血虫。《广韵》：边兮切，牛虱}□{踅螺～：螺蛳头上的圆盖}[3]匪痞={地～}[5]屁=鼻{名词，鼻子，鼻涕}‖[9]□{～～韧：做事拖拉}			
m	[1]迷弥猕{～猴桃}眉楣{门～}糜={奢～}遗唯维帷微薇{蔷～}[3]米{～囝：糯米做的形似饺子的食物，冬至时吃}美[6]谜未={地支之一}□{一口气喝下}□{潜水}			
t	[1]知迟[3]抵={～抗}[5]蒂智致置[6]地治={政～}痔‖[11]□{～□ta55：喇叭}			
tʰ	[1]苔-{青～}蜘堤提弛驰持雉{～鸟：山鸡}黐{～～：形容很黏，带黏液。《集韵》抽知切，《博雅》黏也}[3]耻‖[5]□{～□tʰɔuk5～□tʰɔuk5：走路很慢（重叠短语）}			
n	[1]饵呢{～绒}[5]□{猫～：猫}[6]二腻{细～：小心}□{黏稠，形容词}‖[10]□{□ku21～：蚜虫}□{～□uai242：多少}			
l	[1]来-{过～}梨狸‖□{□tsi33～：水喷出来}[3]里{距离单位，公～}理鲤李{～囝：李子}‖□{□la33～：穿山甲}[5]利{放～：放债}[6]利{很锋利}莉痢{病～：患赤痢，腹泻}厉			
ts	[1]之□{老～：詈语}[3]只{～有}止址趾={麟～：有仁德和才智的贤人}旨指={手～：戒指}子-{腰～：动物的肾}籽‖□{～□li35：水喷出来}[5]至志{～气}誌{日～}痣[6]字{硬币有阿拉伯数字的一面}自-{～家：自己}			
tsʰ	[1]鳃{鱼鳃}痴{～风：逆风}牸{牛～：未生育的小母牛。《广韵》疾置切，牛牝也}‖□{□ŋa21～：蝉}[3]豉={豆～}齿={不～，～德俱尊}[5]饲-{喂，养}试-{～一～}[6]市‖□{拍□xak5～：打喷嚏}			
θ	[1]尸司-{公～}丝诗时糍{糍粑}鹚[5]四-{数字}试={尝～}[6]是{□tʰu53～：一切、全部}氏示视寺侍			
k	[1]基箕{粪～：用于挑粪或草木灰的竹编簸箕}幾{～乎}机饥={～荒}肌讥支-{量词，一般用于较小且条状的物件}葵馗{钟～}逵{李～}奇{～怪}歧祈其期{日～；～待}棋旗麒□{～□lik21：挠胳肢窝痒痒}[3]幾={～许}己{天干之一}杞纪{年～}[5]记既[6]技妓冀忌			
kʰ	[1]欺蛭{蝮～：水蛭}□{歪、斜，一般用于较小的物体，如碗、桌椅、身体等；□ka21□laŋ21～睏：侧身睡}□{～布：胶布}[3]齿-{牙～}起岂□{～□liu53：头发自然卷（和“□kʰiu53：头发自然卷”词义相同，是分音词）}[5]器弃气汽[6]柿			
ŋ	[1]宜={适～}仪疑[3]拟[6]耳			
x	[1]希稀牺熙嘻非飞={～机}妃[3]喜			
∅	[1]伊{他}医衣={大～}依夷姨胰{～皂：肥皂}而[3]尔已以[5]意臆{～病}薏懿{司马～}忆亿[6]异易味{有～：有味道}			
#u				
p	[1]菩匏{～囝：瓠子}□{煨}□{～蝇：苍蝇}[5]富-{真～：很富有}[6]腐-{东西腐烂或瓜果中空变质}伏{孵。～鸡囝：孵小鸡；赖～母：抱窝母鸡。《广韵》扶富切，鸟菢子}□{又}‖[9]□{～□（t＞）luŋ23-21担：货郎}			
pʰ	[1]浮-{～起来}□{油炸}[3]殕{生～：发霉；醋或酱油等表面长的白色霉；冬瓜表皮上的白霜}□{天拍～：拂晓}			
m	[3]某牡{～丹}母={伯～}姆姥{太～山}[6]‖妇-{新～：媳妇}			
t	[1]都{首～；副词，全}徒涂{～壁：用水泥等涂墙壁}途图[3]赌堵□{量词，一～尿：一泡尿}□{～袋：口袋}[6]肚{猪～：猪的胃}杜妒度{长～}渡镀‖[10]□{～□（t＞）leiŋ242：蜥蜴，一般拇指大小}			
tʰ	[1]塗{土}[3]土{～匪}□{伸手递}□{突出、凸}‖□{～□luŋ53：围裙}[5]吐{呕吐}兔‖[10]□{～是：一切、全部}			
n	[1]奴{又读nu33}[3]奴{又读nu35}努[6]怒‖□{□tsʰy53～：讨厌}			
l	[1]卢炉芦庐鲈鸬{～鹚}[3]鲁撸{搅}卤[5]露{露水；目～：眼眵}□{桌子等不稳定}[6]路赂鹭			
ts	[1]租[3]阻诅祖组‖□{～□luŋ35□（t＞）nua242：抖一下子}[5]咒-{～喙：发誓。可指女人骂人}			
tsʰ	[1]粗[3]楚础[5]醋			
θ	[1]苏酥稣{耶～}蔬□{炒米～：一种用传统工艺将麦芽糖与爆米花相混合压制后切成方块状的糕点}[3]所-{看守～}[5]素{料～：佐料}诉塑数{～量}			
k	[1]姑{～姐：姑姑}菇枯{发～：物品长霉斑。《集韵》攻乎切，荼也}鸪{鹧～}辜蛄{虾～：皮皮虾}估={～计}孤糊-{浆糊}[3]估-{～蜀下：估算一下}古={～代}牯{犬～：公狗}鼓股䀇{茶～：茶壶}久-{～长：很久}□{搅拌}□{～□tsʰa-55：捣乱}[5]故固雇顾灸-{用火苗或炭灼烧}[6]旧-{旧的}□{副词，还}‖[9]□{～□ni53：蚜虫}□{～□luk5：大口喝}□{～□tsʰyøŋ35□mɛ23：屁股蛋}□{～□lɔ55病□tʰœy33：麻风病。如今这种病很少见，该词现在多用来表示某人事情做得绝，无人理会}□{～□luŋ21杮：刨花}			
kʰ	[1]箍={紧～咒}呼-{～鸡：唤鸡}丘{量词，用于田䉐榨完油之后用油渣滓压成的饼}□{～□（t＞）luŋ53：盘成一团。可单说}[3]苦古-{～田：地名}[5]库裤[6]臼-{舂～：用来舂米的器皿}			
ŋ	[1]吾梧吴牛-{饲～：养牛}[3]伍{队～}午忤[6]五			
x	[1]乎呼={～吸}夫={车～}肤灰-{火～：草木灰}和{～牌}胡{姓；～须}葫湖糊={～涂}瑚蝴狐壶{尿～}符俘扶={～贫}芙蝮{～蛭：水蛭}[3]虎琥{～珀：中药名}浒甫{杜～}溥{～仪}府俯腑斧={～斤}[5]戽{掬水往外泼}付讣{～告}咐赋赴{解～：来得及}富={～裕}副缚={束～}[6]户护互附辅父{师～}傅负扶-{搀}腐={豆～}妇={～女}			
∅	[1]乌{黑}污巫诬无={～聊}[3]抚芜{～湖：地名}舞侮武鹉[6]务雾=婺{～源：地名}有-{～无：有没有}			
#y				
t	[1]猪除[5]著{～作}[6]箸{筷子}			
tʰ	[1]诛蛛株{～洲：地名}锄{名词；动词，用锄头松土}[3]□{鼎～：锅铲}			
n	[1]□{擦}[3]女汝{你}			
l	[3]吕铝旅屡履[6]虑滤			
ts	[1]诸书资姿咨滋瓷慈磁□{～娘：女人；～娘囝：女孩儿}□{～院：厢房}[3]煮主={进～：将先辈名字写在牌子上镶嵌到祠堂墙壁上的民俗仪式}子={地支之一}□{□ka53-33～袋：草编的饭袋}[6]聚驻住蛀=自={～由}柱={支～}			
tsʰ	[1]舒{～床：铺床；～畅：心情很好}[3]鼠取娶处{～分}此杵{筑～：筑墙用的木棍}‖□{～□lɛ35：赶牛用的竹鞭}[5]觑{近～：近视；～牛：放牛}处{～暑；～长}趣次刺={～杀}‖[10]□{～□nu242：讨厌}			
