IPA	調值	調類	漢字
to	11	1	多
tʰo	11	1	拖
ta	413	5	大
lo	55	2	锣螺
tso	35	3	左
ko	11	1	歌
ko	413	5	个过
kʰo	35	3	可
ŋo	55	2	鹅
Ǿuo	413	5	饿
xo	55	2	河
tɕʰie	55	2	茄
pʰo	413	5	破
pʰo	55	2	婆
mo	55	2	磨[～刀]
mo	413	5	磨[～粉]
to	35	3	躲
tso	413	5	坐做
so	35	3	锁所
ko	35	3	果
kʰo	413	5	课
xo	35	3	火
xo	413	5	货祸
ɕye	11	1	靴
pa	35	3	把
pʰa	55	2	爬
ma	35	3	马
ma	413	5	骂
tsʰa	55	2	茶
sa	11	1	沙
tɕia	35	3	假
ka	413	5	嫁[白读]
ŋa	55	2	牙[白读]
xa	11	1	虾
xa	413	5	下[白读]夏[白读：布～]
ŋa	35	3	哑
tɕie	35	3	姐解[文读]
tɕie	413	5	借
ɕie	35	3	写洗[又读]
ɕie	55	2	斜
ɕie	413	5	谢
tsʰe	11	1	车
se	55	2	蛇
se	413	5	射
Ǿie	55	2	爷
Ǿie	35	3	野
Ǿie	413	5	夜
kua	11	1	瓜
Ǿua	35	3	瓦
xua	11	1	花
xua	413	5	化画话划
xua	55	2	华
pʰu	35	3	谱
pu	413	5	布簿步
pʰu	11	1	铺
tu	35	3	赌
tʰu	35	3	土
tʰu	55	2	图
tu	413	5	杜
lu	55	2	奴
lu	413	5	路
tsu	11	1	租
tsʰo	413	5	错
kʰu	11	1	箍
ku	35	3	古
kʰu	35	3	苦
kʰu	413	5	裤
Ǿu	55	2	吴
Ǿu	35	3	五武
xu	35	3	虎府
xu	55	2	壶浮
xu	413	5	户付父富副妇
Ǿu	11	1	乌
ȵy	35	3	女
ly	35	3	吕
tɕʰi	55	2	徐[白读]骑棋
tɕy	11	1	猪
tɕʰy	55	2	除渠徐[文读]
tsʰu	11	1	初
tsʰu	55	2	锄
ɕy	11	1	书输
tɕʰy	35	3	鼠[白读]取[文读：争～]
Ǿy	55	2	如鱼余
tɕy	35	3	举主
tɕy	413	5	锯柱住句剧
kʰi	413	5	去[白读：来～]
ɕy	35	3	许鼠[文读]
Ǿu	413	5	雾
tɕʰi	35	3	取[白读：～钱]
su	35	3	数
su	413	5	数
ɕy	413	5	竖树
tɕʰy	11	1	区
Ǿy	413	5	遇芋裕育玉
Ǿy	35	3	雨
tʰai	11	1	胎
tʰai	55	2	台
tai	413	5	袋带
lai	55	2	来
tsʰai	413	5	菜
tsʰai	55	2	财柴
kai	11	1	该街
kai	35	3	改解[白读]
kʰai	11	1	开
xai	35	3	海蟹
ŋai	413	5	爱
pei	413	5	贝币背被[文读：～子]
kai	413	5	盖戒
xai	413	5	害
pai	413	5	拜败
pʰai	55	2	排牌
mai	55	2	埋
pai	35	3	摆
