兰溪	
#ɿ	
ts	①猪1知1支1枝肢栀资姿兹滋脂之芝⑤制製支2（量词)紫纸智旨指致至子籽仔（~细）止趾址置（装；位~）志誌痣
tsʰ	①雌撕⑤苎1（~麻）杵（白~）鼠此刺次耻齿
dz	②ⓐ瓷迟慈磁⑥苎2（~麻）著知2（~了）雉（~鸡：山鸡）
s	①筛（米~）斯施私师狮司丝词诗□（~箩：一种箩）□（墙～板：做泥墙时用的木版）⑤世势死四2（~季）使史驶始试
z	②ⓐ锄池豉（豆~）糍（麻~：糍粑）蛳（螺~）祠（~堂）持时1(~景：时间）侍（服~）⑥是氏自2示视时2痔士仕柿市字寺饲治事②ⓑ巳⓪匙（锁~：钥匙)
#i	
p	①鞭编边⑤闭比臂秘变扁1(~担）遍（一~）
pʰ	①𠜱（剥皮）批披偏⑤屁篇骗片匹（量词）
m	②ⓐ眉棉眠⑤米2（糯~）弥（阿~陀佛。连读调为533）尾（~巴）未⑥米1(大米)谜面麵②ⓑ迷
f	①非飞妃⑤废肺匪痱费翡
v	②ⓐ肥2⑥维唯微未味
t	①低癫⑤底抵帝蒂渧（滴，动词)点店踮典1□（跟，和）□（~子：毽子）□（我~：咱们）□（□ma¹¹~：等一下）
tʰ	①添天1⑤体嚏替涕剃舔簟2（插~：架在稻桶上防止稻谷外扬的小竹席）天2（六月~：夏天）□（剔：牙~：旧式牙签）
d	②ⓐ提蹄啼甜田钱⑥逮（~捕）题弟第递地簟1（~□yi²¹³：簟）填电1殿垫靛
l	①裏4（家~）②ⓐ犁离蜊狸连1莲□（咬）□（麻~：麻子：白～：一只眼有病的人)⑤榈（棕~树）旅礼2厉（~害）璃（玻~）梨（白~：梨）李（水果名：姓）里2（一~）鲤镰（钩~：镰刀）□（细手~撇：左撇子）⑥滤励礼1荔利厘剺（划开）里1（九~蜂：蚂蜂)裹3（城~）理泪□（~锤棍：棒槌）⓪篱（策~）⑨ⓐ驴（~狗子：驴）□（~面行~面讲：边走边说)
ts	①尖煎□（蘸）⑤借祭际穄挤济姊箭剪颤（麻~：发麻：发寒~：发烧时一下子热一下子冷，也指发疟疾)荐2（屋斜使正）
tsʰ	①妻籤签千1扦（毛衣针）□（~楤棍：柴担）□(□maʔ²~□diɔ³⁵：垢）⑤笡（斜）砌浅□（~子：近视眼）
s	①脐（肚~孔）西犀（木~花）尿仙1鲜（~艳）鲜（朝~）先1□（称东西时秤尾高）⑤写泻絮洗细（小，细）婿玺四1髓鏾（阉鸡)线□（□kʰəŋ⁵⁴~：囟门）
z	②ⓐ斜徐齐荠潜钱(~村：地名）前全泉⑥谢自1（~家农：自己）贱
tɕ	①鸡1肌基箕纪(年~）机讥饑（饿）兼肩□（篦~：篦子）□（稻~篮：淘米箩）⑤计继髻寄几（茶~）己杞记虹暨季检1建1（福~）茧见②ⓑ鸡2（“西”的别称）
