音标	声调	汉字
pa	1	疤
pa	3	把
pa	5	罢盼(盼望，期盼)
ma	4	马码(码头，筹码)
ma	3	妈
ma	6	骂
fa	1	花(一朵花，开花)
fa	3	猾火伙(伙食)伙(伙计(店里打杂工的))
tʰa	1	他
tʰa	3	塔榻
na	4	哪那
la	1	垃拉
tsa	2	乍
tsa	4	坐座(座位，上座)
tsʰa	1	叉杈差(差别，时差，好的差的)差(差多少钱)差(参差)
tsʰa	5	岔
sa	1	萨沙砂纱痧杉
sa	3	傻琐锁
na	2	牙伢(伢儿，伢郎：小孩)芽衙
ka	1	加痂家(成家，家教，老家)家(家伙，家什：工匠用的)嘉(嘉宾，嘉兴，嘉峪关)
ka	3	假(真假)假(放假，假期)
ka	5	架嫁稼驾贾价遐
wa	1	蛙
wa	5	涴(弄脏，脚陷入泥里)污(污染)污(肮脏)
wa	6	划化画话划
kʷa	1	瓜
kʷa	3	剐寡
kʷa	5	卦挂褂过(姓)过(过去)
kʰʷa	1	夸侉
kʰʷa	3	垮
kʰʷa	5	货
ŋʷa	4	瓦(名词，瓦片)瓦(动词，瓦砖)
kʲa	6	茄
tsua	1	爪抓
tsua	6	昨
sua	3	耍
pe	3	屎
pʰe	1	陛批
me	4	米
fe	5	废吠杮肺沸疿费
te	4	弟第
te	1	低堤
te	3	底啼蹄题
tʰe	1	梯屉
tʰe	3	体
tʰe	5	递剃涕替
ne	2	倪(姓)
ne	3	呢(呢大衣)尼(尼姑)泥
ne	6	腻
le	4	理礼
le	2	粒
le	3	犁劣
tse	2	济捷
tse	3	挤齐
tse	5	借
tsʰe	5	砌笡(斜，笡转身子)
se	1	妻畬(畲族，畲客)赊佘(姓，畲太君)西犀些
se	3	洗邪写泻
se	5	奢舍(宿舍)卸
se	6	社射赦麝
je	3	乙(天干)
je	5	爷(父亲)
kʲe	1	姬基箕稽计苣萁契
pi	2	匹
pi	1	杯卑碑彼蓖
pi	3	比滗(按住渣滓滤出汤汁)
pi	5	臂
pi	6	备鐾庇毕闭敝弼痹蔽弊币篦避毙屁
pʰi	2	培
pʰi	1	俾胚坯披癖譬
pʰi	3	陪赔
mi	2	媚
mi	4	尾
mi	3	玫枚眉莓媒楣煤霉
mi	6	泌秘未味
fi	1	妃非飞菲灰挥
ti	3	抵
ti	6	逮地帝蒂渧
ni	4	你
li	4	李里(一里路，里弄，地名)里(里面，里外)鲤
li	2	荔
li	4	砾
li	3	璃离
