	注释：-白读，=文读
#ɿ	
ts	[1]栀资蛰□{～梗：脖子}[2]制只{只有}至置志执汁质[3]指旨寺[5]翅痣痔子
tsʰ	[1]痴十拾[5]次[7]□{～药：涂药}
dz	[2]治瓷磁词祠
s	[1]诗尸思饲子{被～}[2]世实石={～榴}□{大～：大家}[3]视士柿始市屎[5]试时食={粮～}
z	[1]子{猫～}
#i	
p	[1]飞-{～～：蝴蝶}□{～骨：肋骨}[2]琵枇[3]比蓖[5]闭箅篦鼻憋必毕笔={～画}[7]逼壁
pʰ	[1]别{～针}[5]屁
b	[1]匹皮{～衣}□{软}
m	[1]篾[3]米[5]谜麵{～粉}[7]□{落枕}
f	[1]非飞=[2]肥粪浮[3]虺{蛇}废[5]肺吠
v	[3]味[5]维唯惟微
t	[1]多[2]笛[3]抵第[5]滴敌[7]的{目～}摘
tʰ	[1]拖屉地={～方}侄剔[5]替[7]帖贴踢
d	[3]提
l	[1]犁[2]迟立[3]荔痢鲤[5]地{山～}厘利历[7]笠栗
tɕ	[1]济肌基机饥今{～年}揭[2]挤季糍{～粑}[3]借姐纸{告～：状子}企忌几[5]祭继寄纪吸鲫积[7]接折几□{房屋}
tɕʰ	[1]欺[2]器弃[3]是在[5]刺气汽□{蒸}漆[7]切七
dʑ	[2]棋旗[3]里[5]奇其期集湿舌[7]热
ȵ	[1]泥燃[2]谊[3]履你议义[5]尼疑
ɕ	[1]西栖犀司稀[3]系死[5]细戏四肆喜希媳锡[7]叶页歇息
∅	[1]医衣依[2]意一亿[3]椅[5]乙[7]噎
#u	
p	[1]□{～□tɕie0：蝗虫}[3]补□{窥视}[5]布
pʰ	[1]浦铺{～床}[5]铺{店～}
b	[1]荸{～荠子，原文调值作“213”，疑为误记}[3]□{凹}[5]菩
m	[3]模{～子}
f	[2]伏[3]斧
v	[3]武舞务□{扔}
t	[2]屠□{含}毒[3]肚度[7]堵
tʰ	[1]独[5]吐兔突[7]土{～匪}
d	[2]□{蹲}[5]徒图
n	[1]箩[2]捋[3]橹钝[5]读
l	[2]鸬[3]奴卢炉芦露鹭录[7]卤
ts	[1]租朱[3]水
tsʰ	[1]炊[5]醋[7]出处怯
dz	[2]脐槌[7]□{～雨：下雨}
s	[1]舒□{箩～}[5]俗[7]暑黍缩□{～米：糯米}
z	[2]如入[5]穗髓
k	[1]孤箍[2]固顾[3]古估牯股鼓[5]雇旧[7]谷
kʰ	[1]枯[2]库[3]苦虎
x	[1]呼[3]户互护瓠[5]湖
∅	[1]乌污巫诬[2]荷{～包：口袋}狐壶葫胡猢糊□{～□mau35：青蛙}[3]捂
#y	
tɕ	[1]聚[2]菊[3]巨拒距据嘴鬼[5]醉贵橘局
tɕʰ	[1]截{一～：一节}[2]睡[3]跪柜[5]脆[7]缺
dʑ	[3]锯[5]瞿
ɕ	[5]□{～孙：重孙}[7]徐许薛雪血
∅	[2]围[3]芋玉
#a	
p	[1]焙[2]不[3]笔□{量词}
pʰ	[1]披[2]派[3]妇{媳～}
b	[5]背{～东西}
v	[3]雨有晚
t	[1]株逗[2]头□{～～：姑姑}[3]大{～□sɿ214：大家}斗{容器}陡[5]豆
tʰ	[1]梯[5]剃透鼎□{～火：发脾气}[7]踏铁
d	[3]□{量长短}[2]篓[5]爹[7]跌
n	[1]楼[5]讨
l	[2]头{高～：上面}[3]累
ts	[3]主纸{～烟}崽盏[5]树事蚤扎
tsʰ	[1]丘□{～尿：把尿}[3]取娶拆[7]撤
dz	[2]岔竖字造□{羡慕}
s	[1]纱师狮鸶丝侍搜馊收□{□a35～：垃圾}[3]数{动词}赛使[5]晒数{名词}[7]虱色
z	[1]撕油[2]梨[5]咬漏右
k	[1]勾钩鸡阄□{拴}[3]减较解
kʰ	[1]揩溪抠叩□{～水：排水}□{挠}[3]句口渴[5]扣
x	[3]海会{不～}
ɣ	[2]侯喉□{～：我们}[3]後-{～年}厚
∅	[1]阿□{夜～子：蟋蟀}□{～□sa35：垃圾}呕[3]沤
#ia	
b	[3]扁□{涂掉}
t	[2]绸
tʰ	[1]抽[3]柱[7]戳筑
d	[5]□{选}
l	[5]笕[3]柳溜绿[7]六陆
tɕ	[1]家={～具}[2]求[3]酒九久韭[5]□{～脑□ku0：回头}□{拨}
tɕʰ	[1]秋-{交～}鳅□{短}
dʑ	[2]泅球[5]像□{～□mẽ0：怎么}□{野老～：野鸭}
ɕ	[1]杀[3]夏[5]绣{～球}
∅	[3]也
#ie	
p	[2]便{～宜}别{区～}[5]边遍
pʰ	[1]偏便{方～}[3]辫
m	[5]面{洗～}
t	[1]砧天{明～}[2]蹄啼椽
tʰ	[1]伸[5]特
l	[1]镰
tɕ	[1]姐针金肩真斤筋轻京惊经[2]辰只[3]枕尽诊紧整[5]镜结
tɕʰ	[1]牵亲鳝{～鱼}[3]件近[5]契
dʑ	[2]齐移前[3]缠
ȵ	[1]宜银[2]泣[5]阎染念认
ɕ	[1]心深鲜善先辛身[2]□{～菜：素菜}[3]社闪县[5]扇信姓[7]惜
ʑ	[2]盐檐
∅	[1]腌阉烟□{测量}[3]掩[5]印
#ye	
t	[5]转
tɕ	[1]龟军[2]拳裙[3]卷[5]倔决
tɕʰ	[1]圈[3]菌[5]劝
dʑ	[2]茄[5]旋{打～：打转}
ɕ	[1]熏[2]雄[5]楦
∅	[1]焰完晕弯[2]丸云[5]院怨熨运月{～饼}
#o	
p	[1]玻[2]排{～队}牌陪背评博[5]拜[3]摆[7]八
pʰ	[3]□{两手平伸的长度}
m	[1]媒{～人}[5]磨={～芋}
f	[2]皮脾[3]火被{～子sɿ35：被子}[5]法[7]划
v	[2]袜
t	[1]胎台托[2]桌抬[5]戴对碓兑达
tʰ	[1]推驰[3]腿[5]退
d	[5]驼{～子}[7]条
n	[5]癞赖
l	[1]□{圆}[5]螺骆
ts	[1]栽斋[2]财杂闸□{踢}[5]岁扎[7]捉足
tsʰ	[1]猜差{～犬子：衙役}催[7]插
dz	[3]罪[5]裂
s	[1]筛萨[5]塑[7]洒所刷煞{～黑}
z	[2]绕弱
k	[1]瓜寡街乖[2]郭盖[3]解改刮[5]挂
kʰ	[1]开科[2]块[3]抗□{打}孔[5]快筷骨[7]垮掐扩
x	[1]花[3]孩画霍获[5]□{耍}猾
ɣ	[5]害
∅	[3]瓦矮[5]话化
#io	
ȵ	[5]虐疟
tɕʰ	[5]确却
∅	[5]约岳乐{音～}
#ɤ	
p	[1]巴疤跛[2]琶杷耙[3]把[5]坝[7]百伯
