例字	注释	中古音	公平	九屋	潭下	甘棠
疤		假开二平麻帮	pɒ44	pɤᵊ232	pᵘɔ13	pᵘɔ132
爬		假开二平麻並	pɒ21	puɔ33	pᵘɔ33	pᵘɔ22
麻		假开二平麻明	mɒ21	mɤᵊ33	mᵘɔ33	mᵘɔ22
茶		假开二平麻澄	tʃo21	tsuə33	tsᵘɔ33	tsᵘɔ22
渣		假开二平麻庄	tʃo44	tsuə232	tsᵘɔ13	tsᵘɔ132
叉		假开二平麻初	tʃʰo44	tsʰuə232	tsʰᵘɔ13	tsʰᵘɔ132
查	{调~}	假开二平麻崇	tʃɒ21	tsuə33	tsᵘɔ33	tsᵘɔ22
沙		假开二平麻生	ʃo44	suə232	sᵘɔ13	sᵘɔ132
家		假开二平麻见	kɒ44	kiɔ232	kᵘɔ13{家具}/tʃiᵘɔ13{家长}	kᵘɔ132
牙		假开二平麻疑	ŋo21	uə33	ᵘɔ33	ŋᵘɔ22
虾	{鱼~}	假开二平麻晓	ho44	huə232	hᵘɔ13	hᵘɔ132
丫	{~头}	假开二平麻影	ɒ44	uə232	ᵘɔ13	ŋᵘɔ132
把		假开二上马帮	pɒ55	pɤᵊ422	pᵘɔ44	pa44
马		假开二上马明	mɒ33	mɤᵊ21	mᵘɔ21	mᵘɔ44
洒		假开二上马生	sɒ55	suɔ5	sᵘɔ44	sᵘɔ5
假	{真~}	假开二上马见	kɒ55	kuɔ422	kᵘɔ44	kᵘɔ44
下	{底~}	假开二上马匣	ho53	huə21	hᵘɔ53	hᵘɔ21
哑		假开二上马影	o55	uə422	ᵘɔ44	ŋᵘɔ44
霸		假开二去祃帮		puɔ35	pᵘɔ35	pᵘɔ35
爸		假开二去祃帮	mɒ33	pa5	pa33	pa44/ta35
骂		假开二去祃明	mɒ53	mɤᵊ53	mᵘɔ53	mᵘɔ21
榨	{~油}	假开二去祃庄	tʃo35	tsuə35	tsᵘɔ35	tsᵘɔ35
岔		假开二去祃初	tʃʰo35	tsʰuə53	tsʰᵘɔ53	tsʰᵘɔ35
嫁		假开二去祃见	kɒ35	kuɔ35	kᵘɔ35	kᵘɔ35
价		假开二去祃见	kɒ35	kuɔ35	kᵘɔ35	kᵘɔ35
斜		假开三平麻邪	siɒ21/siᴇ21{多说}	ua232{训读}/tsʰua21	tʃʰiᵘɔ33	tʃiɔ22
