例字	注释	中古音	公平	九屋	潭下	甘棠
磁		止开三平之从	tsʰɿ21{借桂}	tsʰɿ21{借桂}	tsʰɿ21{借桂}	tsʰɿ21{借桂}
丝		止开三平之心	sæ44	sɿ232	sɿ13	sɿ132
祠		止开三平之邪	tsæ53	tsɿ33	tsɿ33	tsɿ22
诗		止开三平之书		sɿ232	sɿ13	sɿ132
时		止开三平之禅	ʃi21	ʃi33	ʃi33	ʃi22
基		止开三平之见		ki232	tʃi13	ki132
欺		止开三平之溪	kʰi44	kʰi232	tʃʰi13	kʰi132
棋		止开三平之群	ki21	ki33	tʃi33	kʰi22
疑		止开三平之疑	ȵi21	ni33	ni33	ȵi22
医		止开三平之影	i44	i232	i13	i132
你		止开三上止泥	næ33	ni21	ni21	ȵi44
里	~面	止开三上止来	læ33	ni21	ni21	ni44
痔		止开三上止澄	tʃi35	tʃi35	tʃi53	tʃi21
使		止开三上止生	ʃi53	sɿ53	sɿ44	ʃi44
止		止开三上止章	tʃi55	tʃi422	tʃi44	tʃi44
齿		止开三上止昌	tʃʰi55	tʃʰi21	tʃʰi44	tʃʰi44
始		止开三上止书	ʃi53{借桂}	ʃi422	ʃi44	ʃi44
市		止开三上止禅		sɿ53	sɿ53	sɿ21
耳		止开三上止日	ȵiᴇ33	i422	i44	i44
纪		止开三上止见	ki55	tʃi33{变调}	tʃi44	ki44
起		止开三上止溪	hi55	hi422	tʃʰi21	kʰi44
喜		止开三上止晓	hi55	hi422	ʃi44	hi44
己		止开三上止以	i55	i422	i21	i44
以		止开三上止以	i55	i422	i21	i44
吏		止开三去志来	li35	ni53	ni35	ȵi21
字		止开三去志从	tsæ53	tsɿ53	tsɿ53	tsɿ21
寺		止开三去志邪	tsæ53	tsɿ53	tsɿ53	sɿ21
饲		止开三去志邪		sɿ35{借桂}	sɿ35	sɿ35
治		止开三去志澄	tʃi35	tsɿ35{借桂}	tsɿ35{借桂}/tʃi53	tʃi35
事		止开三去志崇	si53	sɿ53	sɿ53	ʃi44{变调}
痣		止开三去志章	tʃi35	tʃi35	tsɿ53/tʃi35	tsɿ21
试		止开三去至书	ʃi35	ʃi35	sɿ35	ʃi35
记		止开三去至见	ki35	ki35	tʃi35	ki35
忌		止开三去至群	ki35	ki53	tʃi35	ki21
意		止开三去至影	i35	i35	i35	i35
机		止开三平微见	ki44	ki232	tʃi13	ki132
希		止开三平微晓	hi44	hi232	ʃi13	hi132
衣		止开三平微影	i44	i232	i13	i132
几		止开三上尾见	ki55	ki422	tʃi44	ki44
气		止开三去未溪	hi35	hi35	tʃʰi53	kʰi35
毅		止开三去未疑		i35{借桂}	i35	i35
吹		止合三平支昌	tʃʰʊ44	tsʰu232	tʃʰy13	tʃʰʏ132
规		止合三平支见	kʊæ55	kuᴇi232	kuei13	kuei132
亏		止合三平支溪	kʰʊæ44	kʰuᴇi232	kʰuei13	kʰuei132
危		止合三平支疑		uᴇi33	uei33{借桂}	uei22
嘴		止合三上纸精	tsᴇɪ55	tsɿ422	tʃy44	tʃʏ44
跪		止合三上纸群	kʊæ53	kuᴇi53	kɯ53	kuei21
喂	~饭	止合三去寘影	ʊæ35	uei35	uei35	uei35
为	~什么	止合三去寘云	ʊæ53	uei53	uei53	uei21
追		止合三平脂知	tʃʊ44	tsuᴇi232	tsuei13	tʃʏ132
锤		止合三平脂澄	tʊ21	tɯ33	ty33	tʏ22
龟		止合三平脂见	kʊæ44	kuᴇi232	kuei13	kuei132
遗		止合三平脂以	i21{借桂}	i33	i21{借桂}	15
水		止合三上旨书	ʃʊ55	su422	ʃy44	ʃʏ44
类		止合三去至来		nɯ422	nuɯ53	nei21
泪		止合三去至来	liəu53	nɯ21	ny21	ȵʏ21
醉		止合三去至精	tsᴇɪ35	tsuᴇi35	tʃy35	tʃʏ35
翠		止合三去至清		tsʰuᴇi35	tʃʰy53	tsʰei35
帅		止合三去至生		suai35{借桂}	suai35	sua35
季		止合三去至见		ki35	tʃi35	ki35
柜		止合三去至群	kʊæ53	kuᴇi53	kɯ53	kuei21
位		止合三去至云	ʊæ53	uᴇi53	uei53	uei21
飞		止合三平微非	fæ44	fᴇi232	fei13	fei132
肥		止合三平微奉	fæ21	fᴇi33	fei33	fei22
归		止合三平微见	kʊæ44	kuᴇi232	15	kuei132
威		止合三平微影	ʊæ44	uᴇi232	uei13	uei132
围		止合三平微云	ʊæ21	uᴇi33	uei33	uei22
匪		止合三上尾非	fᴇɪ55	fᴇi422	fei44	fei44
尾		止合三上尾微	mæ33	mi21	mi21	mi44
鬼		止合三上尾见	kʊæ55	kuᴇi422	kuei44	kuei44
伟		止合三上尾云		uᴇi422	uei53{借桂}	uei44
费		止合三去未帮		fᴇi35	fei35	fei35
味		止合三去未微	ʊæ53	uᴇi53	uei53	uei21
贵		止合三去未见	kʊæ35	kuᴇi35	kuei35	kuei35
胃		止合三去未云	ʊæ53	uᴇi53	uei53	uei21
毛		效开一平豪明	məu21	mɑu33	mɑu33	mou22
刀		效开一平豪端	təu44	tɑu232	tɑu13	tou132
桃		效开一平豪定	təu21	tɑu33	tɑu33	tou22
淘	~米	效开一平豪定	təu21	hɑu33	tɑu33	tou22
劳		效开一平豪来	ləu21	nɑu33	nɑu33	nou22
牢		效开一平豪来	ləu21	nɑu33	nɑu22	nou22
糟		效开一平豪精	tsəu44	tsɑu232	tsɑu13	tsou132
操		效开一平豪清		tsʰɑu232	tsʰɑu13	tsʰou132
曹		效开一平豪从	tsəu21	tsʰɑu21{借桂}	tsɑu33	tsʰou22
臊		效开一平豪心	səu44	sɑu232	sɑu13	sou132
高		效开一平豪见	kəu44	kɑu232	kɑu13	kou132
熬		效开一平豪疑	ŋəu21	ɑu33	ɑu33	ŋou22
豪		效开一平豪匣		hɑu33	hɑu33	hou22
保		效开一上皓帮	pəu55	pɑu422	pɑu44	pou44
宝		效开一上皓帮	pəu55	pɑu422	pɑu44	pou44
抱		效开一上皓並	pəu33	pɑu21	pɑu21	pou44
倒		效开一上皓端		tɑu422	tɑu44	tou44
讨		效开一上皓透	tʰəu55	tʰɑu21	tʰɑu21	tʰou44
道		效开一上皓定	təu53	tɑu53	tɑu53	tou21
脑		效开一上皓泥	nəu33	nɑu21	nɑu21	nou44
老		效开一上皓来	ləu33	nɑu21	nɑu21	nou44
早		效开一上皓精	tsəu55	tsɑu422	tsɑu44	tsou44
草		效开一上皓清	tsʰəu55	tsʰɑu21	tsʰɑu21	tsʰou44
造		效开一上皓从		tsɑu35{借桂}	tsɑu53	tsou21
扫	~地	效开一上皓心	səu55	sɑu35	sɑu35	sou44
稿		效开一上皓见		kɑu422	kɑu44	kou44
烤		效开一上皓溪	tʃi4{训读}	kʰɑu21	kʰɑu21	kʰou44
好		效开一上皓晓	ʊæ33	hɑu21	hei33{训读}	hou44
袄		效开一上皓影		ɑu53{借桂}	ɑu21	ŋou44
报		效开一去号帮	pəu35	pɑu35	pɑu35	pou35
暴		效开一去号並		pɑu35	pɑu35	pou35
帽		效开一去号明	məu53	mɑu53	mɑu53	mou21
到		效开一去号端	təu35	tɑu35	tɑu35	tou35
套		效开一去号透	tʰəu35	tʰɑu53	tʰɑu53	tʰou35
灶		效开一去号精	tsəu35	tsɑu35	tsɑu35	tsou35
糙		效开一去号清	tsʰəu35	tsʰəu35	tsʰɑu35	tsʰou35
告		效开一去号见	pəu35{训读}	pɑu35{训读}	kɑu35	kou35
靠		效开一去号溪	kʰəu35	kʰɑu53	kʰɑu53	kʰou35
号	~数	效开一去号匣	həu53	hɑu53	hɑu53	hou21
包		效开二平肴帮	pɑʊ44	pɑu232	pɑu13	pou132
茅		效开二平肴明	məu21	mɑu33	mɑu33	mou22
交		效开二平肴见	kɑʊ44	kiɑu232	tʃiɑu13	kiou132
教	~书	效开二平肴见	kɑʊ44	kiɑu232	tʃiɑu35	kiou35
敲		效开二平肴溪	kʰɑʊ44	kʰɑu232	kʰɑu13	kʰou132
饱		效开二上巧帮	pɑʊ55	pɑu422	pɑu44	pou44
找		效开二上巧庄	tsaŋ21{训读}	tʃiŋ33{训读}	tsɑu44	tʃiŋ22{训读}
炒		效开二上巧初	tʃʰɑʊ55	tsʰɑu21	tsʰɑu21	tsʰou44
搞		效开二上巧见	kɑʊ55	kɑu422	kɑu44	kɑu44
巧		效开二上巧溪	kʰiɑʊ55	kʰiɑu21/tʃʰiɑu21	tʃʰiɑu21	kʰiou44
咬		效开二上巧疑	ŋɑʊ33	ɑu21	ɑu21	ŋou44
豹		效开二去效帮		pɑu35	pɑu35	pou35
炮		效开二去效滂	pʰɑʊ35	pʰɑu53	pʰɑu53	pʰou35
貌		效开二去效明	mɑʊ35/məu53	mɑu53	mɑu21	mou21
闹		效开二去效泥	nɑʊ53	nɑu53	nɑu53	nou21
罩		效开二去效知	tsɑʊ35	tsɑu35	tsɑu53	tsou35
潲	猪~	效开二去效生	ʃɑʊ35	sɑu35	sɑu35	sou35
较		效开二去效见		ʃiɑu35	ʃiɑu35	kiou35
孝		效开二去效晓	hɑʊ35	hiɑu35	ʃiɑu35	hiou35
效		效开二去效匣		ʃiɑu35	ʃiɑu35	hiou35
标		效开三平宵帮	pᴇɪ44	piᴇ232	piɑu13	piou44{变调}
飘		效开三平宵滂	pʰᴇɪ44	pʰiᴇ232	pʰiɑu13	pʰiou132
苗		效开三平宵明	mi21	miᴇ33	miɑu33	miou22
猫		效开三平宵明	mi35/mɑʊ53	mɑu232	mɑu35	miou22/mou22
焦		效开三平宵精	tsᴇɪ44	tʃiᴇ232	tʃiɑu13	tʃiou132
锹		效开三平宵清	tsʰᴇɪ44	tʃʰiᴇ232	tʃʰiɑu13	tʃʰiou132
消		效开三平宵心	sᴇɪ44	ʃiᴇ232	ʃiɑu13	ʃiou132
超		效开三平宵彻	tʃʰɑʊ44	tsʰɑu232	tsʰɑu13	tsʰou132
朝	今~	效开三平宵知		tsɑu232	tsɑu13	tsou132
朝		效开三平宵澄		tsɑu33	tsɑu33	tsou22
潮	~田	效开三平宵澄		tsɑu33	tsɑu33	tsou22
招		效开三平宵章	tʃi44	tʃiᴇ232	tsɑu13	tsou132
烧		效开三平宵书	ʃi44	ʃiᴇ232	sɑu13	sou132
桥		效开三平宵群	ki21	kiᴇ33	tʃiɑu33	kiou22
腰		效开三平宵影	i44	iᴇ232	iɑu13	iou132
摇		效开三平宵以	i21	iᴇ33/iɑu33	iɑu33	iou22
表		效开三上小帮	pᴇɪ55	piᴇ422	piɑu44	piou44
秒		效开三上小明		miᴇ422	miɑu21	miou44
小		效开三上小心	si35{训读}	sɛ35{训读}	ʃiɑu44	ʃiou44
赵		效开三上小澄	tʃi53	tsɑu53	tsɑu53	tsou21
少	多~	效开三上小书	sᴇɪ55	ʃiᴇ422	sɑu44	sou44
绍		效开三上小禅		sɑu35	sɑu35	sou35
票		效开三去笑滂	pʰᴇɪ35	pʰiᴇ53	pʰiɑu53	pʰiou35
漂	~亮	效开三去笑滂	pʰᴇɪ35	pʰiᴇ53	pʰiɑu53	pʰiou35
妙		效开三去笑明	miɑʊ35{借桂}	miɑu35{借桂}	miɑu35	miou21
笑		效开三去笑心	sᴇɪ35	ʃiᴇ35	ʃiɑu35	ʃiou35
照		效开三去笑章	tʃi35	tʃiᴇ35	tsɑu35	tsou35
少	~年	效开三去笑书		sɑu35{借桂}	sɑu35	sou35
绕		效开三去笑日	kᴇɪ55	kiɑu422	iɑu35	iou44
轿		效开三去效群	kᴇɪ53	kiᴇ53	tʃiɑu53	kiou21
要		效开三去效影	iəu35	iᴇ35	iɑu35	iou35
雕		效开四平萧端		tiᴇ232	tiɑu13	tiou132
条		效开四平萧定	ti21	tiᴇ33	tiɑu33	tiou22
聊		效开四平萧来		niɑu33	niɑu33	ȵiou22
萧		效开四平萧心	sᴇɪ44	ʃiᴇ232	ʃiɑu13	ʃiou132
浇		效开四平萧见		kiɑu232	tʃiɑu13	kiou132
鸟		效开四上筱端	tᴇɪ55	tiᴇ422	tiɑu44	tiou44
了		效开四上筱来	lᴇɪ33	niᴇ21	niɑu21	ȵiou44
缴		效开四上筱见	kᴇɪ55	kiɑu422	tʃiɑu44	kiou44
晓		效开四上筱晓	hi55	hi5	ʃiɑu44	hiou44
钓		效开四去啸端	tᴇɪ35	tiᴇ35	tiɑu35	tiou35
跳		效开四去啸透	tʰᴇɪ35	tʰiᴇ53	tʰiɑu53	tʰiou35
掉		效开四去啸定		tiᴇ35	tiɑu53	tiou21
尿		效开四去啸泥	nᴇɪ53	niᴇ53	niɑu53	ȵiou21
料		效开四去啸来	lᴇɪ53	niᴇ53	niɑu53	ȵiou21
叫		效开四去啸见	ki35	kiᴇ35	tʃiɑu35	kiou35
窖		效开四去啸溪		tʃʰiɑu35	tʃʰiɑu35	kʰiou35
偷		流开一平侯透	tʰɑʊ44	tʰə232	tʰia13	tʰɑu132
头		流开一平侯定	tɑʊ21	tə33	tia33	tɑu22
楼		流开一平侯来	lɑʊ21	nə33	nia33	nɑu22
钩		流开一平侯见	kɑʊ44	kə232	tʃia13	kɑu132
猴		流开一平侯匣	hɑʊ21	hə33	ʃia33	hɑu22
某		流开一上厚明	mɑʊ33	mə21	mᵘɔu21	mou44
亩		流开一上厚明	mũ33	mu21	mu21	mʊ44
母		流开一上厚明		mu21	mu21	mʊ44
斗	一~	流开一上厚端	tɑʊ55	tə422	tia44	tɑu44
陡		流开一上厚端		tə422	tia44	tɑu44
敨	~气	流开一上厚透	tʰɑʊ55	tʰə21	tʰia21	tʰɑu44
篓		流开一上厚来	lɑʊ33		na44	nɑu44
走		流开一上厚精	tsɑʊ55	tsə422	tʃia44	tsɑu44
狗		流开一上厚见	kɑʊ55	kə422	tʃia44	kɑu44
口		流开一上厚溪	hɑʊ55	hə21	tʃʰia21	kʰɑu44
藕		流开一上厚疑	ŋɑʊ33	əu53{借桂}	ia21	ŋɑu44
後		流开一上厚匣	hɑʊ33	hə53	ʃia53	hɑu21
厚		流开一上厚匣	hɑʊ33	hə21	ʃia21	hɑu44
呕		流开一上厚影			15	ŋɑu44
斗		流开一去候端	tɑʊ35	təu35	tᵘɔu53/tia53	tɑu35
透		流开一去候透	tʰɑʊ35	tʰə53	tʰia53	tʰɑu35
豆		流开一去候定	tɑʊ53	ta53	tia53	tɑu21
漏		流开一去候来	lɑʊ53	nə53	nia53	nɑu21
奏		流开一去候精		tsəu35{借桂}	15	tsɑu35
凑		流开一去候清	tsʰɑʊ35	tsʰə53	tʃʰia53	tsʰɑu35
嗽		流开一去候心	sɑʊ35	sə35	ʃia35	sɑu35
够		流开一去候见	kɑʊ35	kə35	tʃia35	kɑu35
勾		流开一去候见			kᵘɔu35	kɑu35
扣		流开一去候溪	kʰɑʊ35	kʰə35	tʃʰia53	kʰɑu35
候		流开一去候匣	hɑʊ53	huɔ21	ʃia21	hɑu21
沤		流开一去候影	ɑʊ35	ə35	ia35	ŋɑu35
浮		流开三平尤奉	fəu21	fu33	fᵘɔu33	pou22
谋		流开三平尤明		məu21{借桂}	mᵘɔu21{借桂}	mou22
流		流开三平尤来	liəu21	niəu33	niᵒu33	ȵiou22
秋		流开三平尤清	tʃʰiəu44	tʃʰiəu232	tʃʰiᵒu13/tsʰᵘɔu13	tʃʰiou132
修		流开三平尤心	ʃiəu44	ʃiəu232	ʃiᵒu13	ʃiou132
囚		流开三平尤邪		kiəu33	tʃʰiᵒu21{借桂}	tʃiou22
抽		流开三平尤彻	tʃʰiəu44	tsʰəu232	tsʰᵘɔu13	tʃʰiou132
绸		流开三平尤澄	tʃəu21	tsəu33	tsᵘɔu33	tsʊ22
愁		流开三平尤崇	tʃɑʊ21	tsə33	tsa33	tsɑu22
馊		流开三平尤生	ʃɑʊ44	sə232	ʃia13	sɑu132
周		流开三平尤章	tʃɑʊ44	tsəu232	tsᵘɔu13	tsʊ132
收		流开三平尤书	ʃɑʊ44	səu232	sᵘɔu13	sʊ132
仇		流开三平尤禅	ʃɑʊ21	səu33	sᵘɔu33	sʊ22
揉		流开三平尤日		iəu33	iᵒu33	iou22
鸠	斑~	流开三平尤见	tʃiɑʊ44	kiəu232	tʃiᵒu33{借桂}	kiou132
求		流开三平尤群	kiɑʊ21	kiəu33	tʃiᵒu33	kiou22
牛		流开三平尤疑	ȵiɑʊ21	ə33	ia33	ȵiou22
休		流开三平尤晓	hiəu44	ʃiəu232	ʃiᵒu13	hiou132
优		流开三平尤影	iɑʊ44	iəu33{借桂}	iᵒu13	iou132
邮		流开三平尤云	iɑʊ21	iəu21{借桂}	iᵒu33	iou22
油		流开三平尤以	iɑʊ21	iəu33	iᵒu33	iou22
游		流开三平尤以	iɑʊ21	iəu33	iᵒu33	iou22
妇		流开三上有奉	fə4/fʊ33	fu53	fu53	fʊ21
负		流开三上有奉	fʊ33	fu21	fu53	fʊ21
扭		流开三上有泥	ȵiəu33	niəu422	niᵒu44	ȵiou44
柳		流开三上有来	liəu33	niəu422	niᵒu44	ȵiou44
酒		流开三上有精	tʃiəu55	tʃiəu422	tʃiᵒu44	tʃiou44
丑	美~	流开三上有昌	tʃʰəu55	tsʰəu21	tsʰᵘɔu21	tsʰʊ44
手		流开三上有书	ʃɑʊ55	səu422	sᵘɔu44	sʊ44
受		流开三上有禅	ʃɑʊ53	səu53	sᵘɔu53	sʊ21
九		流开三上有见	kiɑʊ55	kiəu422	tʃiᵒu44	kiou44
韭		流开三上有见	kiɑʊ55	kiəu422	tʃiᵒu44	kiou44
舅		流开三上有群	kiɑʊ33	kiəu53	tʃiᵒu53	kiou21
朽		流开三上有晓	hiəu55	hiəu422	ʃiᵒu44	hiou44
有		流开三上有云	iɑʊ33	iəu21	iᵒu21	iou44
富		流开三去宥非	fʊ35	fu35	fu35{借桂}	fʊ35
就		流开三去宥从	tʃiəu53	tʃiəu53	tʃiᵒu53	tʃiou21
绣		流开三去宥心	ʃiəu35	ʃiəu35	ʃiᵒu35	ʃiou35
袖		流开三去宥邪	ʃiəu53	tʃiəu21	tʃiᵒu21	tʃiou21
皱		流开三去宥庄	tʃɑʊ35	tsə35	tsᵘɔu35{借桂}	tsou35
瘦		流开三去宥生	ʃɑʊ35	sə35	sa35	sɑu35
漱		流开三去宥生	ʃiəu35	səu35	sᵘɔu35/ʃia35	sʊ35
咒		流开三去宥章	tʃɑʊ35	tsəu35	tsᵘɔu35	tsʊ35
臭	香~	流开三去宥昌	tʃʰɑʊ35	tsʰəu53	tsʰᵘɔu53	tsʰʊ35
兽		流开三去宥书	ʃɑʊ35		sᵘɔu53	sʊ35
寿		流开三去宥禅	ʃɑʊ53	səu53	sᵘɔu53	sʊ21
救		流开三去宥见	kiɑʊ35	kiəu35	tʃiᵒu35	kiou35
旧		流开三去宥群	kiɑʊ53	kiəu53	tʃiᵒu53	kiou21
又		流开三去宥云	iəu21	iəu53	iᵒu53	iou21
右		流开三去宥云	iɑʊ53	iəu53	iᵒu53	iou21
柚		流开三去宥以	iɑʊ53	iəu35	iᵒu35	iou21
耽		咸开一平覃端	tɒ̃44	tuo232	tᵘɔ13	tɑŋ132
贪		咸开一平覃透	tʰɒ̃44	tʰan232	tʰᵘɔ13	tʰɑŋ132
潭		咸开一平覃定	tɒ̃21	tuo33	tᵘɔ33	tɑŋ22
南		咸开一平覃泥	nɒ̃21	nuo33	nᵘɔ33	nᵘɔ22
参		咸开一平覃清		tsʰuo232	tsʰᵘɔ13	tsʰᵘɔ132
蚕		咸开一平覃从	tsɒ̃21	tsuo33	tsᵘɔ33	tsᵘɔ22
含		咸开一平覃匣	hɒ̃21	hɑŋ33	hᵘɔŋ33	hᵘɔ22
庵		咸开一平覃影	ɒ̃44	uo232	ᵘɔ13	ŋᵘɔ132
惨		咸开一上感清	tsʰɒ̃55	tsʰan53{借桂}	tsʰɑŋ21	tsʰɑŋ44
感		咸开一上感见		kan53{借桂}	kᵘɔ44	kᵘɔ44
砍		咸开一上感溪		kʰuo21	kʰᵘɔ21	kʰᵘɔ44
探		咸开一去勘透	tʰɒ̃35	tʰuo53	tʰᵘɔ53	tʰᵘɔ35
暗		咸开一去勘影	ɒ̃35	ɑŋ35	ŋ35	ŋᵘɔ35
答		咸开一入合端	tɒ55	tuo5	tᵘɔ5	tᵘɔ5
沓		咸开一入合定	tɒ55	tuə422	tᵘɔ5	ta21
纳		咸开一入合泥	na21{借桂}	nuo422	15	nᵘɔ22
拉		咸开一入合来	lɒ4	na232	na13	la44
杂		咸开一入合从	tsɒ53	tsuo53	tsᵘɔ53	tsᵘɔ21
鸽		咸开一入合见	ko21{借桂}	kuo5	ku5	kᵘɔ5
合		咸开一入合匣	hɒ55/hʊo55	huə422	huɯ53	hᵘɔ5
担	~担子	咸开一平谈端	tɒ̃44	tuo232	tᵘɔ13	tᵘɔ132
谈		咸开一平谈定	tɒ̃21	tuo33	tᵘɔ33	tᵘɔ22
篮		咸开一平谈来	lɒ̃44	nuo232	nᵘɔ33	nᵘɔ22
三		咸开一平谈心	sɒ̃44	suo232	sᵘɔ13	sᵘɔ132
柑		咸开一平谈见	kʊɒ̃44	kan232	kᵘɔŋ13	kuo132
胆		咸开一上敢端	tɒ̃55	tuo422	tᵘɔ44	tᵘɔ44
毯		咸开一上敢透	tʰɒ̃55	tʰuo21	tʰᵘɔ21	tʰᵘɔ44
淡		咸开一上敢定	tɒ̃33	tuo21	tᵘɔ21	tᵘɔ44
敢		咸开一上敢见	kɒ̃55	hai21	kᵘɔ44	kᵘɔ44
喊		咸开一上敢晓	hɒ̃55	huo21	hᵘɔ21	hᵘɔ44
担	~子	咸开一去阚端	tɒ̃35	tuo35	tᵘɔ35	tᵘɔ35
塔		咸开一入盍透	tʰɒ55	tʰuo422	tʰᵘɔ5	tʰᵘɔ5
腊		咸开一入盍来	lɒ21	nuo422	nᵘɔ5	nᵘɔ5
磕		咸开一入盍溪	kʰo4	kʰɑu422	kʰuɯ5	kʰᵘɔ21
杉		咸开二平咸生	ʃo44	suo232	15	sᵘɔ132
咸	~味	咸开二平咸匣	hɔ̃21	huo33	hᵘɔ33	hᵘɔ22
减		咸开二上赚见	kɒ̃55	kuo422	kᵘɔ44	kᵘɔ44
站	车~	咸开二去陷澄		tsuo53	tsᵘɔ53	tsᵘɔ21
扎	~针	咸开二入洽知	tʃɒ̃21	tsuo33	tsᵘɔ5	tsᵘɔ21
插		咸开二入洽初	tʃʰɒ̃55	tsʰuo422	tsʰᵘɔ5	tsʰᵘɔ5
闸		咸开二入洽崇	tʃɒ̃55	tsuo5	tsᵘɔ5	tsᵘɔ21
炸	油~	咸开二入洽生	tʃʊo35	pɑu53{训读}	tsᵘɔ35	tsᵘɔ35
夹		咸开二入洽见	kɒ̃55	kuo5	kᵘɔ5	kᵘɔ5
狭	窄	咸开二入洽匣	hɒ̃53	huo53	tsa5{训读}	hᵘɔ5
衫		咸开二平衔生	ʃɒ̃44	suo232	sᵘɔ13	sᵘɔ132
岩		咸开二平衔疑	ŋɒ̃21	uo33	ᵘɔ33	iɛn21{借桂}
甲		咸开二入狎见	kɒ̃55	kuo5	kᵘɔ5	kᵘɔ5
鸭		咸开二入狎影	ɒ̃55	uo5	ᵘɔ5	ŋᵘɔ5
压		咸开二入狎影	ɒ̃55	uo5	ᵘɔ5	ŋᵘɔ5
帘		咸开三平监来	lən21	ni33	niɛ33	ȵie22
尖		咸开三平监精	tsən44	tʃi232	tʃiɛ13	tʃie132
签		咸开三平监清		tʃʰi232	tʃʰiɛ13	tʃʰie132
沾		咸开三平监知		tʃi232	niɛ13	15
钳		咸开三平监群	kən21	ki33	tʃiɛ33	kie22
阉		咸开三平监影	in44	i232	iɛ13	ie132
炎		咸开三平监云			iɛ33	ȵie5
盐		咸开三平监以	in21	i33	iɛ33	ie22
闪		咸开三上琰书		tʃiᴇ53	15	sɑŋ44
染		咸开三上琰日	ŋən33	i21	iɛ21	ȵie44
检		咸开三上琰见		ki422	tʃiɛ44	kie44
险		咸开三上琰晓		hiŋ53	ʃiɛ44	hie44
占		咸开三去艳章	tʃən35	tʃi35	tʃiɛ35	tsɑŋ35
验		咸开三去艳疑	nən53	li53	niɛ21	ȵie21
艳		咸开三去艳以		iᴇn35{借桂}	iɛ35	15
接		咸开三入叶精	tsi44	tʃiᴇ5	tʃiɛ5	tʃie5
折	~叠	咸开三入叶章	tʃi44	tʃiᴇ5	tʃiɛ5	tʃie5
叶		咸开三入叶以	i21	iᴇ422	iɛ5	ie5
严		咸开三平严疑		iŋ33	ᵘɔ33/iɛ33	ie22
剑		咸开三去酽见	kən35	tʃi35	tʃiɛ35	kie35
欠		咸开三去酬溪	hən35	hi35	tʃʰiɛ53	kʰie35
劫		咸开三入业见	ki4		15	kie44
业		咸开三入业疑		iᴇ21	niɛ5	ȵie5
添		咸开四平添透	tʰən44	tʰi232	tʰiɛ13	tʰie132
甜		咸开四平添定	tən21	ti33	tiɛ33	tie22
兼		咸开四平添见		kiŋ232	tʃiɛ13	kie132
谦		咸开四平添溪		tʃʰiᴇn33{借桂}	15	kʰie132
嫌		咸开四平添匣	hən21	hi33	ʃiɛ33	hie22
点		咸开四上忝端	tən55	ti5	tiɛ44	tie44
店		咸开四去㮇端	tən35	ti53	tiɛ53	tie21
念		咸开四去㮇泥	nən553	ni53	niɛ53	ȵie21
歉		咸开四去㮇溪		tʃʰiᴇn35{借桂}	tʃʰiɛ53	kʰie35
帖		咸开四入贴透	tʰi4	tʰiᴇ422	tʰiɛ5	tʰie5
碟		咸开四入贴定		tiᴇ53	tiɛ53	tie21
凡		咸合三平凡奉		fuo33	fan21{借桂}/fan33	fɑŋ22
犯		咸合三上范奉	fɒ̃53	fuo53	fᵘɔ53	fᵘɔ21
法		咸合三入乏非	fɒ55	fuo5	fᵘɔ5	fᵘɔ5
林		深开三平侵来	lən21	niŋ33	niŋ33	ȵiŋ22
心		深开三平侵心	saŋ44	ʃiŋ232	ʃiŋ13	ʃiŋ132
沉		深开三平侵澄	taŋ21	tiŋ33	tiŋ33	tsəŋ22
针		深开三平侵章	tʃaŋ44	tsəŋ232	tsəŋ13	tsəŋ132
深		深开三平侵书	ʃaŋ44	səŋ232	səŋ13	səŋ132
今		深开三平侵见	kin44	kiŋ232	tʃiŋ13	kiŋ132
金		深开三平侵见	kiaŋ44	kiŋ232	tʃiŋ13	kiŋ132
琴		深开三平侵群	kiaŋ21	kiŋ33	tʃiɛ33	kiŋ22
音		深开三平侵影	iaŋ44	iŋ232	iŋ13	iŋ132
品		深开三上寝滂		pʰiŋ422	pʰiŋ53{借桂}	pʰie44
渗		深开三去沁生	tsʰaŋ35		15	15
任	责~	深开三去沁日		iŋ35	iᵘɔŋ21	iŋ21
禁	~止	深开三去沁见	kiaŋ35	kiŋ35	tʃiŋ35	kiŋ35
粒		深开三入缉来	liə4	niᴇ422	ȵi21	ȵi44
集		深开三入缉从		tʃi21{借桂}	tʃi5	tʃi5
习		深开三入缉邪		ʃi5	ʃi5	ʃi5
蛰	惊~	深开三入缉澄	tʃi21	tʃi21	tsə21/tsai21	tsai21
汁		深开三入缉章		tʃi35	15	tʃi5
湿		深开三入缉书	ʃə4	ʃiᴇ5	ʃi5	ʃi5
十		深开三入缉禅	ʃə4	ʃiᴇ53	ʃiɛ53	ʃie21
入		深开三入缉日	ȵiə21	iᴇ422	iɛ5/y5	ŋ̩5
急		深开三入缉见	kiə4	kiᴇ5	tʃi5	ki5
级		深开三入缉见		kiᴇ5	tʃi5	ki21
及		深开三入缉群		kiᴇ5	tʃi5	ki5
吸		深开三入缉晓	hi4		tʃi5	hi5
单		山开一平寒端	tɒ̃44	tuo232	tᵘɔ13	tᵘɔ132
摊		山开一平寒透	tʰɒ̃44	tʰuo232	tʰᵘɔ13	tʰᵘɔ132
弹	~琴	山开一平寒定	tɒ̃21	tuo33	tᵘɔ33	tᵘɔ22
