IPA	調值	調類	漢字
tʊ	33	1	多
tʰʊ	33	1	拖
tæ	21	6	大袋
lʊ	13	2	锣螺
tsʊ	41	3	左
kʊ	33	1	歌
kʊ	45	5	个过
kʰʊ	41	3	可
ŋʊ	13	2	鹅
ŋʊ	21	6	饿
xʊ	13	2	河
tɕia	13	2	茄斜
pʰʊ	45	5	破
pʊ	13	2	婆
mʊ	21	6	磨
mʊ	13	2	磨
tʊ	41	3	躲
tsʊ	21	6	坐
sʊ	41	3	锁所
kʊ	41	3	果
kʰʊ	45	5	课
xʊ	41	3	火
xʊ	45	5	货霍
xʊ	21	6	祸
ɕya	33	1	靴
pa	41	3	把
pa	13	2	爬
ma	41	3	马
ma	21	6	骂
tsa	13	2	茶
sa	33	1	沙
tɕia	41	3	假姐
ka	45	5	嫁
ŋa	13	2	牙
xa	33	1	虾
xa	21	6	下[白]
ɕia	21	6	夏下[文]
ŋa	41	3	哑
tɕia	45	5	借
ɕia	41	3	写
ɕiɛ	45	5	谢
tsʰa	33	1	车
sa	13	2	蛇
sa	45	5	射石[白]
ia	13	2	爷[白]
ia	21	6	野夜
kua	33	1	瓜
ua	41	3	瓦
xua	33	1	花
xua	45	5	化
xua	13	2	华
pʰu	41	3	谱
pu	45	5	布
pʰu	33	1	铺
pʰu	45	5	簿
pu	21	6	步
təu	41	3	赌抖
tʰəu	41	3	土
təu	13	2	图头[文]
təu	21	6	杜豆
ləu	13	2	奴楼[文]
ləu	21	6	路
tsəu	33	1	租州
tsəu	45	5	做
tsʰu	45	5	错
ku	33	1	箍
ku	41	3	古
kʰu	41	3	苦
kʰu	45	5	裤
u	13	2	吴
u	41	3	五武
fu	41	3	虎府
fu	13	2	壶
fu	21	6	户父妇
u	33	1	乌
ȵy	41	3	女
li	41	3	吕李
tɕi	13	2	徐骑棋
tɕy	33	1	猪
tɕy	13	2	除渠
tsʰəu	33	1	初抽
tsəu	13	2	锄绸
ɕy	33	1	书输
ɕy	41	3	鼠许水
y	13	2	如鱼余
tɕy	41	3	举主
tɕy	45	5	锯句剧
tɕʰy	45	5	去
fu	45	5	付富副
