	33	11	55	32
a				
p	巴芭疤霸壩		把{～握，～守，一～}爸	
pʰ	怕	爬琶{琵～}杷{枇～}钯{～子}耙{犁～,～地}		
m		麻痲馬碼{～子}	媽	罵
f	花化			
ʋ	蛙窪蛙	華{中～}	□{撓癢癢}	華{～山，姓}畫話
tʰ	叉差{～别，～不多}岔{三～路}	茶搽杈{枝～}查{調～}		
n		拿□{攀爬}		那
l	拉	□{缝隙}		
ʦ	楂{山～}詐榨{～油}炸{～彈}抓	渣		□{全部}
s	莎{～草}沙紗		灑	
j		也{者～,～是}		
k	家加痂嘉傢{～俱}駕嫁稼價瓜卦	架	假{真～}賈{姓}假{放～}寡剮	
kʰ	誇跨掛			
ŋ	雅	牙芽衙砑{～平}	瓦	
h	他哈{～腰}□{欺負}	蝦{魚～}霞瑕遐暇		下{底～}夏{姓}廈{～門}下{～降}夏{春～}
ʔ	阿{～哥}鴉丫{～頭}亞	椏{～杈}	啞	
i				
tʰ	癡嗤{～笑}	除儲{～蓄}杵廚遲持	恥處{相～}齒始	
ʦ	猪著{顯～}諸蜘朱硃珠蛀鑄資姿咨致脂至兹滋置輜{～重}之芝志誌痣	注	煮姊旨指子梓止趾址主	箸{筷子}自稚{幼～}痔治
s	書舒庶恕樞輸{運～}次私師獅尸屍嗜肆司絲思廁{～所，茅～}詩試	殊薯{白～}瓷{～器}慈磁{～石}時鰣市辭詞祠柿	暑鼠矢屎使史	豎樹示視伺似祀{祭～}巳{辰～}寺嗣飼士仕事恃侍
j	於{～此}淤于伊醫意衣依迂於	余餘夷姨已以榆逾愉宇禹羽雨與{及，給～}		譽{榮～}預豫喻裕異籲愈{～好，病～}喻裕
k	居車{～馬炮}據鋸{～子，～木頭}句饑{～餓}肌几{茶～}冀基記幾{～乎}機譏饑{～荒}既句		舉己紀{～律，世～,年～}杞幾{～個}矩{規～}	俱具懼巨
kʰ	作{他}區{～域}驅	渠距祈鰭其棋期{時～}旗	拒	□{站}
ŋ		如汝魚漁語儒乳而疑擬愚虞娱寓	耳	御禦遇
h	去{來～,～皮}虚嘘{吹～}器棄欺嬉熙氣汽希稀	墟{～市}	許起喜豈	
u				
p	布佈怖{恐～}		補	部簿步捕埠{商～}
pʰ	鋪{～設}鋪{店～}	蒲菩{～薩}浦	脯{胸～}譜普	
m		模{～子}模{～範}摹{～仿}畝母拇		暮慕墓募戊
f	枯庫呼戽{～水}富副	褲乎婦	苦虎滸{水～}	户滬負
ʋ	烏塢惡{恨，可～}	胡湖狐壺瓠{～盧}鬍		互護
t	都{～城}都{～是}		堵賭肚{魚～,猪～}肚{～腹}	杜度渡镀
tʰ	粗醋措{～置}			
n		奴	努	怒
l		盧爐蘆{～葦}鸕{～鶿}魯橹廬{茅～,～山}驢	虜鹵	路賂露鷺{～鷥}
ʦ	租做		祖組	
s	蘇酥素訴塑{～像}鬚			
k	姑孤故固錮雇顧		古估{～計}股鼓	
kʰ	箍			
h	吐{～痰}吐{嘔～}兔	徒屠途塗圖	土	
iɛ				
p		□{揹}		
t	爹			
tʰ	車{馬～}奢	邪斜	且扯	
n			□{吐}	
ʦ	借藉{～故}遮		姐者	謝蔗
s	些瀉卸賒佘{姓}赦舍	蛇社	寫捨	射麝{～香}
j	耶	爺野		夜
kʰ		茄		
ŋ			惹	
h	靴			
uɔ				
p	波菠{～菜}坡		玻{～璃}	
pʰ	破簸{～箕}	婆	頗簸{～一～}□{混合}	
m	魔摩	磨{～刀}饃磨{～麵，石～}模{～範}摹{～仿}	摸	
f	科課貨		顆火夥	
ʋ	窩蝸	和{～氣}禾		禍和{～面}
t	多		朵躲橢{～圓}	惰
tʰ	錯{～誤}初	鋤		
n		挪		糯
l		羅鑼籮騾螺{～螄}腡{手指紋}	囉{～唆}裸{～體}摞{～起來}	
ʦ			左佐阻	坐座助
s	蓑蔬	傻	梭{織布～}唆{囉～}鎖瑣{～碎}所	
k	個{～人，一～}過戈		歌哥果裹	過
ŋ	我	蛾鵝俄訛		餓臥
h	拖	妥駝馱舵河何荷{～花}荷{薄～}	可	賀
ʔ	阿{～膠}			
ai				
p	拜閉			弊幣斃
pʰ		排		
m		埋迷		
f	快塊			
ʋ		懷淮		壊
t	戴带			大大{～夫}
tʰ	猜	豺		
n	□{累}	哪{～個}□{好～,漂亮}	□{踩}	□{别【動詞】}
l		□{瘸}		賴例麗{美～}荔{～枝}
ʦ	齋制製			滞{停～}
k	皆階楷介界芥尬{尴～}疥屆戒乖怪		拐	
kʰ	□{拿}			
ŋ		危		藝僞魏艾毅
h	態泰梯	諧孩		械系
əi				
p	碑卑悲泌庇痹{痲～}	臂蓖	彼俾比{～較}	被{～打～迫}避備鼻
pʰ	披婢屁	皮疲脾琵{～琶}枇{～杷}	譬{～喻}丕	被{～臥，～子}
m	□{满}	彌靡眉楣美媚微	尾	寐味未
f	非妃微費{～用}肺揮輝徽	肥	廢毁匪翡{～翠}	吠諱
ʋ	威畏	維唯惟爲{～難}違圍	委偉葦{蘆～}緯	衛惠慧爲慰胃謂
t	□{知道}			
tʰ	□{塞}	□{糍粑}		□{好像}
n	你	尼		腻
l	鯉	厘狸{野貓}理離{～别}籬離{～開半寸}梨	李裏璃{玻～}	吏履利痢
ʦ	□{蛀蟲}			
s	四		死	
k	圭閨桂歸貴		鬼	跪
kʰ	規虧	攜		
ɔi				
pʰ	批			
m	□{削}		米	
t	低帝		底抵	弟第遞
tʰ	妻砌棲	齊		
n		泥		
l		黎禮	□{歪}	隷
ʦ	祭際濟		擠劑{一～藥}	
s	世勢西犀細	婿{女～}	洗	誓逝
j		□{差}		
k	雞計繼	髻	□{誰}	
kʰ	稽溪契{～約}	□{粘着}	啓	
h	替涕{鼻～}剃	堤题提蹄啼奚兮	體	系繫{連～}係
ui				
p	貝杯胚{～胎}坯{土～}輩背			
pʰ	沛配佩	培陪賠裴倍		
m		梅枚媒煤每	妹	昧
f	盔魁恢灰晦		悔	
ʋ	哀愛	回茴{～香}	埃{塵～}藹{和～}	會{～計}匯繪
t	堆對兌		□{撞}	待怠殆代袋隊
tʰ	蛆趣菜蔡催崔脆翠吹炊	徐才材財裁槌錘	取娶彩採睬	
n			女	耐奈内
l		來雷		慮累類淚
ʦ	災栽載{年～}再載{～重}載{滿～}最追醉	錐	宰嘴	序聚在罪綴贅墜
s	須需賽碎歳稅衰帥雖	腮鰓隨誰垂	髓水	絮睡瑞粹{純～}遂隧{～道}穗□{嗑}
j				銳
k	該蓋		改	
kʰ	概溉{灌～}慨{慷～,感～}丐{乞～}			
ŋ		呆		礙外
h	胎開推退蛻{蛇～皮，蟬～}	台{天～,～州}臺苔{舌～,青～}抬	凱海腿	亥害
ʔ	哀愛		埃{塵～}藹{和～}	
au				
p	包胞鮑{姓，～魚}爆		飽	
pʰ	泡抛豹炮{槍～}泡{～在水裏}	刨{～地}	跑	
m		茅錨卯矛		貌茂牡貿謬
tʰ	抄{～寫}鈔{錢～}	巢□{皺巴巴}	炒吵	
n				鬧
ʦ	罩笊{～籬}		爪抓找	
s	潲{豬食}		稍	
k	交郊膠教{～書}教{～育，～他去}校{～對}較窖覺{睡～}臼		絞狡攪搞鲛	□{塊}
kʰ	靠			
ŋ		肴淆	咬	
h	酵孝		考烤敲巧	效校{學～}校{上～}
ʔ		坳{山～}		
iu				
p	標錶彪	表		
pʰ	飄瓢漂	嫖{～賭}鰾票{車～}	□{撕}	
m		苗描藐渺秒	貓	廟妙
t	刁貂雕釣吊丟			掉調{音～}調{～動}
tʰ	悄{静～～}俏超昭	樵瞧朝{～代}潮		
n				鳥尿
l		燎療聊遼	撩{～起來}了{～結}瞭	寥料廖{姓}
ʦ	焦蕉{芭～,香～}椒朝{今～}召招照		剿沼{池～，～氣}	趙詔
s	消宵霄硝銷笑燒少{～年}蕭簫	韶{～關}	小少{多～}	兆紹邵
j	邀腰要{～求}要{想～,重～}吆{～喝}	摇謠姚	妖舀{～水}	耀
k	驕嬌矯{～詐}叫	轎	繳{上～}糾{～正}	
kʰ		喬僑橋蕎	繞{～線}	
ŋ		饒堯	擾繞{圍～}	
h	囂挑跳跳僥{～幸}竅	條調{～和}	曉	
ou				
p	褒{～奬}報		保堡寶	暴
pʰ		袍	抱剖	
m		某謀毛		
f		浮	否	埠{商～}
t	刀到兜斗鬥	叨{嘮～}	島倒{打～,顛～}倒{～水}抖陡	道稻盗導豆逗
tʰ	操{～作，～演}躁糙{粗～,～米}湊秋抽臭{香～}	曹槽{馬～}囚綢稠籌愁酬	草羞丑醜	
n	□{生氣}	□{粘稠}	腦惱紐扭	
l	撈	勞牢嘮{～叨}澇{旱～}流樓劉留榴{石～}硫{～黃}琉{～璃}柳	老朽	漏陋
ʦ	遭糟奏周舟州洲咒	灶	早棗走酒	造{建～}就袖肘紂{桀～}晝宙驟
s	騒掃{～地}嗽{咳～}修秀繡宿{星～}鏽{鐵～}颼瘦漱{～口}收	臊{～氣}仇	嫂搜蒐{～集}手首守	受夀授售
j	悠{～～}丘休憂優有幽幼	柔揉尤郵由油遊猶友酉鼬{黃～}釉		莠誘又右佑柚
k	高膏羔糕告膏{～車，～油}夠灸{針～}咎救究柩	篙{進船竿}	稿狗苟糾{～纏}九久韭	舊
kʰ	溝構購摳瞘{眼～}叩{～頭}扣{～住}寇	鬮{拈～}求球仇{姓}		舅
ŋ	勾鉤	藕偶{配～}偶{～然}牛		傲熬
h	滔套好{喜～}耗偷透	掏{～出來}桃逃淘{～米}陶萄濤豪壕毫頭投侯喉猴	討口好{～壤}	浩號{～數}后厚後候
ʔ	襖懊{～惱}奥懊{～悔}歐甌温久浸水中慪{～氣}		嘔{～吐}毆	
am				
t	耽擔{～任}	擔{挑～}	膽	淡
tʰ	參杉	蠶慚	慘	
n		南男		
l		藍籃覽	攬欖{橄～}	濫纜艦
ʦ	簪		斬眨{～眼}	暫站立站{車～}
s	三	衫	□{豬食}	
k	甘橄{～欖}尴{～尬}監{～察，～規，～牢}鑒監{國子～}		感敢减	
h	貪探{試～,偵～}堪坎勘{～誤,～探}淡喊	潭譚含函談痰咸鹹銜	砍	撼憾陷餡嵌
im				
t	店		點	掂
tʰ	籤簽	潛		
n		鯰{～魚}	拈{～起來}	念
l		廉鐮簾		斂殮
ʦ	黏{～米，～起來}尖沾霑粘{～貼}瞻占佔			漸
s		蟾{～酥}	陝{～西}閃	
j	淹閹厭	炎鹽閻嫌	掩	豔焰
k	劍兼		檢	儉
kʰ		鉗		
ŋ	染	嚴		驗
h	欠添謙	甜	險	
ɔm				
t		□{砧板}		□{跺}
tʰ	侵參{～差}	尋沉	寢	
n	□{一種腐臭味}	□{鬆軟}		
l		林淋{～漓,～濕}臨		
ʦ	針斟浸		枕	
s	心森深滲{水～}透	岑	沈審嬸	葚桑{～甚}
j	欽音陰蔭{屋子很～}	吟淫		
k	今金禁{～不住}禁{～止}	柑	錦	揿按
kʰ	襟	琴禽擒		妗{舅母}
ŋ			飲{～酒}飲{米湯}	壬任{姓}賃{租～}任{責～}紝{縫～}
h		含		
ʔ	庵掩□{趴着}		揞{～住}暗	
m(ŋ)				
		吳蜈{～蚣}吾梧{～桐}午	五伍	誤悟
an				
p	班斑頒扳		板版	扮辦
pʰ	盼攀			
m	□{用棍子打}	蠻晚		慢萬蔓{瓜～}子饅{～頭}漫幔
f	藩翻番{幾～}藩	凡帆繁煩	反	泛范犯範瓣販飯
ʋ	彎灣	還環	挽	幻患
t	丹單{～獨}誕旦			但彈{子～}蛋
tʰ	餐燦	殘	鏟産□{借，給予}	
n		難{～易}		難{患～}
l	懶	蘭攔欄		爛
ʦ	蘸{～醬油}贊撰		盞棧	賺綻{破～}
s	珊山刪疝{～氣}閂篡		散{鞋带～了}散{分～}	
j	□{跳}			
k	艱間{～断，～或}奸諫澗關慣肩間{空～,中～}		簡柬揀	
ŋ		顔頑{～皮，～固}	眼	雁
h	灘攤炭歎	檀壇彈{～琴}閑	坦	限莧{～菜}
ʔ	晏{晚也}			
in				
p	鞭變邊	辮	貶扁匾	辨辯便{方～}
