simp	trad	detail	调类
玑	璣		tɕi1
饥	飢	～餓	tɕi1
饥	饑	～饉	tɕi1
肌	肌		tɕi1
几	几	茶～	tɕi1
麂	麂	～皮	tɕi1
基	基		tɕi1
几	幾	～乎	tɕi1
机	機		tɕi1
羁	羈		tɕi1
羁	羇		tɕi1
讥	譏		tɕi1
箕	箕		tɕi1
奇	奇		tɕi1
几	幾	老～	tɕi3
计	計		tɕi5A
继	繼		tɕi5A
冀	冀		tɕi5A
记	記		tɕi5A
纪	紀		tɕi5A
寄	寄		tɕi5A
既	既		tɕi5A
既	旣		tɕi5A
暨	暨	～陽（江陰古稱）	tɕi5A
暨	曁	～陽（江陰古稱）	tɕi5A
蓟	薊		tɕi5A
季	季		tɕi5A
溪	溪	小～	tɕʰi1
溪	谿	玉～生（李商隱），慈～（浙江地名）	tɕʰi1
谿	谿	姓	tɕʰi1
欺	欺		tɕʰi1
岂	豈		tɕʰi3
启	啓		tɕʰi3
启	啟		tɕʰi3
起	起		tɕʰi3
企	企		tɕʰi3
憩	憩		tɕʰi5B
契	契		tɕʰi5B
器	器		tɕʰi5B
弃	棄		tɕʰi5B
弃	弃	古文棄字	tɕʰi5B
气	气	古文氣字	tɕʰi5B
气	氣		tɕʰi5B
炁	炁	同氣	tɕʰi5B
汽	汽		tɕʰi5B
畿	畿		dʑi2
祇	祇	神～	dʑi2
奇	奇		dʑi2
骑	騎		dʑi2
岐	岐		dʑi2
歧	歧		dʑi2
祁	祁		dʑi2
鳍	鰭		dʑi2
其	其		dʑi2
碁	碁		dʑi2
淇	淇		dʑi2
琪	琪		dʑi2
祺	祺		dʑi2
埼	埼		dʑi2
琦	琦		dʑi2
棋	棋		dʑi2
期	期		dʑi2
旗	旗		dʑi2
麒	麒		dʑi2
祈	祈		dʑi2
绮	綺		tɕʰi3
骑	騎		dʑi6
妓	妓		dʑi6
伎	伎		dʑi6
技	技		dʑi6
忌	忌		dʑi6
泥	泥		ȵi2
霓	霓		ȵi2
倪	倪		ȵi2
宜	宜	便～	ȵi2
宜	宜	適～	ɦi2
尼	尼		ȵi2
呢	呢	～子大衣	ȵi2
疑	疑		ȵi2
拟	擬		ȵi2
沂	沂	臨～	ȵi2
你	你	第二人稱	ȵi3
你	妳	用於女性的第二人稱	ȵi3
你	祢	用於神的第二人稱	ȵi3
你	伱	同你	ȵi3
你	儞	同你	ȵi3
艺	藝		ȵi6
谊	誼		ȵi6
腻	膩		ȵi6
二	二		ȵi6
贰	貳		ȵi6
羲	羲		ɕi1
曦	曦		ɕi1
牺	犧		ɕi1
熙	熙		ɕi1
熙	煕		ɕi1
熙	熈	俗熙字	ɕi1
希	希		ɕi1
稀	稀		ɕi1
嬉	嬉		ɕi1
喜	喜		ɕi3
戏	戲		ɕi5A
戏	戱		ɕi5A
戏	戯		ɕi5A
颐	頤		ɦi2
奚	奚		ɦi2
携	携	俗攜字	ɦi2
携	攜	～帶	ɦi2
携	擕	俗攜字	ɦi2
携	㩗	俗攜字	ɦi2
携	㩦	俗攜字	ɦi2
畦	畦		ɦi2
移	移		ɦi2
夷	夷		ɦi2
姨	姨		ɦi2
遗	遺		ɦi2
仪	儀		ɦi2
眙	眙	盱～（地名）	ɦi2
贻	貽		ɦi2
饴	飴		ɦi2
怡	怡		ɦi2
台	台	《史記》唐堯遜位，虞舜不台。	ɦi2
系	系	～統，院～	ɦi6
系	繫	～鞋帶，聯～	ɦi6
系	係	關～	ɦi6
系	係	應答聲，相當於“是的”	ɦʰei6
禊	禊		ɦi6
蚁	蟻		ɦi6
义	義		ɦi6
议	議	又	ɦi6
议	議		ȵi6
羿	羿		ȵi6
毅	毅		ȵi6
裔	裔		ɦi6
易	易	容～	ɦi6
肄	肄		ɦi6
异	異		ɦi6
异	异	同異	ɦi6
懿	懿		ɦi6
亿	億		ɦi6
忆	憶	記～	ɦiɪʔ8
刈	刈	磨～落個咧：磨损了	ɦi6
乂	乂		ɦi6
伊	伊		i1
医	醫		i1
衣	衣		i1
依	依		i1
以	以		i3
已	已		i3
矣	矣		i3
意	意		i5A
波	波		pəɯ1
菠	菠		pəɯ1
簸	簸		pəɯ1
播	播		pəɯ1
玻	玻		pəɯ1
补	補		pu3
布	布		pu5A
布	佈	～置	pu5A
怖	怖		pu5A
颇	頗		pʰəɯ1
坡	坡		pʰəɯ1
铺	鋪	～床	pʰu1
潽	潽	液體從容器裏溢出	pʰu1
谱	譜		pʰu3
圃	圃		pʰu3
普	普		pʰu3
溥	溥		pʰu3
浦	浦		pʰu3
脯	脯		pʰu3
剖	剖		pʰəɯ3
破	破		pʰəɯ5B
铺	鋪	店～	pʰu5B
铺	舖	店～	pʰu5B
婆	婆		bəɯ2
薄	薄	～荷	bəɯ2
抚	撫	～一～：輕輕摸一摸	bu2
蒲	蒲		bu2
菩	菩		bu2
脯	脯	胸～	bu2
匍	匍		bu2
葡	葡		bu2
葡	葡	～萄	bəʔ8
孵	孵	～小雞	bu6
部	部		bu6
簿	簿		bu6
步	步		bu6
捕	捕		bu6
埠	埠		bu6
伏	伏	～下來	bu6
孵	孵		fu1
俘	俘		fu1
夫	夫		fu1
肤	膚		fu1
敷	敷		fu1
麸	麩		fu1
府	府		fu3
腑	腑		fu3
俯	俯		fu3
甫	甫		fu3
斧	斧		fu3
釜	釜		fu3
辅	輔		fu3
黼	黼		fu3
武	武		vu6
舞	舞		vu6
侮	侮		vu6
鹉	鵡		vu6
付	付		fu5A
赋	賦		fu5A
咐	咐		fu5A
赴	赴		fu5A
讣	訃		fu5A
富	富		fu5A
副	副		fu5A
傅	傅	姓	fu5A
符	符		vu2
扶	扶		vu2
芙	芙		vu2
无	無		vu2
无	无		vu2
橆	橆		vu2
芜	芜		vu2
芜	蕪		vu2
毋	毋		vu2
巫	巫		vu2
诬	誣		vu2
浮	浮		vu2
抚	撫		vu2
傅	傅	師～（錯讀爲師父）	vu6
父	父		vu6
腐	腐		vu6
附	附		vu6
驸	駙		vu6
务	務		vu6
雾	霧		vu6
妇	婦		vu6
负	負		vu6
戊	戊		vu6
腐	腐		vu6
姑	姑		ku1
孤	孤		ku1
箍	箍		ku1
鸪	鴣		ku1
辜	辜		ku1
古	古		ku3
估	估		ku3
牯	牯		ku3
股	股		ku3
鼓	鼓		ku3
故	故		ku5A
固	固		ku5A
锢	錮		ku5A
雇	雇	～用，姓	ku5A
雇	僱	～用	ku5A
顾	顧		ku5A
枯	枯		kʰu1
苦	苦		kʰu3
库	庫		kʰu5B
裤	褲		kʰu5B
呼	呼		hu1
虎	虎		hu3
琥	琥		hu3
浒	滸	水～傳	hu3
浒	滸	～墅關	ɕy3
吴	吳		ɦu2
吴	吴	俗吳字	ɦu2
蜈	蜈		ɦu2
梧	梧		ɦu2
鹕	鶘	鵜～	ɦu2
醐	醐	醍～	ɦu2
胡	胡	～嚨：喉嚨，～琴	ɦu2
胡	鬍	～鬚	ɦu2
胡	衚	～衕	ɦu2
瑚	瑚		ɦu2
狐	狐		ɦu2
湖	湖		ɦu2
壶	壺		ɦu2
葫	葫		ɦu2
糊	糊		ɦu2
蝴	蝴		ɦu2
乎	乎		ɦu2
误	誤		ɦu6
悟	悟		ɦu6
户	戶		ɦu6
沪	滬		ɦu6
互	互		ɦu6
护	護		ɦu6
乌	烏		u1
污	污		u1
污	汙		u1
坞	塢		u1
诬	誣		u1
伍	伍		u3
午	午		u3
焐	焐	燜	u5A
诸	諸		tɕy1
居	居		tɕy1
车	車	～馬炮	tɕy1
诛	誅		tɕy1
蛛	蛛	結～：蜘蛛	tɕy1
蛛	鼄	結～：蜘蛛	tɕy1
株	株		tɕy1
侏	侏		tɕy1
朱	朱		tɕy1
朱	硃	～砂	tɕy1
珠	珠		tɕy1
殊	殊		dʑy2
拘	拘		tɕy1
驹	駒		tɕy1
矩	矩		tɕy1
猪	豬		tɕy1
褚	褚		tɕʰy3
渚	渚		tɕy3
煮	煮		tɕy3
举	舉		tɕy3
举	擧		tɕy3
柜	柜	～柳	tɕy3
榉	櫸		tɕy3
榉	𣟱		tɕy3
榉	欅		tɕy3
拄	拄		tɕy3
主	主		tɕy3
著	著	～名	tɕy5A
据	据	拮～	tɕy5A
据	據		tɕy5A
锯	鋸		tɕy5A
驻	駐		tɕy5A
注	注	～射，～意	tɕy5A
注	註	批～，～釋	tɕy5A
蛀	蛀		tɕy5A
铸	鑄		tɕy5A
句	句		tɕy5A
鳜	鱖		tɕy5A
枢	樞		tɕʰy1
区	區	～域	tɕʰy1
驱	驅		tɕʰy1
吹	吹		tɕʰy1
处	處	相～	tɕʰy3
鼠	鼠		tɕʰy3
处	處	到～	tɕʰy5B
去	去	（文）	tɕʰy5B
渠	渠		dʑy2
橱	櫥		dʑy2
厨	廚		dʑy2
瞿	瞿		dʑy2
衢	衢		dʑy2
除	除		dʑy2
蜍	蜍		dʑy2
滁	滁		dʑy2
储	儲		dʑy2
苣	苣		dʑy6
巨	巨		dʑy6
拒	拒		dʑy6
距	距		dʑy6
柱	柱		dʑy6
住	住		dʑy6
俱	俱		dʑy6
惧	懼		dʑy6
具	具		dʑy6
苎	苧		dʑy6
伫	佇		dʑy6
伫	竚		dʑy6
贮	貯		dʑy6
纻	紵		dʑy6
宁	宁	同貯；古代宮室門屏之間	dʑy6
女	女		ȵy3
书	書		ɕy1
抒	抒		ɕy1
纾	紓		ɕy1
舒	舒		ɕy1
嘘	噓		ɕy1
盱	盱	～眙（地名）	ɕy1
吁	吁	長～短嘆	ɕy1
虚	虛		ɕy1
输	輸	～贏	ɕy1
戍	戍		ɕy1
输	輸	運～	ɕy1
暑	暑		ɕy3
庶	庶		ɕy3
汝	汝		ʑy6
许	許		ɕy3
水	水		ɕy3
恕	恕		ɕy5A
署	署		ʑy6
薯	薯		ʑy6
荽	荽	芫～菜：香菜	si3
如	如		ʑy2
儒	儒		ʑy2
竖	豎		ʑy6
竖	竪		ʑy6
树	樹		ʑy6
乳	乳		ʑy6
鱼	魚		ɦy2
渔	漁		ɦy2
于	于	鳳凰～飛，單～	ɦy2
于	亏		ɦy2
于	於		ɦy2
俞	俞		ɦy2
俞	兪		ɦy2
余	余	姓	ɦy2
余	餘		ɦy2
愚	愚		ɦy2
虞	虞		ɦy2
娱	娛		ɦy2
迂	迂		y1
盂	盂		ɦy2
榆	榆		ɦy2
逾	逾		ɦy2
愉	愉		ɦy2
予	予		ɦy2
御	御		ɦy6
御	禦	防～	ɦy6
与	與		ɦy6
豫	豫		ɦy6
预	預		ɦy6
誉	譽		ɦy6
遇	遇		ɦy6
寓	寓		ɦy6
芋	芋		ɦy6
吁	籲	呼～	ɦy6
愈	愈		ɦy6
愈	癒		ɦy6
喻	喻		ɦy6
喻	喩		ɦy6
谕	諭		ɦy6
裕	裕		ɦy6
喂	餵	～媽媽：餵奶	y5A
於	於	姓	y1
淤	淤		y1
语	語		y3
雨	雨		y3
宇	宇		y3
禹	禹		y3
羽	羽		y3
蓖	蓖	～麻	piɪ1
篦	篦	～几：梳頭用的篦子	piɪ1
鞭	鞭		piɪ1
编	編		piɪ1
边	邊		piɪ1
边	邉		piɪ1
蝙	蝙		piɪ1
贬	貶		piɪ3
扁	扁		piɪ3
匾	匾		piɪ3
变	變		piɪ5A
篇	篇		pʰiɪ1
偏	偏		pʰiɪ1
骗	騙		pʰiɪ5B
遍	遍	普～	pʰiɪ5B
遍	遍	一～	piɪ5A
片	片		pʰiɪ5B
便	便	～宜	biɪ2
辨	辨		biɪ6
辩	辯		biɪ6
拚	拚	抃本字	biɪ6
抃	抃		biɪ6
汴	汴		biɪ6
卞	卞		biɪ6
弁	弁		biɪ6
便	便	方～	biɪ6
辫	辮		biɪ6
棉	棉		miɪ2
绵	綿	同緜	miɪ2
绵	緜		miɪ2
眠	眠		miɪ2
免	免		miɪ3
免	免		miɪ3
勉	勉		miɪ3
娩	娩		miɪ3
腼	腼	～腆	miɪ3
䩄	靦	～覥	miɪ3
面	靣	俗面字	miɪ6
面	面	～子，揩～	miɪ6
面	麪	～條	miɪ6
面	麵	俗麪字	miɪ6
面	麫	俗麪字	miɪ6
缅	緬		miɪ6
㴐	㴐		miɪ6
渑	澠	通作沔	miɪ6
沔	沔		miɪ6
掂	掂		tiɪ1
滇	滇	～池	tiɪ1
巔	巔		tiɪ1
巔	巓		tiɪ1
颠	顛		tiɪ1
癫	癲		tiɪ1
敁	敁	以手稱物	tiɪ1
点	點		tiɪ3
典	典		tiɪ3
店	店		tiɪ5A
添	添		tʰiɪ1
天	天		tʰiɪ1
觍	覥	靦～	tʰiɪ3
腆	腆	腼～	tʰiɪ3
舔	舔		tʰiɪ3
掭	掭	～毛筆	tʰiɪ5B
滇	滇	～㴐	tʰiɪ5B
瑱	瑱		tʰiɪ5B
甜	甜		diɪ2
田	田		diɪ2
钿	鈿		diɪ2
佃	佃		diɪ2
填	填		diɪ2
填	塡		diɪ2
磌	磌		diɪ2
窴	窴		diɪ2
滇	滇	～污	diɪ2
电	電		diɪ6
殿	殿		diɪ6
奠	奠		diɪ6
垫	墊		diɪ6
甸	甸		diɪ6
淀	淀		diɪ6
淀	澱		diɪ6
淀	澱	（又）～粉	diŋ6
靛	靛		diɪ6
廉	廉		liɪ2
镰	鐮		liɪ2
镰	鎌		liɪ2
帘	帘		liɪ2
帘	簾		liɪ2
连	連		liɪ2
联	聯		liɪ2
鲢	鰱		liɪ2
怜	憐		liɪ2
怜	怜		liɪ2
莲	蓮		liɪ2
殓	殮		liɪ3
脸	臉		liɪ3
敛	斂		liɪ6
练	練		liɪ6
炼	煉		liɪ6
炼	鍊		liɪ6
链	鍊		liɪ6
链	鏈		liɪ6
楝	楝		liɪ6
恋	戀		liɪ6
尖	尖		tsiɪ1
镌	鐫		tsiɪ1
镌	鎸		tsiɪ1
镌	鋑	古文鐫字	tsiɪ1
煎	煎		tsiɪ1
剪	剪		tsiɪ3
隽	隽	同雋	tsiɪ5A
隽	雋		tsiɪ5A
箭	箭		tsiɪ5A
荐	荐		tsiɪ5A
荐	薦		tsiɪ5A
溅	濺		tsiɪ5A
僭	僭		tsiɪ5A
歼	殲		tsʰiɪ1
签	簽	～名	tsʰiɪ1
签	籤	書～	tsʰiɪ1
纤	纖	～維	tsʰiɪ1
千	千		tsʰiɪ1
千	韆	鞦～	tsʰiɪ1
芊	芊		tsʰiɪ1
迁	遷		tsʰiɪ1
浅	淺		tsʰiɪ3
倩	倩		tsʰiɪ5A
茜	茜		tsʰiɪ5A
潜	潛		ziɪ2
钱	錢		ziɪ2
全	全		ziɪ2
泉	泉		ziɪ2
渐	漸		ziɪ6
践	踐		ziɪ6
贱	賤		ziɪ6
饯	餞		ziɪ6
仙	仙		siɪ1
仙	僊		siɪ1
跹	躚	翩～	siɪ1
鲜	鮮		siɪ1
先	先		siɪ1
宣	宣		siɪ1
喧	喧		ɕiɤ1
譞	譞		ɕiɤ1
嬛	嬛	輕盈貌	ɕiɤ1
翾	翾		ɕiɤ1
癣	癬		siɪ3
选	選		siɪ3
线	線		siɪ5A
线	綫		siɪ5A
腺	腺		siɪ5A
前	前		ziɪ2
旋	旋	～鑿：螺絲刀	ziɪ2
璇	璇		ziɪ2
璇	璿		ziɪ2
贱	賤		ziɪ6
羡	羨		ziɪ6
羡	羡		ziɪ6
呕	嘔	又	ɪ3
怄	慪	又	ɪ5A
兼	兼		tɕiɪ1
搛	搛	～菜：用筷子夾菜	tɕiɪ1
间	間	中～，～隔	tɕiɪ1
间	閒	中～，～隔	tɕiɪ1
艰	艱		tɕiɪ1
奸	奸		tɕiɪ1
奸	姦		tɕiɪ1
涧	澗		tɕiɪ1
涧	㵎		tɕiɪ1
肩	肩		tɕiɪ1
坚	堅		tɕiɪ1
鉴	鑒		tɕiɪ1
鉴	鑑		tɕiɪ1
检	檢		tɕiɪ3
睑	瞼		tɕiɪ3
捡	撿		tɕiɪ3
简	簡		tɕiɪ3
简	𥳑		tɕiɪ3
柬	柬		tɕiɪ3
茧	繭		tɕiɪ3
趼	趼	足底硬皮	tɕiɪ3
间	間		tɕiɪ5A
间	閒		tɕiɪ5A
剑	劍		tɕiɪ5A
剑	劎		tɕiɪ5A
剑	劒		tɕiɪ5A
剑	劔		tɕiɪ5A
谏	諫		tɕiɪ5A
锏	鐧	殺手～	tɕiɪ5A
锏	鐗	殺手～	tɕiɪ5A
建	建		tɕiɪ5A
见	見		tɕiɪ5A
谦	謙		tɕʰiɪ1
牵	牽		tɕʰiɪ1
遣	遣		tɕʰiɪ3
纤	縴	～繩	tɕʰiɪ5B
芡	芡		tɕʰiɪ5B
欠	欠		tɕʰiɪ5B
堑	塹		tɕʰiɪ5B
舰	艦		tɕʰiɪ5B
歉	歉		tɕʰiɪ5B
钳	鉗		dʑiɪ2
揵	揵	舉	dʑiɪ2
乾	乾		dʑiɪ2
虔	虔		dʑiɪ2
掮	掮		dʑiɪ2
俭	儉		dʑiɪ6
件	件		dʑiɪ6
犍	犍		dʑiɪ6
键	鍵		dʑiɪ6
健	健		dʑiɪ6
拈	拈		ȵiɪ1
黏	黏		ȵiɪ2
粘	粘	俗黏字	ȵiɪ2
严	嚴		ȵiɪ2
鲇	鮎		ȵiɪ2
鲇	鯰		ȵiɪ2
年	年		ȵiɪ2
年	秊	年本字	ȵiɪ2
妍	妍		ȵiɪ2
妍	姸		ȵiɪ2
研	研		ȵiɪ2
研	硏		ȵiɪ2
岩	巖	《夢遊天姥吟留別》千巖萬轉路不定	ȵiɪ2
岩	岩		ȵiɪ2
撚	撚	《琵琶行》輕攏慢撚撥復挑	ȵiɪ3
碾	碾		ȵiɪ3
捻	捻		ȵiɪ3
撵	攆		ȵiɪ3
染	染		ȵiɪ3
验	驗		ȵiɪ6
俨	儼		ȵiɪ6
广	广	因广爲屋，象對剌高屋之形	ȵiɪ6
廿	廿	～二：二十二	ȵiɪ6
念	念		ȵiɪ6
念	唸	～書	ȵiɪ6
砚	硯		ȵiɪ6
轩	軒		ɕiɪ1
掀	掀		ɕiɪ1
忺	忺	得意（含貶義）	ɕiɪ1
险	險		ɕiɪ3
显	顯		ɕiɪ3
㬎	㬎		ɕiɪ3
蚬	蜆	蛔～：蚯蚓	ɕiɪ3
宪	憲		ɕiɪ5A
献	獻		ɕiɪ5A
炎	炎		ɦiɪ2
芫	芫	～荽菜：香菜	ɦiɪ2
盐	鹽		ɦiɪ2
檐	簷		ɦiɪ2
檐	檐		ɦiɪ2
闫	閆		ɦiɪ2
阎	閻	～大王	ȵiɪ2
嫌	嫌		ɦiɪ2
涎	涎		ɦiɪ2
延	延		ɦiɪ2
筵	筵		ɦiɪ2
衍	衍		ɦiɪ6
言	言		ɦiɪ2
贤	賢		ɦiɪ2
弦	弦		ɦiɪ2
弦	絃		ɦiɪ2
舷	舷		ɦiɪ2
沿	沿		ɦiɪ2
咸	咸	～陽	ɦiɪ2
兖	兗		ɦiɪ2
兖	兖	俗兗字	ɦiɪ2
陷	陷	（文）	ɦiɪ6
衔	銜		ɦiɪ2
颜	顏		ɦiɪ2
颜	顔		ɦiɪ2
艳	艷		ɦiɪ6
艳	豔		ɦiɪ6
焰	焰		ɦiɪ6
彦	彥		ɦiɪ6
谚	諺		ɦiɪ6
邂	邂		ɦiɪ6
现	現		ɦiɪ6
咽	咽	～喉	iɪ1
淹	淹		iɪ1
