音标	调类	调值	
ʦɿ	1	44	资姿咨兹滋辎
ʦɿ	3	31	紫姊秭子梓滓仔（～鸡：小鸡）
ʦɿʔ	7	5	卒（白 兵～）膣1（肉瘤、按钮、粒状物）
dzʰɿ	1	44	差（参～）疵玼 □（～：用力擦  ～笔坨：橡皮擦）
dzʰɿ	2	13	雌瓷糍（～巴）慈磁辞词祠
dzʰɿ	3	31	此
dzʰɿ	5	213	次刺赐伺
dzʰɿ	6	33	自字巳寺嗣饲
sɿ	1	44	疵斯厮撕私师狮司丝思□（～鼻涕：擦鼻涕）厕（白 茅～）
sɿ	3	31	死使史驶
sɿ	5	213	四肆
sɿ	6	33	似祀士仕事侍
tʂʅ	1	44	知支枝肢栀之芝
tʂʅ	3	31	纸衹（～有）只脂旨指（～示）止趾址
tʂʅ	5	213	滞制智翅致至置志痣
tʂʅʔ	7	5	隻(文)指（～甲）执汁质织职炽膣2（女阴）
dʐʰʅ	1	44	痴嗤
dʐʰʅ	2	13	池驰迟持蛰值侄
dʐʰʅ	3	31	耻齿侈
dʐʰʅ	5	213	□（～鱼：剖鱼）
dʐʰʅ	6	33	稚痔治恃
dʐʰʅʔ	7	5	直值植赤（文）斥（～骂）
ʂʅ	1	44	施尸诗□（唆使）
ʂʅ	2	13	时石（文）十什（～锦）拾实
ʂʅ	3	31	豕屎始豉
ʂʅ	5	213	世势逝试
ʂʅ	6	33	誓是氏示视嗜柿市
ʂʅʔ	7	5	矢湿失室食蚀识饰式适释匙
ʂʅ		0	齿（马～苋）
pi	1	44	杯背（～书包）碑卑悲蓖婢
pi	3	31	彼比
pi	5	213	潷贝蔽敝闭辈箅背（后～）
piʔ	7	5	臂笔毕必逼碧璧壁（文）
bʰi	1	44	批胚坯披
bʰi	2	13	培陪赔裴皮疲脾啤琵枇鼻
bʰi	3	31	鄙丕
bʰi	5	213	沛配佩屁
bʰi	6	33	弊币陛毙倍背（～诵）焙被避庇痹备篦□（～年：小年）
bʰiʔ	7	5	匹弼僻辟
mi	2	13	迷梅枚媒煤弥䉲靡眉楣霉莓
mi	3	31	米每美
mi	6	33	谜妹昧媚寐沕（～水：潜水）
miʔ	7	5	秘泌密蜜觅□（掰）
ti	1	44	低堆
ti	3	31	底抵
ti	5	213	帝对碓队兑递
tiʔ	7	5	的（目～）滴（文）嫡
dʰi	1	44	梯锥推□（～子：砻）
dʰi	2	13	堤题提（文）蹄啼犂黎雷蕾擂驴离篱漓璃梨厘狸藜
dʰi	3	31	体礼腿儡履李里理鲤旅屡垒累（积～）
dʰi	5	213	替剃屉退蜕
dʰi	6	33	例厉励弟第丽隶荔地利痢吏累类泪涕虑滤
dʰiʔ	7	5	立笠粒栗律率（～率）力笛敌狄历（～法）剔
dʰi		0	里哩
tɕi	1	44	鸡稽饥肌基箕机讥□（尖叫）
tɕi	3	31	挤己纪几（～个 ～乎）嘴虮
tɕi	5	213	祭际济剂计继最寄冀骥记既醉季鯚
tɕiʔ	7	5	急级给（文 供～）及吸吉即鲫㦸屐积迹绩击激唧（摘～：断奶 ～～：乳房）
tɕi		0	子（小称 如：妹～、猫～）
dʑʰi	1	44	蛆趋妻栖溪奚催欺期焌（～熄）
dʑʰi	2	13	齐脐奇骑岐祁鳍其棋旗徐（白）随
dʑʰi	3	31	取娶启起杞岂芪
dʑʰi	5	213	去趣（白）砌契碎脆器弃气汽翠粹
dʑʰi	6	33	聚罪企徛（站立）技妓忌祈
dʑʰiʔ	7	5	缉集七漆疾讫乞极籍（书～）戚寂
ȵi	2	13	泥宜倪仪尼夷疑沂凝
ȵi	3	31	蚁拟
ȵi	6	33	艺谊义议夷（武～山）毅内
ȵiʔ	7	5	匿逆溺
ȵi		0	哩
ɕi	1	44	须（白 胡～）西犀兮牺嬉熙希稀虽□（流：～眼泪，～鼻涕）绥□（～眼睛：眯眼睛）
ɕi	2	13	徐（白）随席
ɕi	3	31	洗玺喜蟢髓
ɕi	5	213	絮细岁戏
ɕi	6	33	序（白）叙绪系携遂隧穗荽（芫～）
ɕiʔ	7	5	壻胥□（门～：门钹）习袭悉戌恤息熄媳惜昔夕锡（文）析□（偷窃）
fi	1	44	非扉菲飞妃
fi	2	13	肥淝
fi	3	31	匪翡
fi	5	213	废肺痱(～子)费
dzʰi	1	44	崔
i	1	44	伊医衣依
i	2	13	移肄饴姨遗
i	3	31	倚椅已以□（～底：里面）
i	5	213	瞖（～子）意忆亿
i	6	33	易（容～）异□（抽象远指代词）
iʔ	7	5	揖乙一逸抑翼益亦译易（交～）液腋
hui	1	44	恢灰麾挥辉徽
hui	2	13	回茴蛔
hui	3	31	毁贿悔讳
hui	5	213	晦慧
hui	6	33	汇惠秽会绘
kui	1	44	圭闺规龟归
kui	3	31	诡轨鬼晷
kui	5	213	桂癸贵
gʰui	1	44	盔魁亏窥
gʰui	2	13	逵葵奎
gʰui	3	31	跪
gʰui	5	213	溃愧
gʰui	6	33	柜
ui	1	44	威煨
ui	2	13	桅危伪为维惟唯微违围
ui	3	31	萎委尾伟苇纬
ui	5	213	餧畏慰猬蔚尉
ui	6	33	卫位未味魏胃谓渭猬
tʂʯi	1	44	追锥
tʂʯi	5	213	赘坠
dʐʰʯi	1	44	炊吹（文）
dʐʰʯi	2	13	垂捶
ʂʯi	2	13	谁
ʂʯi	5	213	税睡（文）
ʂʯi	6	33	瑞
ʯi	6	33	锐
