#ɿ
ts[1]资姿咨糍兹滋[2]瓷慈磁[3]紫姊子梓[5]自字
tsʰ[1]疵差{参～}[2]雌辞词祠[3]此[5]刺赐次伺
s[1]斯厮撕私司丝思巳饲[3]死[5]四肆寺

#ʅ
tʂ[1]知枝肢栀只{一～}脂指之芝趾址汁秩质织[2]执侄直值职[3]旨纸止[5]滞制智雉至痔置治志
tʂʰ[1]痴[2]池驰迟[3]侈耻齿[5]翅持
ʂ[1]施师狮尸矢诗湿虱失室[2]时十拾实识[3]屎使史驶始[5]世势誓逝是氏示视士仕柿市侍事试食蚀式饰

#ɑ
p[1]巴芭疤耙八[2]拔[3]把[5]霸坝爸罢
pʰ[1]趴[2]爬钯[3]坡[5]怕帕
m[1]妈抹{～布}[2]麻[3]马码[5]骂
f[1]发{～现}[2]伐筏罚
t[1]答搭[3]打[5]大
tʰ[1]踏{～实}沓塔塌溻[3]他[5]踏{～青}
n[2]拿娜[3]哪[5]纳捺
l[1]拉[2]□{划破}□{稀疏}[3]喇[5]蜡腊辣
ts[2]杂[3]咋[5]砸
tsʰ[1]擦
s[1]撒[3]萨[5]飒
tʂ[1]楂眨扎{～营}[2]榨炸{油～}[3]闸[5]诈炸{～弹}栅
tʂʰ[1]叉差插[2]茶茬查察[5]权岔
ʂ[1]沙纱杀[3]洒厦[5]□{挑选后剩下}
k[1]嘎[3]□{小孩调皮捣蛋}
x[1]哈{～气}哈{～腰}[2]还
∅[1]啊阿{～胶}

#ɤ
p[1]菠玻钵拨剥帛[2]博薄驳[3]簸{动词，用簸箕反复扬起粮食，以去除杂质}[5]簸{～箕}薄{～荷}
pʰ[1]波颇坡{山～}泼泊[2]婆[3]坡{～跟鞋}[5]破
m[1]摸[2]魔磨{～刀}摩镆膜[3]抹{～上去}[5]磨{石～}末沫抹{～墙}莫默陌
f[2]佛
t[1]得
tʰ[5]特
n[2]哪{～吒}[5]那
l[1]勒
ts[1]则择泽[5]仄
tsʰ[1]测[5]厕
s[5]瑟
tʂ[1]折{～叠}褶蛰哲浙遮蔗[3]者[5]这
tʂʰ[1]彻车[3]扯[5]撤
ʂ[1]奢赊[2]折{弄～了}舌蛇余[3]舍{～得}[5]社摄涉射麝舍{宿～}赦
ʐ[5]热
k[1]歌戈鸽割阁搁胳格[2]□{～气：小孩子打架}[3]葛[5]个各
kʰ[1]科窠磕{～头}渴喝刻{时～}克{～服}[2]咳[3]可[5]课客{～车}
ŋ[1]恶屙[2]蛾鹅俄讹额扼[5]饿
x[1]喝郝[2]河何荷{～花}合{～身}盒蛤{～蟆}[5]荷{薄～}贺鹤吓{恐～}
∅[1]呃{应答}[2]鄂

#ɛ
p[1]百柏伯[2]白[3]摆[5]拜稗败
pʰ[1]拍[2]牌排[5]派
m[2]埋[3]买[5]卖迈麦脉
t[1]呆待{～着}[3]逮{～捕}[5]怠殆戴贷代袋带大{～夫}
tʰ[1]胎态[2]台抬[5]太泰
n[1]奶[3]乃[5]耐奈
l[2]来[3]□{牲畜把正在生长中的庄稼吃掉}[5]癞
ts[1]灾栽载{三年五～}[3]宰[5]在再载{～重}
tsʰ[1]猜[2]才材财裁[3]采彩[5]菜蔡
s[1]鳃腮[5]赛
tʂ[1]摘责[2]择宅[3]窄[5]债寨
tʂʰ[1]钗差{出～}拆策[2]豺柴[3]册
ʂ[1]筛涩[5]晒
k[1]该[3]改[5]盖溉慨丐
kʰ[1]开[3]凯楷
ŋ[1]哀埃挨矮[5]爱碍艾蔼隘
x[2]孩亥[3]海[5]骇

#ei
p[1]杯碑卑悲北[5]贝蔽倍辈背被备
pʰ[1]胚[2]陪培赔裴[5]沛配佩
m[2]梅枚媒煤眉楣霉[3]每美[5]妹昧媚寐
