	注释：白读-，文读=
#ɿ	
tsʰ	[6]疾{痛}
s	[1]丝[3]所{tʰɤ～：厕～，统称；mau33～：茅草搭建的厕所}
#i	
p	[1]螕{kɔŋ21～-55tsɿ0：猪牛身上的吸血虫。《说文·虫部》：螕，啮牛虫也}[3]比[5]闭[7]笔毕逼
pʰ	[1]批披[2]皮疲脾肥匹[3]备[5]屁[6]毙避鼻弼{～马瘟}必妇{sən21～tsɿ33：媳妇，父母所背称}焙{放在锅里烘烤}
m	[2]迷谜眉[3]米
f	[1]非飞妃挥徽{ᵘoŋ21～：安徽}[3]匪[5]废肺费
v	[1]威[7]□{～hiam51-33：～贴，指女孩子漂亮，五官端正}□{～脚：崴脚}□{爸}[5]□{～tɕʰi55：怕耻，怕羞}
t	[1]低[2]的[3]底[6]点
tʰ	[2]题提{～出}[3]帝体{～面}粢{noᵓ45～：粢巴}[6]帝第自敌[7]七漆踢
n	[2]尼[6]二
l	[2]离篱璃梨狸历{黄～}[3]礼李里理鲤[6]例厉丽利痢立笠粒力=历{～史}
s	[3]死
tɕ	[1]支枝芝趾汁织识[3]指止址[5]志痣[6]疾[7]质职
tɕʰ	[1]池[2]鹚{鸬～}瓷慈辞持蛰[3]此耻{vi21～：怕耻，怕羞}[5]试{～一下。不说“考试”}[6]痔{～tʰon21：痔疮}治待{～侯}值{～班}[7]殖=
ɕ	[1]西溪=匙示吸昔夕析释示[2]时息{hou21～：休息}食={粮～}[3]屎{～kʰuei21：屁股}是系={联～}豉{hou45～：豆豉}惜席[5]细世势氏四[6]誓祠巳士柿始市实适
k	[1]溪{tʰin21～：清溪，司前地名}基杞机积脊籍击[2]绩[3]儿麂{～子}[5]祭际{云～：司前地名}计济纪{姓}记季[6]迹
kʰ	[1]欺[2]奇齐其棋期[3]启企起乞[5]契器气汽[6]技
h	[1]希稀[2]迟[3]弟{～ɛ0：弟弟}[5]戏[6]第
∅	[1]医揖[2]宜移姨[3]弟{徒～}意已乙益易[5]义意[6]翼{～kʰie51：翅膀}仪忆=亿译=疫=役=[7]一
#u	
p	[3]蒲
pʰ	[3]谱普脯{胸～}捕甫[2]菩脯{hioŋ21～：胸脯}[6]部簿步
m	[2]模{～子}幕[3]摹亩[6]目穆[7]目{～ɕy-21：目水，眼泪}
f	[1]夫肤[2]徒{～i33：徒弟}符芙{～蓉}复{重～}幅服伏[3]虎=浒=辅=府傅负{欺～}[5]付附富副[6]妇=互护父{～老乡亲}负{正～}复{～səm21：复习}[7]福
t	[3]堵赌肚{猪～}[6]□{刺，动词}
tʰ	[1]粗{～鲁}初□{烧；烧焦}突[2]徒{叛～}涂图[3]土吐{～痰}楚[6]杜度镀昼{～tɕi21：中午}助毒{nie45～-21tsɿ0：热毒子，痱子}独族毒促[5]醋妒
n	[2]奴[7]□{～面：和面}
l	[2]庐炉鸬{～鹚}如=[3]鲁{tʰu21～ɛ0：粗鲁}捋辱[6]露鹭□{ɛ0：抽屉}入鹿禄陆
ts	[1]租{～用}[3]祖组[5]灶{～tʰin21：灶前，即厨房}
s	[1]苏{姓}梳蔬[3]数{动词}[5]诉数{名词}漱=[6]速肃属[7]□{溺，浸}六淑
k	[1]姑{～ɛ0：姑姑}孤估[3]古股鼓{～泡：鱼快要死时的浮水}[5]故固雇顾[7]谷
kʰ	[1]箍枯虎-{老～}𣗺{油茶等榨油后的渣滓。《集韵》平声模韵空胡切：～饼。}[3]苦[5]库裤[6]□{蹲}[7]哭
ŋ	[2]吴蜈-{～蚣}[3]五伍[6]误戊
h	[2]乎{在～}[7]□{那，ˀu51ɛ0：那个；ˀu51ɕi21kɛ0：那一个}[3]苧{子：麻}□{他}[5]吐{呕吐}兔
