字	片	区	小片	方言点	声母	韵母	调值	调类	备注
丈	閩東區	侯官片		馬祖	t/t	ɔuŋ/yɔŋ	131/131	陽去/陽去	丈夫<br>姑丈。
乖	閩東區	侯官片		馬祖	k	uai	55	陰平	
亲	閩東區	侯官片		馬祖	tsʰ	iŋ	55	陰平	
人	閩東區	侯官片		馬祖		iŋ	51	陽平	
伊	閩東區	侯官片		馬祖		i	55	陰平	
倍	閩東區	侯官片		馬祖	p	uːi	131	陽去	
共	閩東區	侯官片		馬祖	k/k	ɔyŋ/øyŋ	131/131	陽去/陽去	
冒	閩東區	侯官片		馬祖	m	ɔ	131	陽去	
冬	閩東區	侯官片		馬祖	t	øyŋ	55	陰平	
利	閩東區	侯官片		馬祖	l	ei	131	陽去	
刺	閩東區	侯官片		馬祖	tsʰ	iɛ	312	陰去	
力	閩東區	侯官片		馬祖	l	ik	5	陽入	
努	閩東區	侯官片		馬祖	n	u	33	上聲	
千	閩東區	侯官片		馬祖	tsʰ/tsʰ	ieŋ/iŋ	55/55	陰平/陰平	
单	閩東區	侯官片		馬祖	t	aŋ	55	陰平	
卫	閩東區	侯官片		馬祖		uːi	131	陽去	
双	閩東區	侯官片		馬祖	s	øyŋ	55	陰平	
古	閩東區	侯官片		馬祖	k	u	33	上聲	
后	閩東區	侯官片		馬祖	h	ɑu	131	陽去	
吳	閩東區	侯官片		馬祖	ŋ	u	51	陽平	
围	閩東區	侯官片		馬祖		uːi	51	陽去	
圓	閩東區	侯官片		馬祖		uoŋ	51	陽平	
地	閩東區	侯官片		馬祖	t	ei	131	陽去	
坠	閩東區	侯官片		馬祖	t/tʰ	uːi/uːi	131/131	陽去/陽去	
天	閩東區	侯官片		馬祖	tʰ	ieŋ	55	陰平	
夫	閩東區	侯官片		馬祖	h/p	u/uo	55/55	陰平/陰平	功夫<br>丈夫(男性)。
姑	閩東區	侯官片		馬祖	k	u	55	陰平	
姥	閩東區	侯官片		馬祖	m	u	33	上聲	
婆	閩東區	侯官片		馬祖	p	o	51	陽平	
宜	閩東區	侯官片		馬祖	ŋ/ŋ	i/ie	51/51	陽平/陽平	宜蘭<br>便宜。
寄	閩東區	侯官片		馬祖	k	iɛ	312	陰去	
尾	閩東區	侯官片		馬祖	m	ui	33	上聲	
尿	閩東區	侯官片		馬祖	n/n	iːu/iɑu	131/131	陽去/陽去	
工	閩東區	侯官片		馬祖	k/k	øyŋ/uŋ	55/55	陰平/陰平	
布	閩東區	侯官片		馬祖	p	uɔ	312	陰去	
帐	閩東區	侯官片		馬祖	t	yɔŋ	312	陰去	
平	閩東區	侯官片		馬祖	p/p	aŋ/iŋ	51/51	陽平/陽平	地很平。<br>平安
幼	閩東區	侯官片		馬祖		iːu	312	陰去	
