#漢字	音標	解釋
丟	tyuu(tiu)	
么	you(eu)	
么	ba	
么	`ma`	
么	`mo`	
乢	kai	
乣	kyuu(kiu)	
乵	en	
亠	tou	
仈	hatu	
仈	`hati`	
仐	kin	
仐	san	
仨	sa	
仫	mu	
伕	hu	
众	syuu	
伙	ka(kwa)	
佣	you	
佤	wa	
佬	rou(rau)	
佬	ryou(reu)	
俥	sya	
俺	an	
倁	ti	
倵	bu	
倵	`mu`	
倻	ya	
偅	tou	
偌	zyaku	
做	sa	
偢	syuu(siu)	
偣	en(emu)	
偧	ta	
偱	syun	
傈	ritu	
傈	`riti`	
傊	un	
傐	kou(kau)	
傣	tai	
働	**do**	
僣	sen	
僣	`sin`	
僳	su	
儎	sai	
儙	ken	
儝	kei	
兂	sin(simu)	
冼	sen	
冿	sen	
刋	sen	
刋	kan	
剘	ki	
剬	sei	
劧	si	
劯	syo	
勐	mou(mau)	
匟	kou(kau)	
匼	kou(kahu)	
卡	sou(sahu)	
卡	ka	
厈	gan	
厈	seki	
厔	titu	
厫	gou(gau)	
听	tyou(tyau)	
听	`tei`	
呄	koku	
呇	kei	
呍	un	
呏	syou	
呮	ki	
咁	kan(kamu)	
咃	ta	
咐	hu	
咑	da	
咕	ko	
咖	ka	
咩	bi	
咩	`mi`	
咪	bi	
咪	`mi`	
咱	sa	
咱	`satu`	
哶	bi	
哶	`mi`	
哾	setu	
唀	yuu(iu)	
唕	sou(sau)	
啑	tyou(tehu)	
啘	etu	
啡	hi	
啤	hi	
啦	rou(rahu)	
啦	`ra`	
喂	i(wi)	
喒	san	
喰	san	
喲	yo	
嘙	ba	
噀	son	
噔	tou	
噶	katu	
嚈	en	
嚟	ri	
嚩	haku	
囌	so	
囜	zin(din)	
囜	`nin`	
囡	nan	
囨	hen	
囫	kotu	
圇	rin	
圚	kai(kwai)	
圣	sei	
圥	roku	
圳	sin(simu)	
圳	ken(kwen)	
坆	bai	
坆	hun	
坨	ta	
坭	dei	
垃	rou(rahu)	
垈	tai	
垈	`dai`	
垉	hou(hau)	
垌	tou	
垧	syou(syau)	
垩	sei	
垩	a	
垩	`aku`	
垪	zyou	
埔	ho	
埕	tei	
埗	hu	
埝	nen	
埡	a	
堃	kon	
堌	ko	
堍	to	
堿	kan(kamu)	
塀	**he**	
塧	ai	
塨	kyou	
奆	ken	
奆	`gon`	
奛	kou(kwau)	
妳	ni	
娞	sui	
媐	hai	
媙	i(wi)	
媬	ho	
媬	`hou`	
嫏	rou(rau)	
嬡	ai	
孾	ei	
宊	ka	
宑	sei	
宺	kou(kwau)	
寉	kaku	
寽	retu	
尚	**syou(syau)**	
屙	a	
屟	tei	
屮	sa	
屶	kai(kwai)	
岒	gin(gimu)	
岔	ta	
峲	ri	
峺	kou(kau)	
峺	`kyou(kyau)`	
崁	kan	
崒	sui	
嵢	sou(sau)	
嵭	hou(hau)	
嶲	syun	
嶴	ou(au)	
幛	syou(syau)	
庹	ta	
庹	`taku`	
廎	kei	
廒	gou(gau)	
开	ken	
开	kai	
