IPA	调值	调类	Hanzi
mə	32	1	摸
mə	52	5	末没抹茉沫陌脉莫漠墨默磨
mən	24	2	门们扪
mən	52	5	闷焖
məu	212	3	某
məu	24	2	牟眸谋
məŋ	212	3	猛蒙锰蠓
məŋ	24	2	蒙萌盟朦
məŋ	52	5	孟梦
mᴀ	212	3	马吗玛码蚂（~蜂）
mᴀ	24	2	麻蟆
mᴀ	32	1	妈蚂摩（~挲）
mᴀ	52	5	骂蚂（~蚱）
nan	212	3	暖
nan	24	2	男南难喃楠
nan	32	1	安鞍囡
nan	52	5	岸按案暗难
nei	52	5	内
nu	24	2	奴驽怒
nu	52	5	努弩
nuŋ	24	2	农侬哝浓脓
nuŋ	52	5	弄
nuə	24	2	挪傩
nuə	52	5	诺懦糯
nyɛ	52	5	虐疟
næ	212	3	乃奶
næ	32	1	哎（~呀）哀挨着打癌
næ	52	5	爱碍奈耐萘
nɑŋ	24	2	昂（~首）囊
nɑŋ	52	5	盎（~然）
nɔ	212	3	袄恼脑瑙
nɔ	24	2	挠蛲
nɔ	32	1	凹熬（~白菜）夜孬
nɔ	52	5	傲闹
nə	212	3	恶（~心）
nə	24	2	讹俄峨鹅蛾额哪（~吒）
nə	32	1	阿（~胶）婀娜
nə	52	5	厄扼恶饿遏噩鳄讷
nən	32	1	恩
nən	52	5	摁恁嫩
nəu	212	3	呕偶耦
nəu	32	1	讴沤欧殴鸥
nəu	52	5	怄
nəŋ	24	2	能
nᴀ	212	3	哪
nᴀ	24	2	拿
nᴀ	32	1	南（~无）
nᴀ	52	5	那纳钠娜捺
pan	212	3	板版
pan	32	1	班般颁斑搬
pan	52	5	办半扮伴拌绊瓣
paŋ	212	3	绑榜膀
paŋ	32	1	邦帮梆（~硬）
paŋ	52	5	棒傍谤
pei	212	3	北
pei	32	1	杯卑背（~包）悲碑
pei	52	5	贝备背（~后）倍被辈
pi	212	3	匕比彼笔鄙
pi	24	2	鼻
pi	32	1	逼
