汉字	音标	注释
多	təu1	
他	/	
驼	dəu2	
大	dəu5	
哪	la3	
罗	ləu1	
搓	tsʰəu1	
哥	kəu1	
个	kəu5	
可	kʰəu3	
鹅	ŋəu5	
我	ŋəu3	
饿	ŋəu5	
河	ɣəu2	
贺	ɣəu5	
波	po1	
跛	pəu3	
破	pʰəu5	
婆	ɦvo2	
磨	məu2	
朵	təu3	
妥	tʰəu1	
糯	ləu5	
脶	ləu1	
坐	hzəu3	
座	hzəu5	
锁	səu3	
锅	kəu1	
果	kəu3	
过	kəu5	
棵	kʰəu1	
课	kʰəu5	
讹	ŋəu1	
火	xəu3	
货	xəu5	
和	ɣəu2	
祸	ɣəu3	
窝	/	
靴	ɕʯa1	
巴	po1	
把	po3	
霸	po5	
怕	pʰo5	
爬	bo2	
耙	bo5	
麻	mo1	
马	mo3	
茶	hzo2	
渣	tso5	
榨	tso5	
叉	tsʰo1	
岔	tsʰo5	
查	hzo2	
沙	so1	
家	ko1	
假	tɕia3	真假
价	ko5	
牙	ŋo2	
虾	ɕia1	
下	ɣa3	底下
下	ɣa5	下降
丫	/	
哑	ŋo3	
亚	ŋo5	
姐	tɕia3	
借	tɕia5	
且	tɕʰia3	
些	/	
写	ɕia3	
泻	ɕia5	
邪	hʑia2	
爹	tia1	
遮	/	
者	tse3	
蔗	tsa5	
车	tsʰo1	
扯	tɕʰia3	
蛇	hzo2	
射	hʑia5	
赊	so1	
舍	so3	
舍	so5	
惹	ȵia3	
也	ia3	
夜	ia5	
瓜	kuo1	
寡	kuo3	
侉	kʰuo3	
瓦	ŋo3	
花	xo1	
化	xo5	
划	ɣua2	
补	pu3	
布	pu5	
铺	pʰu1	
普	pʰu3	
铺	pʰu5	
菩	bu2	
部	bu3	
步	bu5	
模	mu1	
墓	mu5	
都	tu1	
赌	tu3	
土	tʰu3	
兔	tʰu5	
图	du2	
肚	du3	
度	du5	
奴	lu1	
努	lu3	
怒	lu5	
芦	nu1	
鲁	nu3	
路	nu5	
租	tsu1	
祖	tsu3	
做	tsu5	
粗	tsʰu1	
醋	tsʰu5	
苏	su1	
素	su5	
姑	ku1	
古	ku3	
固	ku5	
枯	kʰu1	
苦	kʰu3	
库	kʰu5	
吴	u1	
蜈	ȵʯ1	
五	u3	
误	u5	
呼	xu1	
虎	xu3	
戽	xu5	
胡	ɣu2	
户	ɣu3	
护	u5	
乌	u1	
女	ȵʯ3	
庐	nu1	
驴	ȵʯ1	
吕	ʯ1	
滤	/	
蛆	tɕʰʯ1	
絮	/	
徐	hʑʯ2	
绪	hʑʯ3	
猪	tɕʯ1	
着	tɕʯ5	
除	hʑʯ2	
阻	tsu3	
初	tsʰu1	
楚	tsʰu3	
锄	hʑʯ2	
助	hʑʯ5	
梳	su1	
所	su3	
疏	su5	
杵	tɕʰʯ3	
处	tɕʰʯ5	
书	ɕʯ1	
鼠	tɕʰʯ3	
暑	ɕʯ3	
恕	ɕʯ5	
如	ʯ1	
居	tɕʯ1	
举	tɕʯ3	
锯	tɕʯ5	
去	tɕʰi5	
渠	/	
拒	tɕʯ5	
鱼	ȵʯ1	
语	ʯ3	
虚	ɕʯ1	
於	ʯ1	
余	ʯ1	
与	ʯ3	
预	ʯ5	
夫	xu1	
斧	xu3	
敷	xu1	
抚	xu3	
赴	xu5	
符	hvu2	
父	/	
附	hvu5	
诬	/	
舞	u3	
雾	u5	
缕	ȵʯ3	
屡	ȵʯ5	
趋	tɕʰʯ1	
取	tɕʰʯ3	
趣	tɕʰʯ5	
聚	hʑʯ3	
须	ɕʯ1	
蛛	tɕʯ1	
拄	tɕʯ3	
驻	tɕʯ5	
厨	hʑʯ2	
柱	hʑʯ3	
住	hʑʯ5	
雏	/	
数	su3	
数	su5	
朱	tɕʯ1	
主	tɕʯ3	
蛀	tɕʯ5	
枢	tɕʰʯ1	
输	ʐʯ1	
输	ɕʯ5	
殊	hʑʯ2	
竖	hʑʯ3	
树	hʑʯ5	
拘	tɕʯ1	
矩	tɕʯ3	
句	tɕʯ5	
区	tɕʰʯ1	
具	tɕʯ5	
愚	ʯ1	
