繁體	简体	吳拼	備注
枝	枝	tsɿ⁵¹	樹枝
肢	肢	tsɿ⁵¹	
梔	栀	tsɿ⁵¹	
資	资	tsɿ⁵¹	
姿	姿	tsɿ⁵¹	
諮	咨	tsɿ⁵¹	
脂	脂	tsɿ⁵¹	
茲	兹	tsɿ⁵¹	
滋	滋	tsɿ⁵¹	
輜	辎	tsɿ⁵¹	
之	之	tsɿ⁵¹	
芝	芝	tsɿ⁵¹	
煮	煮	tsɿ³⁴	
鼠	鼠	tsɿ³⁴	又音
紫	紫	tsɿ³⁴	
紙	纸	tsɿ³⁴	
姊	姊	tsɿ³⁴	
旨	旨	tsɿ³⁴	
指	指	tsɿ³⁴	
子	子	tsɿ³⁴	
梓	梓	tsɿ³⁴	
滓	滓	tsɿ³⁴	
止	止	tsɿ³⁴	
趾	趾	tsɿ³⁴	
址	址	tsɿ³⁴	
齒	齿	tsɿ³⁴	又音
致	致	tsɿ⁴⁴	
至	至	tsɿ⁴⁴	
置	置	tsɿ⁴⁴	又音
志	志	tsɿ⁴⁴	
誌	誌	tsɿ⁴⁴	
痣	痣	tsɿ⁴⁴	文讀
雌	雌	tsʰɿ⁵¹	
疵	疵	tsʰɿ⁵¹	
差	差	tsʰɿ⁵¹	參差
嗤	嗤	tsʰɿ⁵¹	
此	此	tsʰɿ³⁴	
侈	侈	tsʰɿ³⁴	
齒	齿	tsʰɿ³⁴	
刺	刺	tsʰɿ⁴⁴	
賜	赐	tsʰɿ⁴⁴	
翅	翅	tsʰɿ⁴⁴	
次	次	tsʰɿ⁴⁴	
廁	厕	tsʰɿ⁴⁴	
池	池	dzɿ²²	文讀
馳	驰	dzɿ²²	
瓷	瓷	dzɿ²²	
慈	慈	dzɿ²²	
磁	磁	dzɿ²²	
辭	辞	dzɿ²²	
詞	词	dzɿ²²	
祠	祠	dzɿ²²	
持	持	dzɿ²²	
滯	滞	dzɿ¹³	
雉	雉	dzɿ¹³	
稚	稚	dzɿ¹³	
痔	痔	dzɿ¹³	
梳	梳	sɿ⁵¹	動詞，白讀
斯	斯	sɿ⁵¹	
廝	厮	sɿ⁵¹	
撕	撕	sɿ⁵¹	
