汉字	IPA	注释		
PAGE 1				
庵	an1			
阿	o1=			
阿	a1-			
哀	ai1			
埃	ai1			
挨	ai1			
矮	ue3-			
蔼	ai4			
艾	gai4=			
艾	ai4=			
艾	hiã4-			
爱	ai4			
隘	ai4			
碍	gai4			
碍	ai4			
安	an1			
鞍	an1			
揞	an4			
岸	an4=			
岸	huã4-			
按	an4			
案	an4=			
案	uã4-			
暗	an4			
肮	aŋ1			
凹	au1			
熬	go2=			
熬	ŋɔ̃2=			
熬	nãu2-			
袄	o3			
坳	au1			
PAGE 2				
拗	au4			
傲	au4-			
奥	au4-			
澳	au4-			
懊	au4-			
八	pak5=			
八	pueʔ5-			
巴	pa1			
疤	pa1			
拔	pueʔ6-			
把	pa3=			
把	pe3-			
钯	pa4=			
钯	pe4-			
坝	pa4=			
坝	pe4-			
坝	pue4-			
爸	pa4=			
爸	pe4-			
耙	pe2-			
罢	pa4			
霸	pa4			
吧	pa1			
白	peʔ6-			
百	peʔ5-			
百	paʔ5-			
柏	peʔ5-			
摆	pai3			
败	pai4=			
败	pue4-			
拜	pai4			
稗	pʰue4-			
扳	pan1			
班	pan1			
般	pan1			
颁	pan1			
斑	pan1			
搬	puã1-			
板	pan3			
版	pan3			
办	pan4			
半	puã4-			
扮	pan4			
伴	puã4-			
拌	puã4-			
绊	pʰan4			
瓣	pan4			
邦	paŋ1=			
邦	pɔŋ1-			
帮	pɔŋ1			
帮	paŋ1			
绑	paŋ3			
榜	pɔŋ3			
榜	paŋ3			
蚌	paŋ4			
蚌	pɔŋ4			
棒	pan4			
傍	pɔŋ4			
傍	paŋ4			
谤	pɔŋ3			
谤	paŋ3			
包	pau1			
胞	pau1			
褒	po1			
雹	pʰau1			
薄	po2	1		
薄	pʰo2	1		
薄	pɔʔ6-	2		
饱	pa3-			
宝	po3			
保	po3			
堡	po3			
报	po4			
抱	pʰɔ4			
豹	pa4-			
鲍	pau4			
暴	pɔ4			
爆	pau4			
杯	pue1			
卑	pi1			
卑	pue1			
悲	pue1			
碑	pue1			
PAGE 3				
北	pak5-			
贝	pue4			
狈	pue4			
备	pi4			
备	pue4			
备	pə4			
背	pue4=			
背	pə4-			
