#作者：中南大学 文学与新闻传播学院 喻程琪， 刘青松， 郇国庆， 许瑛丹				
#转录者：DaiDzao				
#湖南娄底万宝镇方言同音字汇 湖南人文科技学院学报 2021 年 3 月 第 38 卷 第 2 期				
IPA	调值	调类	字	
tsɿ	44	1	资姿咨兹芝滋	
tsɿ	31	3	紫只=脂止芷旨子滓梓址指纸趾	
tsɿ	45	5	至志制致痣誌緻只-	
tsʰɿ	44	1	雌痴疵摛[手～舞～:动手动脚]	
tsʰɿ	31	3	侈耻齿此眦[(搭理)]	
tsʰɿ	45	5	次刺□[(讨嫌)]□[～惯:溺爱]赐	
dzɿ	13	2	迟祠瓷词慈磁糍餈[～粑]辞匙嗣饲时	
dzɿ	22	6	豉[豆～]视誓巳寺祀士氏示仕市字恃逝自示痔事侍柿是	
sɿ	44	1	施司私思嘶斯丝撕厮蛳尸师狮诗	
sɿ	31	3	死史矢使驶始屎	
sɿ	45	5	势试四肆世式试驷	
pi	44	1	□[～子:瘫痪的人]	
pi	13	2	必笔逼壁-	
pi	31	3	比币彼	
pi	45	5	闭痹泌秘蔽秘毕碧毙臂	
pʰi	44	1	批披霹	
pʰi	13	2	避劈匹辟僻	
pʰi	31	3	痞鄙丕否[～极泰来]	
pʰi	45	5	癖屁庇	
bi	13	2	皮枇疲琵脾	
bi	22	6	被[～子]备鼻陛婢弊敝	
mi	44	1	咪□[～丝唧:一点点]搣[～开:剥开]□[～一下:用手捏]	
mi	13	2	眉迷谜糜靡弥	
mi	31	3	米美	
mi	45	5	密觅蜜闭[~起，只～～不做声:闭着嘴巴不说话]咩[羊～～:对羊的爱称]	
ti	44	1	低	
ti	13	2	的滴=敌	
ti	31	3	抵底	
ti	45	5	帝蒂滴[(量词):一些]	
tʰi	44	1	梯=踢	
tʰi	13	2	笛	
tʰi	31	3	体	
tʰi	45	5	剔剃替屉剔狄涕隶涤递	
di	13	2	堤-提梯-啼-蹄-题	
di	22	6	地弟第	
ȵi	44	1	聂日-	
ȵi	13	2	呢尼宜疑沂泥仪谊倪	
ȵi	31	3	拟你-蚁	
ȵi	45	5	捏镊孽逆匿溺腻	
ȵi	22	6	毅义艺议撵-[～碎:磨碎]□[～祸:无中生有]	
li	44	1	□[～衅:欺负]	
li	13	2	梨犁璃黎厘离篱	
li	31	3	李里理礼鲤狸	
li	45	5	力丽立栗粒笠莉厉励历□[伢～:小孩子]	
li	22	6	痢利例荔吏俐	
tsʰi	44	1	妻凄□[(偷看)]	
tsʰi	13	2	七膝	
tsʰi	45	5	戚	
si	44	1	犀西	
si	13	2	昔熄息婿携带惜锡=习媳袭席悉析夕	
si	31	3	洗	
si	45	5	细	
ʨi	44	1	机鸠肌激只蜘讥吸之支鸡羁击饥基知肢枝稽姬屐脊技□[灌～:化脓]	
ʨi	13	2	脐织吉迹汁质急侄级职执	
ʨi	31	3	挤几己纪杞	
ʨi	45	5	季系智置继记滞制栀冀济绩炙剂祭寄蛰既计	
ʨʰi	44	1	欺漆溪奚	
