汉字	ipa	声母	韵母	声调	
拍	pʰat51	pʰ	at	中（陰入）	51
八	ɓat51	ɓ	at	中（陰入）	51
發	fat51	f	at	中（陰入）	51
法	fat51	f	at	中（陰入）	51
髮	fat51	f	at	中（陰入）	51
挖	ʋat51	ʋ	at	中（陰入）	51
恰	tat51	t	at	中（陰入）	51
塌	tʰat51	tʰ	at	中（陰入）	51
塔	tʰat51	tʰ	at	中（陰入）	51
答	ɗat51	ɗ	at	中（陰入）	51
搭	ɗat51	ɗ	at	中（陰入）	51
窄	tʃat51	tʃ	at	中（陰入）	51
察	tʃat51	tʃ	at	中（陰入）	51
紮	tʃat51	tʃ	at	中（陰入）	51
札	tʃat51	tʃ	at	中（陰入）	51
扎	tʃat51	tʃ	at	中（陰入）	51
察	tʃʰat51	tʃʰ	at	中（陰入）	51
擦	tʃʰat51	tʃʰ	at	中（陰入）	51
刷	tʃʰat51	tʃʰ	at	中（陰入）	51
涮	tʃʰat51	tʃʰ	at	中（陰入）	51
插	tʃʰat51	tʃʰ	at	中（陰入）	51
澀	ȵat51	ȵ	at	中（陰入）	51
不	ȵat51	ȵ	at	中（陰入）	51
滑	ȵat51	ȵ	at	中（陰入）	51
殺	ʃat51	ʃ	at	中（陰入）	51
裌	kat51	k	at	中（陰入）	51
甲	kat51	k	at	中（陰入）	51
夾	kat51	k	at	中（陰入）	51
客	hat51	h	at	中（陰入）	51
押	øat51	ø	at	中（陰入）	51
鴨	øat51	ø	at	中（陰入）	51
接	tɐp51	t	ɐp	中（陰入）	51
貼	tʰɐp51	tʰ	ɐp	中（陰入）	51
帖	tʰɐp51	tʰ	ɐp	中（陰入）	51
協	ʃɐp51	ʃ	ɐp	中（陰入）	51
涉	ʃɐp51	ʃ	ɐp	中（陰入）	51
鴿	kɐp51	k	ɐp	中（陰入）	51
澀	kɐp51	k	ɐp	中（陰入）	51
怯	hɐp51	h	ɐp	中（陰入）	51
醃	jɐp51	j	ɐp	中（陰入）	51
刷	kʋiɛp51	kʋ	iɛp	中（陰入）	51
印	kʋiɛp51	kʋ	iɛp	中（陰入）	51
刮	kʋiɛp51	kʋ	iɛp	中（陰入）	51
壓	øiɛp51	ø	iɛp	中（陰入）	51
歹	øiɛp51	ø	iɛp	中（陰入）	51
好	øiɛp51	ø	iɛp	中（陰入）	51
割	kɐt51	k	ɐt	中（陰入）	51
渴	hɐt51	h	ɐt	中（陰入）	51
撇	pʰit51	pʰ	it	中（陰入）	51
潑	pʰit51	pʰ	it	中（陰入）	51
必	ɓit51	ɓ	it	中（陰入）	51
鼈	ɓit51	ɓ	it	中（陰入）	51
撥	ɓit51	ɓ	it	中（陰入）	51
沫	mit51	m	it	中（陰入）	51
抹	mit51	m	it	中（陰入）	51
雪	fit51	f	it	中（陰入）	51
闊	ʋit51	ʋ	it	中（陰入）	51
節	tit51	t	it	中（陰入）	51
鐵	tʰit51	tʰ	it	中（陰入）	51
切	tʰit51	tʰ	it	中（陰入）	51
脫	tʰit51	tʰ	it	中（陰入）	51
跌	ɗit51	ɗ	it	中（陰入）	51
列	lit51	l	it	中（陰入）	51
烈	lit51	l	it	中（陰入）	51
裂	lit51	l	it	中（陰入）	51
劣	lit51	l	it	中（陰入）	51
泄	ɬit51	ɬ	it	中（陰入）	51
薛	ɬit51	ɬ	it	中（陰入）	51
雪	ɬit51	ɬ	it	中（陰入）	51
哲	tʃit51	tʃ	it	中（陰入）	51
折	tʃit51	tʃ	it	中（陰入）	51
浙	tʃit51	tʃ	it	中（陰入）	51
拙	tʃit51	tʃ	it	中（陰入）	51
徹	tʃʰit51	tʃʰ	it	中（陰入）	51
撤	tʃʰit51	tʃʰ	it	中（陰入）	51
設	tʃʰit51	tʃʰ	it	中（陰入）	51
說	ʃit51	ʃ	it	中（陰入）	51
潔	kit51	k	it	中（陰入）	51
結	kit51	k	it	中（陰入）	51
歇	kʰit51	kʰ	it	中（陰入）	51
決	kʰit51	kʰ	it	中（陰入）	51
抉	kʰit51	kʰ	it	中（陰入）	51
噎	jit51	j	it	中（陰入）	51
乙	jit51	j	it	中（陰入）	51
拍	pʰak51	pʰ	ak	中（陰入）	51
窄	tʃak51	tʃ	ak	中（陰入）	51
隔	kak51	k	ak	中（陰入）	51
客	hak51	h	ak	中（陰入）	51
撲	pʰœk51	pʰ	œk	中（陰入）	51
博	ɓœk51	ɓ	œk	中（陰入）	51
駁	ɓœk51	ɓ	œk	中（陰入）	51
剝	mœk51	m	œk	中（陰入）	51
幕	mœk51	m	œk	中（陰入）	51
作	tœk51	t	œk	中（陰入）	51
託	tʰœk51	tʰ	œk	中（陰入）	51
托	tʰœk51	tʰ	œk	中（陰入）	51
錯	tʰœk51	tʰ	œk	中（陰入）	51
烙	lœk51	l	œk	中（陰入）	51
酪	lœk51	l	œk	中（陰入）	51
洛	lœk51	l	œk	中（陰入）	51
駱	lœk51	l	œk	中（陰入）	51
絡	lœk51	l	œk	中（陰入）	51
索	ɬœk51	ɬ	œk	中（陰入）	51
桌	tʃœk51	tʃ	œk	中（陰入）	51
捉	tʃœk51	tʃ	œk	中（陰入）	51
戳	tʃʰœk51	tʃʰ	œk	中（陰入）	51
角	kœk51	k	œk	中（陰入）	51
覺	kœk51	k	œk	中（陰入）	51
閣	kœk51	k	œk	中（陰入）	51
各	kœk51	k	œk	中（陰入）	51
郭	kœk51	k	œk	中（陰入）	51
國	kœk51	k	œk	中（陰入）	51
確	kʰœk51	kʰ	œk	中（陰入）	51
殼	hœk51	h	œk	中（陰入）	51
惡	øœk51	ø	œk	中（陰入）	51
嚼	tek51	t	ek	中（陰入）	51
鵲	tek51	t	ek	中（陰入）	51
削	ɬek51	ɬ	ek	中（陰入）	51
嚼	ɬek51	ɬ	ek	中（陰入）	51
鵲	ɬek51	ɬ	ek	中（陰入）	51
著	tʃek51	tʃ	ek	中（陰入）	51
重	tʃek51	tʃ	ek	中（陰入）	51
鵲	tʃʰek51	tʃʰ	ek	中（陰入）	51
喜	tʃʰek51	tʃʰ	ek	中（陰入）	51
腳	kek51	k	ek	中（陰入）	51
卻	kʰek51	kʰ	ek	中（陰入）	51
約	jek51	j	ek	中（陰入）	51
把	ɓa55	ɓ	a	陰上55	
媽	ma55	m	a	陰上55	
打	ɗa55	ɗ	a	陰上55	
灑	ʃa55	ʃ	a	陰上55	
耍	ʃa55	ʃ	a	陰上55	
假	ka55	k	a	陰上55	
真	ka55	k	a	陰上55	
放	ka55	k	a	陰上55	
寡	kʋa55	kʋ	a	陰上55	
啞	øa55	ø	a	陰上55	
頗	pʰo55	pʰ	o	陰上55	
伙	fo55	f	o	陰上55	
火	ʋo55	ʋ	o	陰上55	
左	to55	t	o	陰上55	
妥	tʰo55	tʰ	o	陰上55	
棵	lo55	l	o	陰上55	
顆	lo55	l	o	陰上55	
裹	lo55	l	o	陰上55	
鎖	ɬo55	ɬ	o	陰上55	
瑣	ɬo55	ɬ	o	陰上55	
阻	tʃo55	tʃ	o	陰上55	
礎	tʃʰo55	tʃʰ	o	陰上55	
所	ʃo55	ʃ	o	陰上55	
果	ko55	k	o	陰上55	
可	ho55	h	o	陰上55	
姊	tɛ55	t	ɛ	陰上55	
姐	tɛ55	t	ɛ	陰上55	
且	tʰɛ55	tʰ	ɛ	陰上55	
爹	ɗɛ55	ɗ	ɛ	陰上55	
寫	ɬɛ55	ɬ	ɛ	陰上55	
者	tʃɛ55	tʃ	ɛ	陰上55	
扯	tʃʰɛ55	tʃʰ	ɛ	陰上55	
捨	ʃɛ55	ʃ	ɛ	陰上55	
朵	ɗœ55	ɗ	œ	陰上55	
