片	区	小片	方言点	声母	韵母	调值	调类	备注
丫	桂南片	西南小片	扶綏(龍頭)	0	a	53	陰平	丫頭。
义	桂南片	西南小片	扶綏(龍頭)		iei	35	陰去	
乙	桂南片	西南小片	扶綏(龍頭)	ʔ	it	33	上陰入	
九	桂南片	西南小片	扶綏(龍頭)	k	ou	33	陰上	
云	桂南片	西南小片	扶綏(龍頭)	v	ən	21	陽平	
互	桂南片	西南小片	扶綏(龍頭)	h	ɔ	13	陽去	
亚	桂南片	西南小片	扶綏(龍頭)	0	a	35	陰去	
亮	桂南片	西南小片	扶綏(龍頭)	l	Eŋ	13	陽去	
今	桂南片	西南小片	扶綏(龍頭)	k	ɐm	53	陰平	
仍	桂南片	西南小片	扶綏(龍頭)	ŋ	eŋ	21	陽平	
付	桂南片	西南小片	扶綏(龍頭)	f	ou	13	陽去	
仰	桂南片	西南小片	扶綏(龍頭)	ŋ	Eŋ	11	陽上	
便	桂南片	西南小片	扶綏(龍頭)	p	in	21	陽平	便宜。
催	桂南片	西南小片	扶綏(龍頭)	tsʰ	œi	53	陰平	
凶	桂南片	西南小片	扶綏(龍頭)	h	ɔŋ	53	陰平	吉凶。
刷	桂南片	西南小片	扶綏(龍頭)	tsʰ	at	33	上陰入	
券	桂南片	西南小片	扶綏(龍頭)	kʷ	in	33	陰上	
加	桂南片	西南小片	扶綏(龍頭)	k	a	53	陰平	
努	桂南片	西南小片	扶綏(龍頭)	n	ɔ	11	陽上	
劲	桂南片	西南小片	扶綏(龍頭)	k	eŋ	35	陰去	勁敵。
劳	桂南片	西南小片	扶綏(龍頭)	l	au	21	陽平	
匠	桂南片	西南小片	扶綏(龍頭)	ts	Eŋ	13	陽去	
半	桂南片	西南小片	扶綏(龍頭)	p	un	35	陰去	
卑	桂南片	西南小片	扶綏(龍頭)	p	ei	53	陰平	
发	桂南片	西南小片	扶綏(龍頭)	f	at	33	上陰入	
句	桂南片	西南小片	扶綏(龍頭)	k	ɔu	53	陰平	
告	桂南片	西南小片	扶綏(龍頭)	k	au	35	陰去	
员	桂南片	西南小片	扶綏(龍頭)	v	in	21	陽平	
哥	桂南片	西南小片	扶綏(龍頭)	k	ɔ	53	陰平	
塞	桂南片	西南小片	扶綏(龍頭)	ɬ	ɐk	33	上陰入	
壤	桂南片	西南小片	扶綏(龍頭)	ŋ	Eŋ	21	陽平	土壤。
头	桂南片	西南小片	扶綏(龍頭)	t	ou	21	陽平	
奧	桂南片	西南小片	扶綏(龍頭)	0	au	35	陰去	
女	桂南片	西南小片	扶綏(龍頭)	n	ɤ	21	陽平	
