漢字	拼音	IPA	注釋	说明									
訝	gia5	ᵑɡia˨˩˧											
迓	gia5	ᵑɡia˨˩˧											
蝦	he2	hɛ˥˥											
嚇	hennh7	hɛ ̃ʔ˨											
嚇	heh7	hɛʔ˨	又										
霞	hia2	hia˥˥											
遐	hia2	hia˥˥											
瑕	hia2	hia˥˥											
下	ke4	kɛ˨˥	懸~										
下	e4	ɛ˨˥	白										
下	hia4	hia˨˥	文										
夏	he6	hɛ˩˩											
廈	he6	hɛ˩˩											
暇	hia2	hia˥˥											
暇	hia5	hia˨˩˧	又										
丫	a1	a˧˧											
鴉	a1	a˧˧											
啞	e3	ɛ˥˨											
亞	a1	a˧˧											
亞	a5	a˨˩˧	又										
姐	tsia3	tsia˥˨	小~										
姐	tse3	tsɛ˥˨	文										
借	tsieh7	tsieʔ˨											
且	tshiann3	tsʰia ̃˥˨											
藉	tsia4	tsia˨˥											
褯	tsoih7	tsoiʔ˨											
褯	tsia4	tsia˨˥	文										
些	se1	sɛ˧˧											
寫	sia3	sia˥˨											
瀉	sia5	sia˨˩˧											
卸	sia5	sia˨˩˧											
邪	sia2	sia˥˥											
斜	sia2	sia˥˥											
斜	sia1	sia˧˧	又										
謝	tsia6	tsia˩˩	白，姓氏										
謝	sia6	sia˩˩											
爹	tia1	tia˧˧											
遮	tsia1	tsia˧˧											
者	tsia3	tsia˥˨											
蔗	tsia5	tsia˨˩˧											
車	kur1	kə˧˧											
車	tshia1	tsʰia˧˧											
扯	tshe3	tsʰɛ˥˨											
蛇	tsua2	tsua˥˥											
射	sia6	sia˩˩											
奢	tshia1	tsʰia˧˧											
賒	tshia1	tsʰia˧˧											
舍	sia5	sia˨˩˧											
赦	sia5	sia˨˩˧											
社	sia	sia											
惹	dzia3	dzia˥˨											
耶	ia2	ia˥˥											
耶	ia6	ia˩˩	又										
耶	e6	ɛ˩˩	又										
椰	ia2	ia˥˥											
爺	ia2	ia˥˥											
冶	ia3	ia˥˨											
也	ia3	ia˥˨											
野	ia3	ia˥˨											
夜	ia6	ia˩˩											
傻	sa4	sa˨˥											
耍	sng3	səŋ˥˨	俗										
瓜	kue1	kuɛ˧˧											
蝸	ua1	ua˧˧											
寡	kua3	kua˥˨											
剮	kua3	kua˥˨											
咵	khua1	kʰua˧˧											
垮	khua1	kʰua˧˧											
跨	khua1	kʰua˧˧											
娃	ua1	ua˧˧											
瓦	hia4	hia˨˥	厝~										
瓦	hue3	huɛ˥˨	~刀										
瓦	ua1	ua˧˧	文										
瓦	ua3	ua˥˨	文										
花	hue1	huɛ˧˧											
花	hua1	hua˧˧	文										
化	hue5	huɛ˨˩˧											
化	hua5	hua˨˩˧	文										
華	hua2	hua˥˥											
華	hua1	hua˧˧	又										
蛙	ua1	ua˧˧											
窪	ua1	ua˧˧											
補	pou3	pou˥˨											
譜	phou3	pʰou˥˨											
布	pou5	pou˨˩˧											
布	pu5	pu˨˩˧	文										
鋪	phou5	pʰou˨˩˧											
普	phou3	pʰou˥˨											
浦	phou3	pʰou˥˨											
怖	pu5	pu˨˩˧											
菩	phu2	pʰu˥˥											
蒲	phu2	pʰu˥˥											
脯	pou3	pou˥˨											
部	pou4	pou˨˥											
簿	phou4	pʰou˨˥											
步	pou6	pou˩˩											
捕	pu4	pu˨˥											
埠	pou1	pou˧˧											
模	bou2	ᵐbou˥˥	白										
模	mo2	mo˥˥											
暮	mo4	mo˨˥											
墓	mo4	mo˨˥											
募	mo4	mo˨˥											
慕	mo4	mo˨˥											
都	tou1	tou˧˧											
堵	tu3	tu˥˨											
賭	tu3	tu˥˨											
妒	kou5	kou˨˩˧											
妒	tou5	tou˨˩˧											
蠹	tsu5	tsu˨˩˧	俗										
蠹	tu5	tu˨˩˧											
土	thou3	tʰou˥˨											
吐	thou5	tʰou˨˩˧											
兔	thou5	tʰou˨˩˧											
途	thu2	tʰu˥˥											
屠	tou2	tou˥˥											
圖	tou2	tou˥˥											
圖	thu2	tʰu˥˥	文										
徒	thu2	tʰu˥˥											
肚	tou3	tou˥˨											
肚	tou4	tou˨˥	牛~										
杜	tou4	tou˨˥											
度	tou6	tou˩˩											
渡	tou6	tou˩˩											
鍍	tou6	tou˩˩											
奴	nou2	nou˥˥											
奴	nou1	nou˧˧	又										
努	no5	no˨˩˧											
怒	no5	no˨˩˧											
盧	lou2	lou˥˥	白，姓氏										
盧	lu2	lu˥˥											
爐	lou2	lou˥˥											
鹵	lou3	lou˥˨											
魯	lu3	lu˥˨											
櫓	lou3	lou˥˨											
櫓	lou4	lou˨˥											
櫓	lu3	lu˥˨	文										
虜	lu3	lu˥˨											
露	lou5	lou˨˩˧	又										
露	lou6	lou˩˩											
路	lou6	lou˩˩											
賂	lu4	lu˨˥											
租	tsou1	tsou˧˧											
祖	tsou3	tsou˥˨											
組	tsu1	tsu˧˧											
做	tso5	tso˨˩˧											
粗	tshou1	tsʰou˧˧											
醋	tshou5	tsʰou˨˩˧											
錯	tsho5	tsʰo˨˩˧											
措	tshu5	tsʰu˨˩˧											
蘇	sou1	sou˧˧											
酥	sou1	sou˧˧											
素	sou5	sou˨˩˧	白，味~										
素	su5	su˨˩˧											
塑	sok7	sok˨											
訴	su5	su˨˩˧											
嗉	su5	su˨˩˧											
辜	kou1	kou˧˧	白，姓氏										
辜	ku1	ku˧˧											
孤	kou1	kou˧˧											
箍	khou1	kʰou˧˧											
姑	kou1	kou˧˧											
估	kou3	kou˥˨											
古	kou3	kou˥˨											
賈	kou3	kou˥˨											
股	kou3	kou˥˨											
鼓	kou3	kou˥˨											
蠱	ku3	ku˥˨											
故	ku5	ku˨˩˧											
顧	kou5	kou˨˩˧	白，姓氏										
顧	ku5	ku˨˩˧											
固	ku5	ku˨˩˧											
雇	kou5	kou˨˩˧											
枯	kou1	kou˧˧											
苦	khou3	kʰou˥˨											
庫	khou5	kʰou˨˩˧											
褲	khou5	kʰou˨˩˧											
梧	ngo2	ŋo˥˥											
吾	u2	u˥˥											
吳	gou2	ᵑɡou˥˥											
五	ngou4	ŋou˨˥											
五	ngou3	ŋou˥˨	文										
午	ngou3	ŋou˥˨											
伍	ngou3	ŋou˥˨											
悟	ngo4	ŋo˨˥											
誤	gou6	ᵑɡou˩˩											
呼	khou1	kʰou˧˧											
呼	hu1	hu˧˧	文										
虎	hounn3	ho ̃u ̃˥˨											
滸	hu3	hu˥˨											
戽	hou4	hou˨˥											
乎	hu1	hu˧˧											
壺	hu2	hu˥˥											
瓠	pu2	pu˥˥	俗										
瓠	hu4	hu˨˥											
胡	ou2	ou˥˥											
胡	hu2	hu˥˥	文										
狐	hou2	hou˥˥											
狐	hu2	hu˥˥	文										
湖	ou2	ou˥˥											
鈑	poinn3	po ̃i ̃˥˨											
鈑	pang3	paŋ˥˨	文										
戶	hou4	hou˨˥											
滬	hu4	hu˨˥											
互	hu4	hu˨˥											
護	hu4	hu˨˥											
烏	ou1	ou˧˧											
汙	u1	u˧˧											
塢	u1	u˧˧											
惡	oh7	oʔ˨	難										
惡	ak7	ak˨											
女	nng3	nəŋ˥˨											
女	ni3	ni˥˨	文，釣～										
廬	lou2	lou˥˥											
廬	lu2	lu˥˥	文										
驢	lur2	lə˥˥											
呂	lur4	lə˨˥											
侶	lur4	lə˨˥											
旅	li3	li˥˨											
慮	lur4	lə˨˥											
濾	lur4	lə˨˥											
蛆	tshur1	tsʰə˧˧											
蛆	tsu1	tsu˧˧	文										
疽	tsu1	tsu˧˧											
胥	su1	su˧˧											
絮	su4	su˨˥											
徐	tshur2	tsʰə˥˥											
序	su4	su˨˥											
緒	su4	su˨˥											
敘	su4	su˨˥											
豬	tur1	tə˧˧											
著	tu5	tu˨˩˧											
著	tieh8	tieʔ˥˦	又										
著	tieh7	tieʔ˨	又，沉~										
著	toh8	toʔ˥˦	～火										
褚	su3	su˥˨	姓氏										
褚	tu3	tu˥˨											
除	tur2	tə˥˥											
儲	thu2	tʰu˥˥											
苧	tiu4	tiu˨˥											
箸	tur6	tə˩˩											
阻	tso3	tso˥˨											
初	tshiu1	tsʰiu˧˧											
初	tsho1	tsʰo˧˧	文										
楚	tsho3	tsʰo˥˨											
鋤	tur2	tə˥˥											
鋤	thur2	tʰə˥˥	又										
鋤	tsho2	tsʰo˥˥	文										
疏	so1	so˧˧											
蔬	so1	so˧˧											
梳	siu1	siu˧˧											
所	so3	so˥˨											
諸	ta1	ta˧˧	~夫（男性）										
諸	tsu	tsu											
煮	tsur2	tsə˥˥											
處	tshu3	tsʰu˥˨											
書	tsur1	tsə˧˧											
舒	tshur1	tsʰə˧˧	~開										
舒	su1	su˧˧	文										
鼠	tshur3	tsʰə˥˨											
暑	su3	su˥˨											
黍	siu3	siu˥˨	白										
黍	su3	su˥˨											
庶	su5	su˨˩˨											
恕	su5	su˨˩˨											
墅	su3	su˥˨											
薯	tsur2	tsə˥˥											
署	su3	su˥˨											
如	dzu2	dzu˥˥											
汝	lur3	lə˥˨											
汝	dzur3	dzə˥˨	文										
居	kur1	kə˧˧											
居	kur1	kə˧˧											
車	kur1	kə˧˧											
舉	kur3	kə˥˨											
鋸	kur5	kə˨˩˧											
據	kur4	kə˨˥											
墟	hur1	hə˧˧											
去	khur5	kʰə˨˩˧											
渠	khur2	kʰə˥˥											
巨	kur4	kə˨˥											
距	kur4	kə˨˥											
拒	kur4	kə˨˥											
遽	kur4	kə˨˥											
魚	hur2	hə˥˥											
漁	hur2	hə˥˥											
語	gur3	ᵑɡə˥˨											
禦	ur4	ə˨˥											
禦	gur4	ᵑɡə˨˥	又										
虛	hur1	hə˧˧											
噓	hur1	hə˧˧											
許	khou3	kʰou˥˨	白，姓氏										
許	hur3	hə˥˨											
淤	ur5	ə˨˩˧											
於	i1	i˧˧											
餘	ur2	ə˥˥											
與	ur3	ə˥˨											
譽	ur4	ə˨˥											
預	ur4	ə˨˥											
豫	ur4	ə˨˥											
夫	pou1	pou˧˧	諸~										
夫	hu1	hu˧˧	文										
膚	hu1	hu˧˧											
甫	phou3	pʰou˥˨											
斧	pou3	pou˥˨											
府	hu3	hu˥˨											
腑	hu3	hu˥˨											
俯	hu3	hu˥˨											
賦	hu5	hu˨˩˧											
傅	pou5	pou˨˩˧											
傅	hu5	hu˨˩˧	文										
付	hu5	hu˨˩˧											
敷	pou1	pou˧˧											
敷	hu1	hu˧˧	文										
俘	hu1	hu˧˧											
撫	bu3	ᵐbu˥˨											
赴	hu5	hu˨˩˧											
訃	hu5	hu˨˩˧											
符	hu2	hu˥˥											
扶	hu2	hu˥˥											
釜	hu3	hu˥˨											
腐	hu1	hu˧˧											
腐	hu6	hu˩˩	又										
輔	hu4	hu˨˥											
父	pe4	pɛ˨˥											
父	hu4	hu˨˥	文										
父	hu3	hu˥˨	又										
附	hu5	hu˨˩˧											
毋	bo2	ᵐbo˥˥											
毋	m4	m˨˥	又										
巫	bu2	ᵐbu˥˥											
誣	bu2	ᵐbu˥˥											
無	bo2	ᵐbo˥˥											
無	bu2	ᵐbu˥˥											
舞	bu3	ᵐbu˥˨											
侮	bu3	ᵐbu˥˨											
武	bu3	ᵐbu˥˨											
鵡	bu3	ᵐbu˥˨											
霧	bu6	ᵐbu˩˩											
務	bu4	ᵐbu˨˥											
縷	lu3	lu˥˨											
屢	lu3	lu˥˨											
趨	tshu1	tsʰu˧˧											
取	tshu3	tsʰu˥˨											
娶	tshua6	tsʰua˩˩	俗										
娶	tshu3	tsʰu˥˨											
趣	tshu5	tsʰu˨˩˧											
聚	tsu4	tsu˨˥											
需	su1	su˧˧											
須	tshiu1	tsʰiu˧˧											
須	su1	su˧˧	文										
鎢	ou1	ou˧˧											
續	sok8	sok˥˦											
蛛	tu1	tu˧˧											
株	tu1	tu˧˧											
株	tsu1	tsu˧˧	文										
誅	tu1	tu˧˧											
誅	tsu1	tsu˧˧	文										
駐	tsu5	tsu˨˩˧											
注	tsu5	tsu˨˩˧											
廚	tou2	tou˥˥											
柱	thiou4	tʰiou˨˥											
住	tiu6	tiu˩˩											
住	tsu4	tsu˨˥	文										
芻	tshu1	tsʰu˧˧											
雛	tshu1	tsʰu˧˧											
數	siou5	siou˨˩˧											
數	su5	su˨˩˧	文										
珠	tsiu1	tsiu˧˧	白										
珠	tsu1	tsu˧˧											
朱	tsu1	tsu˧˧											
主	tsu3	tsu˥˨											
注	tsu5	tsu˨˩˧											
鑄	tsu5	tsu˨˩˧											
樞	khu1	kʰu˧˧											
輸	su1	su˧˧											
戍	sue5	suɛ˨˩˧											
殊	su2	su˥˥											
豎	su4	su˨˥											
樹	tshiu1	tsʰiu˧˧											
樹	su4	su˨˥	文										
儒	dzu2	dzu˥˥											
乳	dzu3	dzu˥˨											
拘	khu1	kʰu˧˧											
駒	khu1	kʰu˧˧											
俱	ku4	ku˨˥											
矩	kur3	kə˥˨											
句	ku5	ku˨˩˧											
區	khu1	kʰu˧˧											
驅	khu1	kʰu˧˧											
瞿	khur2	kʰə˥˥	姓氏										
瞿	kur4	kə˨˥											
具	ku4	ku˨˥											
懼	ku4	ku˨˥											
虞	ngo2	ŋo˥˥											
愚	ngo2	ŋo˥˥											
娛	gu2	ᵑɡu˥˥											
遇	ngo4	ŋo˨˥											
寓	ngo4	ŋo˨˥											
籲	u1	u˧˧											
迂	u1	u˧˧											
於	u1	u˧˧											
盂	hu2	hu˥˥											
雨	hou4	hou˨˥											
雨	u3	u˥˨	文										
禹	u3	u˥˨											
宇	u3	u˥˨											
羽	u3	u˥˨											
芋	ou6	ou˩˩											
逾	dzu2	dzu˥˥											
榆	dzu2	dzu˥˥											
愉	dzu2	dzu˥˥											
愈	dzu3	dzu˥˨											
喻	dzu4	dzu˨˥											
裕	dzu4	dzu˨˥											
獃	tai1	tai˧˧											
獃	ngai2	ŋai˥˥	又										
戴	ti5	ti˨˩˧											
