漢字	拼音	IPA	注釋	说明									
糶	thie5	tʰie˨˩˧											
條	tiou2	tiou˥˥											
調	thiou2	tʰiou˥˥											
掉	tiou6	tiou˩˩											
調	tiou6	tiou˩˩											
尿	dzie6	dzie˩˩											
聊	liou2	liou˥˥											
遼	liou2	liou˥˥											
撩	liou2	liou˥˥											
寥	liou2	liou˥˥											
廖	liou5	liou˨˩˧											
了	liou3	liou˥˨											
了	liou5	liou˨˩˧	又										
料	liou6	liou˩˩											
簫	siou1	siou˧˧											
蕭	siou1	siou˧˧											
嘯	sau5	sau˨˩˧											
澆	nau1	nau˧˧											
繳	kiou3	kiou˥˨											
叫	kie5	kie˨˩˧											
竅	khiou5	kʰiou˨˩˧											
堯	ngiou2	ŋiou˥˥											
曉	hiou3	hiou˥˨											
麼	moh7	moʔ˨											
杳	miou3	miou˥˨											
剖	phou1	pʰou˧˧	又										
剖	phou3	pʰou˥˨											
某	mong3	moŋ˥˨											
畝	bou3	ᵐbou˥˨											
牡	bou3	ᵐbou˥˨											
拇	bo3	ᵐbo˥˨											
母	m3	m˥˨	又										
母	bo3	ᵐbo˥˨											
茂	mong4	moŋ˨˥											
戊	bou6	ᵐbou˩˩											
貿	mong5	moŋ˨˩˧											
兜	tau1	tau˧˧											
斗	tau3	tau˥˨											
抖	tau3	tau˥˨											
陡	tau3	tau˥˨											
鬥	tau5	tau˨˩˧											
鬥	tou5	tou˨˩˧	文										
偷	thau1	tʰau˧˧											
透	thau5	tʰau˨˩˧											
頭	thau2	tʰau˥˥											
投	tau2	tau˥˥											
豆	tau6	tau˩˩											
逗	tau6	tau˩˩											
耨	no5	no˨˩˧											
耨	nau6	nau˩˩	文										
耨	dzok8	dzok˥˦	又										
樓	lau2	lau˥˥											
摟	lou3	lou˥˨											
簍	lau3	lau˥˨											
漏	lau6	lau˩˩											
漏	lau5	lau˨˩˧	又										
陋	lou4	lou˨˥											
走	tsau3	tsau˥˨											
奏	tsau5	tsau˨˩˧											
湊	tshou5	tsʰou˨˩˧											
叟	sou3	sou˥˨											
嗽	sau5	sau˨˩˧											
勾	kau1	kau˧˧											
鉤	kau1	kau˧˧											
溝	kau1	kau˧˧											
狗	kau3	kau˥˨											
苟	kou3	kou˥˨											
垢	kau3	kau˥˨											
垢	kou5	kou˨˩˧	文										
彀	kou5	kou˨˩˧											
夠	kau5	kau˨˩˧											
夠	kou5	kou˨˩˧	文										
構	kou5	kou˨˩˧											
購	kou5	kou˨˩˧											
媾	kou5	kou˨˩˧											
摳	khau1	kʰau˧˧											
口	khau3	kʰau˥˨											
叩	kha5	kʰa˨˩˧											
叩	khau5	kʰau˨˩˧	文										
扣	kha5	kʰa˨˩˧											
扣	khau5	kʰau˨˩˧	文										
寇	khou5	kʰou˨˩˧											
藕	kau4	kau˨˥											
偶	ngou3	ŋou˥˨											
吼	hau3	hau˥˨											
蔻	khou5	kʰou˨˩˧											
侯	kau2	kau˥˥											
侯	hau6	hau˩˩	又										
侯	hou2	hou˥˥	文，姓氏										
喉	au2	au˥˥											
猴	kau2	kau˥˥											
後	au4	au˨˥											
後	hau4	hau˨˥	~生										
后	hou4	hou˨˥											
厚	kau4	kau˨˥											
候	hau6	hau˩˩											
謳	au1	au˧˧											
歐	au1	au˧˧											
鷗	au1	au˧˧											
鷗	ou1	ou˧˧	文，汕頭~汀										
區	au1	au˧˧											
嘔	au3	au˥˨											
毆	au1	au˧˧											
毆	au3	au˥˨	又										
漚	au5	au˨˩˧											
漚	au1	au˧˧	又										
慪	au1	au˧˧											
否	hounn3	hou ̃˥˨											
富	pu5	pu˨˩˧											
副	hu5	hu˨˩˧											
浮	phu2	pʰu˥˥											
阜	hu4	hu˨˥											
負	hu4	hu˨˥											
婦	hu4	hu˨˥											
複	hok7	hok˨											
謀	mong2	moŋ˥˥											
矛	mau2	mau˥˥											
眸	mong2	moŋ˥˥											
紐	nau4	nau˨˥	白										
紐	niu3	niu˥˨											
扭	nau4	nau˨˥	白										
扭	niu3	niu˥˨											
留	lau2	lau˥˥											
留	liu2	liu˥˥	文										
榴	liu2	liu˥˥											
劉	lau2	lau˥˥											
流	lau2	lau˥˥											
流	liu2	liu˥˥	文										
硫	liu2	liu˥˥											
琉	liu2	liu˥˥											
柳	liu3	liu˥˨											
溜	lau5	lau˨˩˧	又										
溜	liu1	liu˧˧											
溜	liu5	liu˨˩˧	文										
揪	tshiu1	tsʰiu˧˧											
酒	tsiu3	tsiu˥˨											
秋	tshiu1	tsʰiu˧˧											
就	tsu4	tsu˨˥											
就	tsiu4	tsiu˨˥											
修	siu1	siu˧˧											
羞	siu1	siu˧˧											
秀	siu5	siu˨˩˧											
鏽	siu5	siu˨˩˧											
繡	siu5	siu˨˩˧											
宿	siu5	siu˨˩˧											
宿	siu6	siu˩˩	俗										
囚	tshiu2	tsʰiu˥˥											
袖	siu5	siu˨˩˧											
肘	tiu3	tiu˥˨											
晝	tau5	tau˨˩˧	白										
晝	tiu4	tiu˨˥											
抽	thiu1	tʰiu˧˧											
丑	thiu3	tʰiu˥˨											
綢	tiu2	tiu˥˥											
稠	tshiu2	tsʰiu˥˥											
籌	thiu2	tʰiu˥˥											
紂	tiu4	tiu˨˥											
宙	tiu4	tiu˨˥											
鄒	tsou1	tsou˧˧											
皺	niou5	niou˨˩˧											
皺	tsou5	tsou˨˩˧	文										
縐	niou5	niou˨˩˧											
縐	dziou5	dziou˨˩˧											
愁	tshou2	tsʰou˥˥											
驟	tsou4	tsou˨˥											
餿	siou1	siou˧˧											
搜	siou1	siou˧˧											
颼	siou1	siou˧˧											
颼	sou1	sou˧˧	文										
瘦	sang3	saŋ˥˨	訓										
瘦	sou3	sou˥˨											
漱	sok7	sok˨	又										
漱	tshiu5	tsʰiu˨˩˧											
周	tsiu1	tsiu˧˧											
舟	tsiu1	tsiu˧˧											
洲	tsiu1	tsiu˧˧											
州	tsiu1	tsiu˧˧											
帚	siu3	siu˥˨											
咒	tsiu5	tsiu˨˩˧											
醜	tshiu3	tsʰiu˥˨	又										
醜	thiu3	tʰiu˥˨											
臭	tshau5	tsʰau˨˩˧											
臭	hiunn5	hiu ̃˨˩˧											
收	siu1	siu˧˧											
手	tshiu3	tsʰiu˥˨											
首	siu3	siu˥˨											
守	siu3	siu˥˨											
獸	siu5	siu˨˩˧											
讎	tshiu2	tsʰiu˥˥											
酬	tshiu2	tsʰiu˥˥											
受	siu4	siu˨˥											
壽	siu6	siu˩˩											
授	siu4	siu˨˥											
售	tshiu2	tsʰiu˥˥											
柔	dziu2	dziu˥˥											
揉	dziu2	dziu˥˥											
鳩	kiu1	kiu˧˧											
鬮	kau1	kau˧˧											
九	kau3	kau˥˨											
九	kiu3	kiu˥˨	文										
久	ku3	ku˥˨											
韭	ku3	ku˥˨											
灸	ku5	ku˨˩˧											
究	kiu5	kiu˨˩˧											
救	kiu5	kiu˨˩˧											
丘	khu1	kʰu˧˧											
丘	khiu1	kʰiu˧˧											
求	khiu2	kʰiu˥˥											
球	kiu2	kiu˥˥											
仇	tshiu2	tsʰiu˥˥											
舅	ku4	ku˨˥											
臼	khu4	kʰu˨˥											
咎	kiu4	kiu˨˥											
舊	ku6	ku˩˩											
柩	kiu4	kiu˨˥											
牛	gu2	ᵑɡu˥˥											
休	hiunn1	hiu ̃˧˧											
朽	hiunn3	hiu ̃˥˨											
嗅	hiunn5	hiu ̃˨˩˧											
憂	iu1	iu˧˧											
優	iu1	iu˧˧											
尤	iu2	iu˥˥											
郵	iu2	iu˥˥											
有	u4	u˨˥											
有	iu3	iu˥˨											
友	iu3	iu˥˨											
又	iu4	iu˨˥											
右	iu4	iu˨˥											
宥	iu4	iu˨˥											
祐	iu4	iu˨˥											
油	iu2	iu˥˥											
遊	iu2	iu˥˥											
悠	hiunn1	hiu ̃˧˧											
悠	iu1	iu˧˧	又										
猶	iu2	iu˥˥											
由	iu2	iu˥˥											
酉	iu3	iu˥˨											
莠	iu3	iu˥˨											
誘	iu3	iu˥˨											
釉	iu2	iu˥˥											
柚	iu6	iu˩˩											
彪	piu1	piu˧˧											
謬	miu4	miu˨˥											
丟	tiu1	tiu˧˧											
糾	kiu4	kiu˨˥											
幽	hiunn1	hiu ̃˧˧											
幼	iunn5	iu ̃˨˩˧											
耽	tam1	tam˧˧											
貪	tham1	tʰam˧˧											
探	tham5	tʰam˨˩˧											
潭	tham2	tʰam˥˥											
譚	tham2	tʰam˥˥											
南	lam2	lam˥˥											
男	lam2	lam˥˥											
婪	lam2	lam˥˥											
簪	tsam1	tsam˧˧											
參	tsham1	tsʰam˧˧											
慘	tsham3	tsʰam˥˨											
蠶	tshoinn2	tsʰoi ̃˥˥											
感	kam3	kam˥˨											
堪	kham1	kʰam˧˧											
龕	kham1	kʰam˧˧											
坎	kham3	kʰam˥˨											
砍	kham3	kʰam˥˨											
勘	kham5	kʰam˨˩˧											
勘	kham1	kʰam˧˧	又										
湛	tam1	tam˧˧											
湛	kham1	kʰam˧˧	又，~江										
湛	tsam5	tsam˨˩˧	又										
含	kam2	kam˥˥											
含	ham2	ham˥˥	文										
函	ham2	ham˥˥											
撼	ham3	ham˥˨											
撼	ham4	ham˨˥	又										
憾	ham4	ham˨˥											
庵	am1	am˧˧											
諳	am1	am˧˧	又										
諳	am5	am˨˩˧											
暗	am5	am˨˩˧											
擔	tann1	ta ̃˧˧											
擔	tam1	tam˧˧	文										
膽	tann3	ta ̃˥˨											
擔	tann5	ta ̃˨˩˧											
坍	thang1	tʰaŋ˧˧											
毯	thang3	tʰaŋ˥˨											
痰	tham2	tʰam˥˥											
談	tham2	tʰam˥˥											
淡	tann4	ta ̃˨˥											
淡	tam4	tam˨˥											
藍	lam2	lam˥˥											
籃	nann2	na ̃˥˥											
欖	nann3	na ̃˥˨											
攬	lam3	lam˥˨											
覽	lam3	lam˥˨											
纜	lam3	lam˥˨											
濫	lam4	lam˨˥											
慚	tsham2	tsʰam˥˥											
暫	tsiam4	tsiɜm˨˥											
三	sann1	sa ̃˧˧											
三	sam1	sam˧˧	文										
柑	kann1	ka ̃˧˧											
泔	kam1	kam˧˧											
甘	kam1	kam˧˧											
敢	kann3	ka ̃˥˨											
橄	kann1	ka ̃˧˧											
橄	kann3	ka ̃˥˨											
瞰	kham3	kʰam˥˨											
蚶	ham1	ham˧˧											
喊	ham5	ham˨˩˧											
邯	ham1	ham˧˧											
酣	ham1	ham˧˧											
站	tsam4	tsam˨˥											
賺	thang5	tʰaŋ˨˩˧	訓“趁”										
賺	tsueng5	tsuɛŋ˨˩˧	文										
斬	tsam3	tsam˥˨											
蘸	tsam5	tsam˨˩˧											
讒	tsham2	tsʰam˥˥											
饞	tsham2	tsʰam˥˥											
杉	sam1	sam˧˧											
尷	kam1	kam˧˧											
減	kiam3	kiɜm˥˨											
鹻	kiam3	kiɜm˥˨											
鹹	kiam2	kiɜm˥˥											
咸	ham2	ham˥˥											
陷	ham6	ham˩˩											
攙	tsham1	tsʰam˧˧											
攙	tsham2	tsʰam˥˥	又										
懺	tshiam1	tsʰiɜm˧˧	俗										
懺	tsham5	tsʰam˨˩˧											
監	kam1	kam˧˧											
監	kam5	kam˨˩˧											
鑒	kam5	kam˨˩˧											
嵌	kham3	kʰam˥˨											
巖	ngam2	ŋam˥˥											
銜	kann2	ka ̃˥˥	白										
銜	ham2	ham˥˥											
艦	lam3	lam˥˨											
貶	phing3	pʰiŋ˥˨											
貶	pieng3	pieŋ˥˨	文										
黏	liam1	liɜm˧˧											
黏	liam2	liɜm˥˥	又										
廉	liam2	liɜm˥˥											
鐮	liam2	liɜm˥˥											
簾	liam2	liɜm˥˥											
奩	liam2	liɜm˥˥											
斂	liam3	liɜm˥˨											
殮	liam3	liɜm˥˨											
尖	tsiam1	tsiɜm˧˧											
殲	tshiam1	tsʰiɜm˧˧											
殲	tshiam2	tsʰiɜm˥˥	又										
簽	tshiam1	tsʰiɜm˧˧											
籤	tshiam1	tsʰiɜm˧˧											
僉	tshiam1	tsʰiɜm˧˧											
潛	tshiam2	tsʰiɜm˥˥											
漸	tsiam4	tsiɜm˨˥											
暹	siam2	siɜm˥˥											
纖	tshiam2	tsʰiɜm˥˥											
沾	tiam1	tiɜm˧˧											
粘	liam1	liɜm˧˧											
瞻	tsiam1	tsiɜm˧˧											
占	tsiam1	tsiɜm˧˧											
占	tsiam5	tsiɜm˨˩˧											
陝	siam3	siɜm˥˨											
閃	siam3	siɜm˥˨											
贍	tsiam1	tsiɜm˧˧											
染	ni3	ni˥˨	白										
染	dziam3	dziɜm˥˨											
冉	dziam3	dziɜm˥˨											
檢	kiam3	kiɜm˥˨											
臉	lieng3	lieŋ˥˨											
鉗	khiam2	kʰiɜm˥˥											
儉	khiam4	kʰiɜm˨˥											
驗	ngiam6	ŋiɜm˩˩											
險	hiam3	hiɜm˥˨											
淹	im1	im˧˧											
閹	iam1	iɜm˧˧											
掩	iam3	iɜm˥˨											
厭	iam5	iɜm˨˩˧											
炎	iam6	iɜm˩˩											
鹽	iam2	iɜm˥˥											
閻	ngiam2	ŋiɜm˥˥											
簷	tsinn2	tsi ̃˥˥	白										
簷	siam2	siɜm˥˥											
艷	iam6	iɜm˩˩											
焰	iam6	iɜm˩˩											
劍	kiam5	kiɜm˨˩˧											
欠	khiam5	kʰiɜm˨˩˧											
嚴	ngiam2	ŋiɜm˥˥											
儼	ngiam3	ŋiɜm˥˨											
釅	ngiam2	ŋiɜm˥˥											
鍁	hng1	hŋ˧˧											
鍁	hieng1	hieŋ˧˧	又										
崦	iam1	iɜm˧˧											
掂	tiam1	tiɜm˧˧											
點	tiam3	tiɜm˥˨											
墊	tieng4	tieŋ˨˥											
店	tiam5	tiɜm˨˩˧											
添	thinn1	tʰi ̃˧˧	白										
添	thiam1	tʰiɜm˧˧											
忝	thiam3	tʰiɜm˥˨											
舔	thiam3	tʰiɜm˥˨											
甜	tiam2	tiɜm˥˥											
拈	ninn1	ni ̃˧˧											
拈	liam1	liɜm˧˧											
鮎	liam2	liɜm˥˥											
念	liam4	liɜm˨˥	又										
念	liam6	liɜm˩˩											
僭	tshiam5	tsʰiɜm˨˩˧											
蒹	kiam1	kiɜm˧˧											
謙	khiam1	kʰiɜm˧˧											
歉	khiam3	kʰiɜm˥˨											
嫌	hiam2	hiɜm˥˥											
泛	huam5	huam˨˩˧											
凡	huam2	huam˥˥											
帆	phang2	pʰaŋ˥˥											
範	huam4	huam˨˥											
犯	huam4	huam˨˥											
梵	huam4	huam˨˥											
答	tap7	tap˨											
搭	tah7	taʔ˨											
踏	tah8	taʔ˥˦											
納	nap8	nap˥˦											
拉	la1	la˧˧											
雜	tsap8	tsap˥˦											
蛤	kap7	kap˨											
鴿	kap7	kap˨											
喝	huah7	huaʔ˨											
喝	uah7	uaʔ˨	又										
喝	tuah7	tuaʔ˨	俗										
喝	hak7	hak˨	文，~彩										
合	hah8	haʔ˥˦											
合	hap8	hap˥˦	文										
盒	ap8	ap˥˦											
榻	thap7	tʰap˨											
塔	thah7	tʰaʔ˨											
塌	thap8	tʰap˥˦											
臘	lah8	laʔ˥˦											
蠟	lah8	laʔ˥˦											
鑞	lah8	laʔ˥˦											
卅	sap7	sap˨											
磕	khap7	kʰap˨											
盍	khap7	kʰap˨											
盍	hap7	hap˨											
劄	tsap7	tsap˨											
眨	tsap7	tsap˨											
插	tshah7	tsʰaʔ˨											
插	tshap7	tsʰap˨	又										
閘	tsah8	tsaʔ˥˦											
煠	sah8	saʔ˥˦											
霎	siap7	siɜp˨											
夾	koih7	koiʔ˨											
夾	kiap8	kiɜp˥˦	文										
袷	koih7	koiʔ˨											
恰	khap7	kʰap˨											
掐	khap7	kʰap˨											
狹	oih8	oiʔ˥˦											
狹	hiap8	hiɜp˥˦	文										
峽	kiap7	kiɜp˨											
峽	hap8	hap˥˦	又，潮南~山										
洽	tsiap8	tsiɜp˥˦											
甲	kah7	kaʔ˨											
匣	ap8	ap˥˦											
狎	ap7	ap˨											
鴨	ah7	aʔ˨											
押	ah7	aʔ˨											
壓	iap7	iɜp˨											
聶	niap7	niɜp˨											
鑷	niap7	niɜp˨											
獵	lah8	laʔ˥˦											
接	tsih7	tsiʔ˨											
接	tsiap7	tsiɜp˨	文										
妾	tshiap7	tsʰiɜp˨											
捷	tsiap8	tsiɜp˥˦											
輒	tiek7	tiek˨											
摺	tsih7	tsiʔ˨											
摺	dzih7	dziʔ˨	又										
攝	niap7	niɜp˨											
涉	siap8	siɜp˥˦											
靨	iap7	iɜp˨											
葉	hieh8	hieʔ˥˦											
葉	iap8	iɜp˥˦	又，姓氏										
葉	hiap8	hiɜp˥˦	文										
劫	kiap8	kiɜp˥˦											
怯	khiap7	kʰiɜp˨											
業	ngiap8	ŋiɜp˥˦											
脅	hiap8	hiɜp˥˦											
貼	thiap7	tʰiɜp˨											
帖	thiap7	tʰiɜp˨											
疊	thah8	tʰaʔ˥˦											
疊	thiap8	tʰiɜp˥˦	文										
牒	tiap8	tiɜp˥˦											
蝶	tiap8	tiɜp˥˦											
諜	tiap8	tiɜp˥˦											
協	hiap8	hiɜp˥˦											
俠	hiap8	hiɜp˥˦											
挾	hiap8	hiɜp˥˦											
法	huap7	huap˨											
乏	huek8	huɛk˥˦											
乏	hek8	hɛk˥˦	又										
乏	hak8	hak˥˦	又										
稟	ping3	piŋ˥˨											
品	ping3	piŋ˥˨											
賃	dzim3	dzim˥˨											
賃	dzim4	dzim˨˥	又										
林	lim2	lim˥˥											
淋	lam2	lam˥˥	白										
淋	lim2	lim˥˥											
臨	lim2	lim˥˥											
凜	lim3	lim˥˨											
廩	lim3	lim˥˨											
浸	tsim5	tsim˨˩˧											
侵	tshim2	tsʰim˥˥											
寢	tshim3	tsʰim˥˨											
寢	tsim3	tsim˥˨	又										
蕈	tshim2	tsʰim˥˥											
蕈	tshim4	tsʰim˨˥	又										
心	sim1	sim˧˧											
尋	tshim2	tsʰim˥˥											
琛	tim1	tim˧˧											
沉	tim2	tim˥˥											
朕	tim4	tim˨˥											
簪	tsam1	tsam˧˧											
岑	ngim2	ŋim˥˥											
岑	tsham2	tsʰam˥˥											
森	siam1	siɜm˧˧											
參	siam1	siɜm˧˧											
滲	tsham1	tsʰam˧˧											
針	tsam1	tsam˧˧											
斟	tsim1	tsim˧˧											
枕	tsim3	tsim˥˨											
葚	sim4	sim˨˥											
深	tshim1	tsʰim˧˧											
瀋	sim3	sim˥˨											
審	sim3	sim˥˨											
嬸	sim3	sim˥˨											
甚	sim3	sim˥˨											
壬	dzim4	dzim˨˥											
任	dzim4	dzim˨˥											
妊	dzim4	dzim˨˥											
今	kim1	kim˧˧											
金	kim1	kim˧˧											
襟	kim1	kim˧˧											
禁	kim1	kim˧˧											
錦	kim3	kim˥˨											
禁	kim5	kim˨˩˧											
欽	khim1	kʰim˧˧											
琴	khim2	kʰim˥˥											
禽	khim2	kʰim˥˥											
擒	khim2	kʰim˥˥											
吟	ngim2	ŋim˥˥											
音	im1	im˧˧											
陰	im1	im˧˧											
飲	am3	am˥˨	白，糜~										
飲	im3	im˥˨											
蔭	im1	im˧˧											
窨	im5	im˨˩˧											
淫	im2	im˥˥											
立	lip8	lip˥˦											
粒	liap8	liɜp˥˦											
緝	tsip7	tsip˨											
集	tsip8	tsip˥˦											
輯	tsip7	tsip˨											
習	sip8	sip˥˦											
襲	sip8	sip˥˦											
蟄	tek8	tɛk˥˦											
澀	siap7	siɜp˨											
汁	tsap7	tsap˨											
執	tsip7	tsip˨											
濕	tsap7	tsap˨											
濕	sip7	sip˨											
十	tsap8	tsap˥˦											
什	sip8	sip˥˦											
什	sim2	sim˥˥	又										
拾	sip8	sip˥˦											
入	dzip8	dzip˥˦											
急	kip7	kip˨											
級	khip7	kʰip˨											
汲	khip7	kʰip˨											
給	kip7	kip˨											
泣	khip7	kʰip˨											
及	kip8	kip˥˦											
吸	khip7	kʰip˨											
邑	ip7	ip˨											
揖	ip7	ip˨											
丹	tuann1	tua ̃˧˧	白，牡~										
丹	tang1	taŋ˧˧											
單	tuann1	tua ̃˧˧											
單	sieng2	sieŋ˥˥	又										
單	sieng4	sieŋ˨˥	又										
旦	tuann5	tua ̃˨˩˧	白，花~										
旦	tang5	taŋ˨˩˧											
灘	thuann1	tʰua ̃˧˧											
攤	thuann1	tʰua ̃˧˧											
坦	thang3	tʰaŋ˥˨											
歎	thang5	tʰaŋ˨˩˧											
炭	thuann5	tʰua ̃˨˩˧											
檀	thang2	tʰaŋ˥˥											
壇	tuann2	tua ̃˥˥											
壇	tham2	tʰam˥˥	文										
彈	thang2	tʰaŋ˥˥											
誕	tang5	taŋ˨˩˧											
但	tang4	taŋ˨˥											
彈	tuann6	tua ̃˩˩	白，~掉										
蛋	tuann1	tua ̃˧˧	白										
蛋	nng4	nəŋ˨˥	俗，訓“卵”										
蛋	tang5	taŋ˨˩˧											
憚	tang4	taŋ˨˥											
難	lang2	laŋ˥˥											
難	lang6	laŋ˩˩	又										
蘭	lang2	laŋ˥˥											
攔	lang2	laŋ˥˥											
欄	lang2	laŋ˥˥											
懶	lang3	laŋ˥˨											
爛	nua6	nua˩˩											
爛	nua5	nua˨˩˧	又										
爛	lang4	laŋ˨˥	文										
贊	tsang5	tsaŋ˨˩˧											
餐	tshang1	tsʰaŋ˧˧											
燦	tshang5	tsʰaŋ˨˩˧											
殘	tshang2	tsʰaŋ˥˥											
珊	sang1	saŋ˧˧											
散	suann3	sua ̃˥˨											
傘	suann5	sua ̃˨˩˧											
散	suann5	sua ̃˨˩˧											
肝	kuann1	kua ̃˧˧											
竿	ko1	ko˧˧	訓										
竿	kuann1	kua ̃˧˧											
竿	kang1	kaŋ˧˧	文										
乾	kuann1	kua ̃˧˧											
乾	kang1	kaŋ˧˧	文										
杆	kuann1	kua ̃˧˧											
杆	kang1	kaŋ˧˧	文										
稈	kuann1	kua ̃˧˧											
稈	kang3	kaŋ˥˨	文										
擀	kang3	kaŋ˥˨											
趕	kuann3	kua ̃˥˨											
幹	kang5	kaŋ˨˩˧											
看	khuann5	kʰua ̃˨˩˧											
看	thoinn3	tʰoi ̃˥˨	又，訓“睇”										
刊	khang1	kʰaŋ˧˧											
侃	khang3	kʰaŋ˥˨											
看	khang1	kʰaŋ˧˧											
岸	ngai4	ŋai˨˥											
岸	huann6	hua ̃˩˩	又										
鼾	huann2	hua ̃˥˥											
鼾	hang1	haŋ˧˧	文										
罕	hang3	haŋ˥˨											
漢	hang5	haŋ˨˩˧											
寒	kuann2	kua ̃˥˥											
寒	hang2	haŋ˥˥	文										
韓	hang2	haŋ˥˥											
旱	uann4	ua ̃˨˥											
汗	kuann6	kua ̃˩˩											
汗	hang3	haŋ˥˨	文										
汗	hang2	haŋ˥˥	又										
翰	hang2	haŋ˥˥											
安	uann1	ua ̃˧˧											
安	ang1	aŋ˧˧	文										
鞍	uann1	ua ̃˧˧											
按	ang5	aŋ˨˩˧											
案	uann5	ua ̃˨˩˧											
案	ang5	aŋ˨˩˧											
扮	pueng5	puɛŋ˨˩˧											
扮	pang5	paŋ˨˩˧	又										
盼	phang5	pʰaŋ˨˩˧											
瓣	phieng5	pʰieŋ˨˩˧											
瓣	hah7	haʔ˨	俗										
辦	phoinn6	pʰoi ̃˩˩											
辦	pang6	paŋ˩˩	文										
綻	teng4	tɛŋ˨˥											
盞	tsuann3	tsua ̃˥˨											
鏟	tshang3	tsʰaŋ˥˨											
潺	tshang2	tsʰaŋ˥˥											
山	suann1	sua ̃˧˧											
產	suann3	sua ̃˥˨											
艱	kang1	kaŋ˧˧											
間	koinn1	koi ̃˧˧											
間	kang1	kaŋ˧˧	文										
簡	kang3	kaŋ˥˨											
揀	koinn3	koi ̃˥˨											
柬	kang3	kaŋ˥˨											
間	koinn5	koi ̃˨˩˧											
眼	oinn3	oi ̃˥˨	白，龍~										
眼	ngang3	ŋaŋ˥˨											
閑	oinn2	oi ̃˥˥											
限	hang4	haŋ˨˥											
莧	hoinn6	hoi ̃˩˩											
班	pang1	paŋ˧˧											
頒	pang1	paŋ˧˧											
板	poinn3	poi ̃˥˨	白										
板	pang3	paŋ˥˨											
版	pang3	paŋ˥˨											
攀	phang1	pʰaŋ˧˧											
扳	pang3	paŋ˥˨											
襻	phang5	pʰaŋ˨˩˧											
蠻	mang2	maŋ˥˥											
慢	mang6	maŋ˩˩											
棧	tsang5	tsaŋ˨˩˧											
刪	sang1	saŋ˧˧											
訕	sang5	saŋ˨˩˧											
疝	sang5	saŋ˨˩˧											
奸	kang1	kaŋ˧˧											
姦	kang3	kaŋ˥˨											
諫	kang5	kaŋ˨˩˧											
顏	ngueng2	ŋuɛŋ˥˥											
顏	ngang2	ŋaŋ˥˥	又										
顏	hiann2	hia ̃˥˥	又										
雁	ngang4	ŋaŋ˨˥											
晏	uann5	ua ̃˨˩˧	白										
晏	ang5	aŋ˨˩˧											
編	phieng1	pʰieŋ˧˧											
鞭	pieng1	pieŋ˧˧											
變	pinn5	pi ̃˨˩˧	白										
變	pieng5	pieŋ˨˩˧											
篇	phieng1	pʰieŋ˧˧											
偏	phieng1	pʰieŋ˧˧											
騙	phieng5	pʰieŋ˨˩˧											
便	phinn1	pʰi ̃˧˧											
便	phieng1	pʰieŋ˧˧	又										
辨	pieng4	pieŋ˨˥											
辯	pieng4	pieŋ˨˥											
便	pieng4	pieŋ˨˥											
汴	pieng4	pieŋ˨˥											
綿	mieng2	mieŋ˥˥											
免	ming3	miŋ˥˨											
勉	mieng5	mieŋ˨˩˧											
娩	mieng7	mieŋ˨											
緬	mieng2	mieŋ˥˥											
面	ming6	miŋ˩˩											
麵	minn6	mi ̃˩˩											
碾	tieng3	tieŋ˥˨											
連	lieng2	lieŋ˥˥											
聯	lieng2	lieŋ˥˥											
輦	ling3	liŋ˥˨											
煎	tsieng1	tsieŋ˧˧											
剪	tsieng3	tsieŋ˥˨											
箭	tsinn5	tsi ̃˨˩˧											
濺	tsieng1	tsieŋ˧˧											
濺	tsieng3	tsieŋ˥˨											
遷	tshieng1	tsʰieŋ˧˧											
淺	tshieng3	tsʰieŋ˥˨											
錢	tsinn2	tsi ̃˥˥											
踐	tsieng3	tsieŋ˥˨											
賤	tsuann6	tsua ̃˩˩											
仙	sieng1	sieŋ˧˧											
鮮	tshinn1	tsʰi ̃˧˧											
鮮	sieng3	sieŋ˥˨											
癬	sieng3	sieŋ˥˨											
線	suann5	sua ̃˨˩˧											
涎	nuann4	nua ̃˨˥	俗										
涎	ieng4	ieŋ˨˥											
羨	ieng4	ieŋ˨˥											
展	tieng3	tieŋ˥˨											
纏	tinn2	ti ̃˥˥											
氈	tsinn1	tsi ̃˧˧											
戰	tsieng5	tsieŋ˨˩˧											
顫	tsieng5	tsieŋ˨˩˧											
膻	tsieng1	tsieŋ˧˧	俗										
膻	sang1	saŋ˧˧											
扇	sinn5	si ̃˨˩˧											
扇	sieng5	sieŋ˨˩˧	文										
蟬	siam2	siɜm˥˥											
蟬	sung2	suŋ˥˥	俗										
禪	siam2	siɜm˥˥											
禪	sieng2	sieŋ˥˥	又										
善	sieng4	sieŋ˨˥											
膳	sieng4	sieŋ˨˥											
擅	sieng4	sieŋ˨˥											
禪	sieng4	sieŋ˨˥											
然	dzieng2	dzieŋ˥˥											
燃	hiann2	hia ̃˥˥	白										
燃	dzieng2	dzieŋ˥˥											
遣	tshieng3	tsʰieŋ˥˨											
乾	khieng2	kʰieŋ˥˥											
虔	khieng2	kʰieŋ˥˥											
件	kiann4	kia ̃˨˥											
諺	ngang4	ŋaŋ˨˥											
焉	ieng1	ieŋ˧˧											
延	ieng4	ieŋ˨˥											
筵	ieng4	ieŋ˨˥											
演	ing2	iŋ˥˥											
建	kieng4	kieŋ˨˥											
建	kieng5	kieŋ˨˩˧	又，福~										
鍵	kieng4	kieŋ˨˥											
