聲母	韻母	聲調	漢字	註釋
ts	ɿ	[1]	資	
ts	ɿ	[1]	姿	
ts	ɿ	[1]	咨	
ts	ɿ	[1]	茲	
ts	ɿ	[1]	滋	
ts	ɿ	[2]	瓷	
ts	ɿ	[2]	鷀	
ts	ɿ	[2]	慈	
ts	ɿ	[2]	詞	
ts	ɿ	[2]	祠	
ts	ɿ	[2]	辭	
ts	ɿ	[3]	梓	
ts	ɿ	[3]	紫	
ts	ɿ	[3]	子	
ts	ɿ	[4]	漬	
ts	ɿ	[5]	自	
ts	ɿ	[5]	字	
ts	ɿ	[5]	寺	
ts	ɿ	[5]	似	
ts	ɿ	[5]	巳	
ts	ɿ	[5]	祀	
ts	ɿ	[5]	飼	
ts	ɿ	[5]	伺	
tsʰ	ɿ	[1]	雌	
tsʰ	ɿ	[1]	疵	
tsʰ	ɿ	[3]	此	
tsʰ	ɿ	[4]	次	
tsʰ	ɿ	[4]	翅	
tsʰ	ɿ	[4]	刺	
s	ɿ	[1]	司	
s	ɿ	[1]	絲	
s	ɿ	[1]	撕	
s	ɿ	[1]	思	
s	ɿ	[1]	斯	
s	ɿ	[1]	廝	
s	ɿ	[1]	私	
s	ɿ	[3]	死	
s	ɿ	[5]	四	
s	ɿ	[5]	肆	
s	ɿ	[5]	賜	
p	i	[1]	屄	
p	i	[2]	脾	
p	i	[2]	皮	
p	i	[2]	琵	
p	i	[2]	枇	
p	i	[3]	比	
p	i	[3]	彼	
p	i	[3]	譬	
p	i	[5]	庇	
p	i	[5]	痹	
p	i	[5]	箅	
p	i	[5]	篦	
p	i	[6]	鼻	
p	i	[6]	備	
p	i	[6]	敝	
p	i	[6]	被	動
p	i	[6]	斃	
p	i	[6]	幣	
p	i	[6]	弊	
p	i	[7]	筆	
p	i	[7]	壁	
p	i	[7]	逼	
p	i	[7]	碧	
pʰ	i	[1]	披	
pʰ	i	[1]	疲	
pʰ	i	[3]	鄙	
pʰ	i	[3]	榧	
pʰ	i	[3]	否	（白）
pʰ	i	[5]	屁	
pʰ	i	[7]	避	
pʰ	i	[7]	匹	
pʰ	i	[7]	闢	
pʰ	i	[7]	辟	
pʰ	i	[7]	劈	
pʰ	i	[7]	霹	
m	i	[1]	眯	
m	i	[2]	迷	
m	i	[2]	謎	
m	i	[2]	靡	
m	i	[2]	彌	
m	i	[2]	糜	
m	i	[6]	咪	
m	i	[6]	米	
f	i	[1]	飛	
f	i	[1]	緋	
f	i	[1]	非	
f	i	[1]	妃	
f	i	[2]	肥	
f	i	[2]	微	
f	i	[3]	匪	
f	i	[3]	菲	
t	i	[6]	地	
t	i	[7]	笛	
t	i	[7]	敵	
t	i	[7]	的	目～
tʰ	i	[7]	剔	
tʰ	i	[7]	踢	（文）
n	i	[7]	溺	（文）
l	i	[1]	哩	
l	i	[2]	來	
l	i	[2]	黎	
l	i	[2]	犁	
l	i	[2]	璃	
l	i	[2]	釐	
l	i	[2]	蜊	
l	i	[2]	梨	
l	i	[2]	籬	
l	i	[3]	裏	內～
l	i	[4]	里	
l	i	[4]	理	
l	i	[4]	鯉	
l	i	[4]	履	
l	i	[4]	李	
l	i	[6]	慮	
l	i	[6]	濾	（文）
l	i	[6]	蠣	
l	i	[6]	勵	
l	i	[6]	厲	
l	i	[6]	累	
l	i	[6]	淚	
l	i	[6]	吏	
l	i	[6]	利	
l	i	[6]	痢	
l	i	[6]	麗	
l	i	[6]	隸	
l	i	[7]	力	
l	i	[7]	歷	
l	i	[7]	曆	
l	i	[7]	滴	
l	i	[7]	嫡	
tɕ	i	[1]	脂	
tɕ	i	[1]	之	
tɕ	i	[1]	支	
tɕ	i	[1]	知	
tɕ	i	[1]	肢	
tɕ	i	[1]	芝	
tɕ	i	[2]	池	
tɕ	i	[2]	臍	
tɕ	i	[2]	遲	
tɕ	i	[2]	馳	
tɕ	i	[3]	子	
tɕ	i	[3]	址	
tɕ	i	[3]	汁	
tɕ	i	[3]	止	
tɕ	i	[3]	指	
tɕ	i	[3]	姊	
tɕ	i	[3]	旨	
tɕ	i	[3]	只	
tɕ	i	[5]	至	
tɕ	i	[5]	志	
tɕ	i	[5]	致	
tɕ	i	[5]	智	
tɕ	i	[5]	痣	
tɕ	i	[5]	置	
tɕ	i	[6]	治	
tɕ	i	[6]	稚	
tɕ	i	[6]	雉	
tɕ	i	[7]	隻	
tɕ	i	[7]	績	
tɕ	i	[7]	跡	
tɕ	i	[7]	積	
tɕ	i	[7]	直	
tɕ	i	[7]	席	
tɕ	i	[7]	植	
tɕ	i	[7]	炙	
tɕ	i	[7]	擲	
tɕ	i	[7]	蟄	
tɕʰ	i	[1]	癡	
tɕʰ	i	[1]	篩	
tɕʰ	i	[1]	嗤	
tɕʰ	i	[3]	齒	
tɕʰ	i	[3]	恥	
tɕʰ	i	[5]	試	
tɕʰ	i	[7]	赤	
tɕʰ	i	[7]	戚	
tɕʰ	i	[7]	尺	
tɕʰ	i	[7]	緝	
ɕ	i	[1]	施	
ɕ	i	[1]	屍	
ɕ	i	[1]	詩	
ɕ	i	[2]	時	
ɕ	i	[3]	死	
ɕ	i	[3]	屎	
ɕ	i	[3]	始	
ɕ	i	[3]	失	
ɕ	i	[4]	是	
ɕ	i	[4]	視	
ɕ	i	[6]	氏	
ɕ	i	[6]	示	
ɕ	i	[6]	市	
ɕ	i	[6]	恃	
ɕ	i	[6]	侍	
ɕ	i	[6]	峙	
ɕ	i	[7]	拭	
ɕ	i	[7]	食	
ɕ	i	[7]	式	
ɕ	i	[7]	惜	
ɕ	i	[7]	昔	
ɕ	i	[7]	適	
ɕ	i	[7]	石	
ɕ	i	[7]	錫	
ɕ	i	[7]	碩	
k	i	[1]	稽	
k	i	[1]	飢	
k	i	[1]	基	
k	i	[1]	機	
k	i	[1]	姬	
k	i	[1]	箕	
