id	ini	fn	pt	單字	ipa调类	ipa调号	注釋						ɔ	184
1	t	ɔ	33	多	tɔ33	tɔ1	～少						ai	88
2	tsʰ	ɔ	33	拖	tsʰɔ33	tsʰɔ1	～拉机						a	112
4	tʰ	ɔ	25	駝	tʰɔ25	tʰɔ9	骆～						i	334
5	tʰ	ɔ	25	舵	tʰɔ25	tʰɔ9	～手						ia	12
6	tʰ	ai	31	大	tʰai31	tʰai3	～夫，～黄						am	43
7	n	a	25	挪	na25	na9	～用公款						iœ	3
8	n	ai	25	哪	nai25	nai9	～里						ɛ	56
10	t	i	25	那	ti25	ti9	白读						ɔk	80
11	l	ɔ	25	羅	lɔ25	lɔ9	姓						ɔŋ	43
12	l	ɔ	25	鑼	lɔ25	lɔ9	～鼓						an	188
13	l	ɔ	25	箩	lɔ25	lɔ9	～筐						ɐi	170
15	k	ia	33	□	kia33	kia1	辅佐						ɐm	45
16	k	ɔ	33	歌	kɔ33	kɔ1	唱～，～声						ɐŋ	1
17	k	ɔ	451	哥	kɔ451	kɔ5	大～，学生～						ɐn	393
19	k	ai	451	個	kai451	kai5	我～（我的）						ian	173
20	h	ɔ	31	可	hɔ31	hɔ3	～能，许～证						æk	79
21	ŋ	ɔ	25	蛾	ŋɔ25	ŋɔ9	飞～扑火						ɪt	2
22	ŋ	ɔ	25	鵝	ŋɔ25	ŋɔ9	天～						ɐt	187
23	ŋ	ɔ	25	俄	ŋɔ25	ŋɔ9	～罗斯						ɛt	1
24	ŋ	ɔ	33	我	ŋɔ33	ŋɔ1	自～[文]						0	0
25	ŋ	ai	25	我	ŋai25	ŋai9	涯，第一人称[白]						ua	8
26	ŋ	ɔ	31	餓	ŋɔ31	ŋɔ3	饥～						u	160
27	h	ɔ	25	荷	hɔ25	hɔ9	～花；薄～						ŋ̍	9
28	t	am	33	担	tam33	tam1	挑，～担，～东西[白]						iɛu	4
29	h	ɔ	25	河	hɔ25	hɔ9	黄～						ə	48
30	h	ɔ	25	何	hɔ25	hɔ9	姓；如～						eŋ	25
31	h	ɔ	31	賀	hɔ31	hɔ3	祝～，～礼						ok	87
32		ɔ	33	阿	ɔ33	ʔɔ1	～胶；～弥陀佛						ui	64
33		a	33	阿	a33	ʔa1	～爸						ɔi	72
34	kʰ	iœ	25	茄	kʰiœ25	kʰiœ9	茄子；番～						iam	16
35	kʰ	iœ	25	茄	kʰiœ25	kʰiœ9	雪～						uai	6
36	p	ɔ	33	波	pɔ33	pɔ1	风～，～浪						uɐi	3
37	p	ɔ	33	菠	pɔ33	pɔ1	～菜						au	112
38	p	ɛ	33	跛	pɛ33	pɛ1	～脚（跛足）[训]						ɐu	23
39	p	ɔ	451	簸	pɔ451	pɔ5	～箕甲（蛇），～谷						iau	87
40	p	ɔ	451	簸	pɔ451	pɔ5	颠～						ɐp	19
42	pʰ	ɔ	33	坡	pʰɔ33	pʰɔ1	山～，～度						əu	55
43	p	ɔ	33	玻	pɔ33	pɔ1	～璃						iu	19
44	pʰ	ɔ	451	破	pʰɔ451	pʰɔ5	～坏						on	45
45	pʰ	ɔ	25	婆	pʰɔ25	pʰɔ9	老～						æp	8
46	pʰ	ɔk	33	薄	pʰɔk33	pʰɔk1	～荷						iɛp	22
47	m	ɔ	33	魔	mɔ33	mɔ1	～术，～鬼						em	33
48	n	ɔ	213	磨	nɔ213	nɔ2	～刀，水～[动]						æn	1
49	l	ɔŋ	25	□	lɔŋ25	lɔŋ9	磨(豆浆)[动]						ɔn	252
50	ɬ	a	25	□	ɬa25	ɬa9	摩擦						iɛt	74
51	l	ɔŋ	25	□	lɔŋ25	lɔŋ9	石磨[名词]						iɐm	8
52	kʰ	ɔŋ	33	朶	kʰɔŋ33	kʰɔŋ1	一～花，花～						un	38
53	s	an	31	躱	san31	san3	～避，～开						y	1
54	ts	am	31	斬	tsam31	tsam3	～猪肉，～肉丸						iœt	10
55	ŋ	am	33	啱	ŋam33	ŋam1	～当						uk	8
56	tʰ	ɔ	25	椭	tʰɔ25	tʰɔ9	～圆						iɐt	1
57	s	ɐi	21	唾	sɐi213	sɐi2	～弃，～液						iœn	47
58	tʰ	ɔ	31	惰	tʰɔ31	tʰɔ3	～性						iœk	2
59	n	ɔ	31	糯	nɔ31	nɔ3	～米						iœŋ	5
60	l	ɔ	25	騾	lɔ25	lɔ9	骡						oŋ	119
61	l	ɔ	25	螺	lɔ25	lɔ9	田～						m̍	1
